Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,67.38,70.5,71.95,67.01,56.09K,-4.56%
2023-12-10,70.6,70.0,75.88,69.5,164.30K,2.26%
2023-12-07,69.04,68.5,70.5,66.6,84.61K,2.30%
2023-12-06,67.49,64.11,69.5,64.0,98.24K,5.31%
2023-12-05,64.09,64.2,65.0,63.7,24.48K,-0.06%
2023-12-04,64.13,65.0,65.0,63.68,27.39K,0.03%
2023-12-03,64.11,65.0,66.4,63.64,49.52K,-0.82%
2023-11-30,64.64,64.02,65.4,64.0,9.97K,-0.39%
2023-11-29,64.89,64.37,65.49,63.5,11.15K,0.81%
2023-11-28,64.37,63.86,65.15,63.86,22.07K,0.97%
2023-11-27,63.75,65.95,65.95,63.5,35.99K,-1.48%
2023-11-26,64.71,65.0,67.5,64.5,78.85K,-0.06%
2023-11-23,64.75,65.39,66.6,64.0,29.35K,-0.98%
2023-11-22,65.39,65.99,66.86,64.6,33.02K,0.71%
2023-11-21,64.93,66.0,67.0,63.0,71.34K,-1.32%
2023-11-20,65.8,67.01,68.5,65.02,36.94K,-1.47%
2023-11-19,66.78,65.49,68.97,64.48,142.28K,4.25%
2023-11-16,64.06,62.7,68.0,62.4,139.39K,2.76%
2023-11-15,62.34,62.01,63.0,61.7,15.21K,0.96%
2023-11-14,61.75,62.4,63.0,61.45,17.76K,0.05%
2023-11-13,61.72,62.5,63.0,60.5,29.18K,-1.20%
2023-11-12,62.47,63.98,65.0,62.12,19.25K,-2.33%
2023-11-09,63.96,65.51,67.25,63.51,36.85K,-2.60%
2023-11-08,65.67,61.02,68.0,61.02,125.88K,7.76%
2023-11-07,60.94,61.31,62.44,60.26,12.02K,-0.60%
2023-11-06,61.31,62.6,62.99,61.0,27.03K,-1.45%
2023-11-05,62.21,62.6,63.83,61.8,25.68K,0.73%
2023-11-02,61.76,61.98,64.5,61.0,47.38K,2.83%
2023-11-01,60.06,63.0,63.0,59.42,41.66K,-2.48%
2023-10-31,61.59,64.2,65.0,61.15,55.02K,-4.05%
2023-10-30,64.19,64.91,67.79,64.0,49.64K,-0.11%
2023-10-29,64.26,66.01,67.49,64.15,63.23K,-2.24%
2023-10-26,65.73,67.2,68.99,64.11,58.06K,-2.16%
2023-10-25,67.18,69.01,71.0,67.14,78.83K,-0.06%
2023-10-24,67.22,67.6,71.97,67.01,150.31K,0.60%
2023-10-23,66.82,69.99,69.99,66.2,144.26K,-0.93%
2023-10-22,67.45,67.89,72.0,65.01,120.85K,-0.87%
2023-10-19,68.04,63.01,68.95,62.25,198.19K,9.97%
2023-10-18,61.87,66.0,66.0,61.26,75.71K,-5.48%
2023-10-17,65.46,71.14,72.0,65.13,188.36K,-5.13%
2023-10-16,69.0,62.0,69.0,59.0,248.64K,11.81%
2023-10-15,61.71,63.5,65.5,61.5,120.24K,-2.33%
2023-10-12,63.18,61.5,65.4,60.01,181.99K,4.79%
2023-10-11,60.29,63.01,64.0,60.01,155.31K,-2.87%
2023-10-10,62.07,67.01,67.5,61.0,202.88K,-5.58%
2023-10-09,65.74,56.0,65.88,56.0,265.84K,19.66%
2023-10-08,54.94,47.0,55.0,46.2,124.81K,14.48%
2023-10-04,47.99,48.13,48.75,47.0,29.60K,-0.46%
2023-10-03,48.21,50.69,50.69,47.9,22.70K,-0.29%
2023-10-02,48.35,51.5,51.5,47.0,18.53K,-4.03%
2023-10-01,50.38,51.3,53.5,50.0,41.66K,-2.89%
2023-09-27,51.88,53.89,53.9,51.28,19.82K,0.50%
2023-09-26,51.62,52.95,54.95,51.01,40.51K,-1.30%
2023-09-25,52.3,54.0,55.4,51.5,16.06K,-2.39%
2023-09-24,53.58,50.28,56.42,50.28,117.00K,7.14%
2023-09-21,50.01,45.1,50.25,45.0,60.59K,10.91%
2023-09-20,45.09,47.0,47.0,45.0,25.44K,-4.21%
2023-09-19,47.07,47.33,47.64,46.31,28.10K,0.17%
2023-09-18,46.99,46.85,47.47,46.85,9.21K,0.30%
2023-09-17,46.85,47.7,47.7,46.02,3.75K,0.00%
2023-09-14,46.85,48.4,48.4,46.01,8.10K,-1.12%
2023-09-13,47.38,46.51,47.55,46.5,5.61K,0.00%
