Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,"1,250.00","1,250.00","1,250.00","1,250.00",0.02K,0.00%
2023-12-06,"1,250.00","1,250.00","1,250.00","1,250.00",0.00K,0.00%
2023-12-04,"1,250.00","1,250.00","1,250.00","1,250.00",0.34K,0.00%
2023-11-29,"1,250.00","1,250.00","1,250.00","1,250.00",0.06K,0.00%
2023-11-27,"1,250.00","1,250.00","1,250.00","1,250.00",0.01K,0.00%
2023-11-22,"1,250.00","1,250.00","1,250.00","1,250.00",0.05K,0.00%
2023-11-20,"1,250.00","1,250.00","1,250.00","1,250.00",4.76K,-0.08%
2023-11-15,"1,251.00","1,250.00","1,251.00","1,250.00",1.06K,0.08%
2023-11-13,"1,250.00","1,250.00","1,250.00","1,250.00",0.00K,-1.57%
2023-11-08,"1,270.00","1,250.00","1,270.00","1,250.00",0.11K,1.60%
2023-11-06,"1,250.00","1,250.00","1,250.00","1,250.00",0.02K,0.00%
2023-11-01,"1,250.00","1,250.00","1,250.00","1,250.00",1.40K,0.00%
2023-10-30,"1,250.00","1,250.00","1,252.00","1,250.00",0.32K,0.00%
2023-10-25,"1,250.00","1,030.00","1,274.00","1,030.00",2.68K,0.00%
2023-10-23,"1,250.00","1,250.00","1,252.00","1,250.00",0.08K,0.00%
2023-10-18,"1,250.00","1,000.00","1,250.00","1,000.00",0.30K,0.00%
2023-10-16,"1,250.00",715.01,"1,250.00",700.01,0.95K,0.81%
2023-10-09,"1,240.00",900.00,"1,240.00",900.00,0.00K,-0.80%
2023-10-08,"1,250.00","1,199.00","1,199.00","1,187.50",0.03K,0.00%
2023-10-01,"1,250.00","1,199.50","1,199.50","1,187.50",0.01K,4.15%
2023-09-27,"1,200.23","1,160.01","1,219.98","1,160.00",0.01K,0.00%
2023-09-26,"1,200.23","1,150.01","1,156.00","1,150.01",0.01K,0.00%
2023-09-25,"1,200.23","1,200.00","1,229.90","1,178.09",0.47K,-3.21%
2023-09-24,"1,240.03","1,230.00","1,234.99","1,200.00",0.13K,0.00%
2023-09-21,"1,240.03","1,232.00","1,245.00","1,230.02",5.25K,0.59%
2023-09-20,"1,232.75","1,234.00","1,238.50","1,231.02",1.43K,-0.22%
2023-09-19,"1,235.50","1,230.10","1,237.00","1,230.10",4.44K,-0.30%
2023-09-18,"1,239.22","1,229.00","1,240.00","1,220.00",8.84K,3.05%
2023-09-17,"1,202.51","1,200.00","1,205.00","1,197.00",0.45K,-0.26%
2023-09-14,"1,205.63","1,200.00","1,209.98","1,197.01",0.31K,0.49%
