Date,Price,Open,High,Low,Vol.,Change %
2023-12-10,11.62,11.99,12.1,11.56,587.30K,-2.43%
2023-12-06,11.91,11.88,12.35,11.71,649.09K,1.10%
2023-12-03,11.78,12.4,12.41,11.78,918.55K,-5.00%
2023-11-29,12.4,13.0,13.24,12.35,713.76K,-4.39%
2023-11-26,12.97,13.04,13.33,12.74,634.78K,2.13%
2023-11-22,12.7,13.05,13.4,12.65,563.78K,-2.23%
2023-11-19,12.99,13.08,14.28,12.99,977.65K,-4.97%
2023-11-15,13.67,14.3,14.47,13.67,1.08M,-4.94%
2023-11-12,14.38,15.0,15.0,14.29,1.66M,0.63%
2023-11-08,14.29,14.29,14.29,14.29,229.04K,5.00%
2023-11-05,13.61,12.33,13.61,12.33,1.74M,4.93%
2023-11-01,12.97,12.97,12.97,12.97,228.78K,-4.98%
2023-10-29,13.65,13.65,13.65,13.65,105.63K,-4.94%
2023-10-25,14.36,14.36,14.36,14.36,268.67K,-4.96%
2023-10-22,15.11,15.11,15.11,15.11,45.67K,-4.97%
2023-10-18,15.9,16.81,17.17,15.9,1.44M,-4.96%
2023-10-15,16.73,16.8,16.83,16.22,1.09M,4.37%
2023-10-11,16.03,15.99,16.03,15.9,1.22M,4.98%
2023-10-08,15.27,15.23,15.27,14.1,1.39M,4.95%
2023-10-04,14.55,13.2,14.55,13.17,1.75M,4.98%
2023-10-01,13.86,13.86,13.86,12.64,1.64M,5.00%
2023-09-27,13.2,13.2,13.2,13.2,572.28K,4.93%
2023-09-24,12.58,12.58,12.58,12.58,216.32K,4.92%
2023-09-20,11.99,11.99,11.99,11.99,143.65K,4.99%
2023-09-17,11.42,11.42,11.42,11.42,220.66K,4.96%
2023-09-13,10.88,10.88,10.88,10.45,925.36K,4.92%
2023-09-10,10.37,10.37,10.37,10.37,485.05K,4.96%
2023-09-06,9.88,9.88,9.88,9.7,713.56K,4.99%
2023-09-03,9.41,9.34,9.41,9.04,996.23K,4.91%
2023-08-30,8.97,8.97,8.97,8.13,3.35M,4.91%
2023-08-27,8.55,8.55,8.55,8.55,222.65K,4.91%
2023-08-23,8.15,8.15,8.15,8.15,312.00K,4.89%
2023-08-20,7.77,7.77,7.77,7.77,211.96K,5.00%
