Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,11.77,12.1,12.33,11.73,1.04M,-2.40%
2023-12-10,12.06,12.56,12.95,12.01,2.14M,-2.43%
2023-12-07,12.36,12.68,12.84,12.12,2.27M,-2.52%
2023-12-06,12.68,12.59,13.35,12.45,5.48M,1.77%
2023-12-05,12.46,12.22,12.74,12.16,3.16M,2.47%
2023-12-04,12.16,12.5,12.59,12.11,1.50M,-2.25%
2023-12-03,12.44,11.57,12.6,11.57,2.89M,7.99%
2023-11-30,11.52,11.8,11.85,11.46,656.37K,-0.52%
2023-11-29,11.58,11.9,12.0,11.58,909.09K,-2.28%
2023-11-28,11.85,12.04,12.15,11.76,926.64K,-0.67%
2023-11-27,11.93,12.12,12.19,11.9,728.26K,-0.75%
2023-11-26,12.02,12.15,12.36,11.93,1.00M,-0.08%
2023-11-23,12.03,12.4,12.45,12.0,1.58M,-1.96%
2023-11-22,12.27,12.76,12.8,12.21,1.63M,-4.07%
2023-11-21,12.79,11.48,12.79,11.39,2.82M,11.61%
2023-11-20,11.46,11.94,12.0,11.45,950.26K,-3.45%
2023-11-19,11.87,12.4,12.4,11.83,1.34M,-2.70%
2023-11-16,12.2,12.2,12.63,12.14,2.85M,1.41%
2023-11-15,12.03,11.96,12.22,11.81,2.16M,1.95%
2023-11-14,11.8,12.0,12.2,11.79,1.32M,-0.84%
2023-11-13,11.9,11.96,12.35,11.7,2.12M,0.00%
2023-11-12,11.9,12.44,12.59,11.88,1.17M,-2.86%
2023-11-09,12.25,12.8,12.92,12.1,1.36M,-3.77%
2023-11-08,12.73,12.91,13.15,12.7,1.95M,-0.24%
2023-11-07,12.76,12.8,13.24,12.72,2.79M,0.95%
2023-11-06,12.64,12.91,13.25,12.61,2.68M,-1.33%
2023-11-05,12.81,13.2,13.5,12.73,3.65M,0.87%
2023-11-02,12.7,11.94,12.7,11.8,3.25M,10.15%
2023-11-01,11.53,11.98,12.45,11.13,1.72M,-3.35%
2023-10-31,11.93,12.77,13.05,11.75,1.74M,-5.32%
2023-10-30,12.6,12.6,13.07,12.46,1.95M,1.86%
2023-10-29,12.37,12.62,13.25,12.32,2.81M,-2.06%
