Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.463,1.5,1.5,1.461,1.12M,-2.34%
2023-12-10,1.498,1.52,1.53,1.491,2.08M,-0.99%
2023-12-07,1.513,1.54,1.54,1.489,2.80M,-1.82%
2023-12-06,1.541,1.56,1.57,1.537,2.36M,-1.22%
2023-12-05,1.56,1.578,1.579,1.551,3.20M,0.13%
2023-12-04,1.558,1.554,1.59,1.55,6.51M,1.37%
2023-12-03,1.537,1.573,1.574,1.532,3.65M,-0.32%
2023-11-30,1.542,1.597,1.597,1.537,4.79M,-1.91%
2023-11-29,1.572,1.63,1.65,1.564,6.18M,-1.75%
2023-11-28,1.6,1.545,1.6,1.531,7.96M,3.90%
2023-11-27,1.54,1.545,1.555,1.538,2.91M,0.06%
2023-11-26,1.539,1.56,1.56,1.535,2.29M,-0.45%
2023-11-23,1.546,1.561,1.564,1.544,2.55M,-0.51%
2023-11-22,1.554,1.55,1.568,1.533,4.57M,1.30%
2023-11-21,1.534,1.53,1.56,1.501,5.59M,-5.77%
2023-11-20,1.628,1.64,1.65,1.603,6.29M,-0.31%
2023-11-19,1.633,1.656,1.67,1.62,3.17M,-0.97%
2023-11-16,1.649,1.637,1.67,1.62,7.13M,1.85%
2023-11-15,1.619,1.625,1.645,1.604,1.91M,-0.31%
2023-11-14,1.624,1.635,1.668,1.62,4.34M,0.43%
2023-11-13,1.617,1.605,1.644,1.588,2.05M,1.13%
2023-11-12,1.599,1.645,1.645,1.58,3.06M,-0.44%
2023-11-09,1.606,1.649,1.665,1.6,2.62M,-0.86%
2023-11-08,1.62,1.7,1.727,1.6,10.15M,-3.63%
2023-11-07,1.681,1.568,1.7,1.565,8.71M,7.55%
2023-11-06,1.563,1.6,1.614,1.561,1.98M,-1.45%
2023-11-05,1.586,1.545,1.627,1.541,3.09M,2.92%
2023-11-02,1.541,1.524,1.56,1.522,1.28M,1.18%
2023-11-01,1.523,1.58,1.586,1.52,2.99M,-1.36%
2023-10-31,1.544,1.579,1.58,1.54,3.49M,-0.39%
2023-10-30,1.55,1.571,1.59,1.542,4.25M,0.65%
2023-10-29,1.54,1.55,1.597,1.535,5.11M,-0.52%
2023-10-26,1.548,1.618,1.618,1.545,3.65M,-2.82%
2023-10-25,1.593,1.62,1.685,1.59,10.62M,0.82%
2023-10-24,1.58,1.497,1.58,1.484,8.39M,6.97%
2023-10-23,1.477,1.5,1.518,1.475,2.70M,-0.61%
2023-10-22,1.486,1.5,1.504,1.48,2.13M,0.13%
2023-10-19,1.484,1.478,1.504,1.461,3.03M,0.54%
2023-10-18,1.476,1.519,1.534,1.461,3.64M,-2.83%
2023-10-17,1.519,1.525,1.539,1.506,2.10M,0.00%
2023-10-16,1.519,1.537,1.537,1.504,2.64M,-1.17%
2023-10-15,1.537,1.527,1.573,1.527,4.72M,0.79%
2023-10-12,1.525,1.549,1.575,1.52,4.37M,-1.55%
2023-10-11,1.549,1.559,1.6,1.522,8.74M,1.77%
2023-10-10,1.522,1.46,1.53,1.44,6.90M,5.84%
2023-10-09,1.438,1.439,1.479,1.411,3.26M,1.20%
2023-10-08,1.421,1.372,1.52,1.36,11.10M,3.95%
2023-10-04,1.367,1.395,1.395,1.36,1.89M,-0.80%
2023-10-03,1.378,1.39,1.398,1.361,1.10M,-0.58%
2023-10-02,1.386,1.42,1.429,1.371,1.47M,-1.00%
2023-10-01,1.4,1.45,1.46,1.4,1.51M,-2.23%
2023-09-27,1.432,1.475,1.48,1.42,2.14M,-1.98%
2023-09-26,1.461,1.47,1.509,1.46,1.79M,-0.95%
2023-09-25,1.475,1.5,1.51,1.471,937.49K,-0.87%
2023-09-24,1.488,1.521,1.535,1.48,2.49M,-1.59%
2023-09-21,1.512,1.503,1.528,1.49,1.53M,0.60%
2023-09-20,1.503,1.523,1.56,1.498,2.82M,-1.25%
2023-09-19,1.522,1.545,1.559,1.52,2.12M,-1.49%
2023-09-18,1.545,1.568,1.57,1.543,2.47M,-1.09%
2023-09-17,1.562,1.541,1.575,1.538,5.23M,1.36%
2023-09-14,1.541,1.57,1.578,1.538,4.07M,-0.96%
2023-09-13,1.556,1.512,1.58,1.491,5.72M,3.66%
2023-09-12,1.501,1.535,1.555,1.495,3.30M,-2.15%
2023-09-11,1.534,1.605,1.619,1.531,5.68M,-4.18%
2023-09-10,1.601,1.621,1.649,1.6,7.47M,-0.62%
2023-09-07,1.611,1.621,1.638,1.6,6.23M,-0.43%
2023-09-06,1.618,1.65,1.69,1.605,9.02M,-0.55%
2023-09-05,1.627,1.628,1.699,1.616,11.43M,0.37%
2023-09-04,1.621,1.625,1.669,1.614,8.88M,-0.25%
2023-09-03,1.625,1.716,1.74,1.61,11.22M,-4.75%
2023-08-31,1.706,1.619,1.77,1.59,34.34M,7.70%
2023-08-30,1.584,1.621,1.67,1.57,28.93M,1.73%
2023-08-29,1.557,1.317,1.557,1.29,28.59M,19.95%
2023-08-28,1.298,1.241,1.328,1.24,8.78M,4.93%
2023-08-27,1.237,1.233,1.254,1.228,2.66M,1.89%
2023-08-24,1.214,1.24,1.245,1.212,1.28M,-1.38%
2023-08-23,1.231,1.268,1.276,1.215,1.50M,-2.22%
2023-08-22,1.259,1.22,1.268,1.215,3.09M,3.20%
2023-08-21,1.22,1.22,1.23,1.217,398.12K,-0.16%
2023-08-20,1.222,1.222,1.23,1.217,298.40K,0.00%
2023-08-17,1.222,1.216,1.23,1.215,590.95K,0.33%
2023-08-16,1.218,1.215,1.235,1.214,1.06M,0.00%
2023-08-15,1.218,1.24,1.24,1.21,1.04M,-1.69%
2023-08-14,1.239,1.255,1.255,1.23,1.33M,-0.40%
2023-08-13,1.244,1.248,1.259,1.211,3.24M,2.64%
2023-08-10,1.212,1.23,1.23,1.209,938.87K,-1.38%
2023-08-09,1.229,1.217,1.26,1.2,3.11M,2.08%
2023-08-08,1.204,1.211,1.225,1.202,559.86K,-0.66%
2023-08-07,1.212,1.229,1.23,1.205,482.14K,-0.98%
2023-08-06,1.224,1.208,1.235,1.195,944.48K,2.51%
2023-08-03,1.194,1.215,1.215,1.181,816.62K,-0.67%
2023-08-02,1.202,1.21,1.225,1.182,434.68K,0.75%
2023-08-01,1.193,1.238,1.238,1.18,526.48K,-2.21%
2023-07-31,1.22,1.23,1.249,1.208,309.73K,-0.65%
2023-07-30,1.228,1.21,1.24,1.21,773.08K,1.82%
2023-07-27,1.206,1.185,1.219,1.185,436.27K,0.33%
2023-07-26,1.202,1.19,1.209,1.184,221.38K,0.00%
2023-07-25,1.202,1.21,1.21,1.197,394.28K,-0.58%
2023-07-24,1.209,1.22,1.228,1.193,603.21K,-0.25%
2023-07-19,1.212,1.197,1.22,1.186,721.51K,1.93%
2023-07-18,1.189,1.185,1.198,1.178,276.25K,0.59%
2023-07-17,1.182,1.176,1.19,1.176,126.39K,0.00%
2023-07-16,1.182,1.19,1.194,1.18,152.91K,0.00%
2023-07-13,1.182,1.181,1.198,1.18,216.73K,0.00%
2023-07-12,1.182,1.181,1.2,1.178,735.51K,0.17%
2023-07-11,1.18,1.185,1.217,1.177,864.17K,0.25%
2023-07-10,1.177,1.177,1.18,1.16,446.71K,0.17%
2023-07-09,1.175,1.21,1.218,1.163,825.11K,-3.37%
2023-07-06,1.216,1.25,1.25,1.21,823.20K,-0.82%
2023-07-05,1.226,1.252,1.252,1.22,1.74M,-1.45%
2023-07-04,1.244,1.25,1.26,1.233,296.43K,0.65%
2023-06-26,1.236,1.249,1.25,1.227,483.34K,0.73%
2023-06-25,1.227,1.212,1.255,1.212,735.05K,-0.49%
2023-06-22,1.233,1.252,1.252,1.23,1.10M,-1.44%
2023-06-21,1.251,1.275,1.285,1.247,1.88M,-1.81%
2023-06-20,1.274,1.281,1.297,1.266,1.12M,-0.86%
2023-06-19,1.285,1.29,1.297,1.275,882.69K,-0.31%
2023-06-18,1.289,1.28,1.3,1.28,1.10M,0.39%
2023-06-15,1.284,1.3,1.31,1.281,1.21M,-0.39%
2023-06-14,1.289,1.283,1.324,1.276,3.26M,1.42%
2023-06-13,1.271,1.275,1.288,1.265,746.89K,-0.31%
2023-06-12,1.275,1.28,1.288,1.275,384.19K,0.08%
2023-06-11,1.274,1.276,1.3,1.262,4.55M,0.24%
2023-06-08,1.271,1.284,1.3,1.27,1.73M,-1.01%
2023-06-07,1.284,1.293,1.309,1.28,1.44M,-0.85%
2023-06-06,1.295,1.292,1.313,1.29,1.92M,0.23%
2023-06-05,1.292,1.301,1.329,1.29,2.53M,-1.22%
2023-06-04,1.308,1.29,1.32,1.29,3.05M,1.95%
2023-06-01,1.283,1.299,1.305,1.27,1.86M,-0.39%
2023-05-31,1.288,1.301,1.327,1.273,2.43M,-1.08%
2023-05-30,1.302,1.33,1.34,1.301,2.39M,-0.61%
2023-05-29,1.31,1.312,1.34,1.293,4.55M,0.08%
2023-05-28,1.309,1.289,1.319,1.276,2.37M,3.23%
2023-05-25,1.268,1.261,1.289,1.261,1.18M,-0.31%
2023-05-24,1.272,1.269,1.293,1.255,2.80M,1.52%
2023-05-23,1.253,1.249,1.259,1.231,483.83K,0.64%
2023-05-22,1.245,1.277,1.277,1.241,772.05K,-1.19%
2023-05-21,1.26,1.216,1.27,1.216,1.54M,3.87%
2023-05-18,1.213,1.222,1.248,1.21,619.25K,-1.06%
2023-05-17,1.226,1.231,1.25,1.224,681.86K,-0.57%
2023-05-16,1.233,1.25,1.26,1.222,822.27K,0.24%
2023-05-15,1.23,1.27,1.27,1.23,876.80K,-2.61%
2023-05-14,1.263,1.269,1.27,1.23,655.40K,1.04%
2023-05-11,1.25,1.265,1.279,1.246,1.07M,-0.08%
2023-05-10,1.251,1.26,1.269,1.246,853.13K,-0.95%
2023-05-09,1.263,1.275,1.28,1.26,1.41M,-0.55%
2023-05-08,1.27,1.27,1.279,1.261,406.10K,0.79%
2023-05-07,1.26,1.235,1.269,1.221,1.13M,2.02%
2023-05-03,1.235,1.252,1.26,1.23,1.55M,-0.80%
2023-05-02,1.245,1.255,1.27,1.23,1.23M,-0.88%
2023-05-01,1.256,1.279,1.29,1.25,1.08M,-0.95%
2023-04-30,1.268,1.292,1.31,1.265,1.61M,-1.78%
2023-04-27,1.291,1.27,1.303,1.264,2.47M,1.41%
2023-04-26,1.273,1.28,1.29,1.26,1.42M,-0.16%
2023-04-19,1.275,1.282,1.286,1.262,1.78M,-0.55%
2023-04-18,1.282,1.318,1.318,1.274,4.10M,-1.46%
2023-04-13,1.301,1.32,1.335,1.294,1.03M,-1.59%
2023-04-12,1.322,1.33,1.36,1.313,2.03M,-0.30%
2023-04-11,1.326,1.318,1.35,1.3,1.78M,1.61%
2023-04-10,1.305,1.286,1.32,1.286,3.79M,1.24%
2023-04-09,1.289,1.31,1.31,1.285,670.22K,-1.23%
2023-04-06,1.305,1.322,1.329,1.29,1.81M,-1.21%
2023-04-05,1.321,1.298,1.34,1.261,3.52M,3.69%
2023-04-04,1.274,1.27,1.28,1.252,1.22M,1.51%
2023-04-03,1.255,1.27,1.278,1.25,1.34M,-0.63%
2023-04-02,1.263,1.229,1.279,1.227,1.87M,2.85%
2023-03-30,1.228,1.22,1.247,1.171,2.22M,1.24%
2023-03-29,1.213,1.22,1.251,1.21,1.20M,-0.08%
2023-03-28,1.214,1.22,1.24,1.19,1.00M,-0.25%
2023-03-27,1.217,1.245,1.289,1.211,1.21M,-2.25%
2023-03-26,1.245,1.247,1.267,1.23,2.03M,1.14%
2023-03-23,1.231,1.182,1.248,1.172,2.94M,3.71%
2023-03-22,1.187,1.232,1.24,1.167,4.39M,-2.22%
2023-03-21,1.214,1.183,1.23,1.17,3.16M,4.30%
2023-03-20,1.164,1.135,1.18,1.116,1.99M,3.19%
2023-03-19,1.128,1.149,1.149,1.09,2.16M,-1.14%
2023-03-16,1.141,1.15,1.179,1.032,3.05M,-0.26%
2023-03-15,1.144,1.264,1.28,1.13,5.43M,-8.63%
2023-03-14,1.252,1.225,1.265,1.219,4.39M,1.95%
2023-03-13,1.228,1.358,1.38,1.22,3.94M,-9.51%
2023-03-12,1.357,1.4,1.4,1.342,2.70M,-3.76%
