Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,3.19,3.18,3.34,3.07,21.39M,0.31%
2023-12-10,3.18,3.47,3.5,3.15,8.23M,-7.83%
2023-12-07,3.45,3.37,3.45,3.16,13.20M,2.07%
2023-12-06,3.38,3.44,3.7,3.36,24.14M,0.90%
2023-12-05,3.35,3.23,3.43,3.12,17.97M,4.69%
2023-12-04,3.2,3.14,3.33,3.09,21.14M,2.56%
2023-12-03,3.12,2.74,3.24,2.69,49.40M,15.56%
2023-11-30,2.7,2.78,2.78,2.68,8.43M,-1.82%
2023-11-29,2.75,2.81,2.87,2.74,14.69M,-1.08%
2023-11-28,2.78,2.69,2.92,2.69,33.22M,4.12%
2023-11-27,2.67,2.66,2.67,2.62,8.05M,1.14%
2023-11-26,2.64,2.64,2.68,2.61,7.43M,0.76%
2023-11-23,2.62,2.65,2.71,2.62,17.17M,-0.76%
2023-11-22,2.64,2.63,2.69,2.62,18.86M,1.54%
2023-11-21,2.6,2.54,2.63,2.49,17.14M,2.77%
2023-11-20,2.53,2.51,2.59,2.49,15.31M,1.20%
2023-11-19,2.5,2.47,2.5,2.45,6.35M,2.88%
2023-11-16,2.43,2.42,2.47,2.39,5.33M,0.83%
2023-11-15,2.41,2.45,2.47,2.37,4.08M,-1.23%
2023-11-14,2.44,2.49,2.53,2.4,7.49M,-1.61%
2023-11-13,2.48,2.33,2.48,2.29,15.35M,6.90%
2023-11-12,2.32,2.4,2.4,2.32,8.92M,-2.93%
2023-11-09,2.39,2.52,2.52,2.3,28.34M,-4.02%
2023-11-08,2.49,2.46,2.58,2.46,8.79M,1.63%
2023-11-07,2.45,2.46,2.52,2.41,5.82M,0.00%
2023-11-06,2.45,2.54,2.55,2.44,8.26M,-3.16%
2023-11-05,2.53,2.57,2.59,2.51,9.75M,0.00%
2023-11-02,2.53,2.45,2.6,2.45,25.99M,3.69%
2023-11-01,2.44,2.37,2.46,2.31,21.39M,2.95%
2023-10-31,2.37,2.35,2.39,2.28,16.23M,1.72%
2023-10-30,2.33,2.43,2.49,2.33,28.24M,0.43%
2023-10-29,2.32,2.27,2.35,2.24,14.07M,3.57%
2023-10-26,2.24,2.31,2.33,2.23,16.21M,-2.61%
2023-10-25,2.3,2.12,2.33,2.12,42.31M,8.49%
2023-10-24,2.12,2.18,2.2,2.11,23.14M,-2.30%
2023-10-23,2.17,2.11,2.21,2.1,25.79M,3.33%
2023-10-22,2.1,2.11,2.14,2.08,15.37M,0.38%
2023-10-19,2.092,1.97,2.158,1.961,39.84M,6.79%
2023-10-18,1.959,1.97,1.989,1.951,11.11M,0.41%
2023-10-17,1.951,1.905,1.969,1.894,11.43M,2.96%
2023-10-16,1.895,1.904,1.926,1.885,6.99M,-0.42%
2023-10-15,1.903,1.884,1.955,1.883,11.49M,1.66%
2023-10-12,1.872,1.9,1.915,1.87,5.70M,-1.06%
2023-10-11,1.892,1.918,1.927,1.89,5.86M,-0.47%
2023-10-10,1.901,1.901,1.93,1.89,7.57M,0.26%
2023-10-09,1.896,1.912,1.934,1.89,4.47M,-0.63%
2023-10-08,1.908,2.011,2.019,1.78,10.53M,-4.55%
2023-10-04,1.999,1.974,2.039,1.96,18.03M,4.11%
2023-10-03,1.92,1.888,1.97,1.824,9.14M,2.95%
2023-10-02,1.865,1.99,2.0,1.791,7.88M,-5.38%
2023-10-01,1.971,2.02,2.03,1.96,3.39M,-0.95%
2023-09-27,1.99,2.03,2.04,1.98,5.08M,-1.49%
2023-09-26,2.02,2.07,2.09,2.01,6.59M,-1.94%
2023-09-25,2.06,2.04,2.09,2.01,8.20M,1.98%
2023-09-24,2.02,2.05,2.07,2.02,4.49M,-1.46%
2023-09-21,2.05,2.06,2.07,2.02,3.22M,-0.97%
2023-09-20,2.07,2.08,2.11,2.03,5.41M,-0.96%
2023-09-19,2.09,2.13,2.14,2.09,4.75M,-0.95%
2023-09-18,2.11,2.12,2.16,2.1,10.60M,-0.47%
2023-09-17,2.12,2.11,2.16,2.1,16.25M,1.44%
2023-09-14,2.09,2.11,2.12,2.08,6.69M,-0.48%
2023-09-13,2.1,2.1,2.12,2.07,7.76M,0.48%
2023-09-12,2.09,2.13,2.15,2.07,9.86M,-1.42%
2023-09-11,2.12,2.08,2.18,2.08,41.67M,2.91%
2023-09-10,2.06,2.04,2.06,2.04,6.74M,1.98%
2023-09-07,2.02,2.03,2.05,2.02,5.60M,-0.49%
2023-09-06,2.03,2.05,2.06,2.02,4.72M,0.00%
2023-09-05,2.03,2.03,2.08,2.02,11.07M,0.00%
2023-09-04,2.03,2.04,2.05,2.02,7.52M,-0.49%
2023-09-03,2.04,2.09,2.12,2.01,11.10M,-2.39%
2023-08-31,2.09,2.1,2.11,2.07,3.46M,0.00%
2023-08-30,2.09,2.14,2.14,2.09,8.20M,-1.42%
