Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,"28,899.90","29,034.64","29,034.64","28,718.33",249.98M,-0.46%
2023-12-10,"29,034.64","29,614.43","29,736.58","29,024.63",231.64M,-1.96%
2023-12-07,"29,614.43","29,655.44","29,668.30","28,814.45",234.73M,-0.14%
2023-12-06,"29,655.44","30,198.95","30,375.43","29,651.14",280.24M,-1.80%
2023-12-05,"30,198.95","30,368.39","30,622.06","30,134.18",399.97M,-0.56%
2023-12-04,"30,368.39","29,532.07","30,430.82","29,532.07",357.89M,2.83%
2023-12-03,"29,532.07","29,657.15","29,773.18","29,417.91",227.29M,-0.42%
2023-11-30,"29,657.15","29,637.60","29,964.86","29,338.59",281.86M,0.07%
2023-11-29,"29,637.60","30,014.81","30,098.53","29,415.94",299.24M,-1.26%
2023-11-28,"30,014.81","30,847.75","30,882.30","30,014.81",273.85M,-2.70%
2023-11-27,"30,847.75","30,416.14","30,916.47","30,416.14",376.14M,1.42%
2023-11-26,"30,416.14","30,620.26","30,866.55","30,340.11",302.66M,-0.67%
2023-11-23,"30,620.26","30,186.52","30,699.42","30,186.52",329.53M,1.44%
2023-11-22,"30,186.52","29,890.90","30,256.60","29,890.90",227.89M,0.99%
2023-11-21,"29,890.90","29,814.27","29,890.90","29,555.37",216.01M,0.26%
2023-11-20,"29,814.27","30,049.50","30,494.78","29,776.38",242.59M,-0.78%
2023-11-19,"30,049.50","29,506.50","30,124.11","29,506.50",270.69M,1.84%
2023-11-16,"29,506.50","29,215.83","29,634.72","29,215.83",294.70M,0.99%
2023-11-15,"29,215.83","28,984.37","29,334.87","28,984.37",274.90M,0.80%
2023-11-14,"28,984.37","28,983.90","29,336.90","28,905.77",298.91M,0.00%
2023-11-13,"28,983.90","28,897.81","29,154.22","28,668.37",182.09M,0.30%
2023-11-12,"28,897.81","29,341.40","29,578.60","28,823.81",233.34M,-1.51%
2023-11-09,"29,341.40","29,074.67","29,736.24","29,074.67",290.75M,0.92%
2023-11-08,"29,074.67","28,538.87","29,225.75","28,538.87",247.48M,1.88%
2023-11-07,"28,538.87","28,214.69","28,657.44","28,214.69",365.29M,1.15%
2023-11-06,"28,214.69","28,291.79","28,472.95","28,159.48",336.34M,-0.27%
2023-11-05,"28,291.79","27,738.16","28,518.13","27,738.16",337.10M,2.00%
2023-11-02,"27,738.16","27,487.38","28,064.69","27,487.38",221.60M,0.91%
2023-11-01,"27,487.38","27,701.87","28,162.75","27,149.60",259.00M,-0.77%
2023-10-31,"27,701.87","28,922.54","29,112.11","27,701.87",375.01M,-4.22%
2023-10-30,"28,922.54","28,509.04","29,081.70","28,509.04",396.07M,1.45%
2023-10-29,"28,509.04","28,785.62","28,947.00","28,509.04",580.50M,-0.96%
2023-10-26,"28,785.62","28,701.25","29,169.43","28,416.53",388.61M,0.29%
2023-10-25,"28,701.25","27,649.55","28,785.08","27,649.55",348.12M,3.80%
2023-10-24,"27,649.55","27,901.86","28,314.87","26,970.35",228.86M,-0.90%
2023-10-23,"27,901.86","27,199.45","27,961.00","27,199.45",240.04M,2.58%
2023-10-22,"27,199.45","26,470.06","27,241.64","26,426.91",171.62M,2.76%
2023-10-19,"26,470.06","27,127.11","27,254.59","26,470.06",244.34M,-2.42%
2023-10-18,"27,127.11","27,070.34","27,517.15","26,941.67",287.02M,0.21%
2023-10-17,"27,070.34","25,636.82","27,174.43","25,636.82",327.02M,5.59%
2023-10-16,"25,636.82","24,592.27","25,935.12","24,592.27",274.15M,4.25%
2023-10-15,"24,592.27","24,103.66","24,761.31","24,103.66",167.68M,2.03%
2023-10-12,"24,103.66","23,628.26","24,103.66","23,628.26",157.88M,2.01%
2023-10-11,"23,628.26","23,654.34","23,908.19","23,628.26",133.22M,-0.11%
2023-10-10,"23,654.34","23,178.32","23,677.78","23,102.60",132.99M,2.05%
2023-10-09,"23,178.32","23,177.82","23,246.45","23,015.29",108.63M,0.00%
2023-10-08,"23,177.82","23,791.06","23,791.06","22,108.31",202.25M,-2.58%
2023-10-04,"23,791.06","23,565.05","23,802.75","23,503.82",118.56M,0.96%
2023-10-03,"23,565.05","23,875.59","23,916.28","23,502.37",115.00M,-1.30%
2023-10-02,"23,875.59","24,135.35","24,240.59","23,443.27",208.97M,-1.08%
2023-10-01,"24,135.35","24,341.65","24,412.27","24,083.30",136.22M,-0.85%
2023-09-27,"24,341.65","24,569.58","24,684.65","24,231.11",171.06M,-0.93%
2023-09-26,"24,569.58","24,550.06","24,848.87","24,550.06",209.81M,0.08%
2023-09-25,"24,550.06","24,389.74","24,690.61","24,389.74",215.20M,0.66%
2023-09-24,"24,389.74","24,219.13","24,535.34","24,219.13",160.22M,0.70%
2023-09-21,"24,219.13","23,877.07","24,224.99","23,730.66",160.29M,1.43%
2023-09-20,"23,877.07","24,055.37","24,484.44","23,762.18",210.90M,-0.74%
2023-09-19,"24,055.37","23,811.58","24,165.16","23,807.34",190.78M,1.02%
2023-09-18,"23,811.58","23,716.86","23,814.23","23,687.94",190.18M,0.40%
2023-09-17,"23,716.86","23,530.13","23,859.40","23,530.13",238.38M,0.79%
2023-09-14,"23,530.13","23,337.98","23,679.96","23,337.98",143.07M,0.82%
2023-09-13,"23,337.98","23,077.82","23,361.91","23,063.70",104.04M,1.13%
2023-09-12,"23,077.82","23,220.49","23,249.18","23,040.97",128.77M,-0.61%
2023-09-11,"23,220.49","23,579.92","23,614.07","23,191.77",199.13M,-1.52%
2023-09-10,"23,579.92","23,268.40","23,648.27","23,268.33",198.24M,1.34%
2023-09-07,"23,268.40","23,061.83","23,351.68","23,061.77",126.02M,0.90%
2023-09-06,"23,061.83","22,948.25","23,180.89","22,948.25",186.24M,0.49%
2023-09-05,"22,948.25","22,820.55","23,096.03","22,820.55",173.82M,0.56%
2023-09-04,"22,820.55","22,553.33","22,854.66","22,553.33",147.93M,1.18%
2023-09-03,"22,553.33","22,708.89","22,840.54","22,553.33",110.03M,-0.69%
2023-08-31,"22,708.89","22,710.28","22,762.71","22,605.32",131.97M,-0.01%
2023-08-30,"22,710.28","22,573.33","22,726.61","22,573.33",150.63M,0.61%
2023-08-29,"22,573.33","22,462.24","22,672.93","22,462.24",220.66M,0.49%
2023-08-28,"22,462.24","22,420.02","22,690.09","22,420.02",272.19M,0.19%
2023-08-27,"22,420.02","22,090.14","22,465.73","22,090.14",134.13M,1.49%
2023-08-24,"22,090.14","21,976.81","22,117.25","21,976.81",193.82M,0.52%
2023-08-23,"21,976.81","22,095.36","22,232.92","21,972.07",226.10M,-0.54%
2023-08-22,"22,095.36","21,713.77","22,148.11","21,713.77",169.65M,1.76%
2023-08-21,"21,713.77","21,800.29","21,937.02","21,687.81",187.22M,-0.40%
2023-08-20,"21,800.29","21,728.25","21,891.15","21,728.25",157.45M,0.33%
2023-08-17,"21,728.25","21,855.95","21,913.88","21,703.27",162.62M,-0.58%
2023-08-16,"21,855.95","21,782.05","21,983.87","21,754.78",220.48M,0.34%
2023-08-15,"21,782.05","21,714.04","21,800.44","21,682.19",188.31M,0.31%
2023-08-14,"21,714.04","21,704.16","21,956.54","21,704.16",288.83M,0.05%
2023-08-13,"21,704.16","21,499.27","21,722.01","21,499.27",209.00M,0.95%
2023-08-10,"21,499.27","21,593.00","21,650.66","21,493.85",217.75M,-0.43%
2023-08-09,"21,593.00","21,570.53","21,779.67","21,566.84",299.07M,0.10%
2023-08-08,"21,570.53","21,701.81","21,815.96","21,570.53",395.74M,-0.60%
2023-08-07,"21,701.81","21,491.44","21,720.22","21,491.44",359.64M,0.98%
2023-08-06,"21,491.44","21,129.86","21,495.48","21,129.86",305.66M,1.71%
2023-08-03,"21,129.86","21,115.98","21,191.97","21,037.65",294.84M,0.07%
2023-08-02,"21,115.98","21,226.50","21,349.01","21,096.32",480.96M,-0.52%
2023-08-01,"21,226.50","21,365.06","21,445.01","21,212.39",336.68M,-0.65%
2023-07-31,"21,365.06","21,277.75","21,373.43","21,255.35",121.84M,0.41%
2023-07-30,"21,277.75","20,910.62","21,349.01","20,907.23",94.80M,1.76%
2023-07-27,"20,910.62","21,031.77","21,063.61","20,887.58",75.72M,-0.58%
2023-07-26,"21,031.77","21,115.31","21,186.08","21,031.77",69.04M,-0.40%
2023-07-25,"21,115.31","21,246.10","21,462.93","21,097.43",108.10M,-0.62%
2023-07-24,"21,246.10","21,354.23","21,476.78","21,215.70",71.91M,-0.51%
2023-07-19,"21,354.23","21,423.94","21,447.85","21,315.05",97.97M,-0.33%
2023-07-18,"21,423.94","21,289.24","21,474.07","21,289.24",139.85M,0.63%
2023-07-17,"21,289.24","21,085.73","21,424.82","21,075.76",123.57M,0.97%
