Date,Price,Open,High,Low,Vol.,Change %
2023-12-12,24082.45,24182.06,24414.73,23970.14,203.89M,-0.41%
2023-12-11,24182.06,24189.83,24260.98,23941.25,249.98M,-0.03%
2023-12-10,24189.83,24686.16,24773.06,24189.83,231.64M,-2.01%
2023-12-07,24686.16,24703.55,24712.7,24055.32,234.73M,-0.07%
2023-12-06,24703.55,25127.91,25311.4,24702.38,280.24M,-1.69%
2023-12-05,25127.91,25265.41,25446.14,24977.73,399.97M,-0.54%
2023-12-04,25265.41,24571.98,25323.48,24571.98,357.89M,2.82%
2023-12-03,24571.98,24735.39,24809.93,24491.7,227.29M,-0.66%
2023-11-30,24735.39,24759.16,25017.01,24416.9,281.86M,-0.10%
2023-11-29,24759.16,25121.73,25204.84,24553.42,299.24M,-1.44%
2023-11-28,25121.73,25905.54,25930.12,25121.73,273.85M,-3.03%
2023-11-27,25905.54,25300.32,25945.58,25300.32,376.14M,2.39%
2023-11-26,25300.32,25519.49,25743.23,25241.52,302.66M,-0.86%
2023-11-23,25519.49,25029.57,25563.41,25029.57,329.53M,1.96%
2023-11-22,25029.57,24774.04,25098.4,24774.04,227.89M,1.03%
2023-11-21,24774.04,24760.02,24774.04,24517.9,216.01M,0.06%
2023-11-20,24760.02,24899.59,25337.9,24726.0,242.59M,-0.56%
2023-11-19,24899.59,24383.27,24958.79,24383.27,270.69M,2.12%
2023-11-16,24383.27,24138.8,24451.71,24138.8,294.70M,1.01%
2023-11-15,24138.8,23894.06,24196.97,23894.06,274.90M,1.02%
2023-11-14,23894.06,23954.96,24216.58,23842.85,298.91M,-0.25%
2023-11-13,23954.96,23910.66,24073.77,23694.68,182.09M,0.19%
2023-11-12,23910.66,24312.92,24473.74,23857.08,233.34M,-1.65%
2023-11-09,24312.92,23986.56,24543.08,23986.56,290.75M,1.36%
2023-11-08,23986.56,23393.41,24136.44,23393.41,247.48M,2.54%
2023-11-07,23393.41,23059.15,23477.77,23059.15,365.29M,1.45%
2023-11-06,23059.15,23094.69,23246.11,23011.39,336.34M,-0.15%
2023-11-05,23094.69,22639.59,23247.24,22639.59,337.10M,2.01%
2023-11-02,22639.59,22433.38,22882.69,22433.38,221.60M,0.92%
2023-11-01,22433.38,22550.65,22911.98,22201.56,259.00M,-0.52%
2023-10-31,22550.65,23435.65,23573.84,22550.65,375.01M,-3.78%
2023-10-30,23435.65,23086.72,23559.2,23086.72,396.07M,1.51%
2023-10-29,23086.72,23262.27,23413.14,23086.72,580.50M,-0.75%
2023-10-26,23262.27,23131.96,23439.4,22911.53,388.61M,0.56%
2023-10-25,23131.96,22377.39,23226.61,22377.39,348.12M,3.37%
2023-10-24,22377.39,22572.49,22841.22,21858.48,228.86M,-0.86%
2023-10-23,22572.49,22128.49,22616.58,22128.49,240.04M,2.01%
2023-10-22,22128.49,21616.6,22202.78,21586.32,171.62M,2.37%
2023-10-19,21616.6,22117.4,22217.68,21616.6,244.34M,-2.26%
2023-10-18,22117.4,22073.95,22423.59,21972.82,287.02M,0.20%
2023-10-17,22073.95,21032.35,22142.88,21032.35,327.02M,4.95%
2023-10-16,21032.35,20324.96,21328.74,20324.96,274.15M,3.48%
2023-10-15,20324.96,20002.1,20464.66,20002.1,167.68M,1.61%
2023-10-12,20002.1,19653.49,20002.1,19653.49,157.88M,1.77%
2023-10-11,19653.49,19724.32,19913.82,19653.49,133.22M,-0.36%
2023-10-10,19724.32,19409.78,19749.01,19276.31,132.99M,1.62%
2023-10-09,19409.78,19357.42,19464.73,19219.31,108.63M,0.27%
2023-10-08,19357.42,19873.31,19873.31,18455.68,202.25M,-2.60%
2023-10-04,19873.31,19706.96,19896.46,19661.31,118.56M,0.84%
2023-10-03,19706.96,19901.24,19927.22,19652.16,115.00M,-0.98%
2023-10-02,19901.24,20054.72,20162.05,19608.68,208.97M,-0.77%
2023-10-01,20054.72,20174.28,20223.85,19979.56,136.22M,-0.59%
2023-09-27,20174.28,20354.86,20429.44,20086.4,171.06M,-0.89%
2023-09-26,20354.86,20320.56,20531.31,20320.56,209.81M,0.17%
2023-09-25,20320.56,20213.7,20498.51,20213.7,215.20M,0.53%
2023-09-24,20213.7,20080.57,20325.68,20077.36,160.22M,0.66%
2023-09-21,20080.57,19797.23,20082.1,19692.41,160.29M,1.43%
2023-09-20,19797.23,19954.3,20264.21,19715.05,210.90M,-0.79%
2023-09-19,19954.3,19751.78,20049.38,19712.25,190.78M,1.03%
2023-09-18,19751.78,19668.82,19762.4,19586.73,190.18M,0.42%
2023-09-17,19668.82,19540.33,19772.59,19540.33,238.38M,0.66%
2023-09-14,19540.33,19361.7,19642.41,19361.7,143.07M,0.92%
2023-09-13,19361.7,19144.09,19408.92,19144.09,104.04M,1.14%
2023-09-12,19144.09,19278.72,19286.18,19112.04,128.77M,-0.70%
2023-09-11,19278.72,19577.85,19601.83,19238.48,199.13M,-1.53%
2023-09-10,19577.85,19375.68,19676.23,19375.64,198.24M,1.04%
2023-09-07,19375.68,19224.52,19471.4,19224.48,126.02M,0.79%
2023-09-06,19224.52,19044.39,19287.49,19044.39,186.24M,0.95%
2023-09-05,19044.39,18910.99,19146.68,18910.99,173.82M,0.71%
2023-09-04,18910.99,18726.01,18945.66,18726.01,147.93M,0.99%
2023-09-03,18726.01,18873.82,18955.4,18726.01,110.03M,-0.78%
2023-08-31,18873.82,18818.15,18884.84,18726.46,131.97M,0.30%
2023-08-30,18818.15,18629.34,18832.19,18629.34,150.63M,1.01%
2023-08-29,18629.34,18584.84,18709.86,18584.84,220.66M,0.24%
2023-08-28,18584.84,18516.59,18757.12,18516.59,272.19M,0.37%
2023-08-27,18516.59,18207.82,18516.59,18207.82,134.13M,1.70%
2023-08-24,18207.82,18133.42,18237.14,18133.42,193.82M,0.41%
2023-08-23,18133.42,18216.63,18322.06,18130.61,226.10M,-0.46%
2023-08-22,18216.63,17920.48,18256.74,17920.48,169.65M,1.65%
2023-08-21,17920.48,18033.22,18123.52,17899.69,187.22M,-0.63%
2023-08-20,18033.22,17969.27,18101.1,17969.27,157.45M,0.36%
2023-08-17,17969.27,18062.5,18130.45,17956.88,162.62M,-0.52%
2023-08-16,18062.5,17965.32,18166.7,17936.39,220.48M,0.54%
2023-08-15,17965.32,17897.5,17978.74,17885.44,188.31M,0.38%
2023-08-14,17897.5,17856.07,18066.71,17856.07,288.83M,0.23%
2023-08-13,17856.07,17710.2,17856.75,17710.2,209.00M,0.82%
2023-08-10,17710.2,17763.63,17813.07,17693.52,217.75M,-0.30%
2023-08-09,17763.63,17748.89,17910.1,17746.3,299.07M,0.08%
2023-08-08,17748.89,17839.48,17938.14,17748.89,395.74M,-0.51%
2023-08-07,17839.48,17697.49,17865.79,17697.49,359.64M,0.80%
2023-08-06,17697.49,17451.44,17708.06,17451.44,305.66M,1.41%
2023-08-03,17451.44,17455.6,17506.51,17380.54,294.84M,-0.02%
2023-08-02,17455.6,17514.11,17610.4,17427.89,480.96M,-0.33%
2023-08-01,17514.11,17595.92,17663.92,17499.06,336.68M,-0.46%
2023-07-31,17595.92,17554.56,17630.12,17522.99,121.84M,0.24%
2023-07-30,17554.56,17339.06,17617.24,17334.46,94.80M,1.24%
2023-07-27,17339.06,17396.24,17422.11,17304.99,75.72M,-0.33%
2023-07-26,17396.24,17479.94,17549.11,17396.24,69.04M,-0.48%
2023-07-25,17479.94,17550.23,17761.43,17441.68,108.10M,-0.40%
2023-07-24,17550.23,17578.67,17725.14,17528.75,71.91M,-0.16%
2023-07-19,17578.67,17608.32,17624.23,17530.52,97.97M,-0.17%
2023-07-18,17608.32,17512.01,17671.13,17512.01,139.85M,0.55%
2023-07-17,17512.01,17343.13,17667.81,17324.44,123.57M,0.97%
2023-07-16,17343.13,17342.29,17437.24,17342.29,100.26M,0.00%
2023-07-13,17342.29,17144.22,17448.94,17144.22,137.22M,1.16%
2023-07-12,17144.22,17155.23,17205.71,17063.1,134.50M,-0.06%
2023-07-11,17155.23,16963.13,17223.84,16903.96,140.62M,1.13%
2023-07-10,16963.13,16555.12,16970.35,16555.12,135.18M,2.46%
2023-07-09,16555.12,17102.3,17104.24,16555.12,170.77M,-3.20%
2023-07-06,17102.3,17380.33,17430.07,17078.65,116.18M,-1.60%
2023-07-05,17380.33,17466.18,17564.24,17380.33,104.72M,-0.49%
2023-07-04,17466.18,17665.29,17729.98,17376.5,93.58M,-1.13%
2023-06-26,17665.29,17287.64,17665.29,17287.64,118.38M,2.18%
2023-06-25,17287.64,17712.93,17743.13,17287.64,153.03M,-2.40%
2023-06-22,17712.93,17706.08,17720.4,17579.97,151.62M,0.04%
2023-06-21,17706.08,17921.92,17933.51,17685.24,124.58M,-1.20%
2023-06-20,17921.92,17988.95,18071.47,17860.93,138.64M,-0.37%
2023-06-19,17988.95,18026.17,18217.67,17872.61,201.13M,-0.21%
2023-06-18,18026.17,17881.52,18096.2,17881.52,134.60M,0.81%
2023-06-15,17881.52,17873.28,17892.29,17739.67,183.66M,0.05%
2023-06-14,17873.28,17866.81,18056.54,17848.62,245.98M,0.04%
2023-06-13,17866.81,17704.58,17949.17,17704.58,294.67M,0.92%
2023-06-12,17704.58,17739.63,17856.21,17655.28,107.10M,-0.20%
2023-06-11,17739.63,17521.36,17825.96,17521.36,287.25M,1.25%
2023-06-08,17521.36,17347.57,17521.36,17304.72,180.68M,1.00%
2023-06-07,17347.57,17491.18,17602.02,17315.75,331.49M,-0.82%
2023-06-06,17491.18,17345.9,17637.95,17345.9,352.84M,0.84%
2023-06-05,17345.9,17455.48,17570.55,17341.28,311.90M,-0.63%
2023-06-04,17455.48,17533.31,17706.61,17452.89,398.42M,-0.44%
2023-06-01,17533.31,17495.77,17629.17,17495.77,261.47M,0.21%
2023-05-31,17495.77,17534.59,17747.07,17495.77,269.80M,-0.22%
2023-05-30,17534.59,17211.84,17544.85,17211.84,250.90M,1.88%
2023-05-29,17211.84,17131.45,17217.13,17065.03,165.58M,0.47%
2023-05-28,17131.45,17043.62,17161.31,17043.62,147.49M,0.52%
2023-05-25,17043.62,17090.56,17240.66,17043.62,152.08M,-0.27%
2023-05-24,17090.56,16787.71,17090.56,16787.71,174.92M,1.80%
2023-05-23,16787.71,16764.41,16790.33,16636.86,155.96M,0.14%
2023-05-22,16764.41,16860.88,17034.88,16748.81,122.16M,-0.57%
2023-05-21,16860.88,16745.54,16937.01,16745.32,131.40M,0.69%
2023-05-18,16745.54,16844.01,16875.3,16562.59,141.10M,-0.58%
2023-05-17,16844.01,17033.99,17105.57,16807.1,152.59M,-1.12%
2023-05-16,17033.99,17135.55,17139.51,16903.18,190.11M,-0.59%
2023-05-15,17135.55,17369.13,17523.49,17135.55,186.52M,-1.34%
2023-05-14,17369.13,17270.69,17373.28,17151.67,181.62M,0.57%
2023-05-11,17270.69,17494.73,17556.44,17204.93,170.67M,-1.28%
2023-05-10,17494.73,17326.27,17494.73,17204.43,215.06M,0.97%
2023-05-09,17326.27,17642.97,17832.74,17276.11,252.19M,-1.80%
2023-05-08,17642.97,17235.31,17642.97,17235.31,183.73M,2.37%
2023-05-07,17235.31,17295.27,17296.63,17109.6,108.86M,-0.35%
2023-05-03,17295.27,17300.56,17420.52,17205.08,140.98M,-0.03%
2023-05-02,17300.56,17310.83,17367.17,17207.96,132.50M,-0.06%
2023-05-01,17310.83,17667.74,17691.82,17294.33,177.16M,-2.02%
2023-04-30,17667.74,17796.91,18142.59,17613.85,268.10M,-0.73%
2023-04-27,17796.91,17452.22,17851.15,17452.22,249.08M,1.98%
2023-04-26,17452.22,17516.04,17557.18,17361.47,147.57M,-0.36%
2023-04-19,17516.04,17538.97,17644.11,17427.59,177.57M,-0.13%
2023-04-18,17538.97,17671.27,17671.27,17175.23,138.29M,-0.75%
2023-04-13,17671.27,16741.45,17671.27,16741.45,126.24M,5.55%
2023-04-12,16741.45,17011.68,17011.68,16696.78,136.76M,-1.59%
2023-04-11,17011.68,16774.64,17011.68,16774.64,125.32M,1.41%
2023-04-10,16774.64,16674.87,16838.78,16674.87,170.78M,0.60%
2023-04-09,16674.87,16709.28,16756.95,16610.53,136.48M,-0.21%
2023-04-06,16709.28,17019.25,17036.33,16709.28,115.69M,-1.82%
2023-04-05,17019.25,16998.35,17076.83,16963.89,143.20M,0.12%
2023-04-04,16998.35,17056.89,17111.67,16928.03,214.26M,-0.34%
2023-04-03,17056.89,16694.46,17107.33,16694.46,228.28M,2.17%
2023-04-02,16694.46,16418.53,16694.46,16416.13,90.50M,1.68%
2023-03-30,16418.53,16411.37,16644.74,16284.65,144.34M,0.04%
2023-03-29,16411.37,15906.42,16411.37,15906.42,154.68M,3.17%
2023-03-28,15906.42,15950.09,15998.32,15696.62,117.32M,-0.27%
2023-03-27,15950.09,15989.18,16100.64,15902.33,157.23M,-0.24%
2023-03-26,15989.18,15625.08,16013.47,15625.08,141.19M,2.33%
2023-03-23,15625.08,15253.22,15625.08,15200.37,81.93M,2.44%
2023-03-22,15253.22,15325.66,15488.01,15153.58,95.82M,-0.47%
2023-03-21,15325.66,14923.81,15403.92,14923.81,113.66M,2.69%
2023-03-20,14923.81,14681.12,15165.46,14662.13,127.14M,1.65%
2023-03-19,14681.12,14704.18,14780.86,14425.82,70.29M,-0.16%
2023-03-16,14704.18,14724.44,15052.08,14611.93,180.99M,-0.14%
2023-03-15,14724.44,15362.25,15703.89,14724.44,141.35M,-4.15%
2023-03-14,15362.25,15438.5,15506.19,15281.67,101.43M,-0.49%
2023-03-13,15438.5,15936.89,16089.26,15275.09,157.60M,-3.13%
2023-03-12,15936.89,16454.31,16468.36,15936.89,108.62M,-3.14%
2023-03-09,16454.31,16315.62,16555.99,16283.78,88.38M,0.85%
2023-03-08,16315.62,16432.56,16532.41,16226.61,103.54M,-0.71%
2023-03-07,16432.56,16803.89,16872.05,16400.79,99.50M,-2.21%
2023-03-06,16803.89,16827.65,17057.02,16803.89,99.85M,-0.14%
2023-03-05,16827.65,16846.79,16929.88,16713.66,83.04M,-0.11%
2023-03-02,16846.79,17123.01,17183.44,16846.79,117.14M,-1.61%
2023-03-01,17123.01,17002.08,17128.75,16976.78,166.10M,0.71%
2023-02-28,17002.08,17098.16,17162.15,16936.69,171.60M,-0.56%
2023-02-27,17098.16,17213.01,17359.92,17098.16,162.68M,-0.67%
2023-02-26,17213.01,17003.9,17295.46,16992.99,93.69M,1.23%
2023-02-23,17003.9,16777.2,17003.9,16733.06,106.95M,1.35%
2023-02-22,16777.2,17039.45,17103.05,16672.92,122.02M,-1.54%
2023-02-21,17039.45,16814.0,17046.37,16714.32,117.01M,1.34%
2023-02-20,16814.0,17326.61,17404.04,16798.65,133.24M,-2.96%
2023-02-19,17326.61,17488.87,17621.0,17326.61,143.77M,-0.93%
2023-02-16,17488.87,17522.56,17724.83,17488.87,201.21M,-0.19%
2023-02-15,17522.56,17430.98,17657.23,17418.8,224.30M,0.53%
2023-02-14,17430.98,17214.56,17438.58,17214.56,251.52M,1.26%
2023-02-13,17214.56,17287.09,17450.5,17113.22,127.84M,-0.42%
2023-02-12,17287.09,17613.78,17613.78,17198.46,150.29M,-1.85%
2023-02-09,17613.78,16948.08,17613.78,16948.08,180.36M,3.93%
2023-02-08,16948.08,16900.43,17081.29,16669.04,155.68M,0.28%
2023-02-07,16900.43,16587.06,16960.3,16587.06,184.01M,1.89%
2023-02-06,16587.06,16265.92,16587.06,16265.92,140.88M,1.97%
2023-02-05,16265.92,16255.73,16266.98,15748.55,169.11M,0.06%
2023-02-02,16255.73,16407.79,16615.32,16198.9,169.11M,-0.93%
2023-02-01,16407.79,16446.38,16610.08,16282.46,146.90M,-0.23%
2023-01-31,16446.38,17026.64,17033.99,16427.18,173.32M,-3.41%
2023-01-30,17026.64,17411.46,17764.02,17026.64,260.05M,-2.21%
2023-01-29,17411.46,16791.11,17411.46,16791.11,196.04M,3.69%
2023-01-25,16791.11,16440.53,16840.13,16440.53,193.67M,2.13%
2023-01-24,16440.53,16183.49,16440.53,16183.49,195.01M,1.59%
2023-01-23,16183.49,16118.85,16241.01,16118.85,262.16M,0.40%
2023-01-22,16118.85,16065.98,16220.38,16065.98,247.65M,0.33%
2023-01-19,16065.98,15987.15,16118.92,15987.15,252.82M,0.49%
2023-01-18,15987.15,15981.88,16087.04,15919.66,229.16M,0.03%
2023-01-17,15981.88,15837.91,16063.02,15837.91,267.10M,0.91%
2023-01-16,15837.91,15561.25,15914.29,15561.25,230.77M,1.78%
2023-01-15,15561.25,15551.47,15663.72,15498.9,152.68M,0.06%
2023-01-12,15551.47,15528.1,15799.26,15433.92,216.00M,0.15%
2023-01-11,15528.1,15462.57,16139.08,15301.89,373.79M,0.42%
2023-01-10,15462.57,16096.87,16115.2,15462.57,241.09M,-3.94%
2023-01-09,16096.87,16002.18,16274.94,16002.18,301.34M,0.59%
2023-01-05,16002.18,15557.46,16028.76,15557.46,295.03M,2.86%
2023-01-04,15557.46,15068.13,15600.09,14598.72,318.47M,3.25%
2023-01-03,15068.13,14960.66,15175.32,14960.66,248.92M,0.72%
2023-01-02,14960.66,14598.53,14961.16,14598.15,164.72M,2.48%
2022-12-29,14598.53,14578.21,14690.86,14559.13,160.35M,0.14%
2022-12-28,14578.21,14485.18,14615.64,14485.18,122.31M,0.64%
2022-12-27,14485.18,14560.41,14633.14,14485.18,149.99M,-0.52%
2022-12-26,14560.41,14385.3,14586.73,14385.3,139.24M,1.22%
2022-12-25,14385.3,14482.93,14482.93,14202.72,184.83M,-0.67%
2022-12-22,14482.93,14541.98,14756.69,14358.18,198.47M,-0.41%
2022-12-21,14541.98,14523.26,14591.36,14301.75,198.66M,0.13%
2022-12-20,14523.26,14738.6,14847.62,14523.26,240.45M,-1.46%
2022-12-19,14738.6,14843.05,14917.85,14576.96,239.95M,-0.70%
2022-12-18,14843.05,15141.55,15180.4,14843.05,194.67M,-1.97%
2022-12-15,15141.55,15378.28,15595.66,15141.55,296.16M,-1.54%
2022-12-14,15378.28,15150.31,15378.28,15111.87,337.81M,1.50%
2022-12-13,15150.31,14723.71,15186.36,14723.71,386.22M,2.90%
2022-12-12,14723.71,14587.7,14752.2,14274.95,238.96M,0.93%
2022-12-11,14587.7,14838.31,15060.84,14587.7,225.91M,-1.69%
2022-12-08,14838.31,14787.05,14901.56,14574.99,250.40M,0.35%
2022-12-07,14787.05,14498.29,14914.09,14498.29,359.68M,1.99%
2022-12-06,14498.29,14327.77,14566.76,14327.77,248.90M,1.19%
2022-12-05,14327.77,14078.53,14375.4,14078.53,232.09M,1.77%
2022-12-04,14078.53,13639.73,14078.53,13639.73,237.50M,3.22%
2022-12-01,13639.73,13259.26,13639.73,13258.92,197.44M,2.87%
2022-11-30,13259.26,13184.26,13314.45,13180.52,187.73M,0.57%
2022-11-29,13184.26,12917.22,13184.26,12917.22,144.11M,2.07%
2022-11-28,12917.22,13009.48,13049.72,12881.26,162.89M,-0.71%
2022-11-27,13009.48,12779.44,13009.48,12779.44,190.46M,1.80%
2022-11-24,12779.44,12600.09,12779.44,12600.09,126.09M,1.42%
2022-11-23,12600.09,12622.34,12793.86,12600.09,160.66M,-0.18%
2022-11-22,12622.34,12449.9,12642.38,12446.09,138.51M,1.39%
2022-11-21,12449.9,12523.84,12531.03,12413.3,114.29M,-0.59%
2022-11-20,12523.84,12515.71,12650.85,12515.71,84.99M,0.06%
2022-11-17,12515.71,12341.2,12515.71,12341.2,163.35M,1.41%
2022-11-16,12341.2,12137.0,12341.2,12100.48,185.38M,1.68%
2022-11-15,12137.0,12136.37,12147.84,12041.57,106.64M,0.01%
2022-11-14,12136.37,11980.62,12140.83,11973.06,200.64M,1.30%
2022-11-13,11980.62,11756.56,11980.62,11754.9,131.63M,1.91%
2022-11-10,11756.56,11781.58,11816.82,11575.97,102.40M,-0.21%
2022-11-09,11781.58,11268.04,11781.58,11232.48,97.41M,4.56%
2022-11-08,11268.04,11443.71,11531.06,11250.03,91.23M,-1.54%
2022-11-07,11443.71,11179.2,11443.71,11179.2,68.51M,2.37%
2022-11-06,11179.2,11262.4,11284.94,11178.67,50.92M,-0.74%
2022-11-03,11262.4,11242.07,11262.4,11173.2,60.75M,0.18%
2022-11-02,11242.07,11432.79,11437.23,11239.5,101.49M,-1.67%
2022-11-01,11432.79,11372.79,11440.39,11368.02,157.41M,0.53%
2022-10-31,11372.79,11100.67,11372.79,11076.58,127.98M,2.45%
2022-10-30,11100.67,11072.02,11245.6,11072.02,137.97M,0.26%
2022-10-27,11072.02,10553.2,11072.02,10553.2,235.18M,4.92%
2022-10-26,10553.2,10475.02,10580.49,10475.02,105.53M,0.75%
2022-10-25,10475.02,10320.88,10475.02,10294.24,73.43M,1.49%
2022-10-24,10320.88,10258.24,10368.53,10258.24,70.86M,0.61%
2022-10-23,10258.24,10273.53,10323.37,10257.53,61.30M,-0.15%
2022-10-20,10273.53,10156.34,10277.11,10156.34,63.19M,1.15%
2022-10-19,10156.34,10163.56,10174.99,10116.51,54.66M,-0.07%
2022-10-18,10163.56,10148.4,10173.18,10079.59,77.27M,0.15%
2022-10-17,10148.4,10048.88,10153.65,10039.81,103.05M,0.99%
2022-10-16,10048.88,9853.74,10048.88,9853.6,71.01M,1.98%
2022-10-13,9853.74,9800.64,9853.74,9769.0,81.59M,0.54%
2022-10-12,9800.64,9867.23,9876.21,9746.95,76.92M,-0.67%
2022-10-11,9867.23,9948.53,9962.95,9866.62,72.05M,-0.82%
2022-10-10,9948.53,9940.86,10004.9,9940.86,91.18M,0.08%
2022-10-09,9940.86,10010.78,10010.78,9934.61,73.76M,-0.70%
2022-10-05,10010.78,9923.81,10010.78,9923.81,89.97M,0.88%
2022-10-04,9923.81,9685.85,9923.81,9685.85,89.71M,2.46%
2022-10-03,9685.85,9687.36,9717.6,9653.33,68.59M,-0.02%
2022-10-02,9687.36,9827.46,9829.64,9687.36,66.58M,-1.43%
2022-09-29,9827.46,9702.19,9827.46,9702.19,99.94M,1.29%
2022-09-28,9702.19,9817.37,9828.62,9696.15,77.42M,-1.17%
2022-09-27,9817.37,9827.8,9873.7,9812.5,85.83M,-0.11%
2022-09-26,9827.8,9895.04,9906.36,9827.8,63.58M,-0.68%
2022-09-25,9895.04,9933.05,9933.05,9777.76,52.18M,-0.38%
2022-09-22,9933.05,9955.85,9971.83,9875.76,77.32M,-0.23%
2022-09-21,9955.85,10010.53,10045.01,9955.85,97.29M,-0.55%
2022-09-20,10010.53,9854.21,10010.53,9830.26,83.87M,1.59%
2022-09-19,9854.21,9763.19,9865.9,9627.85,66.17M,0.93%
2022-09-18,9763.19,10079.02,10093.41,9706.67,104.61M,-3.13%
2022-09-15,10079.02,10193.79,10213.43,10039.41,127.71M,-1.13%
2022-09-14,10193.79,10397.12,10397.12,10164.46,105.58M,-1.96%
2022-09-13,10397.12,10434.1,10456.38,10387.56,104.68M,-0.35%
2022-09-12,10434.1,10356.31,10464.53,10356.31,125.56M,0.75%
2022-09-11,10356.31,10265.35,10363.27,10265.35,80.02M,0.89%
2022-09-08,10265.35,10232.29,10320.73,10231.45,105.09M,0.32%
2022-09-07,10232.29,10329.66,10362.45,10226.81,181.42M,-0.94%
2022-09-06,10329.66,10177.64,10329.66,10177.64,200.96M,1.49%
2022-09-05,10177.64,9996.74,10177.64,9996.72,173.70M,1.81%
2022-09-04,9996.74,9936.87,10010.25,9905.05,69.76M,0.60%
2022-09-01,9936.87,9998.61,10064.53,9920.52,95.22M,-0.62%
2022-08-31,9998.61,10132.15,10163.2,9998.61,138.39M,-1.32%
2022-08-30,10132.15,10122.32,10157.37,10063.26,165.88M,0.10%
2022-08-29,10122.32,10178.15,10234.99,10122.32,192.98M,-0.55%
2022-08-28,10178.15,10287.27,10301.19,10178.15,133.45M,-1.06%
2022-08-25,10287.27,10105.24,10291.79,10105.24,180.53M,1.80%
2022-08-24,10105.24,10137.89,10219.61,10087.66,126.73M,-0.32%
2022-08-23,10137.89,10246.24,10295.75,10137.89,185.81M,-1.06%
2022-08-22,10246.24,10339.58,10372.64,10226.88,197.42M,-0.90%
2022-08-21,10339.58,10094.16,10339.58,10094.16,183.47M,2.43%
2022-08-18,10094.16,10058.12,10153.07,10058.12,142.23M,0.36%
2022-08-17,10058.12,9843.17,10063.58,9833.9,181.92M,2.18%
2022-08-16,9843.17,9914.71,9926.58,9820.3,110.75M,-0.72%
2022-08-15,9914.71,9984.44,10010.23,9871.52,115.33M,-0.70%
2022-08-14,9984.44,9988.84,10065.41,9984.44,116.59M,-0.04%
2022-08-11,9988.84,9965.46,10000.3,9955.78,84.74M,0.23%
2022-08-10,9965.46,9968.88,10061.2,9940.43,77.82M,-0.03%
2022-08-09,9968.88,10047.71,10153.15,9968.88,119.41M,-0.78%
2022-08-08,10047.71,10123.81,10135.34,10043.16,168.38M,-0.75%
2022-08-07,10123.81,10043.23,10175.48,10043.23,185.72M,0.80%
2022-08-04,10043.23,9539.43,10043.55,9539.43,252.13M,5.28%
2022-08-03,9539.43,9442.02,9539.43,9442.02,83.08M,1.03%
2022-08-02,9442.02,9423.1,9457.85,9392.23,103.19M,0.20%
2022-08-01,9423.1,9467.08,9581.82,9395.47,101.16M,-0.46%
2022-07-31,9467.08,9369.32,9504.77,9369.32,85.23M,1.04%
2022-07-28,9369.32,9287.92,9369.32,9282.7,77.91M,0.88%
2022-07-27,9287.92,9350.42,9411.08,9286.78,93.54M,-0.67%
2022-07-26,9350.42,9237.7,9441.07,9237.03,129.31M,1.22%
2022-07-25,9237.7,9276.28,9308.54,9237.7,89.60M,-0.42%
2022-07-24,9276.28,9289.81,9298.72,9256.23,91.30M,-0.15%
2022-07-21,9289.81,9112.72,9289.81,9112.72,176.40M,1.94%
2022-07-20,9112.72,9033.53,9159.79,9033.53,153.09M,0.88%
2022-07-19,9033.53,8867.94,9055.5,8864.78,153.98M,1.87%
2022-07-18,8867.94,8772.93,8922.35,8772.93,119.57M,1.08%
2022-07-17,8772.93,8764.25,8824.35,8739.75,50.11M,0.10%
2022-07-07,8764.25,8670.12,8815.64,8667.88,96.75M,1.09%
