Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,15.07,15.5,15.8,14.5,166.27K,-2.90%
2023-12-10,15.52,15.9,16.1,15.4,124.14K,0.26%
2023-12-07,15.48,15.95,15.95,15.0,311.92K,-3.07%
2023-12-06,15.97,16.25,16.26,15.8,119.60K,-1.78%
2023-12-05,16.26,16.4,16.79,15.85,484.30K,-1.03%
2023-12-04,16.43,15.7,16.58,15.7,760.32K,4.65%
2023-12-03,15.7,15.7,16.08,15.5,1.24M,0.51%
2023-11-30,15.62,15.49,15.86,15.3,277.69K,1.63%
2023-11-29,15.37,15.88,16.0,15.26,496.02K,-3.21%
2023-11-28,15.88,16.5,16.5,15.78,1.15M,-3.17%
2023-11-27,16.4,16.0,16.67,15.73,1.11M,2.82%
2023-11-26,15.95,16.24,16.54,15.79,1.23M,-1.79%
2023-11-23,16.24,15.1,16.37,15.1,2.40M,7.55%
2023-11-22,15.1,14.9,15.14,14.6,1.50M,3.78%
2023-11-21,14.55,14.52,15.0,14.44,1.35M,1.32%
2023-11-20,14.36,14.15,14.67,14.0,622.06K,2.79%
2023-11-19,13.97,14.1,14.24,13.91,431.88K,-0.29%
2023-11-16,14.01,14.0,14.18,13.92,193.93K,0.79%
2023-11-15,13.9,14.09,14.09,13.81,261.07K,-0.29%
2023-11-14,13.94,14.0,14.19,13.8,296.48K,-0.50%
2023-11-13,14.01,14.0,14.2,13.86,174.01K,0.50%
2023-11-12,13.94,14.2,14.39,13.75,197.87K,-0.85%
2023-11-09,14.06,14.2,14.48,14.0,472.50K,0.43%
2023-11-08,14.0,14.35,14.5,14.0,374.73K,-0.57%
2023-11-07,14.08,14.5,15.1,14.02,902.09K,-2.49%
2023-11-06,14.44,14.59,14.89,14.01,548.26K,-0.48%
2023-11-05,14.51,14.49,15.3,14.35,1.04M,1.26%
2023-11-02,14.33,13.8,14.8,13.63,1.50M,5.60%
2023-11-01,13.57,13.75,13.89,13.5,82.18K,-1.02%
2023-10-31,13.71,14.2,14.2,13.7,163.21K,-2.35%
2023-10-30,14.04,14.0,14.26,13.89,287.35K,0.29%
2023-10-29,14.0,14.17,14.5,13.95,253.14K,0.00%
2023-10-26,14.0,14.15,14.5,13.94,888.52K,0.57%
2023-10-25,13.92,13.94,14.11,13.52,1.43M,3.03%
2023-10-24,13.51,13.7,14.47,13.5,480.82K,-0.88%
2023-10-23,13.63,13.45,13.74,13.4,120.71K,1.34%
2023-10-22,13.45,13.65,13.65,13.32,252.51K,-0.96%
2023-10-19,13.58,13.6,13.71,13.46,859.31K,0.37%
2023-10-18,13.53,13.6,13.76,13.3,727.05K,0.22%
2023-10-17,13.5,13.2,13.74,13.08,986.06K,3.85%
2023-10-16,13.0,12.38,13.98,12.36,1.13M,5.26%
2023-10-15,12.35,12.6,12.76,12.3,139.77K,-0.88%
2023-10-12,12.46,12.6,12.73,12.43,177.12K,-0.40%
2023-10-11,12.51,12.62,12.79,12.5,134.85K,0.08%
2023-10-10,12.5,12.6,12.8,12.4,506.93K,0.08%
