Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,2.04,2.11,2.14,2.03,1.57M,-3.32%
2023-12-10,2.11,2.07,2.24,2.07,6.91M,2.93%
2023-12-07,2.05,2.0,2.06,1.95,1.97M,1.99%
2023-12-06,2.01,2.05,2.07,2.0,1.27M,-0.50%
2023-12-05,2.02,2.01,2.04,2.0,1.12M,1.00%
2023-12-04,2.0,2.0,2.02,1.99,1.51M,0.50%
2023-12-03,1.99,2.02,2.02,1.98,1.29M,-0.75%
2023-11-30,2.005,2.048,2.048,2.0,742.85K,-0.59%
2023-11-29,2.017,2.03,2.08,2.003,2.87M,-0.25%
2023-11-28,2.022,2.08,2.09,1.961,1.43M,-1.89%
2023-11-27,2.061,2.04,2.09,2.04,1.92M,1.48%
2023-11-26,2.031,2.018,2.059,2.002,2.82M,2.37%
2023-11-23,1.984,1.995,2.04,1.98,2.05M,-0.20%
2023-11-22,1.988,1.98,1.99,1.943,819.13K,2.00%
2023-11-21,1.949,1.97,1.97,1.92,1.05M,-1.32%
2023-11-20,1.975,2.0,2.02,1.97,660.88K,-1.35%
2023-11-19,2.002,2.01,2.02,1.99,601.77K,0.60%
2023-11-16,1.99,2.0,2.01,1.97,407.25K,1.02%
2023-11-15,1.97,2.05,2.06,1.96,1.01M,-3.90%
2023-11-14,2.05,1.99,2.09,1.99,705.48K,3.02%
2023-11-13,1.99,2.0,2.01,1.97,452.64K,1.02%
2023-11-12,1.97,2.02,2.03,1.97,1.19M,-1.50%
2023-11-09,2.0,2.04,2.06,1.99,1.02M,-1.96%
2023-11-08,2.04,2.09,2.14,2.02,1.55M,-2.39%
2023-11-07,2.09,2.12,2.2,2.06,1.53M,-0.48%
2023-11-06,2.1,2.07,2.18,2.07,2.58M,2.94%
2023-11-05,2.04,2.06,2.12,2.0,2.83M,-1.45%
2023-11-02,2.07,2.13,2.13,2.0,1.41M,-0.96%
2023-11-01,2.09,2.22,2.22,2.05,2.44M,-5.00%
2023-10-31,2.2,2.25,2.28,2.16,2.74M,-0.45%
2023-10-30,2.21,2.3,2.3,2.19,2.60M,-1.34%
2023-10-29,2.24,2.41,2.41,2.21,2.68M,-6.67%
2023-10-26,2.4,2.22,2.4,2.16,4.13M,7.24%
2023-10-25,2.238,2.012,2.238,2.012,5.63M,11.34%
2023-10-24,2.01,2.085,2.085,1.98,1.09M,0.25%
2023-10-23,2.005,1.95,2.099,1.923,3.20M,2.35%
2023-10-22,1.959,1.94,1.98,1.931,837.66K,0.56%
2023-10-19,1.948,1.96,1.969,1.93,1.02M,-0.61%
