Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.063,1.039,1.075,1.019,7.58M,4.01%
2023-12-10,1.022,1.004,1.05,1.0,5.54M,1.89%
2023-12-07,1.003,1.0,1.015,0.996,2.07M,0.30%
2023-12-06,1.0,0.995,1.023,0.989,4.32M,1.11%
2023-12-05,0.989,0.991,0.996,0.981,2.46M,0.41%
2023-12-04,0.985,0.967,0.99,0.967,4.20M,1.97%
2023-12-03,0.966,0.97,0.977,0.963,2.09M,0.00%
2023-11-30,0.966,0.958,0.97,0.95,2.57M,1.36%
2023-11-29,0.953,0.955,0.958,0.947,3.60M,0.11%
2023-11-28,0.952,0.95,0.96,0.945,4.28M,0.85%
2023-11-27,0.944,0.944,0.964,0.935,4.38M,1.72%
2023-11-26,0.928,0.91,0.947,0.91,5.15M,2.43%
2023-11-23,0.906,0.89,0.907,0.89,3.46M,2.49%
2023-11-22,0.884,0.88,0.898,0.88,2.27M,1.14%
2023-11-21,0.874,0.873,0.882,0.872,3.53M,0.11%
2023-11-20,0.873,0.881,0.888,0.871,2.84M,0.11%
2023-11-19,0.872,0.868,0.91,0.866,5.94M,0.69%
2023-11-16,0.866,0.865,0.87,0.865,1.97M,0.12%
2023-11-15,0.865,0.862,0.873,0.862,3.05M,0.23%
2023-11-14,0.863,0.87,0.872,0.858,4.56M,0.47%
2023-11-13,0.859,0.87,0.879,0.841,3.83M,-0.35%
2023-11-12,0.862,0.794,0.909,0.794,6.61M,8.43%
2023-11-09,0.795,0.801,0.803,0.788,4.85M,-0.13%
2023-11-08,0.796,0.8,0.807,0.78,5.74M,1.27%
2023-11-07,0.786,0.727,0.81,0.726,10.61M,8.26%
2023-11-06,0.726,0.709,0.727,0.694,6.79M,4.91%
2023-11-05,0.692,0.642,0.699,0.642,7.58M,8.12%
2023-11-02,0.64,0.64,0.648,0.633,3.45M,1.11%
2023-11-01,0.633,0.613,0.64,0.61,6.80M,3.77%
2023-10-31,0.61,0.61,0.613,0.601,2.03M,0.99%
2023-10-30,0.604,0.611,0.614,0.6,2.13M,0.67%
2023-10-29,0.6,0.605,0.605,0.59,2.64M,1.52%
2023-10-26,0.591,0.608,0.618,0.59,2.32M,-0.34%
2023-10-25,0.593,0.601,0.625,0.58,8.72M,-0.34%
2023-10-24,0.595,0.58,0.649,0.58,19.20M,4.02%
2023-10-23,0.572,0.506,0.597,0.506,11.96M,14.86%
2023-10-22,0.498,0.5,0.501,0.484,2.18M,1.43%
2023-10-19,0.491,0.49,0.5,0.489,1.50M,-1.60%
2023-10-18,0.499,0.484,0.505,0.481,2.23M,3.74%
2023-10-17,0.481,0.485,0.487,0.481,1.28M,0.00%
2023-10-16,0.481,0.486,0.487,0.481,2.08M,-0.21%
2023-10-15,0.482,0.481,0.486,0.481,1.04M,0.00%
2023-10-12,0.482,0.481,0.483,0.481,342.69K,0.00%
2023-10-11,0.482,0.484,0.484,0.481,623.80K,0.00%
2023-10-10,0.482,0.482,0.485,0.481,1.58M,0.00%
2023-10-09,0.482,0.485,0.49,0.481,1.16M,0.21%
2023-10-08,0.481,0.496,0.496,0.481,3.40M,-0.82%
2023-10-04,0.485,0.481,0.509,0.481,4.69M,0.83%
2023-10-03,0.481,0.484,0.484,0.481,654.20K,0.00%
2023-10-02,0.481,0.484,0.484,0.481,2.08M,0.00%
2023-10-01,0.481,0.483,0.484,0.47,949.04K,0.00%
2023-09-27,0.481,0.482,0.484,0.481,568.73K,0.00%
2023-09-26,0.481,0.481,0.484,0.481,1.77M,0.00%
2023-09-25,0.481,0.484,0.485,0.481,1.63M,-0.21%
2023-09-24,0.482,0.483,0.484,0.481,2.28M,0.00%
2023-09-21,0.482,0.483,0.485,0.481,909.11K,0.21%
2023-09-20,0.481,0.483,0.485,0.48,4.35M,0.21%
2023-09-19,0.48,0.484,0.484,0.479,5.02M,-0.62%
2023-09-18,0.483,0.48,0.485,0.48,819.63K,0.21%
2023-09-17,0.482,0.483,0.486,0.481,1.88M,0.00%
2023-09-14,0.482,0.486,0.488,0.482,1.65M,0.00%
2023-09-13,0.482,0.48,0.488,0.48,1.77M,0.00%
2023-09-12,0.482,0.486,0.494,0.481,2.97M,-0.21%
2023-09-11,0.483,0.475,0.51,0.47,5.64M,2.11%
2023-09-10,0.473,0.478,0.48,0.47,790.50K,-0.21%
2023-09-07,0.474,0.479,0.479,0.471,736.67K,0.64%
2023-09-06,0.471,0.48,0.48,0.47,2.75M,-0.42%
2023-09-05,0.473,0.482,0.485,0.472,4.10M,-1.46%
2023-09-04,0.48,0.465,0.524,0.465,10.40M,5.73%
2023-09-03,0.454,0.452,0.46,0.452,399.18K,0.00%
