Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,10.26,9.5,10.0,9.5,0.04K,0.00%
2023-12-10,10.26,11.67,11.67,9.5,0.91K,0.00%
2023-12-07,10.26,10.26,11.69,10.26,0.06K,0.00%
2023-12-06,10.26,11.75,11.75,10.0,0.33K,0.00%
2023-12-05,10.26,11.75,11.75,10.02,0.19K,0.00%
2023-12-04,10.26,10.25,10.25,9.26,0.32K,0.00%
2023-11-30,10.26,11.5,12.0,11.5,2.19K,0.00%
2023-11-23,10.26,10.51,10.51,10.51,0.05K,0.00%
2023-11-22,10.26,10.51,10.51,10.51,0.12K,0.00%
2023-11-20,10.26,10.5,10.5,10.5,0.26K,0.00%
2023-11-19,10.26,10.03,10.03,10.03,0.06K,0.00%
2023-11-14,10.26,8.23,8.23,8.23,0.01K,0.00%
2023-11-13,10.26,9.5,9.5,9.5,0.10K,0.00%
2023-11-12,10.26,12.0,12.0,10.0,1.06K,0.00%
2023-11-08,10.26,8.21,8.21,8.21,0.01K,0.00%
2023-11-07,10.26,10.0,10.4,10.0,0.25K,0.00%
2023-10-30,10.26,10.0,10.0,10.0,0.20K,0.00%
2023-10-25,10.26,10.0,10.01,10.0,3.00K,0.00%
2023-10-23,10.26,10.5,10.5,8.4,0.19K,0.00%
2023-10-19,10.26,10.01,10.01,10.01,0.00K,0.00%
2023-10-17,10.26,10.0,10.01,10.0,10.43K,0.00%
2023-10-12,10.26,9.3,9.3,9.3,0.05K,0.00%
2023-10-10,10.26,8.4,8.4,8.4,0.04K,0.00%
2023-10-09,10.26,10.0,10.0,10.0,2.93K,0.00%
2023-10-08,10.26,10.0,10.0,10.0,1.00K,0.00%
2023-10-03,10.26,9.31,9.31,9.31,0.01K,0.00%
2023-09-25,10.26,11.0,11.94,10.01,2.05K,0.00%
2023-09-24,10.26,10.0,10.0,9.27,2.50K,0.00%
2023-09-20,10.26,10.0,10.0,10.0,0.05K,0.00%
2023-09-19,10.26,10.0,10.0,10.0,2.00K,0.00%
2023-09-18,10.26,9.98,11.5,9.98,2.25K,0.00%
2023-09-17,10.26,10.26,10.26,8.4,2.27K,0.00%
2023-09-12,10.26,10.9,11.5,10.9,1.66K,0.00%
2023-09-11,10.26,10.0,10.9,8.44,2.56K,0.00%
2023-09-07,10.26,10.9,11.5,9.5,1.40K,0.00%
2023-09-06,10.26,9.05,9.22,9.05,1.00K,0.00%
2023-09-05,10.26,8.25,10.9,8.25,4.05K,0.00%
2023-09-04,10.26,10.0,10.0,10.0,2.00K,0.00%
2023-09-03,10.26,9.5,10.0,9.25,10.05K,0.00%
2023-08-31,10.26,10.01,10.01,9.5,3.10K,0.00%
2023-08-30,10.26,10.0,10.0,10.0,2.10K,0.00%
2023-08-28,10.26,10.0,10.0,10.0,2.00K,0.00%
2023-08-24,10.26,10.1,10.1,10.1,0.01K,0.00%
2023-08-21,10.26,8.55,8.55,8.55,0.00K,0.00%
2023-08-15,10.26,10.0,10.0,10.0,1.81K,0.00%
2023-08-14,10.26,8.25,8.25,8.25,0.03K,0.00%
2023-08-10,10.26,10.0,10.0,10.0,1.00K,0.00%
2023-08-09,10.26,9.5,10.1,9.5,0.04K,0.00%
2023-08-08,10.26,9.5,9.5,9.5,0.10K,0.00%
2023-08-07,10.26,10.0,10.0,10.0,2.00K,0.00%
2023-08-06,10.26,9.98,10.0,9.98,1.55K,0.00%
2023-08-03,10.26,9.03,10.0,9.02,6.50K,0.00%
2023-08-02,10.26,10.0,10.0,10.0,2.00K,0.00%
2023-07-31,10.26,10.9,10.9,10.9,0.11K,0.00%
2023-07-30,10.26,8.8,9.0,8.8,0.48K,0.00%
2023-07-26,10.26,10.0,10.0,10.0,0.08K,0.00%
2023-07-25,10.26,10.0,10.0,10.0,1.42K,0.00%
2023-07-19,10.26,10.0,10.0,10.0,4.03K,0.00%
2023-07-18,10.26,10.0,10.0,10.0,1.61K,0.00%
2023-07-17,10.26,9.98,9.98,9.98,0.44K,0.00%
2023-07-16,10.26,8.7,10.9,8.7,0.56K,0.00%
2023-07-13,10.26,8.21,10.9,8.21,0.52K,0.00%
2023-07-11,10.26,9.95,9.95,9.95,1.50K,0.00%
2023-07-10,10.26,8.71,8.71,8.7,1.63K,0.00%
2023-07-06,10.26,10.0,11.0,10.0,4.05K,0.00%
2023-07-04,10.26,9.95,9.95,9.95,1.00K,0.00%
2023-06-26,10.26,9.0,9.0,8.5,3.54K,0.00%
2023-06-25,10.26,10.01,10.01,10.01,0.38K,0.00%
2023-06-22,10.26,10.01,10.01,10.01,1.00K,0.00%
2023-06-21,10.26,10.0,10.74,10.0,1.01K,0.00%
2023-06-20,10.26,10.01,10.01,10.01,1.50K,0.00%
2023-06-19,10.26,10.0,10.01,10.0,3.15K,0.00%
2023-06-18,10.26,10.06,10.11,10.02,3.23K,0.00%
2023-06-15,10.26,10.0,10.01,10.0,1.74K,0.00%
2023-06-14,10.26,10.2,10.2,10.02,4.32K,0.00%
2023-06-13,10.26,10.05,10.91,10.04,2.29K,2.19%
2023-06-12,10.04,10.02,10.04,10.02,0.52K,-2.14%
2023-06-11,10.26,10.87,10.91,10.0,6.13K,0.00%
2023-06-08,10.26,10.02,10.95,10.01,4.49K,0.00%
2023-06-07,10.26,8.72,10.73,8.72,6.94K,0.00%
2023-06-06,10.26,10.75,10.75,10.0,2.88K,0.00%
2023-06-05,10.26,10.1,10.1,10.0,9.08K,0.00%
2023-06-04,10.26,9.29,10.26,9.29,3.77K,0.00%
2023-06-01,10.26,10.99,10.99,8.21,2.51K,0.00%
2023-05-31,10.26,9.15,10.0,9.15,6.57K,0.00%
2023-05-30,10.26,9.12,10.99,9.12,18.64K,0.00%
