Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,7.6,7.7,7.8,7.54,373.74K,-0.65%
2023-12-10,7.65,7.95,8.0,7.65,701.13K,-3.53%
2023-12-07,7.93,8.0,8.09,7.89,994.58K,-1.98%
2023-12-06,8.09,8.22,8.27,8.07,652.25K,-0.74%
2023-12-05,8.15,8.07,8.23,8.01,872.12K,1.37%
2023-12-04,8.04,8.1,8.15,8.01,719.19K,1.01%
2023-12-03,7.96,8.11,8.14,7.95,849.74K,-1.24%
2023-11-30,8.06,8.05,8.1,7.93,540.25K,1.77%
2023-11-29,7.92,8.14,8.21,7.9,1.06M,-2.58%
2023-11-28,8.13,8.25,8.28,8.1,917.07K,-0.25%
2023-11-27,8.15,8.26,8.36,8.14,940.26K,-1.33%
2023-11-26,8.26,8.46,8.46,8.23,519.06K,-1.20%
2023-11-23,8.36,8.5,8.5,8.35,522.00K,-0.36%
2023-11-22,8.39,8.49,8.64,8.35,1.50M,0.12%
2023-11-21,8.38,8.46,8.55,8.37,1.00M,-0.59%
2023-11-20,8.43,8.59,8.77,8.4,1.64M,-1.17%
2023-11-19,8.53,8.37,8.58,8.37,1.66M,2.40%
2023-11-16,8.33,8.3,8.54,8.26,1.97M,0.97%
2023-11-15,8.25,8.27,8.37,8.09,1.15M,1.23%
2023-11-14,8.15,8.24,8.31,8.14,666.54K,-0.24%
2023-11-13,8.17,8.22,8.25,8.14,609.48K,-0.49%
2023-11-12,8.21,8.33,8.46,8.12,755.24K,-1.08%
2023-11-09,8.3,8.38,8.62,8.12,1.19M,-0.95%
2023-11-08,8.38,8.36,8.55,8.35,1.08M,1.45%
2023-11-07,8.26,8.2,8.35,8.11,370.80K,1.72%
2023-11-06,8.12,8.28,8.39,8.1,740.31K,-1.69%
2023-11-05,8.26,8.36,8.55,8.22,582.73K,0.49%
2023-11-02,8.22,8.32,8.37,8.2,315.43K,0.74%
2023-11-01,8.16,8.39,8.48,8.1,1.43M,-2.74%
2023-10-31,8.39,8.8,8.89,8.3,1.15M,-3.56%
2023-10-30,8.7,8.69,8.85,8.49,1.88M,1.28%
2023-10-29,8.59,8.9,8.92,8.55,1.40M,-2.39%
2023-10-26,8.8,9.26,9.26,8.73,1.61M,-3.30%
2023-10-25,9.1,9.2,9.56,9.07,2.97M,0.11%
2023-10-24,9.09,8.53,9.28,8.53,7.34M,7.96%
2023-10-23,8.42,8.1,8.65,8.06,4.62M,4.73%
2023-10-22,8.04,7.92,8.08,7.87,1.19M,1.52%
2023-10-19,7.92,8.1,8.19,7.86,1.93M,-1.37%
2023-10-18,8.03,8.28,8.3,8.02,2.19M,-2.55%
2023-10-17,8.24,8.17,8.34,8.01,2.91M,1.35%
2023-10-16,8.13,7.9,8.35,7.86,5.78M,3.44%
2023-10-15,7.86,7.79,8.05,7.77,2.19M,1.55%
2023-10-12,7.74,7.45,7.77,7.44,2.65M,3.75%
2023-10-11,7.46,7.7,7.78,7.3,1.16M,-2.99%
2023-10-10,7.69,7.34,7.79,7.25,2.11M,5.78%
2023-10-09,7.27,7.21,7.37,7.12,573.80K,0.97%
2023-10-08,7.2,7.66,7.66,6.72,1.63M,-6.01%
2023-10-04,7.66,7.69,7.8,7.6,983.67K,-0.13%
2023-10-03,7.67,8.13,8.17,7.65,1.64M,-4.36%
2023-10-02,8.02,8.5,8.65,7.81,3.63M,-3.95%
2023-10-01,8.35,7.72,8.59,7.71,6.79M,9.58%
2023-09-27,7.62,7.3,7.66,7.25,4.80M,5.39%
2023-09-26,7.23,7.1,7.4,7.08,2.69M,2.12%
2023-09-25,7.08,7.15,7.3,7.05,1.48M,-0.56%
2023-09-24,7.12,7.26,7.35,7.1,1.28M,-0.84%
2023-09-21,7.18,7.01,7.22,6.9,1.23M,3.01%
2023-09-20,6.97,7.35,7.43,6.94,2.98M,-3.33%
2023-09-19,7.21,6.87,7.45,6.85,4.44M,4.95%
2023-09-18,6.87,6.82,6.91,6.75,701.30K,2.23%
2023-09-17,6.72,6.73,6.98,6.71,925.35K,0.15%
2023-09-14,6.71,6.7,6.85,6.65,644.63K,0.90%
2023-09-13,6.65,6.8,6.8,6.63,422.70K,-0.15%
2023-09-12,6.66,6.64,6.8,6.64,494.20K,0.45%
2023-09-11,6.63,6.87,6.87,6.62,1.12M,-2.36%
2023-09-10,6.79,6.89,6.93,6.73,555.17K,0.30%
2023-09-07,6.77,6.6,7.07,6.6,2.39M,1.80%
2023-09-06,6.65,6.9,6.96,6.51,2.17M,-3.62%
2023-09-05,6.9,6.33,7.24,6.31,5.71M,9.70%
2023-09-04,6.29,6.15,6.35,6.06,1.37M,3.45%
2023-09-03,6.08,6.19,6.2,6.07,336.47K,-1.78%
2023-08-31,6.19,6.2,6.26,6.16,736.40K,-0.48%
2023-08-30,6.22,6.22,6.29,6.16,349.55K,0.48%
2023-08-29,6.19,6.25,6.3,6.16,284.64K,-0.32%
2023-08-28,6.21,6.27,6.34,6.2,317.40K,-0.48%
2023-08-27,6.24,6.38,6.38,6.22,448.55K,-0.64%
2023-08-24,6.28,6.25,6.4,6.21,1.34M,0.96%
2023-08-23,6.22,6.17,6.45,6.17,1.80M,1.14%
2023-08-22,6.15,6.17,6.25,6.11,632.37K,0.82%
2023-08-21,6.1,6.12,6.29,6.04,1.42M,1.16%
2023-08-20,6.03,6.0,6.2,6.0,847.36K,1.69%
2023-08-17,5.93,6.05,6.06,5.9,234.34K,-1.00%
2023-08-16,5.99,6.0,6.12,5.96,714.18K,0.34%
2023-08-15,5.97,6.08,6.1,5.91,437.77K,-1.49%
2023-08-14,6.06,6.13,6.25,6.05,809.45K,-1.14%
2023-08-13,6.13,6.06,6.21,6.01,1.29M,2.17%
2023-08-10,6.0,5.9,6.12,5.88,1.27M,1.18%
2023-08-09,5.93,5.9,5.97,5.88,145.96K,0.51%
2023-08-08,5.9,5.99,5.99,5.85,330.72K,0.00%
2023-08-07,5.9,5.88,5.96,5.85,223.24K,0.68%
2023-08-06,5.86,5.85,5.89,5.81,187.68K,0.51%
2023-08-03,5.83,5.8,5.85,5.75,214.35K,0.34%
2023-08-02,5.81,5.82,5.9,5.79,261.01K,-0.34%
2023-08-01,5.83,5.94,5.94,5.81,141.58K,0.00%
2023-07-31,5.83,5.97,5.97,5.79,282.61K,-0.68%
2023-07-30,5.87,5.95,6.0,5.8,386.68K,-0.51%
2023-07-27,5.9,5.98,5.98,5.85,438.38K,-1.17%
2023-07-26,5.97,6.0,6.05,5.92,261.19K,-0.17%
2023-07-25,5.98,6.15,6.25,5.95,553.66K,-1.81%
2023-07-24,6.09,6.22,6.25,6.03,928.27K,-0.98%
2023-07-19,6.15,6.1,6.37,6.1,1.48M,0.82%
2023-07-18,6.1,6.0,6.11,5.93,500.77K,2.01%
2023-07-17,5.98,5.96,6.16,5.95,728.07K,1.36%
2023-07-16,5.9,5.65,6.29,5.41,2.31M,5.36%
2023-07-13,5.6,5.53,5.69,5.53,125.29K,0.54%
2023-07-12,5.57,5.63,5.63,5.52,143.44K,0.00%
2023-07-11,5.57,5.53,5.64,5.4,321.31K,0.72%
2023-07-10,5.53,5.45,5.6,5.4,215.33K,1.10%
2023-07-09,5.47,5.6,5.6,5.42,215.30K,-1.44%
2023-07-06,5.55,5.75,5.8,5.52,609.56K,-3.48%
2023-07-05,5.75,5.92,5.92,5.73,193.55K,-1.54%
2023-07-04,5.84,5.87,5.98,5.82,338.19K,-0.17%
2023-06-26,5.85,5.72,5.93,5.67,1.09M,-1.52%
2023-06-25,5.94,6.04,6.05,5.91,124.97K,-0.34%
2023-06-22,5.96,6.09,6.09,5.91,132.22K,0.17%
2023-06-21,5.95,6.14,6.14,5.91,277.06K,-2.30%
2023-06-20,6.09,6.16,6.2,6.06,114.46K,-1.14%
2023-06-19,6.16,6.29,6.29,6.13,290.14K,-0.48%
2023-06-18,6.19,6.16,6.3,6.16,327.65K,0.98%
2023-06-15,6.13,6.15,6.25,6.09,579.47K,-1.29%
2023-06-14,6.21,6.35,6.4,6.18,221.28K,-1.43%
2023-06-13,6.3,6.25,6.65,6.21,1.24M,2.77%
2023-06-12,6.13,6.15,6.29,6.12,161.56K,0.00%
2023-06-11,6.13,6.1,6.19,6.1,346.32K,0.49%
2023-06-08,6.1,6.15,6.2,6.08,332.68K,-0.81%
2023-06-07,6.15,6.19,6.3,6.1,405.37K,-0.49%
2023-06-06,6.18,6.2,6.29,6.12,559.94K,-0.32%
2023-06-05,6.2,6.35,6.39,6.16,346.83K,-2.21%
2023-06-04,6.34,6.34,6.45,6.25,433.09K,0.16%
