Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,16.83,17.53,17.96,16.8,531.92K,-2.83%
2023-12-10,17.32,18.9,18.94,17.31,598.50K,-8.31%
2023-12-07,18.89,18.31,18.94,17.41,654.30K,3.17%
2023-12-06,18.31,19.41,19.41,18.12,602.55K,-5.13%
2023-12-05,19.3,19.73,19.8,18.95,1.10M,0.21%
2023-12-04,19.26,20.51,20.9,19.03,788.88K,-5.12%
2023-12-03,20.3,18.58,21.4,18.4,2.67M,11.60%
2023-11-30,18.19,17.39,18.75,17.33,1.36M,4.96%
2023-11-29,17.33,17.41,17.69,17.25,270.86K,-0.12%
2023-11-28,17.35,17.78,17.9,17.32,359.03K,-1.31%
2023-11-27,17.58,18.0,18.1,17.5,341.76K,-1.73%
2023-11-26,17.89,18.14,18.34,17.83,444.96K,0.06%
2023-11-23,17.88,18.34,18.35,17.8,444.44K,-1.97%
2023-11-22,18.24,18.03,18.61,18.0,844.45K,2.01%
2023-11-21,17.88,17.6,18.19,17.3,507.79K,1.76%
2023-11-20,17.57,17.94,18.19,17.46,600.07K,-0.73%
2023-11-19,17.7,18.9,18.9,17.6,1.10M,-2.32%
2023-11-16,18.12,17.85,19.18,17.75,2.09M,3.19%
2023-11-15,17.56,18.7,19.0,17.34,2.95M,-4.51%
2023-11-14,18.39,19.81,20.1,18.25,1.73M,-6.13%
2023-11-13,19.59,19.36,19.7,17.88,2.54M,3.27%
2023-11-12,18.97,16.17,18.97,16.17,3.55M,19.68%
2023-11-09,15.85,15.0,16.7,15.0,2.40M,6.38%
2023-11-08,14.9,14.99,15.5,14.7,717.76K,1.36%
2023-11-07,14.7,14.98,14.98,14.56,550.58K,-0.54%
2023-11-06,14.78,15.6,15.97,14.75,1.51M,-4.65%
2023-11-05,15.5,15.8,16.0,15.42,811.88K,3.26%
2023-11-02,15.01,14.31,15.37,14.26,1.19M,6.15%
2023-11-01,14.14,14.75,15.01,13.9,648.69K,-4.78%
2023-10-31,14.85,14.75,15.47,14.55,1.60M,0.68%
2023-10-30,14.75,14.56,15.4,14.26,1.20M,1.37%
2023-10-29,14.55,14.19,15.22,14.0,1.78M,2.68%
2023-10-26,14.17,14.64,14.65,14.1,742.47K,-1.87%
2023-10-25,14.44,14.19,14.84,14.19,1.65M,4.34%
2023-10-24,13.84,14.24,14.55,13.61,1.33M,-1.49%
2023-10-23,14.05,14.8,14.87,13.83,2.43M,-4.42%
2023-10-22,14.7,12.9,14.89,12.64,3.39M,16.30%
2023-10-19,12.64,11.5,13.38,11.36,3.45M,11.96%
2023-10-18,11.29,11.97,12.0,11.2,1.90M,-3.50%
2023-10-17,11.7,10.75,11.7,10.45,2.81M,10.27%
2023-10-16,10.61,10.6,10.84,10.4,1.44M,-0.47%
2023-10-15,10.66,10.2,10.7,10.2,1.34M,4.72%
2023-10-12,10.18,10.0,10.5,10.0,1.43M,2.83%
2023-10-11,9.9,10.11,10.24,9.9,1.08M,-1.79%
2023-10-10,10.08,9.3,10.11,9.3,1.74M,9.57%
2023-10-09,9.2,8.98,9.27,8.9,284.11K,2.56%
2023-10-08,8.97,9.39,9.6,8.7,536.71K,-4.27%
2023-10-04,9.37,9.17,9.44,8.91,825.17K,2.63%
2023-10-03,9.13,9.51,9.79,9.05,459.48K,-4.99%
2023-10-02,9.61,9.92,9.98,9.3,559.49K,-3.13%
2023-10-01,9.92,10.21,10.35,9.82,865.77K,-2.46%
2023-09-27,10.17,10.5,10.5,10.1,454.99K,-2.12%
2023-09-26,10.39,10.32,10.79,10.3,457.63K,0.87%
2023-09-25,10.3,10.45,10.6,10.28,283.06K,-0.87%
2023-09-24,10.39,10.46,10.8,10.33,457.87K,0.39%
2023-09-21,10.35,10.4,10.55,10.21,373.95K,-0.19%
