Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.56,0.56,0.57,0.55,114.99K,0.00%
2023-12-10,0.56,0.54,0.57,0.53,193.40K,0.00%
2023-12-07,0.56,0.56,0.57,0.54,157.21K,0.00%
2023-12-06,0.56,0.59,0.59,0.56,1.66M,-3.28%
2023-12-05,0.58,0.58,0.6,0.56,266.51K,1.93%
2023-12-04,0.57,0.56,0.59,0.55,118.40K,0.00%
2023-12-03,0.57,0.57,0.6,0.55,193.40K,0.00%
2023-11-30,0.57,0.57,0.61,0.57,1.01M,0.00%
2023-11-29,0.57,0.59,0.59,0.56,538.04K,0.00%
2023-11-28,0.57,0.59,0.64,0.55,1.67M,-3.74%
2023-11-27,0.59,0.6,0.6,0.59,586.36K,0.00%
2023-11-26,0.59,0.58,0.61,0.58,1.00M,1.54%
2023-11-23,0.58,0.64,0.64,0.57,1.10M,-4.43%
2023-11-22,0.61,0.67,0.67,0.6,1.32M,-3.94%
2023-11-21,0.63,0.59,0.63,0.57,1.84M,9.86%
2023-11-20,0.58,0.62,0.62,0.55,989.29K,-5.25%
2023-11-19,0.61,0.64,0.64,0.6,2.60M,4.63%
2023-11-16,0.58,0.57,0.58,0.57,4.22M,10.00%
2023-11-15,0.53,0.53,0.54,0.53,244.62K,0.00%
2023-11-14,0.53,0.55,0.55,0.53,592.08K,-2.21%
2023-11-13,0.54,0.54,0.58,0.54,110.42K,0.00%
2023-11-12,0.54,0.53,0.54,0.53,7.67K,0.00%
2023-11-09,0.54,0.53,0.57,0.53,190.37K,0.00%
2023-11-08,0.54,0.56,0.56,0.54,78.20K,0.00%
2023-11-07,0.54,0.53,0.54,0.53,136.00K,0.00%
2023-11-06,0.54,0.52,0.56,0.52,616.03K,2.65%
2023-11-05,0.53,0.53,0.54,0.52,224.50K,0.00%
2023-11-02,0.53,0.52,0.54,0.51,364.85K,0.00%
2023-11-01,0.53,0.51,0.52,0.5,73.25K,0.00%
2023-10-31,0.53,0.51,0.54,0.51,96.24K,0.00%
2023-10-30,0.53,0.53,0.53,0.51,189.09K,0.00%
2023-10-29,0.53,0.5,0.55,0.5,75.84K,0.00%
2023-10-26,0.53,0.49,0.54,0.49,537.62K,3.92%
2023-10-25,0.51,0.49,0.52,0.49,533.71K,-2.49%
2023-10-24,0.52,0.5,0.5,0.49,35.08K,0.00%
2023-10-23,0.52,0.5,0.5,0.49,15.76K,0.00%
2023-10-22,0.52,0.5,0.5,0.49,25.23K,0.00%
2023-10-19,0.52,0.5,0.5,0.49,46.39K,0.00%
2023-10-18,0.52,0.49,0.49,0.49,0.34K,0.00%
2023-10-17,0.52,0.49,0.51,0.49,46.85K,0.00%
2023-10-16,0.52,0.5,0.5,0.49,124.02K,0.00%
2023-10-15,0.52,0.5,0.51,0.5,91.50K,0.00%
2023-10-12,0.52,0.51,0.52,0.5,175.67K,0.00%
2023-10-11,0.52,0.51,0.52,0.5,125.04K,0.00%
