Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.573,1.6,1.6,1.599,8.50K,0.00%
2023-12-10,1.573,1.6,1.67,1.4,253.61K,-4.32%
2023-12-07,1.644,1.57,1.644,1.453,150.01K,0.00%
2023-12-06,1.644,1.6,1.643,1.58,67.66K,0.00%
2023-12-05,1.644,1.58,1.667,1.58,52.29K,0.00%
2023-12-04,1.644,1.561,1.685,1.561,200.62K,-0.18%
2023-12-03,1.647,1.53,1.68,1.53,259.86K,1.86%
2023-11-30,1.617,1.64,1.64,1.567,134.47K,0.00%
2023-11-29,1.617,1.55,1.64,1.55,301.75K,3.45%
2023-11-28,1.563,1.6,1.66,1.551,280.41K,-1.33%
2023-11-27,1.584,1.552,1.7,1.552,99.67K,0.00%
2023-11-26,1.584,1.602,1.68,1.55,314.13K,-3.47%
2023-11-23,1.641,1.66,1.7,1.6,331.20K,-2.84%
2023-11-22,1.689,1.646,1.729,1.646,318.80K,2.61%
2023-11-21,1.646,1.76,1.8,1.614,723.38K,-6.48%
2023-11-20,1.76,1.6,1.79,1.483,747.93K,12.32%
2023-11-19,1.567,1.464,1.595,1.464,288.90K,2.22%
2023-11-16,1.533,1.52,1.59,1.461,441.48K,2.89%
2023-11-15,1.49,1.47,1.5,1.421,168.15K,0.00%
2023-11-14,1.49,1.379,1.58,1.33,767.79K,12.71%
2023-11-13,1.322,1.321,1.361,1.313,446.68K,-1.42%
2023-11-12,1.341,1.354,1.38,1.3,295.64K,0.15%
2023-11-09,1.339,1.295,1.37,1.28,826.22K,9.57%
2023-11-08,1.222,1.223,1.223,1.185,170.56K,0.00%
2023-11-07,1.222,1.2,1.25,1.2,111.90K,0.00%
2023-11-06,1.222,1.364,1.364,1.2,434.09K,-3.63%
2023-11-05,1.268,1.39,1.39,1.25,247.33K,-8.71%
2023-11-02,1.389,1.2,1.4,1.2,697.05K,17.02%
2023-11-01,1.187,1.249,1.249,1.155,96.41K,0.00%
2023-10-31,1.187,1.249,1.249,1.152,209.23K,0.00%
2023-10-30,1.187,1.2,1.244,1.153,378.18K,-2.47%
2023-10-29,1.217,1.29,1.29,1.151,279.86K,-6.24%
2023-10-26,1.298,1.36,1.362,1.23,248.29K,-4.77%
2023-10-25,1.363,1.149,1.364,1.14,2.63M,19.88%
2023-10-24,1.137,1.2,1.2,1.09,574.87K,3.08%
2023-10-23,1.103,0.98,1.106,0.95,1.56M,19.63%
2023-10-22,0.922,0.89,0.97,0.85,1.12M,2.90%
2023-10-19,0.896,0.823,0.899,0.822,2.33M,2.17%
2023-10-18,0.877,0.824,0.887,0.824,130.00K,0.00%
2023-10-17,0.877,0.827,0.89,0.827,183.53K,0.00%
2023-10-16,0.877,0.861,0.899,0.856,210.00K,0.00%
2023-10-15,0.877,0.89,0.9,0.87,230.20K,0.00%
2023-10-12,0.877,0.885,0.895,0.86,453.60K,0.69%
2023-10-11,0.871,0.87,0.884,0.846,411.66K,0.11%
2023-10-10,0.87,0.84,0.878,0.84,1.09M,1.28%
2023-10-09,0.859,0.816,0.879,0.81,633.44K,5.79%
2023-10-08,0.812,0.85,0.85,0.8,393.43K,-1.46%
2023-10-04,0.824,0.8,0.84,0.8,536.90K,-1.20%
2023-10-03,0.834,0.786,0.845,0.786,977.20K,3.60%
2023-10-02,0.805,0.86,0.86,0.8,2.51M,-11.44%
2023-10-01,0.909,0.9,0.92,0.87,1.03M,2.71%
2023-09-27,0.885,0.897,0.9,0.862,1.31M,0.80%
2023-09-26,0.878,0.898,0.898,0.861,923.76K,-0.79%
2023-09-25,0.885,0.924,0.924,0.88,1.54M,-2.64%
2023-09-24,0.909,0.94,0.94,0.87,868.21K,-0.44%
2023-09-21,0.913,0.945,0.945,0.872,1.16M,1.11%
2023-09-20,0.903,0.93,0.954,0.861,1.04M,-3.73%
2023-09-19,0.938,0.989,0.989,0.925,1.43M,-1.99%
2023-09-18,0.957,0.911,0.985,0.885,1.88M,6.22%
2023-09-17,0.901,0.862,0.95,0.85,2.75M,7.52%
2023-09-14,0.838,0.822,0.866,0.811,1.55M,0.60%
2023-09-13,0.833,0.821,0.85,0.811,540.23K,3.35%
2023-09-12,0.806,0.798,0.819,0.798,502.15K,0.75%
2023-09-11,0.8,0.84,0.84,0.791,560.21K,-3.38%
2023-09-10,0.828,0.813,0.858,0.812,1.39M,1.97%
2023-09-07,0.812,0.775,0.82,0.77,608.75K,5.59%
2023-09-06,0.769,0.797,0.809,0.754,1.29M,-2.29%
2023-09-05,0.787,0.8,0.805,0.778,386.37K,-2.96%
2023-09-04,0.811,0.755,0.819,0.751,428.19K,1.25%
2023-09-03,0.801,0.755,0.814,0.68,905.56K,1.39%
2023-08-31,0.79,0.794,0.794,0.755,188.93K,0.00%
2023-08-30,0.79,0.816,0.816,0.791,50.09K,0.00%
2023-08-29,0.79,0.785,0.82,0.771,666.98K,-3.42%
2023-08-28,0.818,0.729,0.839,0.715,2.83M,16.86%
2023-08-27,0.7,0.722,0.748,0.71,207.41K,0.00%
2023-08-24,0.7,0.704,0.722,0.68,437.00K,2.64%
2023-08-23,0.682,0.699,0.709,0.67,802.73K,-0.44%
2023-08-22,0.685,0.671,0.7,0.671,443.44K,1.78%
2023-08-21,0.673,0.675,0.699,0.663,372.54K,0.00%
2023-08-20,0.673,0.649,0.7,0.649,1.02M,3.70%
2023-08-17,0.649,0.68,0.68,0.64,768.65K,-2.70%
2023-08-16,0.667,0.62,0.676,0.62,1.29M,10.43%
2023-08-15,0.604,0.612,0.628,0.605,152.89K,0.00%
2023-08-14,0.604,0.6,0.635,0.596,382.66K,0.00%
2023-08-13,0.604,0.588,0.614,0.588,777.69K,-1.47%
2023-08-10,0.613,0.579,0.613,0.579,82.46K,0.00%
2023-08-09,0.613,0.59,0.59,0.579,153.88K,0.00%
2023-08-08,0.613,0.595,0.595,0.578,88.04K,0.00%
2023-08-07,0.613,0.591,0.591,0.58,27.60K,0.00%
2023-08-06,0.613,0.581,0.59,0.58,14.84K,0.00%
2023-08-03,0.613,0.595,0.595,0.574,155.09K,0.00%
2023-08-02,0.613,0.58,0.613,0.572,141.14K,0.00%
2023-08-01,0.613,0.581,0.59,0.572,165.83K,0.00%
2023-07-31,0.613,0.594,0.613,0.58,95.85K,0.00%
2023-07-30,0.613,0.596,0.596,0.581,36.38K,0.00%
2023-07-27,0.613,0.59,0.598,0.583,194.74K,0.00%
2023-07-26,0.613,0.582,0.613,0.575,394.31K,0.00%
2023-07-25,0.613,0.582,0.605,0.582,35.70K,0.00%
2023-07-24,0.613,0.59,0.612,0.582,121.61K,0.00%
