Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,4.35,4.48,4.54,4.35,11.67M,-3.12%
2023-12-10,4.49,4.33,4.63,4.32,23.52M,3.94%
2023-12-07,4.32,4.44,4.44,4.01,14.88M,-2.92%
2023-12-06,4.45,4.39,4.65,4.32,26.97M,1.83%
2023-12-05,4.37,4.47,4.48,4.32,10.85M,-1.58%
2023-12-04,4.44,4.27,4.47,4.19,20.60M,3.98%
2023-12-03,4.27,4.05,4.35,4.03,30.06M,6.75%
2023-11-30,4.0,3.91,4.06,3.85,26.04M,3.09%
2023-11-29,3.88,3.9,3.93,3.8,15.47M,0.26%
2023-11-28,3.87,4.0,4.01,3.86,17.52M,-2.76%
2023-11-27,3.98,3.72,4.02,3.69,42.05M,6.99%
2023-11-26,3.72,3.75,3.82,3.69,17.77M,0.00%
2023-11-23,3.72,3.76,3.83,3.72,16.07M,-0.80%
2023-11-22,3.75,3.65,3.76,3.63,23.97M,4.17%
2023-11-21,3.6,3.54,3.61,3.45,14.42M,1.69%
2023-11-20,3.54,3.66,3.68,3.51,23.62M,-2.48%
2023-11-19,3.63,3.71,3.75,3.62,11.97M,-1.63%
2023-11-16,3.69,3.75,3.79,3.68,12.18M,-0.81%
2023-11-15,3.72,3.57,3.76,3.57,46.33M,4.49%
2023-11-14,3.56,3.5,3.62,3.45,18.67M,2.89%
2023-11-13,3.46,3.49,3.54,3.45,9.16M,-0.57%
2023-11-12,3.48,3.54,3.6,3.45,16.62M,-0.57%
2023-11-09,3.5,3.51,3.61,3.46,25.25M,1.16%
2023-11-08,3.46,3.56,3.61,3.45,15.98M,-2.54%
2023-11-07,3.55,3.46,3.58,3.44,47.79M,3.50%
2023-11-06,3.43,3.34,3.5,3.33,32.39M,3.00%
2023-11-05,3.33,3.28,3.37,3.27,9.84M,2.46%
2023-11-02,3.25,3.19,3.27,3.18,8.83M,2.85%
2023-11-01,3.16,3.22,3.24,3.11,7.55M,-1.25%
2023-10-31,3.2,3.36,3.36,3.2,10.92M,-4.76%
2023-10-30,3.36,3.43,3.45,3.33,10.56M,-1.18%
2023-10-29,3.4,3.35,3.43,3.32,26.81M,0.89%
2023-10-26,3.37,3.25,3.38,3.23,36.41M,4.98%
2023-10-25,3.21,3.08,3.25,3.04,23.47M,5.59%
