Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.71,1.651,1.651,1.6,39.03K,4.20%
2023-12-10,1.641,1.64,1.697,1.64,18.77K,-4.04%
2023-12-07,1.71,1.72,1.72,1.612,17.76K,0.00%
2023-12-06,1.71,1.732,1.732,1.672,20.57K,0.00%
2023-12-05,1.71,1.769,1.769,1.68,70.25K,0.00%
2023-12-04,1.71,1.69,1.748,1.683,114.25K,1.12%
2023-12-03,1.691,1.776,1.869,1.678,239.40K,-4.57%
2023-11-30,1.772,1.66,1.777,1.6,636.75K,9.65%
2023-11-29,1.616,1.58,1.68,1.58,115.82K,-1.04%
2023-11-28,1.633,1.578,1.65,1.55,32.06K,0.00%
2023-11-27,1.633,1.67,1.68,1.61,233.95K,-0.61%
2023-11-26,1.643,1.5,1.648,1.5,417.75K,9.61%
2023-11-23,1.499,1.56,1.56,1.485,187.84K,-1.90%
2023-11-22,1.528,1.53,1.568,1.452,77.00K,0.00%
2023-11-21,1.528,1.53,1.56,1.51,90.10K,0.00%
2023-11-20,1.528,1.535,1.62,1.461,241.87K,-5.85%
2023-11-19,1.623,1.7,1.7,1.55,147.38K,-3.45%
2023-11-16,1.681,1.679,1.75,1.6,423.86K,0.84%
2023-11-15,1.667,1.71,1.71,1.6,255.47K,7.20%
2023-11-14,1.555,1.46,1.562,1.431,158.84K,9.51%
2023-11-13,1.42,1.4,1.431,1.362,110.84K,9.15%
2023-11-12,1.301,1.25,1.332,1.25,333.12K,7.43%
2023-11-09,1.211,1.211,1.25,1.2,74.72K,0.00%
2023-11-08,1.211,1.202,1.25,1.19,48.06K,0.00%
2023-11-07,1.211,1.261,1.261,1.181,137.40K,1.68%
2023-11-06,1.191,1.264,1.264,1.24,21.72K,0.00%
2023-11-05,1.191,1.22,1.285,1.22,26.64K,0.00%
2023-11-02,1.191,1.217,1.33,1.181,180.80K,-7.96%
2023-11-01,1.294,1.32,1.32,1.223,46.19K,0.00%
2023-10-31,1.294,1.335,1.34,1.283,124.71K,-9.19%
2023-10-30,1.425,1.425,1.43,1.283,79.07K,0.00%
2023-10-29,1.425,1.54,1.54,1.32,142.33K,-1.04%
2023-10-26,1.44,1.44,1.44,1.4,162.42K,-24.61%
2023-10-25,1.91,1.7,1.92,1.7,338.99K,9.14%
2023-10-24,1.75,1.93,1.94,1.71,146.41K,-7.41%
2023-10-23,1.89,2.1,2.13,1.87,251.64K,-8.70%
2023-10-22,2.07,2.17,2.28,1.98,448.64K,-5.57%
2023-10-19,2.192,2.193,2.193,2.18,760.30K,9.93%
2023-10-18,1.994,1.994,1.994,1.994,145.60K,9.98%
2023-10-17,1.813,1.617,1.826,1.617,136.68K,9.22%
2023-10-16,1.66,1.618,1.618,1.53,0.47K,0.00%
2023-10-15,1.66,1.51,1.66,1.51,5.34K,0.00%
2023-10-12,1.66,1.503,1.589,1.503,9.64K,0.00%
2023-10-11,1.66,1.51,1.649,1.51,13.15K,0.00%
2023-10-10,1.66,1.56,1.56,1.56,1.73K,0.00%
2023-10-09,1.66,1.5,1.553,1.5,10.58K,0.00%
2023-10-08,1.66,1.59,1.59,1.52,1.60K,0.00%
2023-10-04,1.66,1.55,1.56,1.501,12.23K,0.00%
2023-10-03,1.66,1.526,1.57,1.526,8.50K,0.00%
2023-10-02,1.66,1.53,1.573,1.521,12.06K,0.00%
2023-10-01,1.66,1.6,1.6,1.514,40.77K,0.00%
2023-09-27,1.66,1.66,1.694,1.55,11.94K,0.00%
2023-09-26,1.66,1.701,1.719,1.656,112.68K,-9.78%
2023-09-25,1.84,1.705,1.73,1.694,26.99K,0.00%
2023-09-24,1.84,1.8,1.86,1.67,78.41K,0.00%
2023-09-21,1.84,1.82,1.82,1.8,56.97K,0.00%
2023-09-20,1.84,1.86,1.95,1.81,76.60K,0.00%
2023-09-19,1.84,1.84,1.99,1.8,183.20K,-7.07%
2023-09-18,1.98,1.98,2.04,1.98,378.10K,-9.59%
2023-09-17,2.19,1.98,1.98,1.98,0.07K,0.00%
2023-09-14,2.19,1.98,1.98,1.98,11.30K,0.00%
2023-09-13,2.19,1.98,1.98,1.98,0.46K,0.00%
2023-09-12,2.19,1.98,1.98,1.98,0.89K,0.00%
2023-09-11,2.19,1.98,1.98,1.98,0.02K,0.00%
2023-09-10,2.19,1.98,1.98,1.98,0.04K,0.00%
2023-09-07,2.19,1.98,1.98,1.98,2.09K,0.00%
2023-09-06,2.19,1.98,1.98,1.98,0.52K,0.00%
2023-09-05,2.19,1.98,1.98,1.98,1.83K,0.00%
2023-09-04,2.19,1.98,1.98,1.98,6.12K,0.00%
2023-09-03,2.19,1.98,1.98,1.98,55.40K,0.00%
2023-08-31,2.19,1.98,1.98,1.98,6.00K,0.00%
2023-08-30,2.19,1.98,1.98,1.98,22.48K,0.00%
2023-08-28,2.19,1.98,1.98,1.98,6.00K,0.00%
2023-08-27,2.19,1.98,1.98,1.98,1.08K,0.00%
2023-08-24,2.19,1.98,1.98,1.98,0.04K,0.00%
2023-08-23,2.19,1.98,1.98,1.98,1.67K,0.00%
2023-08-22,2.19,1.98,1.98,1.98,0.01K,0.00%
