Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,48.74,47.0,47.95,45.35,3.39K,1.54%
2023-12-10,48.0,47.49,50.0,45.07,8.98K,8.92%
2023-12-07,44.07,48.02,48.02,40.1,8.70K,-10.81%
2023-12-06,49.41,46.0,52.0,46.0,13.03K,7.25%
2023-12-05,46.07,47.0,47.6,45.2,28.87K,0.83%
2023-12-04,45.69,44.47,49.95,43.0,51.22K,2.74%
2023-11-30,44.47,42.14,44.5,42.14,64.91K,1.00%
2023-11-29,44.03,41.66,44.9,41.65,11.88K,6.02%
2023-11-28,41.53,42.81,44.45,38.0,45.65K,-5.85%
2023-11-27,44.11,44.0,45.0,42.67,25.28K,0.34%
2023-11-26,43.96,42.0,46.0,40.63,19.09K,4.15%
2023-11-23,42.21,42.5,45.0,42.0,12.70K,-1.03%
2023-11-22,42.65,41.49,43.0,39.01,42.93K,6.52%
2023-11-21,40.04,40.0,42.6,38.05,12.19K,1.81%
2023-11-20,39.33,38.5,39.95,37.25,25.67K,3.58%
2023-11-19,37.97,35.2,39.23,35.2,14.26K,1.28%
2023-11-16,37.49,38.75,38.75,36.5,56.16K,0.64%
2023-11-15,37.25,36.0,39.3,36.0,63.03K,4.31%
2023-11-14,35.71,35.75,36.0,34.68,84.35K,1.59%
2023-11-13,35.15,35.19,35.5,34.5,23.85K,0.43%
2023-11-12,35.0,34.8,36.0,34.43,71.70K,-0.57%
2023-11-09,35.2,34.5,35.5,34.11,27.40K,0.34%
2023-11-08,35.08,35.0,35.87,34.6,27.63K,0.23%
2023-11-07,35.0,34.47,35.0,34.0,72.97K,3.12%
2023-11-06,33.94,34.0,34.45,33.05,45.29K,0.00%
2023-11-05,33.94,34.48,34.48,33.65,12.31K,0.38%
2023-11-02,33.81,34.49,34.49,33.5,26.95K,-0.18%
2023-11-01,33.87,34.5,34.5,33.26,12.20K,-0.53%
2023-10-31,34.05,33.5,34.55,32.45,36.92K,0.06%
2023-10-30,34.03,34.8,34.8,33.52,14.52K,-0.18%
2023-10-29,34.09,34.99,34.99,33.6,59.23K,-0.87%
2023-10-26,34.39,33.74,35.88,33.62,149.71K,7.27%
2023-10-25,32.06,32.29,34.0,31.7,102.45K,0.00%
2023-10-24,32.06,32.49,32.49,31.63,37.76K,0.34%
2023-10-23,31.95,31.98,32.49,31.65,44.50K,-0.09%
2023-10-22,31.98,32.5,32.5,26.52,22.33K,-2.94%
