Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,19.44,20.2,20.2,19.12,619.78K,-3.62%
2023-12-10,20.17,20.9,21.44,20.0,1.14M,1.20%
2023-12-07,19.93,20.48,20.5,19.85,707.46K,-3.25%
2023-12-06,20.6,20.8,21.7,20.6,1.63M,-1.06%
2023-12-05,20.82,21.3,21.66,20.75,1.44M,-1.84%
2023-12-04,21.21,21.37,22.39,21.0,2.63M,1.48%
2023-12-03,20.9,19.5,21.29,19.11,2.48M,7.84%
2023-11-30,19.38,19.97,20.05,19.3,848.92K,-1.42%
2023-11-29,19.66,19.7,20.97,19.55,1.97M,-0.05%
2023-11-28,19.67,18.8,19.78,18.63,357.30K,4.24%
2023-11-27,18.87,18.2,19.1,18.2,270.85K,3.62%
2023-11-26,18.21,18.37,18.75,18.11,191.39K,-0.87%
2023-11-23,18.37,18.26,18.49,18.06,399.45K,0.88%
2023-11-22,18.21,17.7,18.29,17.53,318.22K,3.64%
2023-11-21,17.57,17.74,17.84,17.43,330.85K,-0.96%
2023-11-20,17.74,17.7,17.98,17.46,518.02K,1.14%
2023-11-19,17.54,17.92,18.13,17.5,259.21K,-1.63%
2023-11-16,17.83,18.01,18.45,17.8,463.70K,-0.67%
2023-11-15,17.95,17.5,17.99,17.3,539.60K,2.63%
2023-11-14,17.49,17.7,17.9,17.12,403.16K,-0.51%
2023-11-13,17.58,17.66,17.97,17.42,168.55K,-0.28%
2023-11-12,17.63,17.54,18.0,17.46,255.14K,1.44%
2023-11-09,17.38,17.44,17.7,17.1,347.13K,0.75%
2023-11-08,17.25,17.0,17.67,17.0,571.22K,-0.23%
2023-11-07,17.29,16.56,17.4,16.56,400.16K,2.86%
2023-11-06,16.81,16.37,16.94,16.37,289.21K,1.88%
2023-11-05,16.5,16.05,16.57,15.9,318.45K,3.13%
2023-11-02,16.0,16.4,16.4,15.83,191.83K,-1.11%
2023-11-01,16.18,15.85,16.6,15.85,120.01K,0.06%
2023-10-31,16.17,16.6,16.6,16.0,155.37K,-2.24%
2023-10-30,16.54,16.6,16.9,16.5,196.27K,-0.30%
2023-10-29,16.59,16.75,17.0,16.4,410.50K,1.72%
2023-10-26,16.31,16.8,16.89,16.15,510.41K,-22.77%
2023-10-25,21.12,20.4,21.5,20.4,450.25K,4.04%
2023-10-24,20.3,19.95,20.43,19.56,191.88K,2.58%
2023-10-23,19.79,19.6,20.0,19.48,197.01K,0.92%
2023-10-22,19.61,19.53,19.99,19.21,100.25K,0.46%
2023-10-19,19.52,19.74,19.81,19.4,94.39K,-0.71%
2023-10-18,19.66,19.97,20.5,19.5,201.95K,-0.71%
2023-10-17,19.8,19.5,19.98,19.22,199.40K,2.33%
2023-10-16,19.35,19.0,19.68,18.7,280.25K,3.26%
2023-10-15,18.74,18.6,19.3,18.0,106.16K,1.96%
2023-10-12,18.38,18.7,18.7,18.14,88.51K,-1.24%
2023-10-11,18.61,18.53,18.9,18.41,72.74K,0.81%
2023-10-10,18.46,18.5,18.5,17.85,138.62K,3.42%
2023-10-09,17.85,17.69,17.89,17.35,44.24K,2.88%
2023-10-08,17.35,18.15,18.15,17.0,62.67K,-4.41%
2023-10-04,18.15,17.79,18.2,17.45,71.96K,2.72%
2023-10-03,17.67,17.8,18.18,17.6,41.69K,-0.79%
2023-10-02,17.81,18.0,18.22,15.25,110.86K,-1.11%
2023-10-01,18.01,18.38,18.38,17.95,92.70K,-1.64%
2023-09-27,18.31,18.25,18.4,17.97,112.08K,0.38%
2023-09-26,18.24,18.18,18.51,18.14,184.27K,1.28%
2023-09-25,18.01,18.04,18.2,17.9,80.65K,-0.06%
2023-09-24,18.02,18.38,18.58,18.01,110.82K,-1.69%
2023-09-21,18.33,18.2,18.62,18.0,26.48K,0.88%
2023-09-20,18.17,18.6,18.88,18.1,117.11K,-2.68%
2023-09-19,18.67,18.85,19.09,18.57,103.79K,-1.27%
2023-09-18,18.91,19.0,19.22,18.56,165.23K,-2.63%
2023-09-17,19.42,19.32,19.6,19.32,264.96K,-0.15%
2023-09-14,19.45,19.4,19.6,19.3,138.37K,0.26%
2023-09-13,19.4,19.63,19.65,19.18,89.13K,0.52%
2023-09-12,19.3,19.2,19.35,19.09,51.88K,0.57%
2023-09-11,19.19,19.69,19.69,19.1,162.35K,-1.74%
2023-09-10,19.53,19.54,19.65,19.41,69.62K,-0.15%
2023-09-07,19.56,19.88,19.88,19.48,97.31K,-0.31%
2023-09-06,19.62,19.4,19.89,19.29,217.58K,1.50%
2023-09-05,19.33,19.5,19.69,19.27,114.08K,-1.28%
2023-09-04,19.58,19.05,19.68,19.05,271.31K,2.78%
2023-09-03,19.05,19.12,19.38,18.95,349.33K,-0.21%
2023-08-31,19.09,19.13,19.54,19.03,61.09K,-0.88%
2023-08-30,19.26,19.57,19.6,19.09,149.82K,0.89%
2023-08-29,19.09,18.94,19.37,18.94,138.57K,1.11%
2023-08-28,18.88,19.24,19.59,18.83,108.14K,-1.82%
2023-08-27,19.23,18.73,19.7,18.73,214.08K,2.07%
2023-08-24,18.84,18.82,19.15,18.67,113.73K,-0.16%
2023-08-23,18.87,19.15,19.24,18.76,190.77K,-0.74%
2023-08-22,19.01,18.59,19.24,18.5,555.75K,3.20%
2023-08-21,18.42,18.16,18.68,18.0,317.37K,2.05%
2023-08-20,18.05,18.2,18.29,17.95,54.29K,0.33%
2023-08-17,17.99,18.29,18.36,17.93,142.11K,-1.21%
2023-08-16,18.21,17.99,18.26,17.85,251.46K,1.28%
2023-08-15,17.98,18.18,18.3,17.9,234.91K,-1.10%
2023-08-14,18.18,17.94,18.44,17.84,183.87K,2.08%
2023-08-13,17.81,18.16,18.16,17.78,91.21K,-0.50%
2023-08-10,17.9,18.11,18.2,17.88,98.79K,-1.16%
2023-08-09,18.11,17.82,18.33,17.82,216.53K,1.34%
2023-08-08,17.87,17.87,18.08,17.82,55.61K,0.17%
2023-08-07,17.84,18.0,18.03,17.7,163.36K,0.51%
2023-08-06,17.75,17.68,17.95,17.6,142.52K,0.40%
2023-08-03,17.68,17.81,17.99,17.6,135.34K,-0.95%
2023-08-02,17.85,18.31,18.5,17.71,305.09K,-2.51%
2023-08-01,18.31,18.31,18.42,18.2,45.94K,0.00%
2023-07-31,18.31,18.3,18.49,18.29,47.42K,0.11%
2023-07-30,18.29,18.38,18.64,18.22,184.37K,-0.60%
2023-07-27,18.4,18.75,18.99,18.35,241.26K,-2.13%
2023-07-26,18.8,18.51,19.0,18.4,157.16K,1.24%
2023-07-25,18.57,18.8,18.95,18.54,41.22K,-0.75%
2023-07-24,18.71,18.9,19.1,18.66,109.62K,-0.16%
2023-07-19,18.74,18.35,19.19,18.28,386.76K,2.35%
2023-07-18,18.31,18.25,18.5,18.2,47.75K,0.44%
2023-07-17,18.23,18.31,18.52,18.16,98.10K,-0.38%
2023-07-16,18.3,18.77,18.77,18.3,99.25K,-1.13%
2023-07-13,18.51,18.36,18.6,18.35,25.05K,0.00%
2023-07-12,18.51,18.9,18.9,18.45,48.09K,-0.86%
2023-07-11,18.67,18.75,18.75,18.26,51.64K,0.76%
2023-07-10,18.53,18.01,18.69,17.9,66.41K,3.00%
2023-07-09,17.99,18.8,19.0,17.9,70.12K,-5.42%
2023-07-06,19.02,19.28,19.28,18.8,40.73K,-0.42%
2023-07-05,19.1,19.23,19.28,19.0,62.51K,0.21%
2023-07-04,19.06,19.0,19.35,18.75,122.97K,1.93%
2023-06-26,18.7,18.73,18.75,18.45,64.47K,1.52%
2023-06-25,18.42,18.57,18.95,18.33,57.34K,-0.43%
2023-06-22,18.5,18.55,18.8,18.44,76.69K,-0.27%
2023-06-21,18.55,19.14,19.14,18.52,136.74K,-1.59%
2023-06-20,18.85,19.0,19.03,18.7,38.27K,0.43%
2023-06-19,18.77,19.29,19.29,18.67,67.85K,-1.42%
2023-06-18,19.04,19.01,19.59,19.01,134.58K,-0.42%
