Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,3.09,3.09,3.24,3.0,1.63M,0.98%
2023-12-10,3.06,3.05,3.15,3.03,1.77M,5.15%
2023-12-07,2.91,2.96,2.99,2.86,708.38K,-1.69%
2023-12-06,2.96,3.1,3.14,2.95,1.16M,-3.90%
2023-12-05,3.08,3.25,3.25,3.0,1.64M,-3.75%
2023-12-04,3.2,2.82,3.23,2.78,7.90M,13.88%
2023-12-03,2.81,2.67,2.82,2.59,2.87M,6.04%
2023-11-30,2.65,2.72,2.72,2.63,834.76K,-1.12%
2023-11-29,2.68,2.69,2.7,2.63,12.33M,1.13%
2023-11-28,2.65,2.6,2.72,2.56,22.90M,3.52%
2023-11-27,2.56,2.62,2.62,2.54,717.24K,-0.78%
2023-11-26,2.58,2.5,2.63,2.49,1.68M,3.61%
2023-11-23,2.49,2.54,2.54,2.48,437.15K,-0.40%
2023-11-22,2.5,2.49,2.54,2.49,1.08M,1.21%
2023-11-21,2.47,2.52,2.54,2.46,557.05K,-2.37%
2023-11-20,2.53,2.51,2.55,2.48,427.82K,0.40%
2023-11-19,2.52,2.49,2.55,2.49,166.39K,1.20%
2023-11-16,2.49,2.53,2.53,2.48,243.78K,0.00%
2023-11-15,2.49,2.65,2.74,2.47,285.38K,-0.80%
2023-11-14,2.51,2.52,2.53,2.49,183.99K,0.40%
2023-11-13,2.5,2.49,2.54,2.46,340.05K,1.63%
2023-11-12,2.46,2.53,2.54,2.45,275.06K,-1.20%
2023-11-09,2.49,2.55,2.55,2.47,331.93K,-0.40%
2023-11-08,2.5,2.59,2.59,2.47,503.86K,-2.72%
2023-11-07,2.57,2.52,2.58,2.41,969.76K,3.63%
2023-11-06,2.48,2.45,2.5,2.43,399.48K,2.06%
2023-11-05,2.43,2.45,2.45,2.41,299.61K,0.83%
2023-11-02,2.41,2.42,2.45,2.41,78.65K,0.00%
2023-11-01,2.41,2.44,2.47,2.4,256.49K,-2.03%
2023-10-31,2.46,2.48,2.48,2.44,818.26K,-0.40%
2023-10-30,2.47,2.48,2.49,2.43,474.38K,0.41%
2023-10-29,2.46,2.46,2.47,2.43,567.14K,0.82%
2023-10-26,2.44,2.49,2.49,2.39,1.25M,-0.81%
2023-10-25,2.46,2.4,2.5,2.4,668.59K,2.50%
2023-10-24,2.4,2.45,2.47,2.39,1.15M,-0.41%
