Date,Price,Open,High,Low,Vol.,Change %
2023-12-03,12.54,12.54,12.54,12.54,,0.00%
2023-06-12,12.54,12.54,12.54,12.54,,-31.32%
2022-04-28,18.26,18.26,18.26,18.26,1.36M,45.61%
2020-08-10,12.54,13.01,13.01,13.01,0.01K,57.02%
2019-11-26,7.99,8.78,8.78,8.78,0.03K,0.00%
2019-11-25,7.99,8.78,8.78,8.78,0.06K,0.00%
2019-09-25,7.99,8.78,8.78,8.78,0.02K,0.00%
2018-04-29,7.99,8.78,8.78,7.99,1.75K,0.00%
2018-04-11,7.99,7.99,7.99,7.99,2.33K,-93.63%
2014-06-01,125.4,125.4,125.4,125.4,0.25K,10.00%
2014-04-01,114.0,114.0,114.0,114.0,0.03K,0.00%
2013-12-30,114.0,114.0,114.0,114.0,0.10K,3.91%
2013-12-17,109.71,109.35,111.0,109.35,0.13K,-9.70%
2013-04-16,121.5,121.5,121.5,121.5,0.35K,-10.00%
2013-01-09,135.0,140.0,140.0,140.0,0.01K,0.00%
2013-01-03,135.0,135.0,135.0,135.0,0.10K,976.56%
