Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.902,0.916,0.923,0.9,1.27M,-1.53%
2023-12-10,0.916,0.928,0.963,0.91,1.43M,-0.54%
2023-12-07,0.921,0.95,0.969,0.9,2.59M,-2.64%
2023-12-06,0.946,1.009,1.01,0.94,1.84M,-4.35%
2023-12-05,0.989,1.025,1.032,0.98,1.77M,-3.04%
2023-12-04,1.02,1.003,1.07,1.001,4.14M,2.62%
2023-12-03,0.994,0.951,1.019,0.945,5.36M,4.96%
2023-11-30,0.947,0.951,0.967,0.943,644.59K,-0.42%
2023-11-29,0.951,0.962,0.97,0.947,1.38M,0.11%
2023-11-28,0.95,0.952,0.978,0.946,2.60M,-0.21%
2023-11-27,0.952,0.945,0.966,0.942,2.15M,0.85%
2023-11-26,0.944,0.947,0.96,0.941,973.55K,-0.21%
2023-11-23,0.946,0.955,0.97,0.943,1.13M,-0.32%
2023-11-22,0.949,0.927,0.98,0.927,3.89M,2.82%
2023-11-21,0.923,0.935,0.957,0.92,2.58M,-0.86%
2023-11-20,0.931,0.96,0.963,0.93,2.22M,-1.90%
2023-11-19,0.949,0.975,0.978,0.941,3.03M,-0.94%
2023-11-16,0.958,0.98,1.021,0.95,4.93M,-0.21%
2023-11-15,0.96,0.949,1.05,0.939,8.54M,4.46%
2023-11-14,0.919,0.986,0.986,0.912,3.42M,-4.96%
2023-11-13,0.967,1.075,1.075,0.91,5.12M,-6.66%
2023-11-12,1.036,1.077,1.119,1.03,3.10M,-2.81%
2023-11-09,1.066,1.05,1.17,1.01,8.78M,1.14%
2023-11-08,1.054,1.03,1.12,1.0,11.88M,4.15%
2023-11-07,1.012,0.85,1.012,0.835,28.42M,19.91%
2023-11-06,0.844,0.865,0.898,0.836,3.55M,-1.29%
2023-11-05,0.855,0.88,0.91,0.85,10.34M,-2.73%
2023-11-02,0.879,0.736,0.88,0.73,17.16M,19.43%
2023-11-01,0.736,0.72,0.74,0.711,2.56M,2.51%
2023-10-31,0.718,0.725,0.726,0.712,1.66M,-0.55%
2023-10-30,0.722,0.723,0.725,0.71,1.51M,1.69%
2023-10-29,0.71,0.711,0.72,0.706,917.70K,0.57%
2023-10-26,0.706,0.714,0.73,0.705,1.65M,-0.70%
2023-10-25,0.711,0.709,0.715,0.703,959.49K,0.99%
2023-10-24,0.704,0.701,0.709,0.692,1.99M,0.28%
2023-10-23,0.702,0.699,0.71,0.69,2.18M,1.59%
2023-10-22,0.691,0.67,0.705,0.67,1.99M,4.54%
