Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,431.6,444.7,451.89,425.0,176.52K,-3.24%
2023-12-10,446.07,507.0,507.0,446.0,230.36K,-10.07%
2023-12-07,496.0,509.0,509.0,486.0,237.75K,-2.55%
2023-12-06,509.0,529.0,529.0,506.04,146.84K,-2.86%
2023-12-05,524.0,541.0,544.0,520.2,140.23K,-2.33%
2023-12-04,536.5,534.01,550.0,533.1,83.29K,0.64%
2023-12-03,533.1,557.0,560.0,533.0,95.92K,-3.77%
2023-11-30,554.0,541.11,566.0,541.11,118.52K,2.59%
2023-11-29,540.01,560.0,568.0,540.01,185.19K,-3.57%
2023-11-28,560.0,585.0,588.9,558.0,165.69K,-4.11%
2023-11-27,584.0,592.0,597.9,582.01,123.04K,-1.02%
2023-11-26,590.0,615.0,619.8,590.0,209.07K,-3.40%
2023-11-23,610.75,609.0,619.01,607.0,253.92K,1.29%
2023-11-22,603.0,589.0,609.49,587.0,449.62K,3.43%
2023-11-21,583.0,561.05,584.0,551.1,351.23K,4.29%
2023-11-20,559.0,566.02,581.85,557.0,388.84K,-0.51%
2023-11-19,561.88,533.3,563.9,532.0,298.94K,5.70%
2023-11-16,531.6,535.0,542.62,530.0,149.24K,-0.08%
2023-11-15,532.0,528.0,535.8,525.21,120.08K,1.65%
2023-11-14,523.35,525.0,545.9,521.0,222.45K,0.06%
2023-11-13,523.02,548.0,548.0,522.5,159.73K,-3.86%
2023-11-12,544.0,578.97,579.5,544.0,206.80K,-4.56%
2023-11-09,570.0,577.98,590.0,562.0,397.71K,-0.37%
2023-11-08,572.1,552.5,577.99,534.0,517.29K,4.09%
2023-11-07,549.6,515.01,551.0,501.3,320.16K,7.34%
2023-11-06,512.0,524.1,526.0,496.0,272.90K,-1.37%
2023-11-05,519.1,550.0,559.95,517.13,348.47K,-1.59%
2023-11-02,527.51,530.11,538.0,513.0,403.74K,0.48%
2023-11-01,525.01,538.7,568.77,495.0,571.88K,-4.54%
2023-10-31,550.0,650.0,657.0,550.0,518.43K,-13.11%
2023-10-30,633.0,570.0,648.0,551.0,567.35K,11.03%
2023-10-29,570.11,606.01,613.8,570.0,271.10K,-4.98%
2023-10-26,600.0,631.01,640.0,570.0,611.11K,-5.96%
2023-10-25,638.0,705.1,708.0,622.0,705.36K,-6.18%
2023-10-24,680.0,740.0,810.0,630.0,867.19K,-4.60%
2023-10-23,712.8,615.0,712.8,615.0,591.58K,20.00%
2023-10-22,594.0,560.0,594.0,516.0,344.33K,5.87%
2023-10-19,561.08,627.0,634.0,561.0,270.55K,-10.08%
2023-10-18,624.0,627.0,637.0,594.01,372.36K,1.30%
2023-10-17,616.0,555.0,629.0,542.1,648.87K,16.64%
2023-10-16,528.14,449.9,528.14,447.0,540.90K,20.00%
2023-10-15,440.12,378.0,444.9,377.49,446.48K,16.67%
2023-10-12,377.22,372.01,383.99,368.0,296.67K,2.12%
2023-10-11,369.4,357.01,369.94,355.0,347.37K,3.85%
2023-10-10,355.7,320.01,359.95,316.55,408.50K,10.86%
2023-10-09,320.86,329.0,329.95,315.0,109.39K,-1.39%
2023-10-08,325.37,338.9,340.98,301.0,152.07K,-4.02%
2023-10-04,339.0,333.9,344.9,332.13,130.03K,3.51%
2023-10-03,327.5,345.12,354.0,325.05,142.82K,-4.55%
2023-10-02,343.1,357.0,364.0,325.1,200.72K,-2.80%
2023-10-01,353.0,368.25,371.2,350.01,115.82K,-3.81%
2023-09-27,367.0,365.1,381.0,363.0,252.92K,1.10%
2023-09-26,363.0,343.0,369.0,341.2,337.01K,6.42%
2023-09-25,341.11,345.0,348.98,340.55,166.91K,0.03%
2023-09-24,341.0,331.01,349.0,330.0,307.64K,4.69%
2023-09-21,325.73,316.9,328.0,314.0,246.72K,3.08%
2023-09-20,316.0,341.0,348.0,315.0,462.12K,-5.11%
2023-09-19,333.0,280.0,333.33,280.0,567.04K,19.16%
2023-09-18,279.46,266.0,279.6,266.0,185.24K,6.06%
2023-09-17,263.5,253.87,263.98,253.0,160.80K,4.87%
2023-09-14,251.27,251.1,256.0,251.1,80.21K,0.10%
2023-09-13,251.02,250.0,252.0,250.0,46.96K,0.01%
2023-09-12,251.0,249.9,251.0,248.05,98.96K,0.40%
2023-09-11,250.0,252.0,252.2,247.0,56.21K,-0.40%
2023-09-10,251.0,245.0,253.0,245.0,115.12K,2.87%
2023-09-07,244.0,242.01,249.44,242.01,145.15K,1.24%
2023-09-06,241.0,238.95,242.39,236.61,71.31K,1.05%
2023-09-05,238.5,234.5,238.5,232.5,59.02K,2.27%
2023-09-04,233.21,234.5,236.0,230.01,10.02K,-1.00%
2023-09-03,235.56,238.04,239.0,234.5,14.35K,-1.43%
2023-08-31,238.97,235.8,238.97,234.25,14.71K,1.31%
2023-08-30,235.89,236.71,239.0,235.51,30.81K,-0.08%
2023-08-29,236.09,238.0,240.9,236.0,19.44K,-0.46%
2023-08-28,237.18,239.51,242.94,237.01,30.59K,-1.17%
2023-08-27,239.99,239.5,242.0,237.9,17.79K,0.77%
2023-08-24,238.16,238.25,239.98,236.6,22.66K,-0.16%
2023-08-23,238.53,243.05,245.6,238.51,79.33K,-1.52%
2023-08-22,242.2,230.0,245.25,229.0,103.05K,5.59%
2023-08-21,229.37,232.1,233.8,229.11,38.61K,-0.63%
2023-08-20,230.82,235.25,235.25,229.04,22.92K,-1.19%
2023-08-17,233.61,237.0,238.75,232.16,44.15K,-1.59%
2023-08-16,237.39,236.01,240.2,236.01,63.57K,0.84%
2023-08-15,235.42,230.0,240.19,230.0,833.92K,2.36%
2023-08-14,230.0,231.0,233.49,229.11,77.03K,0.29%
2023-08-13,229.34,226.0,231.88,225.62,53.24K,1.66%
2023-08-10,225.6,225.87,226.5,222.18,39.90K,1.55%
2023-08-09,222.16,225.5,227.93,222.16,41.27K,-1.26%
2023-08-08,225.0,228.95,229.5,225.0,38.62K,-1.73%
2023-08-07,228.95,227.03,229.88,226.11,25.94K,0.43%
2023-08-06,227.98,226.0,229.99,223.15,46.81K,1.07%
2023-08-03,225.56,223.0,227.7,221.5,48.10K,1.60%
2023-08-02,222.0,229.88,229.88,222.0,53.40K,-1.90%
2023-08-01,226.31,229.68,236.0,226.0,55.06K,-1.52%
2023-07-31,229.8,232.0,232.94,227.71,89.23K,-0.13%
2023-07-30,230.11,236.0,236.97,229.12,68.76K,-2.48%
2023-07-27,235.96,242.01,244.0,235.1,76.46K,-2.28%
2023-07-26,241.46,237.0,243.5,236.6,98.70K,2.75%
2023-07-25,235.0,234.01,238.99,232.01,146.63K,0.86%
2023-07-24,233.0,229.01,235.2,229.01,92.56K,2.19%
2023-07-19,228.0,228.99,233.4,226.01,90.46K,0.26%
2023-07-18,227.42,227.5,231.0,224.5,74.42K,0.42%
2023-07-17,226.47,226.0,230.0,224.01,72.24K,0.24%
2023-07-16,225.93,230.2,232.9,222.0,108.05K,-0.55%
2023-07-13,227.18,228.0,229.7,226.01,55.00K,0.10%
2023-07-12,226.96,233.8,234.49,217.5,88.94K,-3.22%
2023-07-11,234.51,228.3,234.9,221.0,122.73K,2.75%
2023-07-10,228.23,195.2,228.23,192.0,143.20K,19.99%
2023-07-09,190.2,232.5,234.97,186.0,229.10K,-17.93%
2023-07-06,231.74,238.8,239.0,230.14,73.30K,-2.25%
2023-07-05,237.08,238.98,242.0,235.0,89.10K,0.24%
2023-07-04,236.52,233.0,240.0,230.0,89.08K,2.08%
2023-06-26,231.7,242.88,242.88,228.0,88.99K,-2.66%
2023-06-25,238.03,237.99,246.0,235.7,55.89K,0.01%
2023-06-22,238.0,241.0,244.49,235.6,104.08K,-1.80%
2023-06-21,242.37,248.61,250.0,241.0,173.25K,-2.51%
2023-06-20,248.62,257.99,258.99,242.03,223.15K,-4.00%
2023-06-19,258.99,227.51,259.0,227.51,344.46K,13.84%
2023-06-18,227.5,229.04,232.5,227.01,98.66K,-1.09%
2023-06-15,230.0,233.0,234.86,222.02,358.79K,-1.28%
2023-06-14,232.99,252.0,270.0,217.02,973.38K,-5.50%
2023-06-13,246.55,215.25,246.55,210.01,1.39M,20.00%
2023-06-12,205.46,171.4,205.46,170.0,537.74K,20.00%
2023-06-11,171.22,160.0,171.4,160.0,302.82K,7.01%
2023-06-08,160.0,156.0,160.4,154.6,203.85K,3.23%
2023-06-07,155.0,159.0,159.99,155.0,62.54K,-2.52%
2023-06-06,159.01,159.95,161.5,155.13,99.55K,-3.33%
2023-06-05,164.48,160.6,164.8,152.9,166.56K,2.45%
2023-06-04,160.54,162.5,164.99,160.21,1.13M,-1.13%
2023-06-01,162.37,165.5,165.5,162.0,26.00K,0.23%
2023-05-31,162.0,167.0,169.0,162.0,95.81K,-2.98%
2023-05-30,166.98,167.98,170.0,165.35,259.67K,0.22%
2023-05-29,166.62,168.86,168.86,165.11,23.29K,-0.32%
2023-05-28,167.15,169.0,170.0,167.0,31.55K,-0.25%
2023-05-25,167.57,168.06,169.25,166.0,25.70K,-0.50%
2023-05-24,168.42,160.11,169.25,160.11,66.24K,5.19%
2023-05-23,160.11,162.99,162.99,159.0,38.74K,-1.37%
2023-05-22,162.34,162.5,164.35,161.7,29.60K,0.10%
2023-05-21,162.17,165.98,166.75,161.52,86.98K,-1.12%
2023-05-18,164.0,167.0,168.0,158.13,125.64K,-1.57%
2023-05-17,166.61,169.55,170.0,166.11,33.74K,-0.32%
2023-05-16,167.14,175.5,175.88,165.0,193.02K,-4.52%
2023-05-15,175.05,176.0,177.0,175.0,46.31K,-0.53%
2023-05-14,175.99,176.0,178.77,175.0,44.44K,-0.01%
2023-05-11,176.0,180.0,181.0,174.8,85.88K,-1.95%
2023-05-10,179.5,175.97,181.5,175.0,164.77K,-6.02%
2023-05-09,190.99,190.25,192.99,189.1,230.47K,1.59%
2023-05-08,188.0,180.0,192.0,180.0,226.85K,3.94%
2023-05-07,180.88,177.59,182.0,177.59,73.97K,2.13%
