Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,31.94,29.85,30.99,29.29,0.58K,6.47%
2023-12-10,30.0,30.0,31.28,29.51,2.63K,-6.07%
2023-12-07,31.94,30.1,31.48,29.8,2.07K,0.00%
2023-12-06,31.94,31.5,31.5,30.06,6.10K,0.00%
2023-12-05,31.94,31.69,31.94,29.8,3.43K,0.00%
2023-12-04,31.94,30.0,31.75,30.0,3.48K,0.00%
2023-12-03,31.94,31.15,31.6,30.05,2.09K,0.00%
2023-11-30,31.94,30.5,31.25,29.45,4.94K,0.00%
2023-11-29,31.94,31.0,31.75,30.0,2.74K,0.00%
2023-11-28,31.94,31.44,31.88,29.25,7.99K,0.00%
2023-11-27,31.94,31.5,31.89,30.52,4.81K,0.00%
2023-11-26,31.94,34.45,34.45,29.01,14.24K,10.90%
2023-11-23,28.8,28.75,28.8,28.0,18.23K,20.00%
2023-11-22,24.0,28.0,28.8,27.75,8.83K,0.00%
2023-11-21,24.0,27.37,27.45,26.15,4.76K,0.00%
2023-11-20,24.0,27.25,27.25,26.1,1.50K,0.00%
2023-11-19,24.0,27.25,27.25,26.4,5.36K,0.00%
2023-11-16,24.0,25.49,28.0,25.49,10.73K,0.00%
2023-11-15,24.0,24.25,25.48,24.25,2.50K,0.00%
2023-11-14,24.0,24.02,25.48,23.9,12.56K,-5.10%
2023-11-13,25.29,24.0,25.5,23.99,18.51K,4.85%
2023-11-12,24.12,24.25,25.5,21.01,8.47K,0.00%
2023-11-09,24.12,24.13,24.13,23.1,4.67K,0.00%
2023-11-08,24.12,21.65,24.13,21.65,22.07K,19.94%
2023-11-07,20.11,22.5,22.5,21.55,0.27K,0.00%
2023-11-06,20.11,21.81,22.49,21.68,2.37K,0.00%
2023-11-05,20.11,21.4,22.2,21.25,0.15K,0.00%
2023-11-02,20.11,21.06,22.15,21.06,2.48K,0.00%
2023-11-01,20.11,21.02,21.98,21.02,1.40K,0.00%
2023-10-31,20.11,22.5,22.5,20.6,1.61K,0.00%
2023-10-30,20.11,21.97,22.0,21.04,8.14K,0.00%
2023-10-29,20.11,20.7,21.7,20.21,11.87K,0.00%
2023-10-26,20.11,20.77,21.0,20.77,7.64K,0.00%
2023-10-25,20.11,20.2,20.8,20.2,5.20K,0.00%
2023-10-24,20.11,20.3,20.8,20.2,4.14K,0.00%
2023-10-23,20.11,20.5,20.5,20.2,0.57K,0.00%
2023-10-22,20.11,20.15,20.5,20.15,0.75K,0.00%
2023-10-19,20.11,20.14,20.69,20.14,0.23K,0.00%
2023-10-18,20.11,20.02,20.74,20.0,16.77K,0.75%
2023-10-17,19.96,19.96,20.74,19.55,12.88K,0.00%
2023-10-16,19.96,19.12,20.59,19.12,1.99K,0.00%
