Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,233.52,215.0,243.43,215.0,0.28K,10.67%
2023-12-10,211.0,250.0,252.0,200.0,2.14K,-15.14%
2023-12-07,248.64,245.0,250.5,238.08,0.42K,0.00%
2023-12-06,248.64,245.0,253.0,235.0,2.95K,0.36%
2023-12-05,247.75,248.5,253.0,244.0,4.16K,0.87%
2023-12-04,245.61,238.51,249.49,238.51,1.36K,0.06%
2023-12-03,245.46,245.3,251.0,236.0,0.35K,0.00%
2023-11-30,245.46,236.02,245.3,236.0,0.55K,0.00%
2023-11-29,245.46,244.6,249.8,230.1,2.61K,5.10%
2023-11-28,233.55,248.52,253.0,225.0,2.55K,-6.02%
2023-11-27,248.52,253.0,254.0,245.0,3.59K,-0.62%
2023-11-26,250.07,259.0,259.59,245.01,2.87K,-1.26%
2023-11-23,253.26,254.62,263.98,240.0,4.75K,-0.53%
2023-11-22,254.62,250.0,260.0,248.0,5.26K,0.17%
2023-11-21,254.2,232.0,262.0,220.0,21.28K,15.51%
2023-11-20,220.06,240.1,268.0,185.0,18.31K,-4.50%
2023-11-19,230.44,195.0,230.44,195.0,22.61K,20.00%
2023-11-16,192.04,159.99,192.04,155.55,16.16K,20.00%
2023-11-15,160.04,147.99,168.68,145.01,8.42K,9.61%
2023-11-14,146.01,142.99,149.0,130.0,1.19K,0.00%
2023-11-13,146.01,146.01,149.0,146.0,1.11K,0.00%
2023-11-12,146.01,149.5,149.5,146.2,0.50K,0.00%
2023-11-09,146.01,149.25,150.0,146.1,0.76K,0.00%
2023-11-08,146.01,150.0,154.0,131.0,2.65K,-2.15%
2023-11-07,149.22,153.0,153.5,130.1,4.45K,-0.73%
2023-11-06,150.32,154.5,154.5,150.31,1.47K,0.00%
2023-11-05,150.32,158.0,159.4,150.0,3.84K,-5.90%
2023-11-02,159.74,154.0,158.99,152.0,1.11K,0.00%
2023-11-01,159.74,151.0,164.6,151.0,0.99K,0.00%
2023-10-31,159.74,163.01,168.49,150.01,2.58K,-1.37%
2023-10-30,161.96,172.99,172.99,160.0,1.94K,-7.81%
2023-10-29,175.68,179.0,179.0,175.0,5.57K,-1.05%
2023-10-26,177.54,174.99,179.99,173.5,2.51K,2.97%
2023-10-25,172.42,169.0,175.0,167.01,3.57K,3.29%
2023-10-24,166.93,165.01,170.0,165.0,0.82K,0.00%
2023-10-23,166.93,169.49,169.49,165.0,1.28K,0.00%
2023-10-22,166.93,170.99,171.0,164.64,2.06K,-0.22%
2023-10-19,167.29,171.0,171.0,165.5,8.96K,-0.11%
2023-10-18,167.48,169.0,169.0,159.0,8.51K,0.44%
2023-10-17,166.75,170.0,170.0,165.1,3.13K,-1.95%
2023-10-16,170.07,169.15,173.99,167.0,10.31K,0.54%
