Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,37.38,37.29,38.25,35.9,59.44K,2.81%
2023-12-10,36.36,39.1,39.88,36.24,376.92K,-6.26%
2023-12-07,38.79,40.19,40.19,38.2,90.40K,-3.29%
2023-12-06,40.11,40.15,40.69,39.65,169.59K,-0.17%
2023-12-05,40.18,39.5,41.0,38.9,107.16K,3.32%
2023-12-04,38.89,39.05,39.48,38.72,97.28K,-0.21%
2023-12-03,38.97,39.97,40.69,38.77,50.37K,0.26%
2023-11-30,38.87,38.75,39.49,38.7,25.45K,-0.15%
2023-11-29,38.93,39.39,39.5,38.5,42.75K,-0.21%
2023-11-28,39.01,38.62,39.97,38.59,69.56K,0.52%
2023-11-27,38.81,40.46,40.97,38.7,103.78K,-3.34%
2023-11-26,40.15,40.2,40.95,40.01,61.98K,0.02%
2023-11-23,40.14,41.5,41.98,40.0,54.23K,-2.50%
2023-11-22,41.17,41.5,41.9,40.56,110.34K,-0.46%
2023-11-21,41.36,41.9,42.5,40.54,112.44K,-0.77%
2023-11-20,41.68,38.5,42.0,38.0,507.56K,8.26%
2023-11-19,38.5,37.0,38.5,36.83,140.91K,4.56%
2023-11-16,36.82,36.9,37.51,36.71,49.45K,-0.11%
2023-11-15,36.86,37.15,37.5,36.63,62.25K,-0.57%
2023-11-14,37.07,37.89,37.89,36.52,32.04K,-1.01%
2023-11-13,37.45,37.5,38.0,33.0,314.67K,-0.35%
2023-11-12,37.58,38.84,39.33,37.01,84.75K,-1.00%
2023-11-09,37.96,38.5,39.3,37.5,130.93K,-1.12%
2023-11-08,38.39,36.5,38.7,36.0,170.66K,5.26%
2023-11-07,36.47,35.51,36.5,34.5,95.44K,5.74%
2023-11-06,34.49,36.49,36.49,34.4,169.58K,-3.71%
2023-11-05,35.82,36.17,36.99,35.77,100.81K,0.17%
2023-11-02,35.76,36.5,38.0,35.6,282.13K,-0.20%
2023-11-01,35.83,38.02,38.05,35.21,148.29K,-5.76%
2023-10-31,38.02,39.94,39.94,37.1,183.53K,-3.08%
2023-10-30,39.23,40.69,40.69,38.01,264.53K,-2.92%
2023-10-29,40.41,42.99,42.99,40.25,74.38K,-5.98%
2023-10-26,42.98,44.49,45.0,42.15,186.33K,-3.11%
2023-10-25,44.36,42.5,44.55,42.11,192.89K,4.55%
2023-10-24,42.43,41.49,45.5,40.01,576.58K,-0.16%
2023-10-23,42.5,41.27,43.5,41.27,633.59K,3.76%
2023-10-22,40.96,37.0,41.5,36.9,1.04M,10.70%
2023-10-19,37.0,37.5,38.38,37.0,652.29K,-0.05%
2023-10-18,37.02,35.55,38.37,34.9,562.99K,4.08%
2023-10-17,35.57,35.51,35.9,34.5,316.09K,1.28%
2023-10-16,35.12,33.81,36.28,33.8,610.66K,4.06%
2023-10-15,33.75,33.98,34.4,33.7,182.74K,0.48%
2023-10-12,33.59,33.36,33.92,33.09,117.57K,0.75%
2023-10-11,33.34,33.43,34.6,33.27,226.31K,-1.10%
2023-10-10,33.71,33.15,33.9,33.15,156.85K,1.20%
2023-10-09,33.31,33.8,33.99,33.0,95.44K,-0.06%
2023-10-08,33.33,34.02,34.39,30.0,287.77K,-2.03%
2023-10-04,34.02,33.15,34.38,32.55,184.99K,2.87%
2023-10-03,33.07,34.33,34.97,33.0,261.14K,-3.59%
2023-10-02,34.3,35.59,35.59,33.51,354.03K,-2.86%
2023-10-01,35.31,33.22,35.98,33.21,991.34K,9.42%
2023-09-27,32.27,32.84,33.25,31.91,606.88K,0.66%
2023-09-26,32.06,32.5,32.79,32.0,160.92K,-0.74%
2023-09-25,32.3,32.0,32.94,32.0,285.93K,1.03%
2023-09-24,31.97,30.16,32.09,30.15,270.46K,6.21%
2023-09-21,30.1,30.3,30.69,29.73,177.59K,0.20%
2023-09-20,30.04,30.0,30.88,29.57,259.91K,0.67%
2023-09-19,29.84,30.01,30.29,29.61,323.93K,0.13%
2023-09-18,29.8,28.7,30.29,28.55,528.14K,5.30%
2023-09-17,28.3,27.5,28.95,27.28,219.06K,2.72%
2023-09-14,27.55,27.26,27.7,27.26,41.21K,0.99%
2023-09-13,27.28,27.24,27.69,27.0,71.81K,0.89%
2023-09-12,27.04,27.0,27.4,26.88,49.70K,0.15%
2023-09-11,27.0,27.32,27.36,26.96,52.50K,-0.70%
2023-09-10,27.19,26.8,27.48,26.74,56.80K,2.64%
2023-09-07,26.49,26.85,26.88,26.35,34.16K,1.65%
2023-09-06,26.06,27.2,27.22,25.5,141.74K,-3.84%
2023-09-05,27.1,27.09,27.25,27.02,34.54K,0.04%
2023-09-04,27.09,27.3,27.3,26.88,55.82K,-0.51%
2023-09-03,27.23,27.3,27.78,27.17,49.14K,0.29%
2023-08-31,27.15,27.05,27.3,27.05,37.84K,0.15%
2023-08-30,27.11,27.09,27.34,27.0,91.15K,0.15%
2023-08-29,27.07,27.48,27.48,27.0,61.54K,-0.51%
2023-08-28,27.21,27.6,28.0,26.91,363.47K,0.82%
2023-08-27,26.99,25.49,27.19,25.36,390.10K,7.87%
2023-08-24,25.02,25.01,25.2,24.96,47.49K,0.08%
2023-08-23,25.0,25.3,25.3,25.0,54.45K,-0.56%
2023-08-22,25.14,25.01,25.33,25.0,22.90K,0.56%
2023-08-21,25.0,25.01,25.3,25.0,61.85K,-0.16%
2023-08-20,25.04,25.12,25.37,25.0,11.41K,0.00%
2023-08-17,25.04,24.9,25.08,24.62,78.82K,0.60%
2023-08-16,24.89,25.02,25.42,24.81,64.78K,-0.76%
2023-08-15,25.08,25.22,25.33,24.86,53.19K,-0.56%
2023-08-14,25.22,25.01,25.62,25.01,132.01K,0.76%
2023-08-13,25.03,24.75,25.28,24.7,132.11K,2.25%
2023-08-10,24.48,24.61,24.78,24.28,74.80K,0.12%
2023-08-09,24.45,24.14,24.6,24.0,162.24K,1.54%
2023-08-08,24.08,24.05,24.2,23.8,73.08K,0.08%
2023-08-07,24.06,24.0,24.37,24.0,86.81K,-0.29%
2023-08-06,24.13,23.18,24.18,23.18,118.61K,3.38%
2023-08-03,23.34,23.5,23.6,23.2,21.41K,-0.72%
2023-08-02,23.51,23.83,23.9,23.42,15.16K,-0.97%
2023-08-01,23.74,23.32,23.94,23.32,51.72K,0.68%
2023-07-31,23.58,23.73,23.89,23.41,27.92K,0.08%
2023-07-30,23.56,23.45,23.9,23.06,112.53K,3.15%
2023-07-27,22.84,22.91,23.46,22.79,33.47K,-0.52%
2023-07-26,22.96,23.1,23.1,22.91,36.06K,-0.39%
2023-07-25,23.05,23.1,23.4,23.01,46.82K,0.00%
2023-07-24,23.05,23.5,23.59,23.0,91.66K,-2.04%
2023-07-19,23.53,23.55,23.6,23.11,45.96K,1.25%
2023-07-18,23.24,23.57,23.57,23.17,32.97K,0.00%
2023-07-17,23.24,23.56,23.59,23.12,23.75K,-0.73%
2023-07-16,23.41,23.47,23.6,23.05,27.35K,0.13%
2023-07-13,23.38,22.82,23.5,22.82,26.95K,1.48%
2023-07-12,23.04,22.94,23.35,22.8,13.38K,1.41%
2023-07-11,22.72,22.7,22.94,22.4,54.01K,0.44%
2023-07-10,22.62,22.37,22.95,22.07,15.18K,0.94%
2023-07-09,22.41,22.85,23.15,22.26,65.58K,-2.44%
2023-07-06,22.97,23.1,23.5,22.8,40.90K,-0.35%
2023-07-05,23.05,23.27,23.28,23.0,67.79K,-0.86%
2023-07-04,23.25,23.5,23.94,23.2,43.31K,-0.81%
2023-06-26,23.44,23.44,23.5,23.14,52.29K,0.00%
2023-06-25,23.44,23.3,23.9,23.19,69.85K,1.82%
2023-06-22,23.02,23.2,23.7,22.95,61.80K,-0.86%
2023-06-21,23.22,23.95,23.95,23.1,110.47K,-1.15%
2023-06-20,23.49,23.6,23.75,23.42,114.07K,0.99%
2023-06-19,23.26,23.3,24.0,23.0,110.68K,-0.13%
2023-06-18,23.29,23.1,23.59,23.1,49.68K,1.26%
2023-06-15,23.0,23.4,23.67,23.0,63.63K,-2.17%
2023-06-14,23.51,23.57,23.99,23.4,44.72K,0.34%
2023-06-13,23.43,23.2,24.5,23.2,197.39K,1.38%
2023-06-12,23.11,23.39,23.74,23.1,12.37K,0.52%
2023-06-11,22.99,22.55,23.37,22.55,91.65K,1.19%
2023-06-08,22.72,22.6,23.14,22.0,59.50K,-0.48%
2023-06-07,22.83,23.0,23.39,22.61,35.19K,-0.74%
2023-06-06,23.0,23.01,23.45,23.0,53.86K,0.79%
2023-06-05,22.82,23.59,23.68,22.8,141.93K,-1.25%
2023-06-04,23.11,23.56,23.85,23.0,87.57K,-1.83%
2023-06-01,23.54,23.6,23.7,23.37,58.69K,0.21%
2023-05-31,23.49,23.65,23.85,23.35,85.86K,-0.42%
2023-05-30,23.59,23.65,23.85,23.55,116.51K,-0.34%
2023-05-29,23.67,23.46,23.95,23.41,32.76K,0.68%
2023-05-28,23.51,23.83,23.83,23.45,52.93K,-0.34%
2023-05-25,23.59,23.99,24.0,23.55,98.32K,-0.63%
2023-05-24,23.74,23.98,24.38,23.5,115.30K,3.04%
2023-05-23,23.04,23.9,24.3,22.8,163.19K,-2.99%
2023-05-22,23.75,25.0,25.0,23.6,101.69K,-3.34%
2023-05-21,24.57,25.8,25.8,24.5,84.09K,-3.42%
2023-05-18,25.44,25.72,25.89,25.26,40.12K,-1.55%
2023-05-17,25.84,26.0,26.3,25.71,63.23K,-0.58%
2023-05-16,25.99,26.1,26.15,25.83,117.91K,-0.42%
2023-05-15,26.1,26.15,26.5,26.05,85.51K,-0.76%
2023-05-14,26.3,26.7,26.7,26.01,47.61K,0.61%
2023-05-11,26.14,26.26,26.6,26.05,93.69K,0.27%
2023-05-10,26.07,26.0,26.27,25.67,84.89K,-0.53%
2023-05-09,26.21,26.59,26.9,26.06,120.20K,-0.27%
2023-05-08,26.28,26.01,26.99,26.0,251.23K,1.27%
2023-05-07,25.95,25.7,26.0,25.26,35.41K,1.17%
2023-05-03,25.65,25.77,26.35,25.55,40.42K,-1.27%
2023-05-02,25.98,26.49,26.75,25.8,61.32K,-1.25%
2023-05-01,26.31,27.01,27.21,26.01,97.16K,-2.52%
2023-04-30,26.99,27.33,28.3,26.86,225.08K,-1.24%
2023-04-27,27.33,27.5,27.69,26.92,170.82K,0.40%
2023-04-26,27.22,27.89,27.98,26.84,115.68K,-1.16%
2023-04-19,27.54,26.6,27.99,26.6,160.78K,4.32%
2023-04-18,26.4,26.18,26.7,26.0,91.83K,1.19%
2023-04-13,26.09,25.14,26.26,25.14,69.90K,3.78%
2023-04-12,25.14,25.2,25.4,24.93,27.24K,0.20%
2023-04-11,25.09,24.73,25.47,24.73,29.41K,1.54%
2023-04-10,24.71,25.29,25.29,24.18,23.95K,0.28%
2023-04-09,24.64,25.88,26.21,24.33,82.10K,-4.97%
2023-04-06,25.93,25.98,26.5,25.56,87.44K,0.58%
2023-04-05,25.78,25.06,26.0,24.93,88.30K,2.91%
2023-04-04,25.05,25.0,25.4,24.7,89.93K,1.09%
2023-04-03,24.78,24.88,25.2,24.26,91.43K,3.21%
2023-04-02,24.01,24.6,24.6,23.5,35.90K,-0.08%
2023-03-30,24.03,24.8,24.8,23.96,72.79K,-2.63%
2023-03-29,24.68,23.97,25.44,23.55,55.90K,3.01%
2023-03-28,23.96,23.8,24.01,23.31,21.75K,0.25%
2023-03-27,23.9,24.44,24.9,23.0,24.73K,-2.21%
2023-03-26,24.44,24.89,25.25,24.25,65.64K,1.03%
2023-03-23,24.19,24.98,25.0,24.0,73.44K,-3.24%
2023-03-22,25.0,25.47,26.0,24.11,102.28K,-0.28%
2023-03-21,25.07,23.64,25.49,23.64,166.89K,8.39%
2023-03-20,23.13,22.99,23.35,22.41,75.08K,1.63%
2023-03-19,22.76,23.42,23.42,21.02,27.70K,1.20%
2023-03-16,22.49,22.48,23.85,20.5,198.86K,0.09%
2023-03-15,22.47,24.43,25.15,21.6,152.62K,-6.49%
2023-03-14,24.03,24.8,25.5,23.45,189.96K,-1.80%
2023-03-13,24.47,26.14,26.23,24.12,78.04K,-6.17%
2023-03-12,26.08,26.75,26.97,25.53,92.25K,-2.69%
2023-03-09,26.8,26.31,26.99,26.3,31.51K,1.98%
2023-03-08,26.28,26.92,26.95,26.0,29.95K,0.42%
2023-03-07,26.17,27.01,27.2,26.11,53.74K,-2.82%
2023-03-06,26.93,27.0,27.09,26.7,97.60K,0.34%
2023-03-05,26.84,26.01,27.4,25.51,202.87K,3.27%
2023-03-02,25.99,26.89,26.9,25.6,102.71K,-2.26%
2023-03-01,26.59,26.21,27.49,26.21,181.13K,0.26%
2023-02-28,26.52,26.0,26.7,25.51,91.53K,3.55%
2023-02-27,25.61,26.5,26.75,25.21,80.75K,-3.65%
2023-02-26,26.58,26.02,27.7,25.9,622.90K,4.56%
2023-02-23,25.42,23.64,25.69,23.3,342.31K,9.05%
2023-02-22,23.31,23.1,23.8,23.01,124.18K,1.26%
2023-02-21,23.02,23.0,23.5,22.91,105.35K,-0.90%
2023-02-20,23.23,23.5,24.0,23.0,197.95K,-1.53%
2023-02-19,23.59,23.9,24.49,23.49,364.25K,-0.63%
2023-02-16,23.74,22.88,23.9,22.75,255.21K,4.40%
2023-02-15,22.74,21.8,22.95,21.8,78.62K,3.46%
2023-02-14,21.98,22.09,22.4,21.63,44.26K,2.42%
2023-02-13,21.46,22.3,22.3,21.36,33.70K,-2.98%
2023-02-12,22.12,22.0,22.5,21.8,34.03K,-0.49%
2023-02-09,22.23,21.65,22.5,21.65,100.12K,2.02%
2023-02-08,21.79,21.43,22.2,21.3,105.56K,2.54%
2023-02-07,21.25,20.52,21.5,20.52,24.91K,3.66%
2023-02-06,20.5,21.49,21.49,20.07,86.12K,-2.29%
2023-02-05,20.98,21.43,21.99,20.21,33.83K,-2.37%
2023-02-02,21.49,21.99,22.25,21.44,29.98K,-0.32%
2023-02-01,21.56,21.76,22.05,21.18,45.56K,-0.92%
2023-01-31,21.76,22.0,22.44,21.17,39.83K,-1.05%
2023-01-30,21.99,22.95,22.95,21.89,117.14K,-2.91%
2023-01-29,22.65,22.71,23.6,22.62,178.47K,0.49%
2023-01-25,22.54,22.0,22.79,21.5,39.53K,2.45%
2023-01-24,22.0,22.24,22.6,21.92,182.00K,-1.08%
2023-01-23,22.24,22.43,22.79,22.08,110.80K,-0.85%
2023-01-22,22.43,22.11,22.8,22.02,32.63K,1.95%
2023-01-19,22.0,22.3,22.89,21.93,176.80K,-2.00%
2023-01-18,22.45,23.01,23.49,22.3,121.08K,-2.39%
2023-01-17,23.0,23.4,23.4,22.9,149.64K,-1.33%
2023-01-16,23.31,22.92,24.0,22.92,162.21K,2.91%
2023-01-15,22.65,22.39,22.93,22.0,96.91K,2.95%
2023-01-12,22.0,22.49,22.59,21.26,128.06K,0.00%
2023-01-11,22.0,21.9,23.9,21.22,147.14K,2.85%
2023-01-10,21.39,22.38,22.4,21.0,170.59K,-2.86%
2023-01-09,22.02,21.7,22.5,21.7,87.98K,2.42%
2023-01-05,21.5,20.53,21.52,20.53,232.47K,4.78%
2023-01-04,20.52,20.22,20.71,19.2,233.57K,1.68%
2023-01-03,20.18,20.55,20.55,20.12,86.82K,-0.64%
2023-01-02,20.31,19.82,20.7,19.8,117.04K,2.52%
2022-12-29,19.81,19.71,20.14,19.71,101.81K,0.30%
2022-12-28,19.75,19.82,19.98,19.68,30.89K,-1.10%
