Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,38.64,36.0,37.49,36.0,0.41K,7.33%
2023-12-10,36.0,36.8,37.5,36.0,1.32K,-6.83%
2023-12-07,38.64,38.05,38.05,36.5,0.74K,0.00%
2023-12-06,38.64,37.9,38.0,36.5,2.82K,0.00%
2023-12-05,38.64,38.0,38.99,37.9,1.21K,0.00%
2023-12-04,38.64,37.9,39.79,37.5,7.47K,0.00%
2023-12-03,38.64,37.72,38.26,37.5,2.53K,0.00%
2023-11-30,38.64,39.88,40.97,37.05,9.41K,-3.98%
2023-11-29,40.24,39.0,40.25,39.0,7.15K,0.00%
2023-11-28,40.24,38.5,41.6,37.98,41.89K,5.40%
2023-11-27,38.18,36.5,38.5,36.0,16.88K,4.69%
2023-11-26,36.47,36.11,37.0,36.0,11.17K,1.70%
2023-11-23,35.86,36.0,36.5,35.5,6.63K,0.00%
2023-11-22,35.86,36.0,36.49,35.5,1.48K,0.00%
2023-11-21,35.86,36.0,37.88,35.23,4.56K,0.00%
2023-11-20,35.86,36.0,36.53,35.21,9.43K,0.67%
2023-11-19,35.62,34.93,36.0,34.31,8.44K,4.40%
2023-11-16,34.12,35.2,35.99,34.0,14.75K,-2.40%
2023-11-15,34.96,35.9,36.1,34.3,16.48K,-3.05%
2023-11-14,36.06,36.0,36.1,35.5,1.70K,0.00%
2023-11-13,36.06,35.1,36.0,35.1,1.48K,0.00%
2023-11-12,36.06,35.15,36.58,35.0,2.28K,0.00%
2023-11-09,36.06,36.67,36.7,34.0,7.48K,0.00%
2023-11-08,36.06,36.36,36.75,35.82,13.92K,-8.41%
2023-11-07,39.37,35.7,36.99,35.7,3.64K,0.00%
2023-11-06,39.37,37.0,39.37,35.5,6.83K,0.00%
2023-11-05,39.37,37.38,39.7,37.38,2.87K,0.00%
2023-11-02,39.37,39.48,39.48,37.37,2.83K,0.00%
2023-11-01,39.37,39.8,39.8,37.02,5.57K,0.00%
2023-10-31,39.37,39.0,39.0,37.01,3.72K,0.00%
2023-10-30,39.37,38.01,40.0,38.01,2.10K,0.00%
2023-10-29,39.37,41.0,41.89,37.52,5.13K,0.00%
2023-10-26,39.37,38.33,41.9,35.8,16.33K,6.72%
2023-10-25,36.89,35.01,38.35,35.01,2.24K,0.00%
2023-10-24,36.89,37.05,38.35,34.11,2.31K,0.00%
2023-10-23,36.89,37.0,37.0,37.0,1.28K,0.00%
2023-10-22,36.89,36.99,37.5,36.2,1.72K,0.00%
2023-10-19,36.89,37.0,37.0,35.0,3.37K,0.00%
2023-10-18,36.89,36.88,37.0,34.55,3.72K,0.00%
2023-10-17,36.89,36.0,36.89,33.77,3.57K,0.00%
2023-10-16,36.89,36.35,36.35,33.01,6.97K,0.00%
2023-10-15,36.89,34.99,36.54,34.5,2.05K,0.00%
2023-10-12,36.89,34.3,35.5,33.0,0.78K,0.00%
2023-10-11,36.89,34.01,36.44,34.01,1.06K,0.00%
2023-10-10,36.89,36.0,36.0,34.0,1.00K,0.00%
2023-10-09,36.89,30.6,36.89,30.6,1.15K,0.00%
2023-10-08,36.89,35.99,35.99,35.0,0.11K,0.00%
2023-10-04,36.89,35.5,36.89,30.5,1.90K,0.00%
2023-10-03,36.89,36.0,36.0,35.5,0.64K,0.00%
2023-10-02,36.89,35.64,36.6,35.0,0.88K,0.00%
2023-10-01,36.89,36.8,37.0,35.63,1.46K,0.00%
2023-09-27,36.89,37.0,37.0,35.6,0.91K,0.00%
