Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,236.27,230.0,230.0,228.1,0.07K,2.73%
2023-12-10,230.0,235.99,245.0,228.03,0.26K,-2.65%
2023-12-07,236.27,230.0,235.99,227.01,0.06K,0.00%
2023-12-06,236.27,227.03,237.0,227.0,0.17K,0.00%
2023-12-05,236.27,237.0,237.0,231.01,0.18K,0.00%
2023-12-04,236.27,231.5,240.0,231.5,0.58K,0.00%
2023-12-03,236.27,226.21,240.0,226.21,0.13K,0.00%
2023-11-30,236.27,226.9,235.95,226.0,1.01K,0.00%
2023-11-29,236.27,225.5,235.0,225.5,0.76K,0.00%
2023-11-28,236.27,236.0,239.89,223.0,1.07K,0.00%
2023-11-27,236.27,235.0,240.99,220.0,1.25K,0.00%
2023-11-26,236.27,248.99,248.99,220.0,1.33K,-5.25%
2023-11-23,249.37,250.0,250.0,237.0,0.69K,0.00%
2023-11-22,249.37,239.2,252.0,212.0,4.34K,4.98%
2023-11-21,237.54,234.0,240.67,210.19,3.63K,17.25%
2023-11-20,202.59,218.99,239.0,206.65,1.05K,0.00%
2023-11-19,202.59,213.0,219.0,205.35,0.67K,0.00%
2023-11-16,202.59,210.0,214.0,210.0,0.59K,0.00%
2023-11-15,202.59,213.0,213.0,205.0,0.07K,0.00%
2023-11-14,202.59,203.62,214.0,203.62,0.20K,0.00%
2023-11-13,202.59,202.6,212.99,202.6,0.26K,0.00%
2023-11-12,202.59,201.0,214.8,201.0,1.01K,0.00%
2023-11-09,202.59,200.01,214.46,200.01,0.87K,0.00%
2023-11-08,202.59,200.0,215.0,198.0,1.72K,-0.68%
2023-11-07,203.98,200.0,202.0,197.0,0.38K,0.00%
2023-11-06,203.98,202.88,202.88,197.01,0.24K,0.00%
2023-11-05,203.98,197.1,202.97,197.1,0.09K,0.00%
2023-11-02,203.98,200.0,202.0,197.0,0.28K,0.00%
2023-11-01,203.98,200.0,200.0,197.5,0.97K,0.00%
2023-10-31,203.98,199.0,200.0,198.5,0.20K,0.00%
2023-10-30,203.98,197.26,202.0,197.26,0.60K,0.00%
2023-10-29,203.98,202.99,202.99,197.0,1.26K,0.00%
2023-10-26,203.98,197.54,203.4,197.5,0.36K,0.00%
2023-10-25,203.98,200.01,203.45,197.31,0.39K,0.00%
2023-10-24,203.98,199.5,203.4,196.26,0.77K,0.00%
2023-10-23,203.98,203.5,203.5,199.0,0.44K,0.00%
2023-10-22,203.98,200.05,203.5,200.05,0.13K,0.00%
2023-10-19,203.98,203.0,203.0,199.0,0.06K,0.00%
2023-10-18,203.98,204.0,204.0,200.1,0.03K,0.00%
2023-10-17,203.98,203.98,204.0,199.1,1.63K,0.99%
2023-10-16,201.99,199.5,204.0,196.25,0.36K,0.00%
2023-10-15,201.99,201.0,201.99,201.0,0.07K,0.00%
2023-10-12,201.99,199.0,201.0,197.0,0.08K,0.00%
2023-10-11,201.99,201.99,201.99,201.0,0.01K,0.00%
2023-10-10,201.99,201.98,202.0,201.0,2.20K,-0.21%
2023-10-09,202.42,199.0,202.0,196.25,0.18K,0.00%
2023-10-08,202.42,199.0,204.0,196.25,0.62K,0.00%
2023-10-04,202.42,202.0,203.49,198.0,0.22K,0.00%
2023-10-03,202.42,204.0,204.0,198.0,0.77K,0.00%
