Date,Price,Open,High,Low,Vol.,Change %
2023-12-10,1.253,1.253,1.253,1.253,4.25K,-9.99%
2023-12-06,1.392,1.253,1.253,1.253,2.00K,0.00%
2023-12-03,1.392,1.253,1.253,1.253,9.54K,0.00%
2023-11-29,1.392,1.253,1.253,1.253,4.32K,0.00%
2023-11-23,1.392,1.253,1.253,1.253,1.36K,0.00%
2023-11-19,1.392,1.253,1.253,1.253,4.20K,0.00%
2023-11-16,1.392,1.253,1.253,1.253,3.00K,0.00%
2023-11-15,1.392,1.253,1.253,1.253,3.30K,0.00%
2023-10-04,1.392,1.253,1.253,1.253,0.52K,0.00%
2023-09-24,1.392,1.253,1.253,1.253,0.13K,0.00%
2023-09-21,1.392,1.253,1.253,1.253,0.08K,0.00%
2023-09-10,1.392,1.253,1.253,1.253,0.08K,0.00%
2023-09-05,1.392,1.253,1.253,1.253,0.02K,0.00%
2023-09-03,1.392,1.253,1.253,1.253,0.25K,0.00%
2023-08-23,1.392,1.253,1.253,1.253,5.50K,0.00%
2023-08-22,1.392,1.253,1.253,1.253,0.17K,0.00%
2023-07-19,1.392,1.253,1.253,1.253,0.19K,0.00%
2023-07-16,1.392,1.253,1.253,1.253,0.17K,0.00%
2023-07-09,1.392,1.253,1.253,1.253,0.01K,0.00%
2023-07-05,1.392,1.253,1.253,1.253,0.00K,0.00%
2023-06-19,1.392,1.253,1.253,1.253,0.10K,0.00%
2023-06-18,1.392,1.253,1.253,1.253,33.00K,0.00%
2023-06-12,1.392,1.392,1.392,1.392,,0.00%
2023-06-11,1.392,1.253,1.253,1.253,3.00K,0.00%
2023-06-07,1.392,1.253,1.253,1.253,0.02K,0.00%
2023-06-04,1.392,1.253,1.253,1.253,16.50K,0.00%
2023-06-01,1.392,1.253,1.253,1.253,0.39K,0.00%
2023-05-14,1.392,1.253,1.253,1.253,0.02K,0.00%
2023-05-09,1.392,1.253,1.253,1.253,0.01K,0.00%
2023-05-02,1.392,1.253,1.253,1.253,0.76K,0.00%
2023-03-28,1.392,1.253,1.253,1.253,0.01K,0.00%
2023-03-27,1.392,1.253,1.253,1.253,0.08K,0.00%
2023-03-23,1.392,1.253,1.253,1.253,0.08K,0.00%
2023-03-13,1.392,1.253,1.253,1.253,2.64K,0.00%
2023-03-09,1.392,1.253,1.253,1.253,0.00K,0.00%
2023-02-22,1.392,1.253,1.253,1.253,0.10K,0.00%
2023-02-20,1.392,1.253,1.253,1.253,0.10K,0.00%
2023-02-15,1.392,1.253,1.253,1.253,1.29K,0.00%
2023-02-08,1.392,1.253,1.253,1.253,0.39K,0.00%
2023-02-06,1.392,1.253,1.253,1.253,0.01K,0.00%
2023-02-02,1.392,1.253,1.253,1.253,0.72K,0.00%
2023-01-29,1.392,1.253,1.253,1.253,5.45K,0.00%
2023-01-25,1.392,1.253,1.253,1.253,0.01K,0.00%
2023-01-15,1.392,1.253,1.253,1.253,0.25K,0.00%
2023-01-12,1.392,1.253,1.253,1.253,1.12K,0.00%
2023-01-04,1.392,1.253,1.253,1.253,11.56K,0.00%
2023-01-03,1.392,1.253,1.253,1.253,21.47K,0.00%
2023-01-02,1.392,1.253,1.253,1.253,6.51K,0.00%
2022-12-29,1.392,1.253,1.253,1.253,36.84K,0.00%
2022-12-25,1.392,1.253,1.253,1.253,0.06K,0.00%
2022-12-20,1.392,1.253,1.253,1.253,0.07K,0.00%
2022-12-19,1.392,1.253,1.253,1.253,0.04K,0.00%
2022-12-18,1.392,1.253,1.253,1.253,54.54K,0.00%
2022-12-15,1.392,1.39,1.39,1.253,1.63K,0.00%
2022-12-13,1.392,1.253,1.253,1.253,0.07K,0.00%
2022-12-12,1.392,1.253,1.253,1.253,0.10K,0.00%
2022-12-06,1.392,1.253,1.253,1.253,4.44K,0.00%
2022-12-05,1.392,1.253,1.253,1.253,36.28K,0.00%
2022-12-04,1.392,1.392,1.392,1.392,395.07K,-9.96%
2022-11-16,1.546,1.392,1.392,1.392,1.45K,0.00%
2022-09-05,1.546,1.392,1.392,1.392,2.00K,0.00%
2022-09-04,1.546,1.392,1.392,1.392,1.00K,0.00%
2022-09-01,1.546,1.392,1.392,1.392,0.20K,0.00%
2022-08-31,1.546,1.392,1.392,1.392,0.30K,0.00%
2022-08-30,1.546,1.392,1.392,1.392,76.14K,0.00%
2022-08-29,1.546,1.396,1.396,1.392,0.20K,0.00%
2022-08-15,1.546,1.392,1.392,1.392,1.00K,0.00%
2022-06-16,1.546,1.392,1.392,1.392,0.05K,0.00%
2022-04-12,1.546,1.392,1.392,1.392,0.10K,0.00%
2022-02-13,1.546,1.392,1.392,1.392,0.10K,0.00%
2022-02-09,1.546,1.392,1.392,1.392,1.07K,0.00%
2022-01-18,1.546,1.392,1.392,1.392,3.00K,0.00%
2022-01-12,1.546,1.392,1.392,1.392,0.04K,0.00%
2022-01-05,1.546,1.392,1.392,1.392,1.00K,0.00%
2021-12-28,1.546,1.392,1.392,1.392,0.45K,0.00%
2021-12-26,1.546,1.392,1.392,1.392,0.05K,0.00%
2021-12-21,1.546,1.392,1.392,1.392,0.04K,0.00%
2021-12-13,1.546,1.392,1.392,1.392,0.01K,0.00%
2021-12-12,1.546,1.392,1.392,1.392,0.24K,0.00%
2021-12-08,1.546,1.392,1.392,1.392,0.10K,0.00%
2021-12-07,1.546,1.392,1.392,1.392,1.20K,0.00%
2021-12-06,1.546,1.392,1.392,1.392,5.00K,0.00%
2021-12-05,1.546,1.392,1.392,1.392,5.00K,0.00%
2021-12-02,1.546,1.392,1.392,1.392,0.13K,0.00%
2021-11-29,1.546,1.392,1.392,1.392,0.00K,0.00%
2021-11-18,1.546,1.392,1.392,1.392,0.04K,0.00%
2021-11-11,1.546,1.392,1.392,1.392,0.76K,0.00%
2021-11-10,1.546,1.392,1.392,1.392,0.00K,0.00%
2021-11-03,1.546,1.392,1.392,1.392,0.01K,0.00%
2021-11-02,1.546,1.392,1.392,1.392,0.04K,0.00%
2021-10-27,1.546,1.392,1.392,1.392,4.00K,0.00%
2021-10-26,1.546,1.392,1.392,1.392,2.08K,0.00%
2021-10-20,1.546,1.392,1.392,1.392,7.12K,0.00%
2021-10-19,1.546,1.402,1.402,1.392,16.50K,0.00%
2021-10-18,1.546,1.392,1.44,1.392,12.08K,0.00%
2021-10-14,1.546,1.44,1.44,1.392,44.40K,0.00%
2021-10-13,1.546,1.392,1.392,1.392,23.30K,0.00%
2021-10-11,1.546,1.412,1.512,1.392,73.01K,0.00%
2021-10-10,1.546,1.41,1.496,1.41,20.08K,0.00%
2021-10-06,1.546,1.459,1.46,1.425,56.45K,0.00%
2021-10-05,1.546,1.403,1.497,1.392,27.31K,0.00%
2021-10-04,1.546,1.402,1.518,1.402,10.45K,0.00%
2021-10-03,1.546,1.57,1.649,1.402,33.38K,0.00%
2021-09-30,1.546,1.393,1.57,1.393,37.76K,0.00%
2021-09-29,1.546,1.65,1.67,1.401,50.66K,0.00%
2021-09-28,1.546,1.546,1.546,1.41,181.36K,9.96%
2021-09-27,1.406,1.406,1.406,1.301,138.85K,9.93%
2021-09-26,1.279,1.406,1.406,1.4,50.62K,0.00%
2021-09-23,1.279,1.405,1.406,1.33,67.89K,0.00%
2021-09-22,1.279,1.164,1.4,1.164,25.17K,0.00%
2021-09-21,1.279,1.31,1.31,1.279,134.15K,-9.99%
2021-09-20,1.421,1.598,1.598,1.4,103.90K,-8.03%
2021-09-19,1.545,1.839,1.863,1.53,192.13K,-9.06%
2021-09-16,1.699,1.699,1.699,1.699,261.76K,9.97%
2021-09-15,1.545,1.545,1.545,1.545,129.24K,9.96%
2021-09-14,1.405,1.405,1.405,1.405,177.53K,9.94%
2021-09-13,1.278,1.278,1.278,1.278,78.25K,9.98%
2021-09-12,1.162,1.162,1.162,1.162,86.06K,9.93%
