Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,1.965,1.95,2.063,1.95,27.36K,-0.96%
2023-12-10,1.984,1.984,1.984,1.796,537.74K,4.97%
2023-12-07,1.89,1.984,1.984,1.984,5.45K,0.00%
2023-12-06,1.89,1.98,1.984,1.98,19.44K,0.00%
2023-12-05,1.89,1.89,1.984,1.89,17.00K,0.00%
2023-12-04,1.89,1.984,1.984,1.875,11.10K,0.00%
2023-12-03,1.89,1.98,1.984,1.88,70.79K,0.00%
2023-11-30,1.89,1.87,1.98,1.87,17.59K,0.00%
2023-11-29,1.89,1.939,1.984,1.9,40.83K,0.00%
2023-11-28,1.89,1.87,1.89,1.85,36.35K,0.00%
2023-11-27,1.89,1.85,1.984,1.83,37.89K,0.00%
2023-11-26,1.89,1.89,1.89,1.89,265.47K,5.00%
2023-11-23,1.8,1.888,1.89,1.888,19.17K,0.00%
2023-11-22,1.8,1.88,1.888,1.88,1.89K,0.00%
2023-11-21,1.8,1.82,1.888,1.82,11.20K,0.00%
2023-11-20,1.8,1.8,1.888,1.8,24.43K,0.00%
2023-11-19,1.8,1.719,1.8,1.719,20.33K,0.00%
2023-11-16,1.8,1.8,1.82,1.8,126.84K,0.00%
2023-11-15,1.8,1.8,1.8,1.73,11.22K,0.00%
2023-11-14,1.8,1.77,1.77,1.73,1.80K,0.00%
2023-11-13,1.8,1.81,1.88,1.71,19.11K,0.00%
2023-11-09,1.8,1.8,1.8,1.8,2.55K,0.00%
2023-11-08,1.8,1.8,1.87,1.8,1.02K,0.00%
2023-11-07,1.8,1.8,1.8,1.74,0.01K,0.00%
2023-11-06,1.8,1.8,1.88,1.8,33.34K,0.00%
2023-11-01,1.8,1.8,1.8,1.8,66.57K,0.00%
2023-10-31,1.8,1.8,1.8,1.79,95.59K,0.00%
2023-10-29,1.8,1.8,1.8,1.8,121.82K,0.00%
2023-10-24,1.8,1.78,1.8,1.78,204.50K,0.56%
2023-10-22,1.79,1.729,1.729,1.729,29.52K,0.00%
2023-10-18,1.79,1.701,1.701,1.701,30.00K,0.00%
2023-10-17,1.79,1.701,1.701,1.701,13.76K,0.00%
2023-10-16,1.79,1.729,1.729,1.729,1.00K,0.00%
2023-10-15,1.79,1.71,1.72,1.71,1.00K,0.00%
2023-10-11,1.79,1.701,1.701,1.701,0.70K,0.00%
2023-10-09,1.79,1.701,1.701,1.701,7.85K,0.00%
2023-09-21,1.79,1.701,1.701,1.701,2.00K,0.00%
2023-09-19,1.79,1.701,1.819,1.701,11.37K,0.00%
2023-09-18,1.79,1.701,1.845,1.701,20.04K,0.00%
2023-09-17,1.79,1.701,1.701,1.701,0.65K,0.00%
2023-09-14,1.79,1.701,1.701,1.701,2.23K,0.00%
2023-09-13,1.79,1.701,1.701,1.701,5.35K,0.00%
2023-09-11,1.79,1.786,1.829,1.786,191.90K,-4.79%
2023-09-07,1.88,1.786,1.786,1.786,0.16K,0.00%
2023-09-04,1.88,1.79,1.88,1.79,5.00K,0.00%
2023-08-29,1.88,1.8,1.85,1.8,3.50K,0.00%
2023-08-28,1.88,1.8,1.8,1.786,19.00K,0.00%
2023-08-17,1.88,1.786,1.786,1.786,0.54K,0.00%
2023-08-15,1.88,1.786,1.88,1.786,18.24K,0.00%
2023-08-14,1.88,1.786,1.786,1.786,2.00K,0.00%
2023-08-13,1.88,1.8,1.8,1.799,42.73K,0.00%
2023-08-09,1.88,1.786,1.786,1.786,1.00K,0.00%
2023-08-07,1.88,1.786,1.786,1.786,11.05K,0.00%
2023-08-06,1.88,1.786,1.786,1.786,97.00K,0.00%
2023-08-02,1.88,1.786,1.786,1.786,17.86K,0.00%
2023-08-01,1.88,1.786,1.786,1.786,13.71K,0.00%
2023-07-31,1.88,1.845,1.845,1.786,151.78K,0.00%
2023-07-30,1.88,1.799,1.8,1.786,109.97K,0.00%
2023-07-27,1.88,1.786,1.88,1.786,8.70K,0.00%
2023-07-26,1.88,1.786,1.786,1.786,96.52K,0.00%
2023-07-25,1.88,1.786,1.786,1.786,6.47K,0.00%
2023-07-19,1.88,1.786,1.786,1.786,6.00K,0.00%
2023-07-17,1.88,1.786,1.786,1.786,0.01K,0.00%
2023-07-13,1.88,1.786,1.786,1.786,9.84K,0.00%
2023-07-09,1.88,1.786,1.786,1.786,0.05K,0.00%
2023-07-05,1.88,1.786,1.786,1.786,14.00K,0.00%
2023-07-04,1.88,1.786,1.786,1.786,5.70K,0.00%
2023-06-26,1.88,1.88,1.88,1.88,8.00K,0.00%
2023-06-25,1.88,1.786,1.786,1.786,5.00K,0.00%
2023-06-22,1.88,1.88,1.88,1.88,12.50K,0.00%
2023-06-21,1.88,1.786,1.786,1.786,0.01K,0.00%
2023-06-20,1.88,1.786,1.8,1.786,5.00K,0.00%
2023-06-19,1.88,1.79,1.88,1.79,14.40K,0.00%
2023-06-18,1.88,1.786,1.786,1.786,30.00K,0.00%
2023-06-15,1.88,1.88,1.88,1.88,11.00K,0.00%
2023-06-14,1.88,1.866,1.866,1.786,13.00K,0.00%
2023-06-13,1.88,1.786,1.786,1.786,5.00K,0.00%
2023-06-11,1.88,1.791,1.88,1.786,14.94K,0.00%
2023-06-08,1.88,1.786,1.88,1.786,8.56K,0.00%
2023-06-07,1.88,1.8,1.88,1.8,17.14K,0.00%
2023-06-06,1.88,1.8,1.88,1.8,30.40K,0.00%
2023-06-05,1.88,1.8,1.8,1.786,8.76K,0.00%
2023-06-04,1.88,1.8,1.8,1.8,2.00K,0.00%
2023-06-01,1.88,1.802,1.81,1.802,2.91K,0.00%
2023-05-31,1.88,1.802,1.88,1.802,14.69K,0.00%
2023-05-30,1.88,1.803,1.88,1.802,5.70K,0.00%
2023-05-29,1.88,1.788,1.793,1.788,6.59K,0.00%
2023-05-25,1.88,1.786,1.88,1.786,1.04K,0.00%
2023-05-22,1.88,1.88,1.88,1.88,2.50K,0.00%
2023-05-15,1.88,1.909,1.92,1.786,21.24K,0.00%
2023-05-14,1.88,1.786,1.879,1.786,1.31K,0.00%
2023-05-11,1.88,1.93,1.93,1.8,1.02K,0.00%
2023-05-10,1.88,1.8,1.88,1.786,34.00K,0.00%
2023-05-09,1.88,1.83,1.92,1.81,32.00K,0.00%
2023-05-08,1.88,1.79,1.955,1.79,19.89K,0.00%
2023-05-07,1.88,1.79,1.965,1.786,79.89K,0.00%
2023-05-03,1.88,1.79,1.88,1.79,32.16K,0.00%
2023-05-01,1.88,1.786,1.88,1.786,51.26K,0.00%
2023-04-30,1.88,1.8,1.886,1.8,290.91K,4.62%
2023-04-27,1.797,1.708,1.849,1.708,121.26K,0.00%
2023-04-26,1.797,1.708,1.708,1.708,4.00K,0.00%
2023-04-19,1.797,1.715,1.715,1.708,19.85K,0.00%
2023-04-18,1.797,1.71,1.85,1.708,106.77K,0.00%
2023-04-13,1.797,1.71,1.71,1.71,20.00K,0.00%
