Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.25,0.213,0.25,0.209,278.14M,19.62%
2023-12-10,0.209,0.209,0.224,0.203,68.37M,0.48%
2023-12-07,0.208,0.208,0.209,0.199,26.88M,-0.48%
2023-12-06,0.209,0.211,0.219,0.208,22.83M,-0.95%
2023-12-05,0.211,0.209,0.218,0.209,40.71M,1.44%
2023-12-04,0.208,0.21,0.212,0.205,22.78M,0.00%
2023-12-03,0.208,0.213,0.213,0.207,19.00M,-0.48%
2023-11-30,0.209,0.204,0.215,0.203,34.03M,2.96%
2023-11-29,0.203,0.209,0.209,0.202,26.35M,-2.40%
2023-11-28,0.208,0.211,0.211,0.207,24.33M,-0.95%
2023-11-27,0.21,0.213,0.214,0.209,23.58M,-0.47%
2023-11-26,0.211,0.214,0.217,0.211,19.99M,-0.94%
2023-11-23,0.213,0.212,0.214,0.211,15.81M,0.95%
2023-11-22,0.211,0.211,0.214,0.208,26.38M,0.96%
2023-11-21,0.209,0.212,0.212,0.205,19.98M,0.48%
2023-11-20,0.208,0.217,0.218,0.206,65.69M,-3.70%
2023-11-19,0.216,0.217,0.223,0.216,28.71M,-0.46%
2023-11-16,0.217,0.219,0.22,0.216,16.31M,0.46%
2023-11-15,0.216,0.219,0.22,0.215,21.67M,-0.46%
2023-11-14,0.217,0.221,0.222,0.216,24.30M,-0.46%
2023-11-13,0.218,0.215,0.229,0.212,61.61M,2.35%
2023-11-12,0.213,0.217,0.218,0.212,27.81M,-1.39%
2023-11-09,0.216,0.222,0.222,0.214,44.28M,-1.37%
2023-11-08,0.219,0.227,0.228,0.218,49.17M,-3.10%
2023-11-07,0.226,0.227,0.233,0.222,35.45M,0.44%
2023-11-06,0.225,0.238,0.24,0.225,98.04M,-5.06%
2023-11-05,0.237,0.208,0.24,0.206,101.72M,15.61%
2023-11-02,0.205,0.201,0.21,0.2,42.84M,2.50%
2023-11-01,0.2,0.202,0.204,0.198,34.33M,-0.50%
2023-10-31,0.201,0.208,0.21,0.201,39.40M,-2.90%
2023-10-30,0.207,0.216,0.22,0.206,64.96M,-2.36%
2023-10-29,0.212,0.203,0.216,0.198,102.84M,6.53%
2023-10-26,0.199,0.203,0.204,0.19,50.64M,-1.49%
2023-10-25,0.202,0.198,0.208,0.194,70.08M,3.59%
2023-10-24,0.195,0.202,0.203,0.193,48.24M,-2.01%
2023-10-23,0.199,0.195,0.208,0.193,73.46M,3.11%
2023-10-22,0.193,0.189,0.197,0.188,47.88M,2.66%
2023-10-19,0.188,0.192,0.195,0.188,44.07M,-2.08%
2023-10-18,0.192,0.198,0.198,0.191,39.38M,-2.54%
2023-10-17,0.197,0.193,0.208,0.19,78.08M,2.60%
2023-10-16,0.192,0.199,0.2,0.189,72.93M,-4.00%
2023-10-15,0.2,0.204,0.204,0.196,46.59M,-1.96%
2023-10-12,0.204,0.209,0.209,0.203,40.44M,-2.39%
2023-10-11,0.209,0.212,0.214,0.206,57.28M,-1.42%
2023-10-10,0.212,0.26,0.26,0.212,110.40M,-2.75%
2023-10-09,0.218,0.208,0.225,0.204,119.87M,5.83%
2023-10-08,0.206,0.217,0.227,0.19,102.60M,-6.36%
2023-10-04,0.22,0.221,0.223,0.216,63.45M,0.46%
2023-10-03,0.219,0.208,0.231,0.205,117.20M,6.31%
2023-10-02,0.206,0.214,0.216,0.202,55.00M,-3.29%
2023-10-01,0.213,0.22,0.223,0.211,87.59M,-2.74%
2023-09-27,0.219,0.195,0.226,0.189,171.51M,13.47%
2023-09-26,0.193,0.195,0.202,0.189,65.30M,-1.53%
2023-09-25,0.196,0.208,0.21,0.195,78.00M,-5.77%
2023-09-24,0.208,0.209,0.217,0.205,71.13M,0.48%
2023-09-21,0.207,0.208,0.215,0.197,167.45M,0.49%
2023-09-20,0.206,0.185,0.219,0.178,210.88M,11.96%
2023-09-19,0.184,0.197,0.203,0.184,145.86M,-2.65%
2023-09-18,0.189,0.16,0.189,0.16,253.42M,19.62%
2023-09-17,0.158,0.154,0.164,0.154,77.12M,3.95%
2023-09-14,0.152,0.154,0.154,0.152,17.03M,0.00%
2023-09-13,0.152,0.153,0.155,0.152,15.47M,-0.65%
2023-09-12,0.153,0.155,0.155,0.152,11.42M,-0.65%
2023-09-11,0.154,0.158,0.158,0.153,20.06M,-1.91%
2023-09-10,0.157,0.157,0.159,0.156,11.22M,0.64%
2023-09-07,0.156,0.159,0.163,0.156,8.78M,-0.64%
2023-09-06,0.157,0.157,0.163,0.156,35.42M,0.64%
2023-09-05,0.156,0.159,0.159,0.156,17.00M,-0.64%
2023-09-04,0.157,0.161,0.162,0.156,29.77M,-2.48%
2023-09-03,0.161,0.162,0.167,0.159,48.15M,1.26%
2023-08-31,0.159,0.154,0.161,0.153,33.59M,3.92%
2023-08-30,0.153,0.154,0.156,0.153,16.47M,0.00%
2023-08-29,0.153,0.155,0.155,0.153,17.11M,0.00%
2023-08-28,0.153,0.156,0.156,0.152,13.11M,-0.65%
2023-08-27,0.154,0.154,0.156,0.153,10.99M,0.65%
2023-08-24,0.153,0.156,0.157,0.152,18.71M,-1.92%
2023-08-23,0.156,0.158,0.159,0.155,15.39M,-0.64%
2023-08-22,0.157,0.158,0.159,0.156,15.24M,0.64%
2023-08-21,0.156,0.157,0.159,0.156,11.32M,-0.64%
2023-08-20,0.157,0.16,0.16,0.156,7.84M,-0.63%
2023-08-17,0.158,0.16,0.163,0.157,26.65M,-1.25%
2023-08-16,0.16,0.156,0.165,0.154,63.28M,2.56%
2023-08-15,0.156,0.159,0.159,0.155,15.35M,-1.27%
2023-08-14,0.158,0.158,0.159,0.156,16.45M,0.64%
2023-08-13,0.157,0.158,0.159,0.156,9.76M,0.00%
