Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,15.34,14.12,14.3,14.12,1.04K,7.27%
2023-12-10,14.3,15.25,15.25,14.3,0.55K,-6.78%
2023-12-07,15.34,14.5,14.51,14.5,0.66K,0.00%
2023-12-06,15.34,14.99,14.99,14.99,0.52K,0.00%
2023-12-03,15.34,14.96,14.96,14.47,0.10K,0.00%
2023-11-29,15.34,14.27,14.8,14.27,0.60K,0.00%
2023-11-28,15.34,14.7,14.7,14.7,0.16K,0.00%
2023-11-27,15.34,14.25,15.0,14.25,9.52K,0.00%
2023-11-26,15.34,15.08,15.46,14.42,3.21K,0.00%
2023-11-23,15.34,15.15,15.15,15.15,0.01K,0.00%
2023-11-22,15.34,14.36,15.0,14.0,2.71K,0.00%
2023-11-20,15.34,15.0,15.0,15.0,0.57K,0.00%
2023-11-19,15.34,15.1,15.19,15.1,0.38K,0.00%
2023-11-16,15.34,14.5,14.5,14.5,4.17K,0.00%
2023-11-15,15.34,15.19,15.2,14.26,1.01K,0.00%
2023-11-09,15.34,14.0,15.29,14.0,1.64K,0.00%
2023-11-06,15.34,15.45,15.45,15.43,0.10K,0.00%
2023-11-05,15.34,15.19,15.19,13.5,0.49K,0.00%
2023-11-02,15.34,15.19,15.19,15.19,0.02K,0.00%
2023-11-01,15.34,14.36,15.2,14.36,0.98K,0.00%
2023-10-31,15.34,14.44,14.51,14.44,0.01K,0.00%
2023-10-30,15.34,14.4,14.4,14.4,0.90K,0.00%
2023-10-29,15.34,14.2,15.18,14.2,1.65K,0.00%
2023-10-25,15.34,14.12,15.5,14.12,34.40K,4.64%
2023-10-24,14.66,14.49,14.9,14.49,23.70K,12.17%
2023-10-23,13.07,14.5,14.5,14.5,0.01K,0.00%
2023-10-22,13.07,14.48,14.48,14.4,0.11K,0.00%
2023-10-19,13.07,13.5,13.5,13.03,2.21K,0.00%
2023-10-18,13.07,13.2,13.2,13.0,3.50K,0.00%
2023-10-17,13.07,13.2,13.2,13.2,0.00K,0.00%
2023-10-16,13.07,14.59,14.59,13.12,10.11K,0.00%
2023-10-15,13.07,14.64,14.64,14.64,0.00K,0.00%
2023-10-12,13.07,13.0,13.25,13.0,0.11K,0.00%
2023-10-11,13.07,12.8,14.76,12.8,7.55K,0.00%
2023-10-10,13.07,13.1,14.0,13.0,25.04K,-12.34%
2023-10-09,14.91,11.43,15.25,11.43,26.96K,9.96%
2023-10-08,13.56,15.11,15.11,11.42,0.80K,-21.66%
2023-10-04,17.31,16.01,16.01,16.01,0.22K,0.00%
2023-10-03,17.31,16.49,16.49,16.0,0.60K,0.00%
2023-10-02,17.31,16.5,16.5,16.11,0.51K,0.00%
2023-10-01,17.31,16.8,17.0,16.14,4.10K,0.00%
2023-09-27,17.31,16.93,16.93,16.89,0.02K,0.00%
2023-09-26,17.31,16.0,16.01,16.0,1.70K,0.00%
2023-09-25,17.31,17.35,17.35,17.29,0.11K,0.00%
2023-09-24,17.31,16.0,16.01,15.11,6.06K,0.00%
2023-09-21,17.31,17.0,17.0,17.0,0.00K,0.00%
2023-09-19,17.31,15.5,17.31,14.53,2.40K,0.00%
2023-09-14,17.31,16.37,17.38,16.0,40.58K,8.94%
2023-09-11,15.89,14.7,16.39,14.7,1.20K,0.00%
2023-09-10,15.89,16.38,16.38,14.53,0.40K,0.00%
2023-09-07,15.89,16.0,16.5,14.14,23.80K,1.60%
2023-09-06,15.64,16.0,16.0,13.5,13.98K,0.00%
2023-09-04,15.64,16.7,16.7,16.7,0.05K,0.00%
2023-08-31,15.64,16.95,16.95,16.95,0.01K,0.00%
2023-08-30,15.64,16.8,16.95,16.7,1.51K,0.00%
2023-08-29,15.64,16.8,16.8,16.8,0.01K,0.00%
2023-08-28,15.64,16.95,16.95,16.6,1.40K,0.00%
2023-08-27,15.64,16.3,17.0,15.4,1.10K,0.00%
2023-08-24,15.64,14.13,14.13,14.13,0.02K,0.00%
2023-08-22,15.64,15.67,15.67,15.67,0.20K,0.00%
2023-08-21,15.64,16.4,16.4,16.35,3.03K,0.00%
2023-08-20,15.64,16.2,16.4,16.2,2.91K,0.00%
2023-08-17,15.64,15.2,16.1,15.2,0.28K,0.00%
2023-08-16,15.64,15.2,15.2,15.2,0.25K,0.00%
2023-08-13,15.64,15.9,15.9,15.9,0.01K,0.00%
2023-08-10,15.64,16.0,16.0,15.2,0.58K,0.00%
2023-08-09,15.64,16.0,16.2,16.0,0.05K,0.00%
2023-08-08,15.64,16.5,16.8,16.0,2.78K,0.00%
2023-08-07,15.64,15.25,18.6,15.25,1.87K,0.00%
2023-08-06,15.64,15.77,18.7,15.08,16.99K,0.00%
2023-08-03,15.64,12.0,15.78,12.0,53.37K,18.94%
2023-08-02,13.15,11.23,11.23,11.07,3.89K,0.00%
2023-08-01,13.15,11.07,11.67,11.07,0.05K,0.00%
2023-07-31,13.15,12.47,12.47,11.5,0.84K,0.00%
2023-07-30,13.15,11.5,11.5,11.5,0.50K,0.00%
2023-07-27,13.15,12.55,12.55,12.55,0.01K,0.00%
2023-07-25,13.15,11.01,11.5,11.0,3.46K,0.00%
2023-07-24,13.15,12.6,12.6,10.87,0.59K,0.00%
2023-07-18,13.15,12.76,12.76,12.76,0.03K,0.00%
2023-07-16,13.15,11.5,12.73,11.5,0.46K,0.00%
2023-07-12,13.15,11.42,11.5,11.42,0.17K,0.00%
2023-07-11,13.15,11.11,11.11,11.11,0.05K,0.00%
2023-07-10,13.15,11.1,12.0,10.87,5.54K,0.00%
2023-07-06,13.15,11.37,11.37,11.35,10.97K,0.00%
2023-07-04,13.15,11.2,12.0,11.2,0.41K,0.00%
2023-06-25,13.15,11.74,12.0,11.45,4.48K,0.00%
2023-06-20,13.15,11.81,12.75,11.8,1.81K,0.00%
2023-06-19,13.15,11.81,11.81,11.73,5.00K,0.00%
2023-06-18,13.15,12.0,12.0,11.73,3.15K,0.00%
2023-06-13,13.15,12.88,13.0,12.88,5.00K,0.00%
2023-06-08,13.15,11.68,11.68,11.68,0.67K,0.00%
2023-06-07,13.15,11.46,12.9,11.46,0.11K,0.00%
2023-06-01,13.15,11.5,12.85,11.5,0.20K,0.00%
2023-05-30,13.15,12.9,12.9,12.22,0.46K,0.00%
2023-05-29,13.15,13.0,13.0,13.0,3.10K,0.00%
2023-05-23,13.15,12.0,13.0,12.0,3.00K,0.00%
2023-05-22,13.15,13.0,13.0,13.0,0.05K,0.00%
2023-05-21,13.15,12.0,12.0,12.0,1.23K,0.00%
2023-05-18,13.15,12.9,12.9,10.54,26.11K,0.00%
2023-05-15,13.15,13.0,13.15,13.0,10.85K,0.00%
2023-05-14,13.15,13.09,13.09,13.0,17.00K,0.00%
2023-05-09,13.15,12.9,13.16,12.9,0.64K,0.00%
2023-05-08,13.15,13.15,13.15,13.0,17.39K,0.00%
2023-05-02,13.15,13.92,13.92,13.92,0.03K,0.00%
2023-05-01,13.15,13.15,13.15,13.15,3.00K,0.00%
2023-04-27,13.15,13.15,13.99,13.15,13.94K,0.00%
2023-04-26,13.15,13.15,13.15,12.9,1.01K,0.00%
2023-04-19,13.15,13.19,13.19,13.19,0.17K,0.00%
2023-04-18,13.15,12.91,12.91,12.91,0.00K,0.00%
2023-04-13,13.15,12.92,13.15,12.92,24.00K,1.08%
2023-04-12,13.01,13.9,13.9,12.91,6.05K,0.00%
2023-04-11,13.01,13.01,13.9,13.0,2.02K,0.00%
2023-04-10,13.01,12.93,13.99,12.93,24.19K,-13.50%
2023-04-09,15.04,12.9,13.99,12.9,1.51K,0.00%
2023-04-06,15.04,12.82,14.18,12.82,1.51K,0.00%
2023-04-05,15.04,14.45,14.45,14.45,0.09K,0.00%
2023-04-04,15.04,12.77,12.77,12.77,0.02K,0.00%
2023-03-30,15.04,12.8,14.46,12.8,0.52K,0.00%
2023-03-27,15.04,12.15,12.15,12.15,0.10K,0.00%
2023-03-26,15.04,14.4,14.4,14.4,0.00K,0.00%
2023-03-22,15.04,13.5,14.02,13.43,7.42K,0.00%
2023-03-21,15.04,13.0,13.5,13.0,0.00K,0.00%
2023-03-19,15.04,13.67,13.95,13.27,2.09K,0.00%
2023-03-14,15.04,13.01,13.01,12.51,3.57K,0.00%
2023-03-13,15.04,13.25,13.3,13.0,22.10K,0.00%
2023-03-12,15.04,13.95,14.0,13.51,2.61K,0.00%
2023-03-09,15.04,13.6,14.6,13.6,1.00K,0.00%
2023-03-08,15.04,13.5,13.5,13.4,0.83K,0.00%
2023-03-07,15.04,13.99,14.0,13.5,4.45K,0.00%
2023-03-06,15.04,13.72,14.92,13.07,6.25K,0.00%
2023-03-05,15.04,13.7,14.1,13.7,2.09K,0.00%
2023-03-02,15.04,14.1,14.1,13.7,0.04K,0.00%
2023-03-01,15.04,13.4,13.4,13.4,0.01K,0.00%
2023-02-28,15.04,14.1,14.1,13.7,0.19K,0.00%
2023-02-23,15.04,13.25,14.6,13.25,2.51K,0.00%
2023-02-22,15.04,14.6,14.6,13.51,0.02K,0.00%
2023-02-21,15.04,13.5,14.6,13.5,1.09K,0.00%
2023-02-20,15.04,14.8,14.8,13.0,0.03K,0.00%
2023-02-19,15.04,14.6,14.6,14.0,0.18K,0.00%
2023-02-16,15.04,13.7,14.63,13.1,1.15K,0.00%
2023-02-15,15.04,13.1,14.98,13.1,0.19K,0.00%
2023-02-14,15.04,14.98,14.98,14.98,0.15K,0.00%
2023-02-13,15.04,14.5,14.74,14.49,2.63K,0.00%
2023-02-12,15.04,14.25,14.5,14.25,1.39K,0.00%
2023-02-07,15.04,13.01,14.89,13.0,1.50K,0.00%
2023-02-06,15.04,14.0,14.0,14.0,0.10K,0.00%
2023-02-02,15.04,14.51,14.63,14.5,11.83K,0.00%
2023-02-01,15.04,13.5,14.5,13.5,1.01K,0.00%
2023-01-30,15.04,14.0,14.8,14.0,19.35K,0.00%
2023-01-29,15.04,15.0,15.0,15.0,0.09K,0.00%
2023-01-25,15.04,14.96,14.99,14.5,6.60K,0.00%
2023-01-24,15.04,14.41,14.92,14.41,0.11K,0.00%
2023-01-23,15.04,14.32,15.0,14.32,0.26K,0.00%
2023-01-19,15.04,15.37,15.37,14.0,3.61K,0.00%
2023-01-18,15.04,14.05,14.05,14.05,0.51K,0.00%
2023-01-17,15.04,15.2,15.25,14.01,36.37K,0.27%
2023-01-16,15.0,15.0,15.2,14.01,10.47K,0.00%
2023-01-15,15.0,14.06,14.15,14.06,1.01K,0.00%
2023-01-12,15.0,14.99,15.0,14.99,2.00K,0.00%
2023-01-11,15.0,14.75,15.0,14.11,8.66K,0.00%
2023-01-10,15.0,15.0,15.0,14.09,14.66K,0.00%
2023-01-09,15.0,15.2,15.25,15.2,5.00K,0.00%
2023-01-05,15.0,14.01,15.0,14.0,102.50K,7.07%
2023-01-04,14.01,14.01,14.5,14.0,12.44K,0.00%
2023-01-03,14.01,11.33,15.29,11.33,28.00K,1.67%
2023-01-02,13.78,14.5,14.5,14.2,1.12K,0.00%
2022-12-29,13.78,13.45,14.0,13.4,22.81K,0.07%
2022-12-28,13.77,13.5,13.8,13.5,4.08K,0.00%
2022-12-27,13.77,13.5,13.5,13.5,3.09K,0.00%
2022-12-26,13.77,13.59,13.75,13.0,10.17K,0.00%
2022-12-25,13.77,12.5,13.5,12.0,7.43K,0.00%
2022-12-22,13.77,13.4,13.75,13.4,1.25K,0.00%
2022-12-21,13.77,13.05,13.5,13.05,1.37K,0.00%
2022-12-20,13.77,14.0,14.0,14.0,2.77K,0.00%
2022-12-19,13.77,13.5,14.0,13.0,38.27K,2.53%
2022-12-18,13.43,13.38,13.5,13.1,11.06K,0.00%
2022-12-15,13.43,12.75,13.01,12.75,2.01K,0.00%
2022-12-14,13.43,12.9,13.5,12.37,14.40K,0.00%
2022-12-13,13.43,13.02,13.19,13.0,4.90K,0.00%
2022-12-12,13.43,12.74,13.79,12.74,22.95K,4.92%
2022-12-11,12.8,11.6,12.8,11.5,24.09K,18.52%
2022-12-08,10.8,12.19,12.19,11.51,9.71K,0.00%
2022-12-07,10.8,11.89,11.89,11.26,1.39K,0.00%
2022-12-06,10.8,11.22,11.9,11.11,13.04K,0.00%
2022-12-05,10.8,11.21,11.3,11.11,1.69K,0.00%
2022-12-04,10.8,11.49,11.7,11.2,0.64K,0.00%
2022-12-01,10.8,11.11,11.11,11.0,2.68K,0.00%
2022-11-30,10.8,11.2,11.77,11.01,7.54K,0.00%
2022-11-29,10.8,11.79,11.8,11.2,2.47K,0.00%
2022-11-28,10.8,11.26,11.93,11.25,2.75K,0.00%
2022-11-27,10.8,11.5,11.51,11.5,3.50K,0.00%
2022-11-24,10.8,12.0,12.0,11.71,0.35K,0.00%
2022-11-22,10.8,10.85,12.2,10.85,13.67K,0.00%
2022-11-21,10.8,10.93,10.93,10.81,2.02K,0.00%
2022-11-20,10.8,11.39,11.7,11.39,3.64K,0.00%
2022-11-17,10.8,10.78,11.5,10.78,12.13K,0.00%
2022-11-16,10.8,10.8,10.8,10.5,1.95K,0.00%
2022-11-15,10.8,10.5,10.5,10.5,1.14K,0.00%
2022-11-14,10.8,10.5,10.5,10.25,3.67K,0.00%
2022-11-13,10.8,10.8,10.8,10.25,3.73K,0.00%
2022-11-10,10.8,10.59,10.69,10.59,5.03K,0.00%
2022-11-09,10.8,10.6,10.6,10.6,0.50K,0.00%
2022-11-07,10.8,10.4,10.4,10.26,1.09K,0.00%
2022-11-06,10.8,11.0,11.1,11.0,1.00K,0.00%
2022-11-03,10.8,10.5,10.5,10.5,11.00K,0.00%
2022-11-02,10.8,11.0,11.0,11.0,0.00K,0.00%
2022-11-01,10.8,10.7,11.0,10.0,5.01K,0.00%
2022-10-31,10.8,9.99,10.0,9.99,5.50K,0.00%
2022-10-30,10.8,10.11,10.11,9.5,1.70K,0.00%
2022-10-27,10.8,10.25,10.25,10.1,0.09K,0.00%
2022-10-26,10.8,9.52,10.78,9.52,0.22K,0.00%
2022-10-24,10.8,10.0,10.0,10.0,0.01K,0.00%
2022-10-20,10.8,9.51,10.0,9.51,0.24K,0.00%
2022-10-18,10.8,9.36,9.36,9.36,0.09K,0.00%
2022-10-17,10.8,10.8,10.8,8.92,10.18K,0.00%
2022-10-13,10.8,10.8,10.8,10.8,2.18K,0.00%
2022-10-12,10.8,10.8,10.8,10.8,1.09K,0.00%
2022-10-11,10.8,10.8,11.5,10.8,34.80K,-20.00%
2022-10-05,13.5,10.8,10.8,10.8,0.94K,0.00%
2022-10-03,13.5,10.8,10.8,10.8,1.85K,0.00%
2022-10-02,13.5,10.8,10.8,10.8,15.47K,0.00%
2022-09-29,13.5,10.8,10.8,10.8,12.15K,0.00%
2022-09-27,13.5,10.8,10.8,10.8,0.59K,0.00%
2022-09-26,13.5,10.8,10.8,10.8,14.19K,0.00%
2022-09-25,13.5,10.8,10.8,10.8,2.80K,0.00%
2022-09-21,13.5,10.8,10.8,10.8,0.11K,0.00%
2022-09-19,13.5,10.8,10.8,10.8,8.55K,0.00%
2022-09-18,13.5,10.8,10.8,10.8,0.00K,0.00%
2022-09-15,13.5,10.8,10.8,10.8,0.93K,0.00%
2022-09-14,13.5,10.8,10.8,10.8,2.95K,0.00%
2022-09-13,13.5,10.8,10.8,10.8,0.00K,0.00%
2022-09-12,13.5,11.0,11.0,10.8,8.99K,0.00%
2022-09-11,13.5,10.81,11.0,10.8,15.17K,0.00%
2022-09-08,13.5,10.8,11.05,10.8,17.29K,0.00%
2022-09-01,13.5,10.8,10.8,10.8,0.14K,0.00%
2022-08-23,13.5,10.8,10.8,10.8,0.71K,0.00%
2022-08-21,13.5,10.8,10.8,10.8,0.50K,0.00%
2022-08-18,13.5,10.8,10.8,10.8,0.60K,0.00%
2022-08-17,13.5,10.8,10.8,10.8,1.13K,0.00%
2022-08-15,13.5,10.8,10.8,10.8,13.64K,0.00%
2022-08-10,13.5,10.8,10.8,10.8,0.09K,0.00%
2022-07-26,13.5,10.8,10.8,10.8,0.85K,0.00%
2022-07-25,13.5,10.8,10.8,10.8,0.10K,0.00%
2022-07-06,13.5,10.8,10.8,10.8,0.01K,0.00%
2022-06-02,13.5,10.8,10.8,10.8,0.11K,0.00%
2022-05-09,13.5,10.8,10.8,10.8,0.00K,0.00%
2022-04-04,13.5,10.8,10.8,10.8,2.25K,0.00%
