Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,48.0,44.0,45.5,44.0,0.81K,6.64%
2023-12-10,45.01,44.5,45.01,44.5,0.56K,-6.23%
2023-12-07,48.0,48.4,48.45,48.0,0.28K,0.00%
2023-12-06,48.0,44.85,48.0,44.85,55.49K,1.05%
2023-12-05,47.5,48.9,48.9,44.8,0.04K,0.00%
2023-12-04,47.5,44.61,47.5,44.61,36.61K,2.15%
2023-12-03,46.5,44.25,46.5,44.14,9.52K,-2.06%
2023-11-30,47.48,45.2,47.5,44.1,12.55K,5.42%
2023-11-29,45.04,48.8,48.8,44.5,4.03K,0.00%
2023-11-28,45.04,40.75,50.64,40.75,22.59K,6.73%
2023-11-27,42.2,38.5,43.29,38.5,19.23K,8.04%
2023-11-26,39.06,38.5,40.0,37.6,36.82K,1.43%
2023-11-23,38.51,38.2,38.85,37.0,52.32K,0.47%
2023-11-22,38.33,38.2,39.99,33.01,65.08K,-1.74%
2023-11-21,39.01,38.5,40.45,38.15,1.67K,0.00%
2023-11-20,39.01,38.26,42.9,37.55,9.96K,8.12%
2023-11-19,36.08,40.0,40.99,38.05,21.67K,0.00%
2023-11-16,36.08,42.61,42.61,37.0,42.85K,0.00%
2023-11-15,36.08,42.45,42.45,31.0,44.99K,0.00%
2023-11-14,36.08,38.4,43.29,37.0,19.64K,0.00%
2023-11-13,36.08,34.95,39.29,34.9,16.94K,9.33%
2023-11-12,33.0,32.55,33.0,32.55,58.42K,0.76%
2023-11-09,32.75,34.34,34.94,32.35,3.32K,0.00%
2023-11-08,32.75,32.01,34.97,32.0,21.34K,2.28%
2023-11-07,32.02,32.01,33.0,32.01,78.48K,-1.14%
2023-11-06,32.39,30.0,35.99,30.0,0.05K,0.00%
2023-11-05,32.39,33.0,36.97,32.05,1.78K,0.00%
2023-11-02,32.39,32.0,34.0,27.27,2.43K,0.00%
2023-10-31,32.39,32.0,32.0,32.0,3.39K,0.00%
2023-10-30,32.39,32.0,32.0,32.0,2.03K,0.00%
2023-10-26,32.39,33.5,33.5,31.25,0.51K,0.00%
2023-10-25,32.39,31.2,33.5,31.2,3.54K,0.00%
2023-10-24,32.39,31.11,31.11,31.0,4.15K,0.00%
2023-10-23,32.39,31.0,31.94,31.0,4.09K,0.00%
2023-10-22,32.39,31.99,31.99,31.69,0.03K,0.00%
2023-10-19,32.39,33.7,33.7,30.66,0.70K,0.00%
2023-10-18,32.39,30.56,35.0,30.56,1.12K,0.00%
2023-10-17,32.39,31.0,31.93,30.55,3.84K,0.00%
2023-10-16,32.39,30.63,31.01,30.5,2.11K,0.00%
2023-10-15,32.39,30.7,32.3,30.43,1.78K,0.00%
2023-10-12,32.39,30.3,30.7,30.3,0.40K,0.00%
2023-10-11,32.39,30.01,31.65,30.01,1.32K,0.00%
2023-10-10,32.39,29.5,31.36,29.5,5.22K,0.00%
2023-10-09,32.39,29.11,30.01,29.11,3.11K,0.00%
2023-10-08,32.39,30.41,31.96,30.29,1.73K,0.00%
2023-10-04,32.39,31.24,33.98,31.03,4.29K,0.00%
2023-10-03,32.39,31.6,35.5,31.0,8.91K,0.00%
2023-10-02,32.39,32.0,32.4,29.5,29.37K,19.96%
2023-10-01,27.0,29.29,32.39,29.0,3.96K,0.00%
2023-09-27,27.0,30.0,31.98,29.61,2.03K,0.00%
2023-09-26,27.0,31.98,31.98,30.0,0.04K,0.00%
2023-09-25,27.0,32.39,32.39,30.0,2.48K,0.00%
2023-09-24,27.0,28.76,32.4,28.76,6.87K,0.00%
2023-09-21,27.0,29.1,29.7,29.1,2.01K,0.00%
2023-09-20,27.0,30.5,30.5,29.0,1.07K,0.00%
2023-09-19,27.0,29.0,29.0,29.0,0.04K,0.00%
2023-09-18,27.0,30.76,30.76,28.82,0.09K,0.00%
2023-09-17,27.0,30.79,30.79,28.61,0.02K,0.00%
2023-09-13,27.0,28.51,28.51,28.51,0.00K,0.00%
2023-09-12,27.0,29.09,30.79,29.08,1.81K,0.00%
2023-09-11,27.0,29.0,30.0,29.0,0.32K,0.00%
2023-09-10,27.0,29.0,30.98,29.0,0.40K,0.00%
2023-09-07,27.0,28.71,30.5,28.71,0.03K,0.00%
2023-09-06,27.0,29.07,30.97,28.5,11.18K,0.00%
2023-09-05,27.0,30.98,30.98,29.26,0.15K,0.00%
2023-09-04,27.0,29.26,29.26,29.26,0.05K,0.00%
2023-09-03,27.0,29.05,30.49,29.05,5.17K,0.00%
2023-08-31,27.0,29.0,31.75,29.0,0.98K,0.00%
2023-08-30,27.0,31.83,31.85,30.02,2.05K,0.00%
2023-08-29,27.0,28.68,31.59,28.68,0.17K,0.00%
2023-08-28,27.0,32.23,32.23,28.53,1.17K,0.00%
2023-08-27,27.0,32.0,32.27,28.26,1.44K,0.00%
2023-08-24,27.0,27.24,30.74,27.24,1.14K,0.00%
2023-08-23,27.0,30.75,30.75,27.02,16.80K,0.00%
2023-08-22,27.0,31.0,31.0,31.0,0.00K,0.00%
2023-08-21,27.0,28.45,32.0,26.11,2.62K,0.00%
2023-08-20,27.0,27.95,28.39,27.95,1.97K,0.00%
2023-08-16,27.0,27.9,28.0,27.9,5.80K,0.00%
2023-08-15,27.0,25.9,29.34,25.75,0.73K,0.00%
2023-08-14,27.0,26.2,27.0,26.2,1.05K,0.00%
2023-08-13,27.0,26.06,26.06,26.0,0.70K,0.00%
2023-08-01,27.0,27.0,27.0,27.0,1.53K,0.00%
2023-07-31,27.0,26.1,26.25,26.1,0.04K,0.00%
2023-07-30,27.0,27.0,27.0,27.0,0.05K,0.00%
2023-07-27,27.0,27.25,27.75,26.0,5.39K,0.00%
2023-07-26,27.0,26.0,27.85,26.0,10.97K,0.00%
2023-07-25,27.0,26.21,26.9,25.5,7.60K,0.00%
2023-07-24,27.0,26.2,26.95,26.0,0.80K,0.00%
2023-07-19,27.0,25.06,27.0,25.06,0.05K,0.00%
2023-07-18,27.0,27.0,27.0,26.0,1.13K,0.00%
2023-07-17,27.0,27.0,27.35,27.0,0.02K,0.00%
2023-07-16,27.0,26.0,27.39,25.01,13.80K,8.00%
2023-07-13,25.0,26.51,27.4,26.5,9.56K,0.00%
2023-07-12,25.0,27.44,27.44,26.5,0.63K,0.00%
2023-07-11,25.0,26.0,27.45,26.0,2.11K,0.00%
2023-07-10,25.0,26.0,27.5,26.0,0.86K,0.00%
2023-07-09,25.0,28.45,28.45,26.0,4.84K,0.00%
2023-07-06,25.0,28.65,28.65,27.0,0.53K,0.00%
2023-07-05,25.0,26.2,29.0,26.2,5.05K,0.00%
