Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,65.83,67.97,68.0,65.0,9.20K,-3.43%
2023-12-10,68.17,68.01,70.8,67.22,4.54K,0.00%
2023-12-07,68.17,69.67,71.5,67.05,12.83K,-1.47%
2023-12-06,69.19,72.0,73.44,68.12,10.26K,-2.48%
2023-12-05,70.95,71.21,72.0,70.37,4.54K,-0.74%
2023-12-04,71.48,72.77,75.4,67.15,27.72K,-1.42%
2023-12-03,72.51,76.9,76.9,69.25,21.70K,0.26%
2023-11-30,72.32,66.92,74.99,63.6,24.92K,12.51%
2023-11-29,64.28,63.9,67.99,62.0,32.10K,2.52%
2023-11-28,62.7,63.25,63.25,62.01,7.95K,0.06%
2023-11-27,62.66,61.65,62.85,60.4,17.52K,1.64%
2023-11-26,61.65,62.3,62.84,60.25,7.01K,-0.50%
2023-11-23,61.96,60.4,62.9,59.5,36.69K,4.79%
2023-11-22,59.13,59.32,60.4,58.3,16.83K,-0.35%
2023-11-21,59.34,59.12,62.97,58.0,40.33K,0.49%
2023-11-20,59.05,54.55,60.99,53.32,55.71K,9.53%
2023-11-19,53.91,54.94,54.94,53.91,3.22K,0.00%
2023-11-16,53.91,54.34,54.98,53.26,6.61K,-2.16%
2023-11-15,55.1,55.0,55.0,53.3,2.79K,0.00%
2023-11-14,55.1,55.6,58.51,54.55,18.16K,-0.72%
2023-11-13,55.5,50.89,58.39,50.08,35.76K,10.36%
2023-11-12,50.29,52.0,52.5,50.06,12.57K,-3.16%
2023-11-09,51.93,53.65,53.65,51.0,10.89K,-1.54%
2023-11-08,52.74,52.65,53.87,52.2,7.75K,0.17%
2023-11-07,52.65,53.99,53.99,52.01,9.33K,-4.52%
2023-11-06,55.14,56.8,56.8,55.0,18.54K,-2.18%
2023-11-05,56.37,55.27,57.4,55.27,5.89K,0.66%
2023-11-02,56.0,56.01,57.7,55.5,2.65K,0.00%
2023-11-01,56.0,56.0,57.88,55.12,5.53K,-0.07%
2023-10-31,56.04,57.5,58.62,56.0,14.50K,-3.04%
2023-10-30,57.8,58.0,58.7,57.06,10.45K,0.26%
2023-10-29,57.65,61.0,61.0,57.5,13.83K,-2.45%
2023-10-26,59.1,61.0,61.0,58.6,11.93K,-1.57%
2023-10-25,60.04,60.82,60.82,59.01,12.25K,-1.28%
2023-10-24,60.82,59.15,62.25,59.0,25.36K,3.81%
2023-10-23,58.59,58.8,59.0,56.5,23.51K,0.93%
2023-10-22,58.05,59.54,59.54,57.0,6.81K,1.15%
2023-10-19,57.39,58.02,59.84,56.1,14.47K,-1.07%
2023-10-18,58.01,60.03,61.8,57.5,23.95K,-2.16%
2023-10-17,59.29,61.52,63.25,58.86,17.07K,-2.13%
