Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.875,0.884,0.897,0.872,3.18M,-0.68%
2023-12-10,0.881,0.926,0.934,0.88,7.74M,-3.50%
2023-12-07,0.913,0.936,0.936,0.901,6.67M,-2.46%
2023-12-06,0.936,0.96,0.975,0.933,11.73M,-1.68%
2023-12-05,0.952,0.937,0.965,0.937,11.89M,2.15%
2023-12-04,0.932,0.934,0.947,0.927,6.38M,0.87%
2023-12-03,0.924,0.943,0.944,0.912,10.02M,-1.18%
2023-11-30,0.935,0.959,0.966,0.924,12.92M,-1.89%
2023-11-29,0.953,0.953,0.997,0.952,31.12M,0.11%
2023-11-28,0.952,0.941,0.963,0.937,24.80M,1.38%
2023-11-27,0.939,0.915,0.939,0.906,17.15M,3.64%
2023-11-26,0.906,0.907,0.92,0.903,4.80M,0.33%
2023-11-23,0.903,0.91,0.916,0.902,2.34M,-0.44%
2023-11-22,0.907,0.91,0.926,0.901,3.61M,-0.11%
2023-11-21,0.908,0.897,0.914,0.88,4.74M,2.25%
2023-11-20,0.888,0.928,0.928,0.883,7.66M,-3.69%
2023-11-19,0.922,0.927,0.946,0.92,10.07M,0.11%
2023-11-16,0.921,0.877,0.93,0.875,18.01M,6.23%
2023-11-15,0.867,0.865,0.886,0.86,5.09M,0.12%
2023-11-14,0.866,0.871,0.887,0.863,1.98M,-0.69%
2023-11-13,0.872,0.875,0.89,0.86,3.19M,1.75%
2023-11-12,0.857,0.882,0.888,0.851,2.15M,-1.38%
2023-11-09,0.869,0.898,0.902,0.865,3.78M,-3.34%
2023-11-08,0.899,0.89,0.9,0.871,8.24M,1.70%
2023-11-07,0.884,0.85,0.899,0.83,9.83M,3.88%
2023-11-06,0.851,0.86,0.863,0.849,3.57M,0.24%
2023-11-05,0.849,0.845,0.863,0.845,4.19M,1.19%
2023-11-02,0.839,0.834,0.848,0.823,3.04M,2.57%
2023-11-01,0.818,0.838,0.842,0.811,3.80M,-1.56%
2023-10-31,0.831,0.841,0.853,0.83,3.69M,-1.19%
2023-10-30,0.841,0.833,0.855,0.833,4.74M,0.84%
2023-10-29,0.834,0.834,0.84,0.832,2.39M,0.24%
2023-10-26,0.832,0.835,0.849,0.83,3.13M,-0.12%
2023-10-25,0.833,0.837,0.85,0.832,3.72M,0.48%
2023-10-24,0.829,0.84,0.858,0.828,5.89M,-0.12%
2023-10-23,0.83,0.842,0.855,0.829,3.07M,-0.72%
2023-10-22,0.836,0.81,0.857,0.81,5.76M,2.96%
2023-10-19,0.812,0.822,0.839,0.81,4.84M,-0.98%
2023-10-18,0.82,0.807,0.822,0.803,4.54M,1.74%
2023-10-17,0.806,0.804,0.809,0.801,1.59M,0.25%
2023-10-16,0.804,0.807,0.808,0.801,953.09K,-0.37%
2023-10-15,0.807,0.809,0.813,0.804,730.09K,0.00%
2023-10-12,0.807,0.814,0.814,0.803,987.82K,0.12%
2023-10-11,0.806,0.801,0.817,0.801,1.93M,0.62%
2023-10-10,0.801,0.8,0.813,0.8,1.55M,0.63%
2023-10-09,0.796,0.783,0.808,0.78,1.27M,1.66%
2023-10-08,0.783,0.811,0.811,0.75,3.53M,-3.45%
2023-10-04,0.811,0.808,0.818,0.805,2.25M,0.87%
2023-10-03,0.804,0.803,0.836,0.8,6.50M,-0.25%
2023-10-02,0.806,0.816,0.82,0.799,1.69M,-1.23%
2023-10-01,0.816,0.82,0.825,0.806,1.32M,1.62%
2023-09-27,0.803,0.811,0.827,0.801,1.67M,-0.99%
