Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,18.0,18.1,18.58,17.75,1.18M,-0.44%
2023-12-10,18.08,17.71,18.79,17.32,2.25M,2.73%
2023-12-07,17.6,17.82,17.99,17.0,849.56K,-1.68%
2023-12-06,17.9,17.83,18.7,17.61,1.31M,0.90%
2023-12-05,17.74,18.1,18.3,17.68,981.07K,-1.44%
2023-12-04,18.0,17.31,18.5,17.31,3.31M,4.05%
2023-12-03,17.3,16.15,17.38,16.13,1.57M,8.40%
2023-11-30,15.96,15.9,16.35,15.81,587.58K,1.01%
2023-11-29,15.8,16.4,16.54,15.74,569.22K,-3.78%
2023-11-28,16.42,16.84,17.0,16.4,865.35K,-1.56%
2023-11-27,16.68,16.0,16.73,15.96,2.35M,4.97%
2023-11-26,15.89,16.09,16.33,15.86,748.93K,-0.44%
2023-11-23,15.96,16.01,16.15,15.88,490.34K,0.76%
2023-11-22,15.84,15.69,16.06,15.69,682.99K,2.26%
2023-11-21,15.49,15.45,15.82,15.43,466.09K,0.26%
2023-11-20,15.45,15.99,16.1,15.41,640.03K,-2.52%
2023-11-19,15.85,16.01,16.25,15.84,571.67K,-0.69%
2023-11-16,15.96,16.01,16.5,15.91,1.17M,0.06%
2023-11-15,15.95,16.25,16.39,15.71,660.18K,-1.73%
2023-11-14,16.23,16.0,16.36,15.72,930.63K,2.14%
2023-11-13,15.89,16.2,16.31,15.88,910.34K,-1.43%
2023-11-12,16.12,16.8,17.0,16.1,1.33M,-4.62%
2023-11-09,16.9,17.11,17.64,16.5,2.55M,-1.00%
2023-11-08,17.07,17.35,17.41,16.82,2.25M,-1.10%
2023-11-07,17.26,17.22,17.89,17.01,4.84M,4.16%
2023-11-06,16.57,16.01,16.57,15.44,2.17M,4.21%
2023-11-05,15.9,15.98,16.4,15.72,1.68M,2.98%
2023-11-02,15.44,15.0,15.59,15.0,1.12M,3.42%
2023-11-01,14.93,15.58,15.87,14.42,2.04M,-4.29%
2023-10-31,15.6,16.01,16.45,15.6,3.70M,-1.76%
2023-10-30,15.88,14.95,16.35,14.95,4.90M,6.86%
2023-10-29,14.86,14.85,15.5,14.5,2.31M,0.27%
2023-10-26,14.82,14.7,15.88,14.7,4.86M,6.39%
2023-10-25,13.93,13.7,13.94,13.5,2.04M,4.03%
2023-10-24,13.39,13.27,13.88,13.2,2.37M,1.90%
2023-10-23,13.14,13.6,13.8,13.1,2.45M,0.61%
2023-10-22,13.06,12.65,13.06,12.53,1.17M,4.31%
2023-10-19,12.52,12.25,13.09,12.25,2.02M,1.54%
2023-10-18,12.33,12.6,12.68,12.26,1.56M,-0.80%
2023-10-17,12.43,12.11,12.8,12.05,1.99M,2.90%
2023-10-16,12.08,11.98,12.35,11.95,1.65M,0.92%
2023-10-15,11.97,12.38,12.43,11.95,796.13K,-1.72%
2023-10-12,12.18,11.78,12.37,11.78,1.68M,3.13%
2023-10-11,11.81,12.13,12.2,11.76,537.82K,-2.48%
2023-10-10,12.11,11.94,12.26,11.84,1.52M,2.28%
2023-10-09,11.84,11.71,12.05,11.53,1.23M,1.98%
2023-10-08,11.61,12.75,12.84,11.0,1.49M,-9.23%
2023-10-04,12.79,12.98,13.1,12.6,1.24M,-1.46%
2023-10-03,12.98,13.92,13.92,12.88,1.26M,-5.26%
2023-10-02,13.7,14.27,14.65,13.4,2.08M,-4.86%
2023-10-01,14.4,13.86,14.74,13.7,4.40M,4.35%
2023-09-27,13.8,13.84,14.09,13.5,3.72M,0.51%
2023-09-26,13.73,13.04,13.99,12.82,5.62M,6.60%
2023-09-25,12.88,13.15,13.38,12.8,2.58M,-0.46%
2023-09-24,12.94,13.27,13.65,12.9,3.41M,-1.45%
