Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,6.7,6.49,6.96,6.4,5.13M,3.24%
2023-12-10,6.49,7.02,7.05,6.4,4.10M,-6.48%
2023-12-07,6.94,7.3,7.3,6.81,10.95M,-5.06%
2023-12-06,7.31,7.32,7.57,6.95,8.99M,0.14%
2023-12-05,7.3,7.51,7.67,7.27,10.15M,-2.28%
2023-12-04,7.47,7.31,7.7,7.02,13.08M,3.03%
2023-12-03,7.25,7.5,8.24,7.18,17.69M,5.38%
2023-11-30,6.88,5.74,6.88,5.55,17.65M,19.86%
2023-11-29,5.74,5.3,5.79,5.2,13.93M,8.30%
2023-11-28,5.3,5.36,5.4,5.12,6.59M,0.00%
2023-11-27,5.3,5.36,5.54,5.29,7.32M,-0.75%
2023-11-26,5.34,5.24,5.5,5.22,17.53M,3.49%
2023-11-23,5.16,5.06,5.18,5.03,11.86M,2.99%
2023-11-22,5.01,4.85,5.09,4.84,15.05M,3.94%
2023-11-21,4.82,4.9,4.92,4.77,1.88M,-0.62%
2023-11-20,4.85,4.87,4.99,4.8,5.11M,0.21%
2023-11-19,4.84,4.82,4.9,4.81,1.39M,0.83%
2023-11-16,4.8,4.84,4.87,4.78,1.36M,1.05%
2023-11-15,4.75,4.75,4.81,4.68,1.76M,1.71%
2023-11-14,4.67,4.7,4.78,4.67,1.37M,0.00%
2023-11-13,4.67,4.7,4.78,4.61,1.99M,-0.21%
2023-11-12,4.68,4.87,4.89,4.66,3.67M,-3.51%
2023-11-09,4.85,4.99,4.99,4.7,3.96M,-2.02%
2023-11-08,4.95,5.03,5.08,4.88,4.13M,-1.00%
2023-11-07,5.0,4.85,5.1,4.85,7.02M,3.52%
2023-11-06,4.83,4.97,4.99,4.8,2.86M,-1.83%
2023-11-05,4.92,4.98,5.0,4.84,3.55M,-0.61%
2023-11-02,4.95,4.75,5.02,4.73,15.45M,4.65%
2023-11-01,4.73,4.5,4.73,4.4,6.28M,4.19%
2023-10-31,4.54,4.69,4.75,4.51,3.26M,-2.99%
2023-10-30,4.68,4.86,4.89,4.62,3.03M,-2.70%
2023-10-29,4.81,4.65,4.96,4.65,9.62M,4.57%
2023-10-26,4.6,4.25,4.63,4.25,16.07M,8.75%
