Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.132,0.134,0.134,0.131,4.86K,-1.49%
2023-12-10,0.134,0.126,0.135,0.126,4.22K,1.52%
2023-12-07,0.132,0.127,0.135,0.127,607.32K,-2.94%
2023-12-06,0.136,0.125,0.125,0.125,0.00K,0.00%
2023-12-05,0.136,0.125,0.125,0.125,0.05K,0.00%
2023-12-04,0.136,0.126,0.133,0.126,1.50K,0.00%
2023-12-03,0.136,0.133,0.133,0.133,0.52K,0.00%
2023-11-30,0.136,0.125,0.135,0.124,26.24K,0.00%
2023-11-29,0.136,0.129,0.136,0.124,48.00K,0.00%
2023-11-28,0.136,0.126,0.13,0.126,12.93K,0.00%
2023-11-23,0.136,0.13,0.13,0.13,2.50K,0.00%
2023-11-21,0.136,0.134,0.134,0.134,5.80K,0.00%
2023-11-20,0.136,0.124,0.135,0.124,6.14K,0.00%
2023-11-19,0.136,0.131,0.14,0.112,250.95K,-2.86%
2023-11-16,0.14,0.134,0.139,0.13,42.02K,0.00%
2023-11-15,0.14,0.14,0.141,0.129,46.70K,0.00%
2023-11-14,0.14,0.141,0.141,0.139,6.52K,0.00%
2023-11-12,0.14,0.143,0.143,0.14,356.92K,-2.10%
2023-11-09,0.143,0.142,0.142,0.142,0.80K,0.00%
2023-11-08,0.143,0.147,0.147,0.143,68.18K,-4.67%
2023-11-07,0.15,0.144,0.144,0.144,14.20K,0.00%
2023-11-06,0.15,0.147,0.148,0.145,63.08K,0.00%
2023-11-05,0.15,0.144,0.15,0.144,70.05K,0.00%
2023-11-02,0.15,0.144,0.15,0.144,65.06K,0.00%
2023-11-01,0.15,0.147,0.15,0.147,23.08K,0.00%
2023-10-31,0.15,0.148,0.15,0.143,66.32K,0.00%
2023-10-30,0.15,0.15,0.152,0.15,43.54K,0.00%
2023-10-29,0.15,0.14,0.15,0.14,6.69M,3.45%
2023-10-26,0.145,0.141,0.141,0.14,47.74K,0.00%
2023-10-25,0.145,0.142,0.147,0.14,53.24K,0.00%
2023-10-24,0.145,0.146,0.148,0.142,366.05K,0.69%
2023-10-23,0.144,0.143,0.148,0.141,198.03K,-2.04%
2023-10-22,0.147,0.147,0.147,0.147,670.50K,0.00%
2023-10-19,0.147,0.145,0.15,0.142,893.56K,1.38%
2023-10-18,0.145,0.14,0.145,0.14,566.46K,3.57%
2023-10-17,0.14,0.14,0.143,0.137,80.87K,0.72%
2023-10-16,0.139,0.135,0.14,0.135,332.09K,0.72%
2023-10-15,0.138,0.134,0.138,0.132,880.67K,3.76%
2023-10-12,0.133,0.13,0.135,0.129,134.93K,2.31%
2023-10-11,0.13,0.129,0.132,0.129,288.01K,0.78%
2023-10-10,0.129,0.13,0.13,0.128,49.07K,0.00%
2023-10-09,0.129,0.128,0.129,0.128,165.06K,1.57%
2023-10-08,0.127,0.128,0.13,0.125,195.90K,-0.78%
2023-10-04,0.128,0.128,0.129,0.127,51.00K,0.00%
2023-10-03,0.128,0.126,0.129,0.125,36.05K,0.00%
2023-10-02,0.128,0.128,0.129,0.127,253.77K,1.59%
2023-10-01,0.126,0.125,0.128,0.125,35.00K,0.00%
2023-09-27,0.126,0.126,0.128,0.125,187.43K,-0.79%
2023-09-26,0.127,0.126,0.128,0.125,1.10M,2.42%
2023-09-25,0.124,0.126,0.127,0.123,251.36K,-1.59%
2023-09-24,0.126,0.124,0.127,0.123,266.36K,2.44%
2023-09-21,0.123,0.12,0.124,0.12,253.66K,1.65%
2023-09-20,0.121,0.12,0.121,0.12,263.14K,0.83%
2023-09-19,0.12,0.12,0.12,0.117,199.12K,0.00%
2023-09-18,0.12,0.116,0.12,0.116,26.58K,0.00%
2023-09-17,0.12,0.118,0.12,0.116,76.25K,0.00%
2023-09-14,0.12,0.115,0.119,0.115,5.14K,0.00%
2023-09-13,0.12,0.115,0.115,0.115,0.38K,0.00%
2023-09-11,0.12,0.116,0.116,0.116,3.56K,0.00%
2023-09-07,0.12,0.116,0.116,0.116,12.75K,0.00%
2023-09-06,0.12,0.118,0.118,0.116,15.59K,0.00%
2023-09-04,0.12,0.115,0.12,0.112,231.66K,0.84%
2023-08-31,0.119,0.117,0.119,0.117,49.02K,0.00%
2023-08-30,0.119,0.116,0.116,0.114,52.27K,0.00%
2023-08-29,0.119,0.114,0.117,0.114,25.03K,0.00%
2023-08-28,0.119,0.118,0.118,0.115,10.35K,0.00%
2023-08-27,0.119,0.115,0.118,0.115,10.00K,0.00%
2023-08-24,0.119,0.115,0.115,0.115,45.00K,0.00%
2023-08-23,0.119,0.115,0.115,0.115,54.59K,0.00%
2023-08-22,0.119,0.115,0.118,0.115,33.88K,0.00%
2023-08-21,0.119,0.117,0.117,0.115,22.30K,0.00%
2023-08-20,0.119,0.117,0.117,0.117,4.24K,0.00%
2023-08-17,0.119,0.117,0.117,0.117,5.73K,0.00%
2023-08-16,0.119,0.117,0.118,0.117,5.16K,0.00%
