Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,14.0,14.0,14.0,14.0,1.42K,0.00%
2023-12-06,14.0,14.0,14.0,14.0,0.24K,-2.78%
2023-12-04,14.4,14.0,14.4,13.5,4.30K,2.86%
2023-11-29,14.0,14.0,14.01,13.99,4.25K,0.00%
2023-11-27,14.0,13.0,14.05,13.0,13.30K,7.61%
2023-11-22,13.01,11.6,13.01,11.6,0.02K,0.08%
2023-11-20,13.0,13.0,13.39,5.5,22.28K,0.00%
2023-11-15,13.0,12.53,13.0,12.0,1.32K,0.00%
2023-11-13,13.0,12.5,13.0,12.5,0.50K,4.00%
2023-11-08,12.5,12.61,12.65,12.5,0.39K,-3.85%
2023-11-06,13.0,12.2,13.0,11.7,1.30K,6.47%
2023-11-01,12.21,13.0,13.43,12.21,0.98K,-6.72%
2023-10-30,13.09,12.07,13.39,12.07,2.80K,0.77%
2023-10-25,12.99,13.44,13.44,12.0,1.19K,-2.33%
2023-10-23,13.3,13.49,13.49,11.5,4.86K,26.67%
2023-10-18,10.5,13.0,13.0,10.42,4.96K,-22.16%
2023-10-16,13.49,12.5,13.5,10.42,1.61K,3.77%
2023-10-11,13.0,13.0,13.0,13.0,0.46K,4.00%
2023-10-09,12.5,12.99,12.99,12.5,0.08K,-3.85%
2023-10-04,13.0,12.5,13.22,12.5,0.92K,1.88%
2023-10-02,12.76,13.36,13.36,12.75,1.61K,2.08%
2023-09-27,12.5,12.81,13.0,12.5,4.49K,-3.85%
2023-09-25,13.0,13.0,13.95,13.0,4.07K,2.44%
2023-09-20,12.69,12.75,13.4,12.53,2.05K,-2.38%
2023-09-18,13.0,13.5,13.5,13.0,1.55K,-3.70%
2023-09-13,13.5,13.5,13.5,13.5,0.00K,0.00%
2023-09-11,13.5,13.0,14.0,13.0,0.82K,3.85%
2023-09-06,13.0,13.97,13.97,12.81,3.21K,-3.70%
2023-09-04,13.5,13.0,14.5,13.0,2.52K,3.85%
2023-08-30,13.0,13.0,14.8,13.0,0.11K,-12.69%
2023-08-28,14.89,14.89,14.89,13.0,0.02K,-0.07%
2023-08-23,14.9,13.0,14.9,13.0,8.93K,14.62%
2023-08-21,13.0,13.0,13.0,10.6,6.64K,3.75%
2023-08-16,12.53,10.6,12.53,10.6,0.01K,-3.62%
2023-08-14,13.0,13.2,13.2,10.42,1.06K,0.00%
2023-08-09,13.0,14.3,15.5,12.02,5.97K,-2.40%
2023-08-07,13.32,13.0,13.32,13.0,0.04K,2.46%
2023-08-02,13.0,15.0,15.0,13.0,0.58K,-7.14%
2023-07-31,14.0,15.0,15.0,14.0,2.28K,0.00%
