Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,5.4,5.64,5.64,5.4,1.82M,-4.59%
2023-12-10,5.66,5.79,5.84,5.64,2.75M,-1.57%
2023-12-07,5.75,5.9,5.9,5.7,5.36M,-2.87%
2023-12-06,5.92,5.68,6.1,5.66,6.95M,5.71%
2023-12-05,5.6,5.65,5.7,5.6,753.13K,-0.36%
2023-12-04,5.62,5.68,5.77,5.58,1.17M,0.00%
2023-12-03,5.62,5.7,5.7,5.57,848.44K,-0.35%
2023-11-30,5.64,5.63,5.76,5.55,1.07M,1.08%
2023-11-29,5.58,5.8,5.81,5.57,1.34M,-3.13%
2023-11-28,5.76,5.59,5.85,5.56,3.24M,2.31%
2023-11-27,5.63,5.63,5.66,5.52,1.32M,0.54%
2023-11-26,5.6,5.69,5.7,5.54,1.81M,-0.71%
2023-11-23,5.64,5.75,5.83,5.63,2.93M,-0.88%
2023-11-22,5.69,5.83,5.98,5.6,5.08M,-2.40%
2023-11-21,5.83,5.86,6.05,5.75,5.89M,-0.34%
2023-11-20,5.85,5.6,5.95,5.52,7.15M,5.79%
2023-11-19,5.53,5.7,5.8,5.5,2.70M,-1.60%
2023-11-16,5.62,5.61,5.85,5.5,6.27M,1.63%
2023-11-15,5.53,5.38,5.78,5.3,4.68M,3.17%
2023-11-14,5.36,5.5,5.67,5.35,4.72M,-2.01%
2023-11-13,5.47,4.82,5.58,4.76,13.61M,13.72%
2023-11-12,4.81,4.82,4.92,4.76,2.75M,1.48%
2023-11-09,4.74,4.67,4.9,4.61,2.97M,3.04%
2023-11-08,4.6,4.8,4.82,4.59,1.35M,-1.92%
2023-11-07,4.69,4.59,4.85,4.59,2.15M,2.18%
2023-11-06,4.59,4.69,4.79,4.57,804.09K,-1.71%
2023-11-05,4.67,4.57,4.84,4.53,1.56M,3.55%
2023-11-02,4.51,4.45,4.55,4.45,554.53K,1.81%
2023-11-01,4.43,4.52,4.57,4.41,558.24K,-1.56%
2023-10-31,4.5,4.69,4.71,4.49,1.98M,-1.10%
2023-10-30,4.55,4.49,4.7,4.48,1.67M,2.48%
2023-10-29,4.44,4.44,4.5,4.42,727.58K,0.23%
2023-10-26,4.43,4.44,4.55,4.33,1.07M,0.91%
2023-10-25,4.39,4.36,4.46,4.33,857.09K,1.86%
2023-10-24,4.31,4.34,4.42,4.28,537.49K,-0.69%
2023-10-23,4.34,4.4,4.49,4.33,522.65K,-0.69%
2023-10-22,4.37,4.26,4.4,4.26,435.62K,2.34%
2023-10-19,4.27,4.3,4.34,4.26,234.97K,-0.47%
2023-10-18,4.29,4.32,4.43,4.28,816.49K,-0.46%
2023-10-17,4.31,4.33,4.39,4.26,871.18K,-2.05%
2023-10-16,4.4,4.32,4.41,4.21,930.11K,0.92%
2023-10-15,4.36,4.36,4.4,4.33,84.21K,0.23%
2023-10-12,4.35,4.42,4.44,4.33,295.34K,-0.91%
2023-10-11,4.39,4.5,4.53,4.33,689.11K,-2.01%
2023-10-10,4.48,4.44,4.63,4.37,463.24K,2.28%
2023-10-09,4.38,4.49,4.49,4.3,285.25K,0.46%
2023-10-08,4.36,4.75,4.75,4.21,403.35K,-6.44%
2023-10-04,4.66,4.74,4.88,4.65,745.85K,-0.43%
2023-10-03,4.68,4.75,4.77,4.65,320.94K,-1.47%
2023-10-02,4.75,4.8,4.86,4.65,585.86K,-1.04%
2023-10-01,4.8,4.8,4.89,4.78,351.83K,0.00%
2023-09-27,4.8,4.8,4.85,4.76,252.52K,-0.41%
2023-09-26,4.82,4.9,4.98,4.8,657.80K,-0.82%
2023-09-25,4.86,4.9,4.97,4.85,815.81K,-0.21%
2023-09-24,4.87,4.85,5.13,4.85,1.63M,0.41%
2023-09-21,4.85,4.75,4.9,4.64,815.60K,2.97%
2023-09-20,4.71,4.77,4.8,4.6,810.51K,-0.21%
2023-09-19,4.72,4.86,4.86,4.7,692.25K,-1.87%
2023-09-18,4.81,4.85,4.86,4.78,470.37K,0.21%
2023-09-17,4.8,4.95,4.98,4.78,961.16K,-2.44%
2023-09-14,4.92,4.81,4.99,4.77,1.25M,2.71%
2023-09-13,4.79,4.79,4.83,4.71,288.37K,0.84%
2023-09-12,4.75,4.79,4.83,4.73,716.53K,-0.84%
2023-09-11,4.79,4.88,4.94,4.7,1.55M,-1.84%
2023-09-10,4.88,5.01,5.01,4.85,1.28M,-1.41%
2023-09-07,4.95,5.0,5.12,4.8,5.36M,3.56%
2023-09-06,4.78,5.0,5.01,4.71,1.52M,-3.82%
2023-09-05,4.97,5.04,5.08,4.85,2.66M,-1.19%
2023-09-04,5.03,4.98,5.28,4.92,7.13M,2.65%
2023-09-03,4.9,4.75,5.07,4.61,3.89M,6.75%
2023-08-31,4.59,4.62,4.87,4.5,2.11M,-0.43%
2023-08-30,4.61,4.51,4.86,4.51,1.68M,2.22%
2023-08-29,4.51,4.58,4.64,4.45,453.44K,0.22%
2023-08-28,4.5,4.65,4.65,4.47,361.39K,-0.22%
2023-08-27,4.51,4.45,4.75,4.45,626.59K,2.04%
2023-08-24,4.42,4.47,4.5,4.4,98.15K,-1.56%
2023-08-23,4.49,4.53,4.65,4.44,181.40K,-1.54%
2023-08-22,4.56,4.73,4.75,4.5,370.02K,-0.87%
2023-08-21,4.6,4.68,4.78,4.51,805.23K,-0.22%
2023-08-20,4.61,4.45,4.72,4.42,1.19M,4.30%
2023-08-17,4.42,4.28,4.57,4.22,738.95K,3.76%
2023-08-16,4.26,4.49,4.61,4.22,712.56K,-3.18%
2023-08-15,4.4,4.13,4.54,4.13,1.56M,4.76%
2023-08-14,4.2,4.14,4.28,4.06,861.56K,3.70%
2023-08-13,4.05,4.13,4.18,4.01,344.89K,-1.94%
2023-08-10,4.13,4.17,4.24,4.12,597.42K,0.49%
2023-08-09,4.11,4.06,4.3,4.01,1.18M,2.49%
2023-08-08,4.01,4.06,4.11,3.96,544.96K,-0.25%
2023-08-07,4.02,4.06,4.08,3.99,236.88K,-0.99%
2023-08-06,4.06,4.1,4.1,4.0,253.04K,-0.49%
2023-08-03,4.08,3.89,4.1,3.74,635.58K,6.25%
2023-08-02,3.84,3.91,3.99,3.8,182.87K,-3.03%
2023-08-01,3.96,3.96,4.05,3.92,183.66K,-0.75%
2023-07-31,3.99,3.85,4.1,3.84,667.28K,3.10%
2023-07-30,3.87,3.89,3.97,3.85,200.40K,0.26%
2023-07-27,3.86,3.85,3.9,3.82,133.58K,-0.52%
2023-07-26,3.88,3.97,3.97,3.82,113.27K,-0.51%
2023-07-25,3.9,3.94,4.02,3.88,246.84K,-1.02%
2023-07-24,3.94,4.1,4.1,3.91,325.15K,-2.23%
2023-07-19,4.03,4.1,4.17,4.01,413.71K,-1.71%
2023-07-18,4.1,4.13,4.17,4.08,506.90K,1.23%
2023-07-17,4.05,4.0,4.15,4.0,1.13M,2.27%
2023-07-16,3.96,3.72,4.11,3.7,1.46M,6.74%
2023-07-13,3.71,3.75,3.77,3.68,259.78K,0.27%
2023-07-12,3.7,3.8,3.85,3.66,393.35K,-2.37%
2023-07-11,3.79,3.9,3.9,3.75,280.74K,0.53%
2023-07-10,3.77,3.8,3.84,3.66,490.62K,-1.05%
2023-07-09,3.81,4.06,4.1,3.78,691.59K,-4.99%
2023-07-06,4.01,4.27,4.6,4.0,1.36M,-4.98%
2023-07-05,4.22,4.4,4.44,4.18,339.12K,-4.09%
2023-07-04,4.4,4.69,4.69,4.36,469.63K,-3.93%
2023-06-26,4.58,4.8,5.0,4.52,575.57K,-80.65%
2023-06-25,23.67,23.4,24.1,23.0,188.91K,2.03%
2023-06-22,23.2,22.75,23.35,22.51,109.09K,2.61%
2023-06-21,22.61,23.51,23.65,22.6,124.75K,-3.46%
2023-06-20,23.42,22.9,23.68,22.7,134.74K,2.14%
2023-06-19,22.93,23.51,23.97,22.75,102.06K,-1.84%
2023-06-18,23.36,23.99,23.99,23.23,47.37K,-1.48%
2023-06-15,23.71,23.87,24.4,23.01,252.93K,1.50%
2023-06-14,23.36,23.6,23.6,22.7,58.29K,-0.09%
2023-06-13,23.38,22.55,23.47,22.22,116.26K,3.86%
2023-06-12,22.51,22.75,22.99,22.4,28.04K,0.22%
2023-06-11,22.46,22.06,22.75,22.06,44.48K,1.31%
2023-06-08,22.17,22.43,22.88,22.08,53.22K,-0.85%
2023-06-07,22.36,23.42,23.42,22.3,73.90K,-1.71%
2023-06-06,22.75,23.51,23.9,22.65,157.33K,-2.61%
2023-06-05,23.36,24.55,24.7,23.01,54.07K,-4.92%
2023-06-04,24.57,24.3,25.2,24.1,180.03K,1.61%
2023-06-01,24.18,23.59,24.3,23.1,291.64K,3.16%
2023-05-31,23.44,23.64,23.97,23.01,124.89K,-1.22%
2023-05-30,23.73,23.63,23.95,23.1,169.58K,0.47%
2023-05-29,23.62,23.0,24.2,22.56,281.89K,3.64%
2023-05-28,22.79,22.5,23.49,22.13,233.20K,2.98%
2023-05-25,22.13,22.15,22.5,21.81,122.15K,0.09%
2023-05-24,22.11,21.95,22.8,21.81,140.06K,0.87%
2023-05-23,21.92,22.34,22.34,21.1,77.01K,0.87%
2023-05-22,21.73,22.4,22.75,21.7,149.35K,-1.23%
2023-05-21,22.0,21.12,22.99,20.62,174.32K,4.56%
2023-05-18,21.04,21.12,21.6,20.81,60.14K,-0.38%
2023-05-17,21.12,22.18,22.43,21.12,122.31K,-4.30%
2023-05-16,22.07,22.01,22.5,21.7,125.73K,-0.94%
2023-05-15,22.28,23.89,23.89,22.1,176.05K,-5.59%
2023-05-14,23.6,23.55,24.11,23.23,227.69K,0.43%
2023-05-11,23.5,20.99,23.5,20.88,325.76K,13.25%
2023-05-10,20.75,21.0,21.0,20.21,59.94K,0.29%
2023-05-09,20.69,21.97,22.1,20.21,55.95K,-3.23%
2023-05-08,21.38,20.4,21.9,20.4,82.89K,4.75%
2023-05-07,20.41,20.9,20.9,20.0,23.21K,-2.34%
2023-05-03,20.9,21.4,21.5,20.75,32.67K,-2.25%
2023-05-02,21.38,21.41,22.0,21.0,42.64K,0.14%
2023-05-01,21.35,22.2,22.45,21.2,106.44K,-4.35%
2023-04-30,22.32,22.6,22.87,22.2,47.38K,-1.02%
2023-04-27,22.55,23.0,23.0,22.31,44.48K,0.67%
2023-04-26,22.4,23.33,23.33,22.3,32.20K,-0.93%
2023-04-19,22.61,22.9,23.0,22.5,76.00K,-1.31%
2023-04-18,22.91,23.72,23.78,22.52,88.56K,-1.34%
2023-04-13,23.22,23.13,24.19,23.11,160.22K,0.43%
2023-04-12,23.12,23.55,23.55,23.03,38.09K,0.35%
2023-04-11,23.04,23.6,23.69,22.91,83.98K,-0.48%
2023-04-10,23.15,23.01,23.8,22.86,151.75K,0.17%
2023-04-09,23.11,23.2,24.0,23.01,73.03K,-0.47%
2023-04-06,23.22,23.7,24.14,23.1,66.06K,-1.53%
2023-04-05,23.58,24.89,24.99,23.25,76.42K,-4.38%
2023-04-04,24.66,24.5,25.19,24.37,132.49K,1.69%
2023-04-03,24.25,24.06,24.45,23.67,140.77K,2.49%
2023-04-02,23.66,23.16,23.95,23.15,113.22K,-0.25%
2023-03-30,23.72,24.78,24.95,23.5,93.65K,-2.83%
2023-03-29,24.41,23.8,24.74,23.76,156.20K,3.74%
2023-03-28,23.53,24.2,24.2,22.65,73.09K,-0.42%
2023-03-27,23.63,24.89,24.89,23.25,58.63K,-3.59%
2023-03-26,24.51,25.14,25.14,24.25,116.06K,-0.16%
2023-03-23,24.55,23.74,25.0,23.42,212.56K,3.24%
2023-03-22,23.78,25.1,25.5,23.5,251.90K,-4.46%
2023-03-21,24.89,23.9,25.25,23.6,243.38K,6.28%
2023-03-20,23.42,21.5,23.99,21.5,217.29K,7.73%
2023-03-19,21.74,21.98,21.98,20.3,161.76K,1.02%
2023-03-16,21.52,20.0,22.0,18.22,206.04K,0.75%
2023-03-15,21.36,24.98,25.4,19.85,256.77K,-13.87%
2023-03-14,24.8,23.0,24.8,22.11,194.71K,7.92%
2023-03-13,22.98,25.14,25.74,22.63,137.92K,-8.30%
2023-03-12,25.06,25.89,25.99,24.9,161.11K,-3.98%
2023-03-09,26.1,26.66,27.2,25.5,250.10K,-2.10%
2023-03-08,26.66,24.78,27.0,24.13,547.30K,9.13%
2023-03-07,24.43,26.5,26.5,24.34,191.29K,-6.07%
2023-03-06,26.01,24.4,26.7,24.4,412.99K,7.75%
2023-03-05,24.14,23.9,24.45,23.0,233.91K,2.90%
2023-03-02,23.46,23.9,24.07,23.0,78.45K,0.17%
2023-03-01,23.42,23.1,24.3,23.0,293.50K,2.14%
2023-02-28,22.93,22.65,23.2,22.61,75.60K,0.97%
2023-02-27,22.71,23.46,23.47,22.58,65.11K,-2.07%
2023-02-26,23.19,22.61,23.74,22.4,170.94K,3.94%
2023-02-23,22.31,21.51,22.6,21.34,147.24K,3.86%
2023-02-22,21.48,22.21,23.0,21.35,99.48K,-2.81%
2023-02-21,22.1,23.0,23.2,22.03,176.95K,-3.32%
2023-02-20,22.86,24.5,24.99,22.71,146.03K,-3.75%
2023-02-19,23.75,22.85,24.68,22.8,238.28K,5.84%
2023-02-16,22.44,23.0,23.48,22.0,180.25K,-1.36%
2023-02-15,22.75,21.5,23.49,21.5,380.88K,8.49%
2023-02-14,20.97,20.75,21.44,20.37,151.69K,1.06%
2023-02-13,20.75,21.6,22.3,20.4,232.44K,-4.82%
2023-02-12,21.8,18.82,22.56,18.8,360.11K,15.96%
2023-02-09,18.8,17.2,18.8,17.0,572.71K,10.91%
2023-02-08,16.95,16.0,17.27,15.59,97.02K,4.63%
2023-02-07,16.2,16.48,16.5,15.54,31.79K,3.45%
2023-02-06,15.66,15.05,16.2,15.0,66.55K,4.75%
2023-02-05,14.95,16.3,16.3,14.52,64.08K,-6.45%
2023-02-02,15.98,17.0,17.49,15.8,54.21K,-5.72%
2023-02-01,16.95,17.25,17.48,16.81,36.32K,-0.64%
2023-01-31,17.06,17.15,18.01,16.72,99.93K,1.43%
2023-01-30,16.82,17.89,17.9,16.63,157.43K,-3.56%
2023-01-29,17.44,18.02,18.09,17.1,133.69K,-3.38%
2023-01-25,18.05,18.51,18.6,17.93,136.32K,-2.96%
2023-01-24,18.6,19.95,20.8,18.25,170.28K,-6.39%
2023-01-23,19.87,21.19,21.95,19.77,105.16K,-6.23%
2023-01-22,21.19,20.48,22.25,20.48,141.24K,6.06%
2023-01-19,19.98,19.83,21.2,19.65,106.99K,0.81%
2023-01-18,19.82,18.84,20.39,18.8,383.95K,10.60%
2023-01-17,17.92,16.87,18.18,16.87,148.71K,8.80%
2023-01-16,16.47,16.4,16.9,16.2,28.00K,0.43%
2023-01-15,16.4,16.5,17.0,16.37,19.38K,-1.62%
2023-01-12,16.67,16.9,17.0,16.0,18.05K,0.00%
2023-01-11,16.67,15.07,17.45,15.07,35.62K,0.00%
2023-01-10,16.67,17.49,17.49,16.08,21.91K,-3.97%
2023-01-09,17.36,17.42,17.72,17.11,42.32K,-0.46%
2023-01-05,17.44,17.87,18.0,17.31,47.33K,-2.24%
2023-01-04,17.84,18.22,18.22,17.35,76.12K,-0.28%
2023-01-03,17.89,17.32,18.35,17.3,83.01K,3.17%
2023-01-02,17.34,17.48,17.49,17.0,46.88K,1.58%
2022-12-29,17.07,17.17,17.6,16.95,76.97K,-0.58%
2022-12-28,17.17,16.93,17.3,16.84,9.92K,0.00%
2022-12-27,17.17,16.91,17.3,16.91,36.92K,1.30%
2022-12-26,16.95,16.99,17.28,16.5,36.93K,-0.47%
2022-12-25,17.03,17.0,17.0,16.5,17.46K,0.00%
2022-12-22,17.03,17.92,18.2,17.01,42.30K,-1.16%
2022-12-21,17.23,18.34,18.4,17.2,49.44K,-1.99%
2022-12-20,17.58,17.31,18.09,17.29,35.12K,1.74%
2022-12-19,17.28,17.99,18.0,17.1,44.32K,-3.95%
2022-12-18,17.99,19.42,19.42,17.81,49.98K,-2.28%
2022-12-15,18.41,18.99,18.99,18.4,26.68K,-1.87%
2022-12-14,18.76,19.44,19.48,18.5,226.59K,-2.95%
2022-12-13,19.33,19.9,20.25,19.2,147.95K,-4.64%
2022-12-12,20.27,20.0,20.0,19.2,12.66K,0.00%
2022-12-11,20.27,20.2,21.6,19.9,212.25K,-1.22%
2022-12-08,20.52,20.03,20.96,19.91,232.92K,1.94%
2022-12-07,20.13,19.6,21.37,19.51,242.46K,-0.40%
2022-12-06,20.21,20.0,20.7,19.45,99.71K,2.59%
2022-12-05,19.7,19.98,20.3,19.0,183.98K,-0.25%
2022-12-04,19.75,19.71,20.0,18.8,217.33K,2.76%
2022-12-01,19.22,17.3,19.75,17.07,351.67K,11.94%
2022-11-30,17.17,17.6,17.88,17.0,126.35K,-1.77%
2022-11-29,17.48,16.61,17.64,16.6,218.25K,4.61%
2022-11-28,16.71,16.85,16.87,16.5,110.87K,1.03%
2022-11-27,16.54,16.77,16.98,16.46,64.45K,-0.24%
2022-11-24,16.58,16.54,16.85,16.5,48.13K,-0.30%
2022-11-23,16.63,16.9,17.23,16.52,81.34K,-1.31%
2022-11-22,16.85,16.35,16.98,16.3,105.82K,2.43%
2022-11-21,16.45,16.67,16.99,16.34,44.60K,-2.32%
2022-11-20,16.84,17.35,17.7,16.77,88.60K,-1.41%
2022-11-17,17.08,17.17,17.89,16.95,82.53K,-0.35%
2022-11-16,17.14,16.72,17.38,16.72,68.10K,1.24%
2022-11-15,16.93,17.55,17.7,16.7,69.71K,-4.08%
2022-11-14,17.65,18.01,18.4,17.4,228.99K,-2.38%
2022-11-13,18.08,17.34,18.29,17.15,233.23K,4.27%
2022-11-10,17.34,17.6,17.93,17.1,136.43K,1.11%
2022-11-09,17.15,17.75,18.0,16.72,257.17K,-1.21%
2022-11-08,17.36,16.5,17.81,16.3,543.22K,5.34%
2022-11-07,16.48,15.7,17.1,15.69,368.67K,5.37%
2022-11-06,15.64,15.66,16.39,15.09,131.10K,4.34%
2022-11-03,14.99,14.99,15.3,14.75,131.29K,2.18%
