Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,59.5,59.5,59.5,59.5,0.23K,17.82%
2023-12-06,50.5,50.0,50.5,50.0,0.01K,-12.93%
2023-12-04,58.0,61.0,61.0,50.0,0.27K,-4.92%
2023-11-29,61.0,65.0,65.0,61.0,0.02K,0.00%
2023-11-27,61.0,56.0,61.0,56.0,0.21K,17.26%
2023-11-22,52.02,57.0,60.0,52.02,0.03K,-8.74%
2023-11-15,57.0,57.0,57.0,57.0,0.09K,-5.00%
2023-11-13,60.0,50.04,60.0,50.04,0.09K,15.38%
2023-11-08,52.0,51.5,52.0,51.5,0.04K,3.92%
2023-11-06,50.04,50.2,51.0,50.04,0.18K,-1.88%
2023-11-01,51.0,69.0,69.0,51.0,0.06K,0.79%
2023-10-30,50.6,75.0,75.0,50.6,0.03K,1.16%
2023-10-25,50.02,50.01,51.01,50.01,0.01K,0.02%
2023-10-23,50.01,80.0,80.0,50.01,0.07K,-41.16%
2023-10-18,85.0,85.0,85.0,80.0,0.01K,0.00%
2023-10-16,85.0,50.0,85.0,50.0,0.03K,21.43%
2023-10-11,70.0,50.0,70.0,50.0,0.06K,14.75%
2023-10-09,61.0,52.0,61.0,50.0,0.02K,-28.24%
2023-10-04,85.0,70.0,85.0,70.0,0.18K,66.67%
2023-10-02,51.0,60.0,70.0,50.0,0.51K,2.00%
2023-09-27,50.0,90.0,90.0,50.0,0.20K,0.00%
2023-09-25,50.0,60.0,60.0,50.0,0.26K,-16.67%
2023-09-20,60.0,57.6,86.0,57.6,0.01K,20.00%
2023-09-18,50.0,72.0,72.0,50.0,0.67K,-30.56%
2023-09-13,72.0,72.0,72.0,72.0,0.02K,0.00%
2023-09-11,72.0,72.0,72.0,72.0,0.00K,44.00%
2023-09-06,50.0,72.0,72.0,50.0,0.19K,0.00%
2023-09-04,50.0,50.0,50.0,50.0,0.63K,-16.67%
2023-08-30,60.0,60.0,60.0,60.0,0.03K,20.00%
2023-08-23,50.0,50.0,50.0,50.0,0.47K,0.00%
2023-08-21,50.0,50.0,50.0,50.0,4.43K,0.00%
2023-08-16,50.0,50.0,50.0,50.0,0.33K,0.00%
2023-08-14,50.0,50.0,50.0,50.0,0.45K,0.00%
2023-07-31,50.0,50.0,50.0,50.0,0.06K,0.00%
2023-07-12,50.0,50.0,50.0,50.0,0.50K,0.00%
2023-06-26,50.0,50.0,50.0,50.0,0.19K,0.00%
2023-06-21,50.0,50.0,50.0,50.0,0.00K,0.00%
2023-06-14,50.0,50.0,50.0,50.0,0.02K,0.00%
2023-06-12,50.0,50.0,50.0,50.0,2.40K,0.00%
2023-06-07,50.0,50.0,50.0,50.0,0.09K,0.00%
2023-05-29,50.0,50.0,50.0,50.0,0.04K,0.00%
2023-05-17,50.0,50.0,50.0,50.0,0.60K,0.00%
2023-05-10,50.0,50.0,50.0,50.0,1.00K,0.00%
2023-05-03,50.0,50.0,50.0,50.0,0.08K,0.00%
2023-05-01,50.0,50.0,50.0,50.0,1.10K,0.00%
2023-04-19,50.0,50.0,50.0,50.0,1.05K,0.00%
2023-04-10,50.0,50.0,50.0,50.0,0.24K,0.00%
2023-04-05,50.0,50.0,50.0,50.0,0.70K,0.00%
2023-03-22,50.0,50.0,50.0,50.0,0.50K,0.00%
2023-03-13,50.0,50.0,50.0,50.0,0.27K,0.00%
2023-03-06,50.0,50.0,50.0,50.0,0.67K,0.00%
2023-03-01,50.0,50.01,50.01,50.0,1.20K,0.00%
2023-02-27,50.0,50.0,50.0,50.0,0.15K,-0.44%
2023-02-22,50.22,100.0,100.0,100.0,0.00K,0.00%
2023-02-20,50.22,100.0,100.0,50.0,0.23K,0.44%
2023-02-15,50.0,50.0,50.0,50.0,0.24K,0.00%
2023-02-13,50.0,50.0,50.0,50.0,0.46K,0.00%
2023-02-08,50.0,50.0,50.0,50.0,0.20K,0.00%
2023-02-06,50.0,50.0,50.0,50.0,0.50K,0.00%
2023-01-30,50.0,50.0,50.0,50.0,0.23K,0.00%
2023-01-25,50.0,50.0,50.0,50.0,0.10K,0.00%
2023-01-18,50.0,50.0,50.0,50.0,0.47K,0.00%
2023-01-16,50.0,50.0,50.0,50.0,0.62K,-0.02%
2023-01-11,50.01,50.01,50.01,50.01,0.20K,0.00%
2023-01-04,50.01,50.01,50.01,50.0,0.15K,0.02%
2022-12-28,50.0,50.0,50.0,50.0,0.28K,0.00%
2022-12-26,50.0,50.01,50.01,50.0,0.40K,0.00%
2022-12-14,50.0,50.0,50.0,50.0,0.01K,0.00%
2022-12-05,50.0,50.0,50.0,50.0,0.23K,0.00%
2022-11-30,50.0,50.0,50.0,50.0,0.08K,0.00%
2022-11-16,50.0,50.0,50.0,50.0,1.50K,0.00%
2022-11-09,50.0,50.0,50.0,50.0,0.70K,0.00%
2022-11-07,50.0,50.0,50.0,50.0,1.20K,0.00%
2022-11-02,50.0,50.0,50.0,50.0,0.10K,0.00%
2022-10-24,50.0,50.0,50.0,50.0,0.04K,0.00%
2022-10-17,50.0,50.0,50.0,50.0,0.25K,0.00%
2022-10-12,50.0,50.0,50.0,50.0,0.34K,0.00%
2022-10-10,50.0,50.0,50.0,50.0,1.20K,0.00%
2022-10-05,50.0,50.0,50.0,50.0,0.08K,0.00%
2022-10-03,50.0,50.0,50.0,50.0,0.16K,0.00%
2022-09-26,50.0,50.0,50.0,50.0,0.58K,0.00%
2022-09-21,50.0,50.0,50.0,50.0,0.10K,0.00%
2022-09-19,50.0,50.0,50.0,50.0,0.40K,0.00%
2022-09-14,50.0,50.0,50.0,50.0,0.27K,1.48%
2022-09-12,49.27,50.0,50.0,50.0,0.09K,0.00%
2022-09-07,49.27,49.0,50.0,49.0,0.61K,0.45%
2022-08-24,49.05,25.0,50.0,25.0,1.73K,-1.90%
2022-08-15,50.0,49.99,50.0,49.99,3.45K,354.55%
2022-08-08,11.0,11.0,11.0,11.0,0.15K,-78.00%
2022-08-03,50.0,50.0,50.0,50.0,1.33K,0.00%
2022-08-01,50.0,50.0,50.0,50.0,0.62K,0.00%
2022-07-27,50.0,50.0,50.0,50.0,0.08K,0.00%
2022-07-18,50.0,50.0,50.0,50.0,1.41K,0.00%
2022-07-06,50.0,50.0,50.0,50.0,0.43K,0.00%
2022-06-27,50.0,50.0,50.0,50.0,0.27K,0.00%
2022-06-22,50.0,50.0,50.0,50.0,0.50K,0.00%
2022-06-20,50.0,50.0,50.0,50.0,0.20K,0.00%
2022-06-15,50.0,50.0,50.0,50.0,0.19K,0.00%
2022-06-13,50.0,50.0,50.0,50.0,0.25K,0.00%
2022-06-01,50.0,50.0,50.0,50.0,0.05K,0.00%
2022-05-30,50.0,50.0,50.0,50.0,0.55K,0.00%
2022-05-25,50.0,50.0,50.0,50.0,0.20K,0.00%
2022-05-23,50.0,50.0,50.0,50.0,0.27K,900.00%
2022-04-20,5.0,50.0,50.0,50.0,0.00K,0.00%
2022-04-18,5.0,100.0,100.0,100.0,0.00K,-23.66%
2011-12-15,6.55,6.67,6.68,6.5,,-2.53%
2011-12-14,6.72,6.65,6.82,6.6,134.90K,0.30%
2011-12-13,6.7,6.7,6.85,6.55,108.46K,3.55%
2011-12-12,6.47,6.7,6.7,6.31,106.50K,-5.13%
2011-12-11,6.82,7.07,7.07,6.7,40.80K,-0.44%
2011-12-08,6.85,6.98,6.99,6.77,67.44K,-1.72%
2011-12-07,6.97,7.16,7.16,6.82,67.79K,-1.13%
2011-12-06,7.05,7.0,7.15,6.99,194.36K,0.86%
2011-12-05,6.99,7.02,7.14,6.89,89.30K,-1.55%
2011-12-04,7.1,7.2,7.2,7.0,160.00K,-2.87%
