Date,Price,Open,High,Low,Vol.,Change %
2023-12-03,4.69,4.69,4.69,4.69,,0.00%
2023-06-12,4.69,4.69,4.69,4.69,,0.00%
2023-05-09,4.69,4.69,4.69,4.69,0.02K,0.00%
2023-05-08,4.69,3.81,4.69,3.81,1.98K,0.00%
2023-04-18,4.69,3.8,3.8,3.8,0.03K,0.00%
2023-04-13,4.69,3.8,4.69,3.8,0.10K,0.00%
2023-04-04,4.69,5.62,5.62,5.62,0.00K,0.00%
2022-12-27,4.69,3.8,3.8,3.8,0.03K,0.00%
2022-06-29,4.69,4.69,4.69,4.69,0.03K,0.00%
2022-06-26,4.69,4.69,4.69,4.69,0.01K,0.00%
2022-06-15,4.69,4.69,4.69,4.69,0.15K,0.00%
2022-04-19,4.69,3.83,3.86,3.83,0.05K,0.00%
2022-04-11,4.69,3.81,3.81,3.81,0.02K,0.00%
2022-04-10,4.69,3.82,3.82,3.82,0.08K,0.00%
2022-04-06,4.69,4.7,4.7,4.7,0.07K,0.00%
2022-03-31,4.69,4.7,4.7,4.7,0.03K,0.00%
2022-03-30,4.69,4.7,4.7,4.7,0.12K,0.00%
2022-03-29,4.69,4.7,4.7,4.7,0.19K,0.00%
2022-03-28,4.69,4.7,4.7,4.7,0.09K,0.00%
2022-03-27,4.69,4.7,4.7,4.7,0.05K,0.00%
2022-03-24,4.69,4.7,4.7,4.7,0.65K,0.00%
2022-03-16,4.69,4.7,4.7,4.7,0.44K,0.00%
2022-03-14,4.69,4.7,4.7,4.7,0.56K,0.00%
2022-03-13,4.69,4.7,4.7,4.7,0.10K,0.00%
2022-03-10,4.69,4.7,4.7,4.7,0.34K,0.00%
2022-03-07,4.69,3.8,3.8,3.8,0.01K,0.00%
2022-03-06,4.69,3.8,3.8,3.8,0.58K,0.00%
2022-02-28,4.69,3.8,3.8,3.8,0.95K,0.00%
2022-02-21,4.69,3.8,3.8,3.8,0.61K,0.00%
2022-01-31,4.69,3.8,3.8,3.8,0.22K,0.00%
2022-01-30,4.69,3.8,3.8,3.8,0.04K,0.00%
2022-01-26,4.69,4.0,4.0,4.0,0.04K,0.00%
2022-01-18,4.69,3.8,3.8,3.8,0.18K,0.00%
2022-01-16,4.69,4.0,4.0,3.95,0.39K,0.00%
2022-01-13,4.69,3.8,3.8,3.8,0.07K,0.00%
2021-04-14,4.69,5.15,5.15,5.15,0.01K,0.00%
2021-04-13,4.69,5.15,5.15,5.15,0.01K,0.00%
2020-10-06,4.69,4.69,4.69,4.69,31.78K,0.00%
2020-09-29,4.69,4.69,4.69,4.69,27.00K,0.00%
2020-09-20,4.69,4.78,4.78,4.65,144.00K,-1.47%
2020-09-03,4.76,4.76,4.76,4.76,41.00K,-4.03%
2020-06-23,4.96,4.47,4.47,4.47,0.05K,0.00%
2020-06-08,4.96,5.45,5.45,5.45,0.00K,0.00%
2020-02-13,4.96,5.4,5.4,5.4,0.10K,0.00%
2020-02-05,4.96,5.25,5.25,5.25,0.05K,0.00%
2019-11-11,4.96,5.45,5.45,5.45,0.05K,0.00%
2019-07-11,4.96,5.0,5.0,5.0,0.22K,0.00%
2019-05-08,4.96,5.44,5.44,5.44,0.03K,0.00%
2019-02-19,4.96,4.84,4.97,4.84,0.38K,9.01%
2019-02-10,4.55,4.5,4.5,4.5,0.17K,0.00%
2019-02-07,4.55,4.5,4.5,4.5,0.25K,0.00%
2019-02-03,4.55,4.84,4.84,4.84,0.08K,0.00%
