Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,2.89,3.1,3.11,2.86,1.90M,-6.77%
2023-12-10,3.1,3.18,3.4,3.1,3.26M,-0.64%
2023-12-07,3.12,3.16,3.24,3.03,1.70M,-1.27%
2023-12-06,3.16,3.34,3.44,3.15,2.61M,-5.39%
2023-12-05,3.34,3.49,3.51,3.32,1.39M,-3.19%
2023-12-04,3.45,3.37,3.57,3.18,2.86M,4.23%
2023-12-03,3.31,3.3,3.51,3.28,2.20M,0.30%
2023-11-30,3.3,2.92,3.35,2.92,3.63M,8.55%
2023-11-29,3.04,2.72,3.19,2.72,5.08M,12.59%
2023-11-28,2.7,2.8,2.9,2.66,2.62M,-4.93%
2023-11-27,2.84,2.72,2.97,2.66,6.85M,5.97%
2023-11-26,2.68,2.26,2.68,2.24,7.52M,19.64%
2023-11-23,2.24,2.27,2.27,2.2,1.40M,-1.32%
2023-11-22,2.27,2.22,2.3,2.18,2.39M,2.25%
2023-11-21,2.22,2.21,2.3,2.15,2.90M,-0.45%
2023-11-20,2.23,2.02,2.28,1.91,10.94M,10.95%
2023-11-19,2.01,2.09,2.09,2.0,1.39M,-1.33%
2023-11-16,2.037,2.0,2.098,1.977,2.14M,3.03%
2023-11-15,1.977,2.014,2.04,1.97,873.90K,-0.95%
2023-11-14,1.996,2.099,2.11,1.97,1.80M,-2.97%
2023-11-13,2.057,1.939,2.099,1.861,4.42M,6.03%
2023-11-12,1.94,1.701,1.949,1.701,5.56M,14.32%
2023-11-09,1.697,1.7,1.705,1.683,1.79M,0.06%
2023-11-08,1.696,1.699,1.704,1.675,1.25M,1.44%
2023-11-07,1.672,1.672,1.709,1.662,1.03M,-0.71%
2023-11-06,1.684,1.7,1.71,1.665,553.83K,0.12%
2023-11-05,1.682,1.705,1.735,1.672,639.18K,-0.18%
2023-11-02,1.685,1.715,1.76,1.67,1.18M,-0.88%
2023-11-01,1.7,1.631,1.74,1.63,2.11M,3.53%
2023-10-31,1.642,1.7,1.71,1.633,866.01K,-3.35%
2023-10-30,1.699,1.689,1.75,1.64,1.97M,4.04%
2023-10-29,1.633,1.761,1.778,1.61,3.13M,-6.53%
2023-10-26,1.747,1.62,1.938,1.62,9.39M,7.84%
2023-10-25,1.62,1.529,1.627,1.502,3.02M,7.57%
2023-10-24,1.506,1.494,1.525,1.442,1.84M,2.31%
2023-10-23,1.472,1.5,1.53,1.461,1.57M,-1.08%
2023-10-22,1.488,1.45,1.505,1.438,1.24M,3.55%
2023-10-19,1.437,1.44,1.453,1.433,580.41K,-0.21%
2023-10-18,1.44,1.47,1.508,1.432,1.01M,-0.69%
2023-10-17,1.45,1.446,1.47,1.432,424.62K,0.35%
2023-10-16,1.445,1.43,1.5,1.41,875.70K,0.35%
2023-10-15,1.44,1.43,1.469,1.42,968.56K,1.34%
2023-10-12,1.421,1.42,1.43,1.412,268.55K,0.21%
2023-10-11,1.418,1.435,1.435,1.41,686.22K,-0.77%
2023-10-10,1.429,1.4,1.438,1.4,809.11K,2.29%
2023-10-09,1.397,1.43,1.43,1.38,647.19K,1.01%
2023-10-08,1.383,1.46,1.464,1.35,842.41K,-5.85%
2023-10-04,1.469,1.44,1.48,1.31,990.08K,1.38%
2023-10-03,1.449,1.47,1.486,1.43,398.06K,-0.69%
2023-10-02,1.459,1.499,1.499,1.45,618.44K,-1.49%
2023-10-01,1.481,1.485,1.488,1.451,349.15K,1.09%
2023-09-27,1.465,1.5,1.5,1.455,687.05K,-2.27%
2023-09-26,1.499,1.52,1.532,1.495,531.95K,-0.27%
2023-09-25,1.503,1.532,1.551,1.5,766.65K,-1.83%
2023-09-24,1.531,1.53,1.574,1.527,798.49K,0.26%
2023-09-21,1.527,1.533,1.554,1.525,783.04K,-0.33%
2023-09-20,1.532,1.59,1.59,1.525,1.03M,-2.30%
2023-09-19,1.568,1.59,1.62,1.566,1.50M,-1.13%
2023-09-18,1.586,1.645,1.645,1.579,1.73M,-1.37%
2023-09-17,1.608,1.601,1.66,1.6,4.78M,2.81%
2023-09-14,1.564,1.558,1.6,1.55,1.81M,1.30%
2023-09-13,1.544,1.53,1.549,1.528,457.52K,1.05%
2023-09-12,1.528,1.55,1.55,1.525,634.91K,-0.78%
2023-09-11,1.54,1.549,1.555,1.532,682.36K,-0.58%
2023-09-10,1.549,1.562,1.588,1.54,1.51M,-1.21%
2023-09-07,1.568,1.609,1.61,1.55,1.05M,-0.63%
2023-09-06,1.578,1.62,1.654,1.575,1.78M,-1.99%
2023-09-05,1.61,1.624,1.68,1.59,2.34M,0.31%
2023-09-04,1.605,1.635,1.652,1.59,1.49M,-2.19%
2023-09-03,1.641,1.68,1.7,1.63,1.46M,-0.79%
2023-08-31,1.654,1.7,1.7,1.635,3.19M,0.06%
2023-08-30,1.653,1.68,1.736,1.641,3.77M,-0.48%
2023-08-29,1.661,1.59,1.728,1.59,6.87M,4.86%
2023-08-28,1.584,1.57,1.59,1.565,1.72M,1.08%
2023-08-27,1.567,1.59,1.595,1.561,1.46M,0.45%
2023-08-24,1.56,1.522,1.589,1.51,1.68M,2.56%
2023-08-23,1.521,1.555,1.579,1.511,1.26M,-2.19%
2023-08-22,1.555,1.56,1.59,1.551,843.09K,0.26%
2023-08-21,1.551,1.561,1.592,1.549,2.64M,-0.64%
2023-08-20,1.561,1.569,1.63,1.55,1.60M,1.30%
2023-08-17,1.541,1.584,1.584,1.54,1.12M,-2.71%
2023-08-16,1.584,1.56,1.64,1.55,4.21M,2.06%
2023-08-15,1.552,1.55,1.57,1.516,911.36K,1.11%
2023-08-14,1.535,1.559,1.56,1.53,1.01M,-0.71%
2023-08-13,1.546,1.533,1.556,1.52,1.16M,2.52%
2023-08-10,1.508,1.505,1.524,1.5,329.52K,0.20%
2023-08-09,1.505,1.5,1.513,1.497,179.63K,0.00%
2023-08-08,1.505,1.508,1.524,1.5,347.38K,-0.20%
2023-08-07,1.508,1.5,1.525,1.5,341.54K,0.80%
2023-08-06,1.496,1.5,1.525,1.485,293.67K,-0.93%
2023-08-03,1.51,1.503,1.53,1.484,427.86K,-0.07%
2023-08-02,1.511,1.513,1.54,1.503,483.09K,0.07%
2023-08-01,1.51,1.539,1.55,1.5,521.65K,-1.18%
2023-07-31,1.528,1.539,1.549,1.522,307.89K,0.26%
2023-07-30,1.524,1.515,1.56,1.515,963.55K,0.46%
2023-07-27,1.517,1.505,1.555,1.5,889.81K,-1.04%
2023-07-26,1.533,1.55,1.56,1.526,726.51K,-0.26%
2023-07-25,1.537,1.53,1.602,1.526,2.92M,1.65%
2023-07-24,1.512,1.49,1.545,1.49,375.75K,2.16%
2023-07-19,1.48,1.464,1.489,1.458,360.70K,0.00%
2023-07-18,1.48,1.48,1.485,1.452,189.25K,0.00%
2023-07-17,1.48,1.454,1.49,1.453,125.34K,0.00%
2023-07-16,1.48,1.48,1.495,1.451,426.36K,-0.27%
2023-07-13,1.484,1.495,1.495,1.465,196.71K,0.00%
2023-07-12,1.484,1.47,1.5,1.435,363.91K,1.57%
2023-07-11,1.461,1.466,1.5,1.441,638.32K,0.55%
2023-07-10,1.453,1.45,1.487,1.36,312.16K,1.11%
2023-07-09,1.437,1.48,1.517,1.3,660.57K,-4.58%
2023-07-06,1.506,1.52,1.539,1.5,685.73K,-0.59%
2023-07-05,1.515,1.52,1.52,1.5,417.37K,0.20%
2023-07-04,1.512,1.5,1.525,1.5,328.11K,1.54%
2023-06-26,1.489,1.508,1.508,1.478,172.10K,0.00%
2023-06-25,1.489,1.509,1.509,1.48,218.84K,-0.40%
2023-06-22,1.495,1.51,1.51,1.483,403.73K,0.13%
2023-06-21,1.493,1.528,1.534,1.474,583.76K,-1.58%
2023-06-20,1.517,1.535,1.535,1.513,271.04K,-0.26%
2023-06-19,1.521,1.535,1.54,1.515,602.41K,0.07%
2023-06-18,1.52,1.52,1.538,1.501,746.61K,-0.20%
2023-06-15,1.523,1.519,1.544,1.511,329.68K,-0.13%
2023-06-14,1.525,1.511,1.541,1.511,349.70K,0.00%
2023-06-13,1.525,1.559,1.559,1.512,472.18K,-2.24%
2023-06-12,1.56,1.55,1.584,1.541,493.67K,1.50%
2023-06-11,1.537,1.53,1.55,1.501,1.04M,0.59%
2023-06-08,1.528,1.587,1.587,1.519,770.15K,-1.61%
2023-06-07,1.553,1.6,1.6,1.544,1.20M,-2.33%
2023-06-06,1.59,1.63,1.63,1.584,1.31M,-2.15%
2023-06-05,1.625,1.629,1.649,1.61,1.60M,0.00%
2023-06-04,1.625,1.6,1.636,1.6,958.95K,2.01%
2023-06-01,1.593,1.6,1.63,1.589,1.41M,0.44%
2023-05-31,1.586,1.65,1.65,1.565,2.20M,-1.92%
2023-05-30,1.617,1.7,1.747,1.613,3.30M,-5.33%
2023-05-29,1.708,1.54,1.733,1.53,6.67M,12.44%
2023-05-28,1.519,1.461,1.53,1.46,1.86M,4.18%
2023-05-25,1.458,1.48,1.48,1.45,719.68K,-0.34%
2023-05-24,1.463,1.469,1.495,1.45,928.69K,-0.14%
2023-05-23,1.465,1.415,1.48,1.415,1.41M,3.90%
2023-05-22,1.41,1.444,1.445,1.401,522.08K,-0.70%
2023-05-21,1.42,1.41,1.444,1.4,233.75K,1.07%
2023-05-18,1.405,1.401,1.42,1.391,385.65K,-0.43%
2023-05-17,1.411,1.43,1.448,1.401,484.94K,-0.98%
2023-05-16,1.425,1.452,1.452,1.42,664.23K,-1.86%
2023-05-15,1.452,1.519,1.52,1.443,1.08M,-2.55%
2023-05-14,1.49,1.494,1.52,1.483,1.06M,0.61%
2023-05-11,1.481,1.43,1.515,1.427,3.21M,3.13%
2023-05-10,1.436,1.45,1.453,1.401,787.24K,-0.97%
2023-05-09,1.45,1.453,1.478,1.437,1.15M,0.00%
2023-05-08,1.45,1.393,1.458,1.393,974.93K,4.09%
2023-05-07,1.393,1.4,1.414,1.36,498.87K,-0.21%
2023-05-03,1.396,1.44,1.45,1.34,646.57K,-2.79%
2023-05-02,1.436,1.48,1.48,1.432,757.07K,-1.71%
2023-05-01,1.461,1.515,1.515,1.455,1.33M,-2.66%
2023-04-30,1.501,1.525,1.547,1.495,2.61M,-0.53%
2023-04-27,1.509,1.489,1.523,1.47,1.30M,2.31%
2023-04-26,1.475,1.509,1.509,1.462,650.35K,-1.34%
2023-04-19,1.495,1.51,1.51,1.488,668.34K,-0.13%
2023-04-18,1.497,1.53,1.535,1.491,1.81M,-1.51%
2023-04-13,1.52,1.544,1.544,1.511,542.28K,0.33%
2023-04-12,1.515,1.55,1.55,1.51,665.58K,-1.05%
2023-04-11,1.531,1.525,1.55,1.518,955.85K,0.66%
2023-04-10,1.521,1.545,1.558,1.517,666.00K,-1.55%
2023-04-09,1.545,1.589,1.59,1.531,547.01K,-1.28%
2023-04-06,1.565,1.581,1.62,1.541,1.10M,-0.63%
2023-04-05,1.575,1.547,1.61,1.547,2.58M,2.14%
2023-04-04,1.542,1.549,1.55,1.501,2.73M,1.58%
2023-04-03,1.518,1.538,1.55,1.51,2.04M,-0.33%
2023-04-02,1.523,1.548,1.548,1.502,746.57K,0.20%
2023-03-30,1.52,1.51,1.565,1.48,881.16K,0.46%
2023-03-29,1.513,1.515,1.53,1.48,496.89K,-0.07%
2023-03-28,1.514,1.511,1.53,1.481,394.68K,0.40%
2023-03-27,1.508,1.589,1.589,1.5,1.12M,-4.25%
2023-03-26,1.575,1.598,1.6,1.55,563.49K,0.19%
2023-03-23,1.572,1.599,1.604,1.567,554.99K,-0.63%
2023-03-22,1.582,1.668,1.67,1.57,1.33M,-1.92%
2023-03-21,1.613,1.53,1.65,1.51,2.25M,6.33%
2023-03-20,1.517,1.458,1.55,1.429,1.87M,6.23%
2023-03-19,1.428,1.48,1.48,1.333,1.63M,-0.14%
2023-03-16,1.43,1.31,1.52,1.23,2.00M,-2.05%
2023-03-15,1.46,1.63,1.73,1.34,2.83M,-10.98%
2023-03-14,1.64,1.63,1.7,1.5,3.24M,3.80%
2023-03-13,1.58,1.91,1.93,1.52,2.17M,-16.40%
2023-03-12,1.89,2.0,2.01,1.87,4.35M,-6.06%
2023-03-09,2.012,1.998,2.04,1.998,4.12M,1.77%
2023-03-08,1.977,1.99,2.0,1.94,2.14M,1.02%
2023-03-07,1.957,1.989,2.04,1.921,5.13M,-0.15%
2023-03-06,1.96,1.87,1.97,1.87,5.16M,5.95%
2023-03-05,1.85,1.81,1.88,1.81,2.67M,1.98%
2023-03-02,1.814,1.791,1.82,1.78,2.85M,1.62%
2023-03-01,1.785,1.75,1.849,1.75,3.96M,2.41%
2023-02-28,1.743,1.81,1.839,1.73,2.18M,-3.17%
2023-02-27,1.8,1.799,1.84,1.771,1.77M,0.61%
2023-02-26,1.789,1.72,1.8,1.7,1.62M,5.55%
2023-02-23,1.695,1.692,1.72,1.66,395.83K,-0.47%
2023-02-22,1.703,1.77,1.77,1.691,403.29K,-1.79%
2023-02-21,1.734,1.72,1.8,1.712,447.84K,-1.14%
2023-02-20,1.754,1.8,1.83,1.724,770.16K,-2.56%
2023-02-19,1.8,1.826,1.855,1.774,913.74K,-1.15%
2023-02-16,1.821,1.91,1.91,1.814,822.34K,-1.99%
2023-02-15,1.858,1.881,1.91,1.82,1.08M,-2.06%
2023-02-14,1.897,1.854,1.908,1.82,1.41M,2.10%
2023-02-13,1.858,1.839,1.889,1.8,1.88M,2.77%
2023-02-12,1.808,1.81,1.838,1.785,789.93K,0.44%
2023-02-09,1.8,1.76,1.81,1.73,1.08M,2.80%
2023-02-08,1.751,1.74,1.774,1.63,1.27M,0.46%
2023-02-07,1.743,1.77,1.8,1.691,2.25M,-0.51%
2023-02-06,1.752,1.624,1.769,1.554,2.47M,10.54%
2023-02-05,1.585,1.57,1.617,1.523,1.71M,-0.63%
2023-02-02,1.595,1.622,1.657,1.551,1.33M,-1.05%
2023-02-01,1.612,1.65,1.679,1.603,779.49K,-2.66%
2023-01-31,1.656,1.723,1.75,1.624,560.48K,-5.26%
2023-01-30,1.748,1.81,1.816,1.723,851.78K,-3.16%
2023-01-29,1.805,1.823,1.84,1.8,1.03M,-0.39%
2023-01-25,1.812,1.84,1.846,1.797,692.68K,-0.06%
2023-01-24,1.813,1.792,1.84,1.771,1.04M,1.17%
2023-01-23,1.792,1.841,1.848,1.771,1.45M,-2.50%
2023-01-22,1.838,1.88,1.88,1.832,759.67K,-1.13%
2023-01-19,1.859,1.9,1.92,1.841,1.40M,-1.17%
2023-01-18,1.881,1.84,1.925,1.823,2.29M,3.18%
2023-01-17,1.823,1.845,1.869,1.803,1.17M,0.05%
2023-01-16,1.822,1.803,1.859,1.803,609.97K,0.11%
2023-01-15,1.82,1.89,1.89,1.81,508.95K,-2.15%
2023-01-12,1.86,1.94,1.94,1.8,1.28M,-0.53%
2023-01-11,1.87,1.91,1.97,1.8,1.40M,-1.58%
2023-01-10,1.9,2.04,2.05,1.89,1.17M,-6.40%
2023-01-09,2.03,2.11,2.12,2.01,940.83K,-3.33%
2023-01-05,2.1,2.1,2.14,2.09,1.58M,-1.87%
2023-01-04,2.14,2.16,2.18,2.03,1.82M,-0.93%
2023-01-03,2.16,2.16,2.18,2.14,1.43M,0.93%
2023-01-02,2.14,2.12,2.16,2.07,2.06M,1.90%
2022-12-29,2.1,2.14,2.16,2.08,1.21M,-1.87%
2022-12-28,2.14,2.18,2.19,2.12,940.65K,0.47%
2022-12-27,2.13,2.11,2.18,2.1,1.69M,2.40%
2022-12-26,2.08,2.07,2.1,2.03,1.07M,1.46%
2022-12-25,2.05,2.15,2.15,2.02,695.30K,-4.21%
2022-12-22,2.14,2.22,2.23,2.11,1.19M,-2.73%
2022-12-21,2.2,2.24,2.26,2.18,1.40M,-0.90%
2022-12-20,2.22,2.21,2.33,2.21,2.70M,0.45%
2022-12-19,2.21,2.27,2.29,2.19,1.42M,-1.78%
2022-12-18,2.25,2.28,2.35,2.24,1.57M,-1.32%
2022-12-15,2.28,2.35,2.35,2.25,2.98M,-1.30%
2022-12-14,2.31,2.27,2.36,2.27,3.34M,1.76%
2022-12-13,2.27,2.3,2.3,2.25,2.11M,0.44%
2022-12-12,2.26,2.26,2.28,2.22,1.91M,0.00%
2022-12-11,2.26,2.31,2.32,2.24,3.17M,-1.31%
2022-12-08,2.29,2.32,2.32,2.26,1.99M,0.44%
2022-12-07,2.28,2.35,2.4,2.25,3.01M,-2.56%
2022-12-06,2.34,2.42,2.42,2.32,1.20M,-2.50%
2022-12-05,2.4,2.46,2.49,2.35,2.89M,-2.44%
2022-12-04,2.46,2.54,2.58,2.44,2.80M,-2.38%
2022-12-01,2.52,2.45,2.59,2.43,6.71M,4.13%
2022-11-30,2.42,2.5,2.54,2.37,4.67M,-2.81%
2022-11-29,2.49,2.29,2.5,2.29,9.20M,8.73%
2022-11-28,2.29,2.3,2.31,2.24,2.59M,0.88%
2022-11-27,2.27,2.3,2.32,2.24,4.05M,0.89%
2022-11-24,2.25,2.31,2.34,2.24,1.57M,-2.17%
2022-11-23,2.3,2.3,2.38,2.26,4.80M,1.32%
2022-11-22,2.27,2.33,2.34,2.26,2.01M,-0.87%
2022-11-21,2.29,2.22,2.34,2.2,4.76M,4.57%
2022-11-20,2.19,2.19,2.23,2.17,1.72M,1.39%
2022-11-17,2.16,2.21,2.24,2.14,2.65M,-1.37%
2022-11-16,2.19,2.16,2.21,2.14,2.42M,1.86%
2022-11-15,2.15,2.16,2.2,2.14,812.40K,-0.46%
2022-11-14,2.16,2.21,2.25,2.1,3.38M,-2.26%
2022-11-13,2.21,2.23,2.25,2.18,2.07M,1.38%
2022-11-10,2.18,2.1,2.3,2.1,1.17M,2.83%
2022-11-09,2.12,2.2,2.2,2.11,1.38M,-3.64%
2022-11-08,2.2,2.2,2.29,2.19,1.17M,-2.22%
2022-11-07,2.25,2.18,2.27,2.15,2.81M,5.14%
2022-11-06,2.14,2.16,2.19,2.11,725.26K,0.00%
2022-11-03,2.14,2.2,2.24,2.13,1.22M,-3.60%
2022-11-02,2.22,2.27,2.36,2.17,3.93M,-0.89%
2022-11-01,2.24,2.26,2.27,2.2,1.52M,1.82%
2022-10-31,2.2,2.19,2.23,2.03,1.58M,0.46%
2022-10-30,2.19,2.25,2.28,2.15,1.15M,-2.67%
2022-10-27,2.25,2.28,2.32,2.23,1.27M,-0.88%
2022-10-26,2.27,2.27,2.33,2.24,1.56M,0.44%
2022-10-25,2.26,2.29,2.33,2.25,1.27M,-1.74%
2022-10-24,2.3,2.39,2.41,2.28,3.00M,-3.36%
2022-10-23,2.38,2.24,2.41,2.2,4.54M,9.17%
2022-10-20,2.18,2.17,2.21,2.17,925.90K,0.00%
2022-10-19,2.18,2.21,2.25,2.17,1.37M,-2.24%
2022-10-18,2.23,2.32,2.32,2.2,1.11M,-2.19%
2022-10-17,2.28,2.34,2.38,2.25,1.32M,0.00%
2022-10-16,2.28,2.24,2.33,2.19,2.65M,3.64%
2022-10-13,2.2,2.19,2.29,2.17,1.00M,1.85%
2022-10-12,2.16,2.21,2.27,2.14,1.58M,-1.82%
2022-10-11,2.2,2.28,2.3,2.17,1.17M,-3.08%
2022-10-10,2.27,2.31,2.36,2.25,1.51M,-0.87%
2022-10-09,2.29,2.3,2.34,2.24,2.51M,-0.43%
2022-10-05,2.3,2.34,2.4,2.27,1.80M,-1.71%
2022-10-04,2.34,2.38,2.41,2.32,1.51M,3.54%
2022-10-03,2.26,2.34,2.39,2.23,1.16M,-3.83%
2022-10-02,2.35,2.51,2.51,2.33,2.44M,-5.24%
2022-09-29,2.48,2.6,2.63,2.46,2.04M,-4.25%
2022-09-28,2.59,2.51,2.65,2.43,6.15M,4.02%
2022-09-27,2.49,2.5,2.57,2.44,3.66M,-0.40%
2022-09-26,2.5,2.27,2.53,2.24,5.75M,12.61%
2022-09-25,2.22,2.3,2.31,2.18,944.24K,-2.20%
2022-09-22,2.27,2.19,2.3,2.14,1.23M,3.18%
2022-09-21,2.2,2.28,2.3,2.19,1.53M,-3.51%
2022-09-20,2.28,2.28,2.32,2.18,1.91M,4.59%
2022-09-19,2.18,2.07,2.25,2.01,1.66M,5.31%
2022-09-18,2.07,2.26,2.3,2.02,3.43M,-8.41%
2022-09-15,2.26,2.3,2.36,2.24,1.12M,0.00%
2022-09-14,2.26,2.28,2.3,2.15,2.11M,-1.74%
2022-09-13,2.3,2.35,2.37,2.28,1.32M,-1.29%
2022-09-12,2.33,2.46,2.47,2.27,1.92M,-6.05%
2022-09-11,2.48,2.41,2.55,2.4,3.16M,3.77%
2022-09-08,2.39,2.24,2.44,2.21,3.73M,6.70%
2022-09-07,2.24,2.66,2.66,2.17,3.62M,-14.50%
2022-09-06,2.62,2.73,2.74,2.58,3.91M,-1.87%
2022-09-05,2.67,2.73,2.8,2.65,2.12M,-3.26%
2022-09-04,2.76,2.78,2.84,2.67,3.61M,-0.72%
2022-09-01,2.78,2.69,2.83,2.64,4.72M,4.12%
2022-08-31,2.67,2.61,2.75,2.61,3.33M,1.91%
2022-08-30,2.62,2.62,2.73,2.6,1.68M,-0.76%
2022-08-29,2.64,2.74,2.84,2.52,3.40M,-2.22%
2022-08-28,2.7,2.65,2.74,2.62,2.96M,2.66%
2022-08-25,2.63,2.58,2.7,2.56,2.75M,1.94%
2022-08-24,2.58,2.63,2.66,2.5,4.93M,-1.15%
2022-08-23,2.61,2.69,2.78,2.57,5.33M,-1.51%
2022-08-22,2.65,2.75,2.75,2.55,3.00M,-1.49%
2022-08-21,2.69,2.6,2.76,2.6,3.08M,4.67%
2022-08-18,2.57,2.36,2.64,2.32,4.56M,10.30%
2022-08-17,2.33,2.32,2.39,2.14,3.36M,1.30%
2022-08-16,2.3,2.44,2.44,2.27,3.36M,-2.54%
2022-08-15,2.36,2.35,2.42,2.14,3.54M,3.06%
2022-08-14,2.29,2.18,2.39,2.11,3.44M,9.15%
2022-08-11,2.098,1.99,2.118,1.99,1.60M,6.71%
2022-08-10,1.966,1.8,1.997,1.8,3.49M,10.89%
2022-08-09,1.773,1.781,1.87,1.72,2.53M,-0.39%
2022-08-08,1.78,1.83,1.86,1.69,3.99M,0.74%
2022-08-07,1.767,1.525,1.79,1.525,4.49M,18.11%
2022-08-04,1.496,1.45,1.52,1.414,3.53M,4.32%
2022-08-03,1.434,1.4,1.47,1.394,4.07M,5.13%
2022-08-02,1.364,1.283,1.4,1.273,4.77M,6.23%
2022-08-01,1.284,1.276,1.301,1.25,2.72M,2.56%
2022-07-31,1.252,1.248,1.28,1.239,877.60K,1.05%
2022-07-28,1.239,1.215,1.249,1.21,869.18K,0.98%
2022-07-27,1.227,1.25,1.28,1.215,3.19M,-1.45%
2022-07-26,1.245,1.184,1.249,1.184,3.20M,4.18%
2022-07-25,1.195,1.187,1.212,1.172,2.36M,1.96%
2022-07-24,1.172,1.146,1.186,1.146,1.38M,1.65%
2022-07-21,1.153,1.14,1.169,1.135,1.18M,1.05%
2022-07-20,1.141,1.14,1.158,1.13,645.47K,0.44%
2022-07-19,1.136,1.16,1.16,1.115,458.42K,-0.61%
2022-07-18,1.143,1.1,1.149,1.1,903.28K,4.10%
2022-07-17,1.098,1.086,1.11,1.08,416.79K,2.04%
2022-07-07,1.076,1.035,1.09,1.035,751.58K,5.59%
2022-07-06,1.019,1.02,1.035,1.009,258.93K,0.00%
2022-07-05,1.019,1.054,1.055,1.01,325.52K,0.39%
2022-07-04,1.015,1.037,1.058,0.99,620.46K,-3.52%
2022-07-03,1.052,1.082,1.09,1.032,602.33K,-4.01%
2022-06-29,1.096,1.103,1.126,1.08,287.15K,1.39%
2022-06-28,1.081,1.12,1.14,1.05,530.20K,-1.55%
2022-06-27,1.098,1.159,1.16,1.083,444.00K,-4.52%
2022-06-26,1.15,1.168,1.168,1.14,371.02K,0.26%
2022-06-23,1.147,1.187,1.187,1.136,159.06K,0.00%
2022-06-22,1.147,1.145,1.17,1.132,262.53K,-0.78%
2022-06-21,1.156,1.189,1.189,1.145,190.62K,0.00%
2022-06-20,1.156,1.199,1.22,1.12,741.11K,-2.94%
2022-06-19,1.191,1.192,1.245,1.188,2.01M,-0.50%
2022-06-16,1.197,1.16,1.219,1.157,1.82M,3.46%
2022-06-15,1.157,1.153,1.177,1.148,897.14K,1.31%
2022-06-14,1.142,1.115,1.148,1.115,395.87K,1.51%
2022-06-13,1.125,1.132,1.144,1.122,503.47K,-1.32%
2022-06-12,1.14,1.131,1.159,1.13,716.50K,-0.44%
