Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,48.22,49.98,49.98,47.66,4.89K,0.46%
2023-12-10,48.0,49.8,50.97,48.0,3.05K,-0.46%
2023-12-07,48.22,50.79,51.5,46.21,6.89K,-5.23%
2023-12-06,50.88,50.4,53.97,48.13,7.18K,3.86%
2023-12-05,48.99,50.9,51.9,43.34,7.25K,-0.16%
2023-12-04,49.07,49.1,52.0,49.0,4.12K,0.00%
2023-12-03,49.07,58.25,58.25,48.0,12.16K,-6.66%
2023-11-30,52.57,52.31,53.5,46.46,9.93K,-8.84%
2023-11-29,57.67,51.32,59.98,51.32,17.30K,12.37%
2023-11-28,51.32,43.8,51.33,42.7,20.57K,19.96%
2023-11-27,42.78,39.79,42.8,39.0,34.19K,19.93%
2023-11-26,35.67,39.1,39.1,38.5,2.93K,0.00%
2023-11-23,35.67,38.4,39.1,38.1,4.64K,0.00%
2023-11-22,35.67,38.34,38.5,37.6,2.73K,0.00%
2023-11-21,35.67,38.28,38.5,37.25,5.38K,0.00%
2023-11-20,35.67,37.0,38.5,37.0,0.80K,0.00%
2023-11-19,35.67,36.77,37.9,36.77,1.13K,0.00%
2023-11-16,35.67,36.91,38.33,36.6,4.97K,0.00%
2023-11-15,35.67,36.8,37.5,36.55,2.19K,0.00%
2023-11-14,35.67,36.25,37.45,35.7,4.12K,0.00%
2023-11-13,35.67,37.09,37.09,36.0,3.22K,0.00%
2023-11-12,35.67,36.9,37.1,36.0,6.17K,0.00%
2023-11-09,35.67,34.32,38.47,34.29,12.13K,5.69%
2023-11-08,33.75,33.3,34.32,32.12,9.36K,18.01%
2023-11-07,28.6,31.75,33.3,28.6,4.14K,0.00%
2023-11-06,28.6,32.8,32.99,31.85,1.91K,0.00%
2023-11-05,28.6,31.83,32.8,31.83,1.33K,0.00%
2023-11-02,28.6,32.0,32.85,31.52,1.40K,0.00%
2023-11-01,28.6,31.26,32.37,31.25,1.08K,0.00%
2023-10-31,28.6,31.55,32.49,31.22,1.06K,0.00%
2023-10-30,28.6,33.13,33.13,31.16,0.14K,0.00%
2023-10-29,28.6,31.52,33.0,30.1,2.69K,0.00%
2023-10-26,28.6,32.5,33.0,30.92,2.88K,0.00%
2023-10-25,28.6,32.5,32.5,31.4,1.52K,0.00%
2023-10-24,28.6,31.9,32.3,30.8,1.83K,0.00%
2023-10-23,28.6,31.49,31.99,30.42,0.52K,0.00%
2023-10-22,28.6,30.07,30.08,30.0,0.51K,0.00%
2023-10-19,28.6,30.01,31.0,30.0,0.74K,0.00%
2023-10-18,28.6,31.15,31.15,29.99,0.48K,0.00%
2023-10-17,28.6,30.11,31.79,29.95,0.78K,0.00%
2023-10-16,28.6,29.89,32.51,29.89,1.79K,0.00%
2023-10-15,28.6,30.04,30.9,29.43,1.63K,0.00%
2023-10-12,28.6,30.2,30.2,29.01,2.61K,0.00%
2023-10-11,28.6,29.95,29.98,28.9,1.93K,0.00%
2023-10-10,28.6,29.41,30.5,29.0,6.35K,0.00%
2023-10-09,28.6,29.33,30.65,29.01,1.51K,0.00%
2023-10-08,28.6,29.52,30.8,28.51,5.93K,0.00%
2023-10-04,28.6,30.94,30.94,29.3,3.01K,0.00%
2023-10-03,28.6,31.05,31.05,29.82,0.52K,0.00%
2023-10-02,28.6,30.0,31.15,30.0,0.69K,0.00%
2023-10-01,28.6,30.5,31.24,29.51,4.54K,0.00%
2023-09-27,28.6,31.3,31.5,29.29,2.87K,0.00%
2023-09-26,28.6,32.0,32.0,30.0,6.31K,0.00%
2023-09-25,28.6,33.34,33.34,30.6,6.23K,0.00%
2023-09-24,28.6,29.1,33.97,29.01,3.84K,0.00%
2023-09-21,28.6,31.99,32.5,30.61,3.88K,0.00%
2023-09-20,28.6,28.6,28.6,27.95,12.34K,19.97%
2023-09-19,23.84,27.86,28.6,27.86,1.08K,0.00%
2023-09-18,23.84,28.6,28.6,27.81,1.13K,0.00%
2023-09-17,23.84,28.6,28.6,27.8,3.51K,0.00%
2023-09-14,23.84,28.6,28.6,28.6,0.82K,0.00%
2023-09-13,23.84,28.6,28.6,28.6,0.06K,0.00%
2023-09-12,23.84,27.7,28.6,27.7,13.49K,0.00%
2023-09-11,23.84,27.52,28.0,27.52,7.48K,0.00%
2023-09-10,23.84,28.54,28.54,27.21,0.48K,0.00%
2023-09-07,23.84,27.75,28.0,27.13,2.03K,0.00%
2023-09-06,23.84,28.6,28.6,27.75,2.49K,0.00%
2023-09-05,23.84,28.01,28.5,27.77,2.03K,0.00%
2023-09-04,23.84,28.58,28.6,28.03,5.24K,0.00%
2023-09-03,23.84,27.62,28.6,27.61,6.08K,0.00%
2023-08-31,23.84,28.0,28.48,27.5,2.81K,0.00%
2023-08-30,23.84,27.8,28.0,27.13,4.20K,0.00%
2023-08-29,23.84,26.96,27.99,26.96,0.77K,0.00%
2023-08-28,23.84,26.7,26.96,26.4,4.51K,0.00%
2023-08-27,23.84,25.6,26.96,25.6,1.64K,0.00%
2023-08-24,23.84,25.5,27.0,23.84,0.71K,0.00%
2023-08-23,23.84,26.93,26.93,25.56,0.82K,0.00%
2023-08-22,23.84,26.1,27.3,25.24,2.04K,0.00%
2023-08-21,23.84,26.6,28.0,26.6,7.70K,0.00%
2023-08-16,23.84,26.69,26.69,24.02,0.43K,0.00%
2023-08-15,23.84,24.23,24.23,24.23,1.00K,0.00%
2023-08-14,23.84,24.0,24.0,24.0,0.00K,0.00%
2023-08-13,23.84,24.0,24.0,24.0,0.03K,0.00%
2023-08-08,23.84,25.65,25.65,24.5,0.45K,0.00%
2023-08-07,23.84,25.0,26.69,25.0,1.21K,0.00%
2023-08-06,23.84,26.69,26.69,24.25,1.01K,0.00%
2023-08-02,23.84,23.5,23.5,23.5,0.00K,0.00%
2023-08-01,23.84,23.23,25.0,23.23,0.04K,0.00%
2023-07-31,23.84,24.22,24.65,24.22,0.01K,0.00%
2023-07-30,23.84,23.09,23.09,23.09,0.02K,0.00%
2023-07-25,23.84,23.08,23.08,23.08,0.07K,0.00%
2023-07-24,23.84,24.22,24.22,24.22,0.01K,0.00%
2023-07-16,23.84,24.22,24.22,24.22,0.10K,0.00%
2023-07-11,23.84,24.24,24.24,24.24,0.10K,0.00%
2023-07-05,23.84,24.65,24.65,24.65,0.07K,0.00%
2023-07-04,23.84,23.0,23.0,23.0,0.00K,0.00%
2023-06-26,23.84,23.49,23.49,23.0,0.48K,0.00%
2023-06-25,23.84,23.49,23.49,23.49,0.02K,0.00%
2023-06-22,23.84,23.49,23.49,23.49,0.06K,0.00%
2023-06-21,23.84,24.5,24.5,23.75,0.58K,0.00%
2023-06-20,23.84,24.7,24.7,24.12,0.37K,0.00%
2023-06-19,23.84,24.1,24.12,24.1,1.40K,0.00%
2023-06-18,23.84,24.51,24.51,24.5,0.09K,0.00%
2023-06-15,23.84,24.5,24.5,24.5,0.04K,0.00%
2023-06-14,23.84,24.11,24.11,24.11,0.10K,0.00%
2023-06-13,23.84,24.12,24.12,24.1,2.12K,-1.16%
2023-06-12,24.12,24.1,24.12,24.1,1.74K,1.17%
2023-06-11,23.84,24.0,24.0,24.0,0.20K,0.00%
2023-06-07,23.84,23.5,23.5,23.42,1.00K,0.00%
2023-06-06,23.84,23.5,23.5,23.4,1.00K,0.00%
2023-06-05,23.84,23.5,24.05,23.1,1.81K,0.00%
2023-06-04,23.84,23.02,23.6,23.02,1.27K,0.00%
2023-06-01,23.84,23.51,23.51,23.0,1.00K,0.00%
2023-05-29,23.84,23.0,23.55,23.0,0.19K,0.00%
2023-05-25,23.84,23.0,24.6,23.0,0.08K,0.00%
2023-05-23,23.84,24.69,24.8,23.54,0.94K,0.00%
2023-05-22,23.84,23.99,24.99,23.99,3.14K,0.00%
2023-05-17,23.84,23.58,23.75,23.58,2.18K,0.00%
2023-05-16,23.84,23.77,23.77,23.77,0.01K,0.00%
2023-05-15,23.84,23.8,23.8,23.8,1.00K,0.00%
2023-05-07,23.84,23.01,23.01,23.0,1.03K,0.00%
2023-05-03,23.84,23.3,23.3,23.0,1.50K,0.00%
2023-05-01,23.84,24.0,24.0,23.0,0.34K,0.00%
2023-04-30,23.84,24.0,24.01,24.0,1.47K,0.00%
2023-04-27,23.84,23.34,23.34,23.34,0.50K,0.00%
2023-04-26,23.84,23.84,26.0,23.01,1.04K,0.00%
2023-04-19,23.84,23.0,23.01,23.0,0.53K,0.00%
2023-04-10,23.84,22.22,24.5,22.22,0.04K,0.00%
2023-04-09,23.84,23.43,25.77,21.02,1.31K,0.00%
2023-04-06,23.84,23.01,23.5,23.01,0.14K,0.00%
2023-04-05,23.84,24.0,24.0,23.0,0.23K,0.00%
2023-04-03,23.84,25.0,25.98,25.0,0.04K,0.00%
2023-04-02,23.84,23.41,23.41,23.41,0.33K,0.00%
2023-03-29,23.84,23.21,23.21,23.21,0.00K,0.00%
2023-03-27,23.84,23.5,23.5,23.5,0.01K,0.00%
2023-03-26,23.84,26.7,26.7,24.01,0.17K,0.00%
2023-03-23,23.84,26.7,27.0,26.7,0.15K,0.00%
2023-03-21,23.84,25.0,25.0,23.84,0.04K,0.00%
2023-03-20,23.84,23.84,25.5,23.84,1.02K,0.00%
2023-03-19,23.84,22.9,22.9,22.85,0.15K,0.00%
2023-03-16,23.84,21.08,25.95,20.5,1.56K,0.00%
2023-03-15,23.84,20.21,23.5,20.21,0.02K,0.00%
2023-03-13,23.84,23.5,23.5,23.5,0.50K,0.00%
2023-03-12,23.84,23.62,24.75,23.62,2.33K,0.00%
2023-03-09,23.84,26.0,26.9,24.6,0.66K,0.00%
2023-03-08,23.84,24.01,25.49,23.5,4.30K,0.00%
2023-03-06,23.84,25.3,25.5,25.2,0.27K,0.00%
2023-03-05,23.84,25.56,25.56,25.5,1.09K,0.00%
2023-03-02,23.84,26.75,26.8,25.52,0.22K,0.00%
2023-03-01,23.84,26.9,26.95,25.51,1.36K,0.00%
2023-02-28,23.84,25.8,26.95,25.5,1.32K,0.00%
2023-02-27,23.84,26.99,27.49,25.81,1.30K,0.00%
2023-02-26,23.84,25.63,27.2,25.63,2.76K,0.00%
2023-02-23,23.84,25.51,27.25,25.51,2.51K,0.00%
2023-02-22,23.84,23.1,27.44,23.1,7.42K,0.00%
2023-02-21,23.84,22.2,25.5,22.0,9.86K,0.00%
2023-02-20,23.84,20.5,20.5,20.5,0.22K,0.00%
2023-02-19,23.84,20.5,22.2,20.5,0.02K,0.00%
2023-02-16,23.84,22.5,22.5,20.5,0.13K,0.00%
2023-02-13,23.84,20.5,21.99,20.5,0.23K,0.00%
2023-02-12,23.84,20.5,21.9,20.5,0.25K,0.00%
2023-02-09,23.84,20.5,21.7,20.5,0.28K,0.00%
2023-02-07,23.84,20.25,22.47,20.25,0.91K,0.00%
2023-02-06,23.84,21.3,21.94,21.3,0.10K,0.00%
2023-02-05,23.84,21.44,21.44,21.44,0.25K,0.00%
2023-02-02,23.84,21.45,21.45,20.5,0.28K,0.00%
2023-02-01,23.84,20.6,20.6,20.6,0.00K,0.00%
2023-01-30,23.84,20.61,20.61,20.6,0.43K,0.00%
2023-01-25,23.84,20.52,22.99,20.52,0.34K,0.00%
2023-01-24,23.84,20.75,20.75,20.75,0.03K,0.00%
2023-01-23,23.84,21.3,21.3,20.75,0.02K,0.00%
2023-01-22,23.84,21.0,21.9,21.0,1.40K,0.00%
2023-01-19,23.84,21.7,21.99,21.7,0.01K,0.00%
2023-01-17,23.84,22.0,22.0,22.0,0.40K,0.00%
2023-01-16,23.84,20.7,20.7,20.5,0.22K,0.00%
2023-01-15,23.84,21.99,21.99,20.55,1.00K,0.00%
2023-01-12,23.84,21.99,21.99,21.99,1.80K,0.00%
2023-01-11,23.84,21.5,21.99,21.5,0.63K,0.00%
2023-01-10,23.84,22.0,22.0,21.03,0.27K,0.00%
2023-01-09,23.84,21.5,23.0,20.71,3.30K,0.00%
2023-01-05,23.84,21.0,21.84,21.0,0.35K,0.00%
2023-01-04,23.84,22.01,22.01,20.5,2.49K,0.00%
2023-01-03,23.84,21.0,22.3,21.0,0.92K,0.00%
2023-01-02,23.84,22.5,22.55,21.0,1.73K,0.00%
2022-12-29,23.84,21.0,22.0,21.0,1.40K,0.00%
2022-12-28,23.84,21.0,21.25,20.75,2.62K,0.00%
2022-12-27,23.84,23.85,23.85,21.0,0.09K,0.00%
2022-12-25,23.84,23.89,23.89,22.99,0.05K,0.00%
2022-12-22,23.84,21.0,23.0,21.0,0.04K,0.00%
2022-12-21,23.84,20.91,20.91,20.91,0.00K,0.00%
2022-12-20,23.84,24.0,24.0,20.85,0.83K,0.00%
2022-12-19,23.84,24.0,24.0,22.5,1.50K,0.00%
2022-12-18,23.84,23.8,23.99,23.8,0.20K,0.00%
2022-12-15,23.84,22.5,22.5,22.5,0.83K,0.00%
2022-12-14,23.84,23.99,24.0,22.5,0.07K,0.00%
2022-12-13,23.84,23.99,23.99,22.99,0.20K,0.00%
2022-12-12,23.84,23.9,23.9,22.2,0.42K,0.00%
2022-12-11,23.84,23.8,23.85,23.8,0.20K,0.00%
2022-12-08,23.84,23.5,23.6,23.5,0.11K,0.00%
2022-12-07,23.84,23.0,24.0,21.23,1.32K,0.00%
2022-12-05,23.84,20.61,25.98,20.6,2.67K,0.00%
2022-12-04,23.84,25.0,26.0,20.39,0.51K,0.00%
2022-11-30,23.84,25.5,25.5,25.5,0.02K,0.00%
2022-11-29,23.84,25.5,25.5,25.5,0.00K,0.00%
2022-11-24,23.84,25.8,25.85,22.0,1.35K,0.00%
2022-11-23,23.84,20.0,26.99,19.75,1.52K,0.00%
2022-11-22,23.84,20.0,25.0,19.37,1.70K,0.00%
2022-11-21,23.84,21.98,22.9,19.27,0.25K,0.00%
2022-11-20,23.84,20.0,21.95,20.0,0.20K,0.00%
2022-11-17,23.84,19.27,21.98,19.27,0.03K,0.00%
2022-11-16,23.84,19.11,22.5,19.09,0.21K,0.00%
