Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,9.8,9.34,9.67,9.15,2.54K,4.37%
2023-12-10,9.39,9.2,9.89,9.2,22.75K,-4.18%
2023-12-07,9.8,9.1,9.99,9.1,144.62K,-0.71%
2023-12-06,9.87,9.59,9.59,9.08,16.64K,0.00%
2023-12-05,9.87,9.5,9.66,9.22,19.95K,0.00%
2023-12-04,9.87,9.47,9.94,9.0,83.06K,7.99%
2023-12-03,9.14,9.32,9.5,8.52,28.61K,0.00%
2023-11-30,9.14,8.2,9.48,8.2,55.36K,7.91%
2023-11-29,8.47,8.5,8.87,8.22,27.60K,0.00%
2023-11-28,8.47,9.02,9.02,8.22,67.49K,-4.08%
2023-11-27,8.83,9.1,9.27,8.6,61.20K,-2.11%
2023-11-26,9.02,9.84,10.0,8.94,216.11K,-5.75%
2023-11-23,9.57,9.22,9.81,9.17,37.72K,4.70%
2023-11-22,9.14,8.81,9.45,8.81,1.72K,0.00%
2023-11-21,9.14,9.1,9.45,8.85,58.30K,1.56%
2023-11-20,9.0,8.79,9.09,8.63,65.34K,-1.21%
2023-11-19,9.11,9.0,9.0,8.79,11.66K,0.00%
2023-11-16,9.11,9.0,9.12,8.76,8.97K,0.00%
2023-11-15,9.11,9.49,9.5,8.81,110.32K,1.22%
2023-11-14,9.0,8.01,9.45,8.0,160.28K,11.25%
2023-11-13,8.09,7.63,8.5,7.62,86.76K,-0.25%
2023-11-12,8.11,7.67,8.5,7.23,140.12K,6.71%
2023-11-09,7.6,7.32,7.65,7.0,107.72K,0.80%
2023-11-08,7.54,7.27,7.65,7.27,1.05K,0.00%
2023-11-07,7.54,7.5,7.5,7.3,9.72K,0.00%
2023-11-06,7.54,7.5,7.5,7.26,5.90K,0.00%
2023-11-05,7.54,7.06,7.85,7.06,0.47K,0.00%
2023-11-02,7.54,7.68,7.68,7.25,10.95K,0.00%
2023-11-01,7.54,7.3,7.58,7.01,13.36K,0.00%
2023-10-31,7.54,7.34,7.34,7.34,2.45K,0.00%
2023-10-30,7.54,7.34,7.8,7.34,6.09K,0.00%
2023-10-29,7.54,7.92,7.92,7.02,9.86K,0.00%
2023-10-26,7.54,7.97,7.97,7.3,17.57K,0.00%
2023-10-25,7.54,6.81,8.28,6.81,51.69K,7.71%
2023-10-24,7.0,7.14,7.3,7.0,23.20K,0.00%
2023-10-23,7.0,7.0,7.19,7.0,9.07K,0.00%
2023-10-22,7.0,6.81,7.04,6.81,3.37K,0.00%
2023-10-19,7.0,6.86,7.17,6.81,4.14K,0.00%
2023-10-18,7.0,6.86,7.0,6.86,1.75K,0.00%
2023-10-17,7.0,6.9,6.9,6.86,4.83K,0.00%
2023-10-16,7.0,6.86,6.87,6.81,4.83K,0.00%
2023-10-15,7.0,6.84,6.99,6.84,2.04K,0.00%
2023-10-12,7.0,7.0,7.11,6.95,45.43K,-3.05%
2023-10-11,7.22,6.9,7.41,6.9,4.29K,0.00%
2023-10-10,7.22,7.1,7.1,6.84,1.51K,0.00%
2023-10-09,7.22,6.8,6.94,6.8,11.43K,0.00%
2023-10-08,7.22,6.9,7.0,6.8,21.48K,0.00%
2023-10-04,7.22,7.0,7.0,6.91,3.11K,0.00%
2023-10-03,7.22,6.85,7.0,6.85,7.02K,0.00%
2023-10-02,7.22,6.81,7.2,6.81,2.10K,0.00%
2023-10-01,7.22,7.0,7.49,6.77,11.63K,0.00%
2023-09-27,7.22,7.11,7.49,7.11,1.78K,0.00%
2023-09-26,7.22,7.2,7.49,6.72,138.64K,-3.86%
2023-09-25,7.51,7.4,7.73,7.15,20.08K,0.00%
2023-09-24,7.51,7.17,7.8,7.15,6.30K,0.00%
2023-09-21,7.51,7.55,7.83,7.47,36.54K,0.00%
2023-09-20,7.51,7.69,7.85,7.46,31.30K,0.00%
2023-09-19,7.51,7.4,7.8,7.21,76.52K,3.02%
2023-09-18,7.29,7.0,7.35,7.0,92.01K,5.35%
2023-09-17,6.92,6.99,7.02,6.92,17.85K,0.00%
2023-09-14,6.92,6.92,6.99,6.9,4.20K,0.00%
2023-09-13,6.92,6.96,7.1,6.51,27.72K,0.00%
2023-09-12,6.92,6.63,7.1,6.63,35.97K,0.00%
2023-09-11,6.92,6.9,6.9,6.66,25.35K,0.00%
2023-09-10,6.92,6.83,6.92,6.62,10.67K,0.00%
2023-09-07,6.92,6.65,6.72,6.61,31.75K,0.00%
2023-09-06,6.92,6.81,6.9,6.7,8.92K,0.00%
2023-09-05,6.92,6.9,6.97,6.8,7.20K,0.00%
2023-09-04,6.92,6.85,6.97,6.81,8.71K,0.00%
2023-09-03,6.92,6.9,7.1,6.81,20.87K,0.00%
2023-08-31,6.92,6.55,7.0,6.55,60.73K,4.85%
2023-08-30,6.6,6.55,6.81,6.55,30.53K,0.00%
2023-08-29,6.6,6.59,6.68,6.59,7.73K,0.00%
2023-08-28,6.6,6.6,6.65,6.58,17.83K,0.00%
2023-08-27,6.6,6.6,6.61,6.48,127.49K,0.00%
2023-08-24,6.6,6.6,6.61,6.42,32.03K,0.00%
2023-08-23,6.6,6.42,6.63,6.41,350.02K,0.00%
2023-08-22,6.6,6.53,6.53,6.3,5.58K,0.00%
2023-08-21,6.6,6.53,6.54,6.4,20.07K,0.00%
2023-08-20,6.6,6.54,6.54,6.32,11.97K,0.00%
2023-08-17,6.6,6.54,6.55,6.3,20.71K,0.00%
2023-08-16,6.6,6.54,6.54,6.3,7.02K,0.00%
2023-08-15,6.6,6.54,6.54,6.48,2.92K,0.00%
2023-08-14,6.6,6.52,6.55,6.52,2.51K,0.00%
2023-08-13,6.6,6.6,6.6,6.48,1.37K,0.00%
2023-08-10,6.6,6.6,6.6,6.3,8.02K,0.00%
2023-08-09,6.6,6.55,6.85,6.52,16.77K,0.00%
2023-08-08,6.6,6.6,6.6,6.55,8.07K,0.00%
2023-08-07,6.6,6.66,6.87,6.6,43.46K,0.00%
2023-08-06,6.6,6.5,6.66,6.5,2.18K,0.00%
2023-08-03,6.6,6.6,6.64,6.48,6.84K,0.00%
2023-08-02,6.6,6.64,6.64,6.51,13.30K,0.00%
2023-08-01,6.6,6.6,6.66,6.59,12.05K,0.00%
2023-07-31,6.6,6.59,6.66,6.59,11.68K,0.00%
2023-07-30,6.6,6.6,6.6,6.52,10.70K,0.00%
2023-07-27,6.6,6.53,6.7,6.53,7.55K,0.00%
2023-07-26,6.6,6.52,6.64,6.52,56.34K,0.00%
2023-07-25,6.6,6.6,6.68,6.45,153.62K,0.30%
2023-07-24,6.58,6.61,6.62,6.42,33.30K,0.00%
2023-07-19,6.58,6.7,6.7,6.49,7.58K,0.00%
2023-07-18,6.58,6.5,6.69,6.5,18.00K,0.00%
2023-07-17,6.58,6.49,6.55,6.44,7.50K,0.00%
2023-07-16,6.58,6.56,6.57,6.42,10.06K,0.00%
2023-07-13,6.58,6.46,6.56,6.36,17.73K,0.00%
2023-07-12,6.58,6.5,6.68,6.4,7.99K,0.00%
2023-07-11,6.58,6.58,6.58,6.35,8.78K,0.00%
2023-07-10,6.58,6.8,6.8,6.25,22.41K,0.00%
2023-07-09,6.58,6.82,6.82,6.24,18.64K,0.00%
2023-07-06,6.58,6.95,6.95,6.4,56.08K,-7.84%
2023-07-05,7.14,6.97,6.97,6.85,9.03K,0.00%
2023-07-04,7.14,7.03,7.03,6.77,23.78K,0.00%
2023-06-26,7.14,7.0,7.01,6.85,22.42K,0.00%
2023-06-25,7.14,7.03,7.18,7.0,21.93K,0.00%
2023-06-22,7.14,7.1,7.13,7.0,27.46K,0.00%
2023-06-21,7.14,7.11,7.2,7.01,46.75K,-2.99%
2023-06-20,7.36,7.11,7.17,7.11,23.77K,0.00%
2023-06-19,7.36,7.35,7.39,7.17,27.91K,0.00%
2023-06-18,7.36,7.36,7.45,7.3,14.11K,0.00%
2023-06-15,7.36,7.18,7.45,7.17,77.95K,1.66%
2023-06-14,7.24,7.45,7.55,7.15,15.66K,0.00%
2023-06-13,7.24,7.35,7.41,7.0,70.73K,-4.74%
2023-06-12,7.6,8.94,8.94,6.35,59.82K,-26.85%
2023-06-11,10.39,10.5,10.5,10.3,56.65K,-0.48%
2023-06-08,10.44,10.44,10.5,10.4,4.13K,0.00%
2023-06-07,10.44,10.44,10.44,10.37,63.36K,0.48%
2023-06-06,10.39,10.44,10.44,10.33,42.01K,-0.48%
2023-06-05,10.44,10.5,10.5,10.27,43.57K,-0.19%
2023-06-04,10.46,10.47,10.69,10.35,33.28K,-0.10%
2023-06-01,10.47,10.1,10.7,10.1,32.13K,4.49%
2023-05-31,10.02,10.75,10.77,10.0,76.73K,-6.53%
2023-05-30,10.72,10.74,10.78,10.7,7.44K,0.00%
2023-05-29,10.72,10.77,10.79,10.57,39.89K,-0.65%
2023-05-28,10.79,10.93,10.93,10.57,16.87K,0.00%
2023-05-25,10.79,10.88,10.88,10.5,11.36K,0.00%
2023-05-24,10.79,11.0,11.0,10.33,19.99K,0.00%
2023-05-23,10.79,10.79,10.79,10.3,0.69K,0.00%
2023-05-22,10.79,10.51,11.0,10.15,18.23K,0.00%
2023-05-21,10.79,11.0,11.2,10.51,54.01K,-0.55%
2023-05-18,10.85,10.53,10.86,10.53,36.76K,-0.82%
2023-05-17,10.94,10.95,10.95,10.51,147.27K,-0.64%
2023-05-16,11.01,10.51,11.01,10.48,4.29K,0.00%
2023-05-15,11.01,10.98,11.01,10.65,11.35K,0.00%
2023-05-14,11.01,10.7,11.2,10.61,10.67K,0.00%
2023-05-11,11.01,10.65,10.75,10.65,1.36K,0.00%
2023-05-10,11.01,10.71,11.3,10.67,0.78K,0.00%
2023-05-09,11.01,11.44,11.5,10.64,60.49K,-5.49%
2023-05-08,11.65,10.37,11.75,10.01,165.99K,5.72%
2023-05-07,11.02,10.96,10.96,10.33,10.04K,0.00%
2023-05-03,11.02,10.9,11.0,10.35,19.68K,0.00%
2023-05-02,11.02,11.39,11.4,10.5,3.84K,0.00%
2023-05-01,11.02,10.5,11.48,10.2,35.16K,4.55%
2023-04-30,10.54,10.97,11.0,10.2,8.49K,0.00%
2023-04-27,10.54,11.0,11.0,10.5,8.90K,0.00%
2023-04-26,10.54,9.52,11.89,9.52,227.04K,5.72%
2023-04-19,9.97,9.52,10.09,9.5,44.48K,0.20%
2023-04-18,9.95,9.45,10.08,9.45,43.16K,8.27%
2023-04-13,9.19,9.01,9.89,9.01,24.16K,0.00%
2023-04-12,9.19,9.2,10.0,9.2,16.70K,0.00%
2023-04-11,9.19,9.19,9.6,9.1,4.44K,0.00%
2023-04-10,9.19,9.21,9.65,8.9,20.31K,0.00%
2023-04-09,9.19,9.18,9.5,9.18,15.16K,0.00%
2023-04-06,9.19,9.4,9.4,9.18,1.01K,0.00%
2023-04-05,9.19,9.5,9.5,9.4,0.26K,0.00%
2023-04-04,9.19,9.5,10.0,9.2,12.64K,0.00%
2023-04-03,9.19,9.6,9.62,9.5,18.56K,0.00%
2023-04-02,9.19,9.1,9.8,9.1,35.85K,2.11%
2023-03-30,9.0,9.2,9.25,8.81,30.67K,0.00%
2023-03-29,9.0,9.2,9.2,8.9,50.29K,0.78%
2023-03-28,8.93,9.11,9.11,8.88,40.04K,-0.78%
2023-03-27,9.0,9.69,9.69,9.15,19.51K,0.00%
2023-03-26,9.0,9.85,9.85,9.08,2.76K,0.00%
2023-03-23,9.0,9.25,9.33,9.24,0.56K,0.00%
2023-03-22,9.0,9.35,10.1,9.3,18.11K,0.00%
2023-03-21,9.0,9.02,10.17,9.02,29.48K,0.00%
2023-03-20,9.0,9.03,9.88,9.03,12.46K,0.00%
2023-03-19,9.0,9.0,9.2,8.81,9.50K,0.00%
2023-03-16,9.0,8.77,9.44,8.77,15.14K,0.00%
2023-03-15,9.0,10.0,10.24,9.0,30.42K,0.00%
2023-03-14,9.0,9.0,10.0,9.0,23.48K,0.00%
2023-03-13,9.0,9.9,10.37,9.0,212.14K,-14.29%
2023-03-12,10.5,10.06,10.07,9.72,10.53K,0.00%
2023-03-09,10.5,10.0,10.61,9.51,7.98K,0.00%
2023-03-08,10.5,10.5,10.85,10.0,9.74K,0.00%
2023-03-07,10.5,10.0,11.29,10.0,137.25K,-0.19%
2023-03-06,10.52,10.3,10.9,9.37,45.60K,-1.77%
2023-03-05,10.71,10.75,10.75,10.2,21.67K,0.00%
2023-03-02,10.71,9.5,11.0,9.5,146.78K,12.86%
2023-03-01,9.49,8.43,10.2,8.43,265.16K,3.49%
2023-02-28,9.17,9.14,9.17,8.81,10.65K,0.00%
2023-02-27,9.17,8.75,9.2,8.75,6.19K,0.00%
2023-02-26,9.17,9.0,9.2,8.33,119.29K,1.89%
2023-02-23,9.0,8.8,9.0,8.7,18.15K,0.00%
2023-02-22,9.0,8.72,8.98,8.7,1.15K,0.00%
2023-02-21,9.0,8.02,9.0,8.02,19.72K,0.00%
2023-02-20,9.0,9.0,9.0,8.91,20.87K,0.00%
2023-02-19,9.0,9.37,9.37,8.91,31.58K,0.00%
2023-02-16,9.0,9.38,9.38,8.81,38.40K,1.01%
2023-02-15,8.91,8.99,9.3,8.66,130.49K,3.60%
2023-02-14,8.6,9.0,9.0,8.71,2.52K,0.00%
2023-02-13,8.6,9.0,9.0,8.84,13.81K,0.00%
2023-02-12,8.6,9.0,9.05,8.87,6.98K,0.00%
2023-02-09,8.6,9.02,9.39,8.8,30.81K,0.00%
2023-02-08,8.6,9.09,9.67,8.72,23.77K,0.00%
2023-02-07,8.6,9.01,9.09,9.0,4.29K,0.00%
2023-02-06,8.6,9.16,9.3,9.0,19.48K,0.00%
2023-02-05,8.6,8.69,9.18,8.56,122.92K,-19.55%
2023-02-02,10.69,9.11,9.49,9.02,5.94K,0.00%
2023-02-01,10.69,9.5,9.5,9.03,6.33K,0.00%
2023-01-31,10.69,9.3,9.81,9.07,5.60K,0.00%
2023-01-30,10.69,9.9,9.96,9.3,14.93K,0.00%
2023-01-29,10.69,10.0,10.0,9.81,8.80K,0.00%
2023-01-25,10.69,9.65,10.0,9.65,9.35K,0.00%
2023-01-24,10.69,10.0,10.0,9.66,2.94K,0.00%
2023-01-23,10.69,10.19,10.19,9.72,15.89K,0.00%
2023-01-22,10.69,10.0,10.5,9.65,9.95K,0.00%
2023-01-19,10.69,10.9,10.9,10.0,15.94K,0.00%
2023-01-18,10.69,10.5,10.5,9.6,9.61K,0.00%
2023-01-17,10.69,10.53,10.55,10.15,22.99K,0.00%
2023-01-16,10.69,9.22,11.0,9.22,205.64K,14.82%
2023-01-15,9.31,8.51,9.75,8.51,134.87K,8.76%
2023-01-12,8.56,8.2,8.6,8.2,100.34K,0.12%
2023-01-11,8.55,8.08,8.65,8.08,42.66K,1.91%
2023-01-10,8.39,8.07,8.38,8.07,14.67K,0.00%
2023-01-09,8.39,8.01,8.4,8.01,7.19K,0.00%
2023-01-05,8.39,8.06,8.55,8.01,43.31K,2.07%
2023-01-04,8.22,8.45,8.65,8.0,102.75K,-3.29%
2023-01-03,8.5,8.37,8.77,8.37,16.81K,0.00%
2023-01-02,8.5,8.45,8.99,8.25,7.87K,0.00%
2022-12-29,8.5,8.2,8.5,8.18,1.84K,0.00%
2022-12-28,8.5,8.1,8.5,7.96,39.87K,-2.97%
2022-12-27,8.76,8.3,8.3,8.0,9.43K,0.00%
2022-12-26,8.76,8.0,8.3,7.96,24.21K,0.00%
2022-12-25,8.76,8.15,8.29,7.72,7.17K,0.00%
2022-12-22,8.76,8.4,8.4,8.0,13.45K,0.00%
2022-12-21,8.76,8.5,8.94,7.1,7.29K,0.00%
2022-12-20,8.76,8.98,8.98,8.38,10.66K,0.00%
2022-12-19,8.76,9.08,9.08,8.25,52.67K,-3.74%
2022-12-18,9.1,9.5,9.5,8.6,8.45K,0.00%
2022-12-15,9.1,8.61,9.69,8.61,177.06K,1.11%
2022-12-14,9.0,9.0,9.79,8.5,333.21K,0.00%
2022-12-13,9.0,9.0,9.99,8.01,421.78K,5.88%
2022-12-12,8.5,7.46,8.5,7.1,489.02K,19.89%
2022-12-11,7.09,6.49,7.51,6.24,193.48K,13.26%
2022-12-08,6.26,6.0,6.6,5.96,293.35K,3.30%
2022-12-07,6.06,5.8,6.03,5.8,39.93K,0.00%
2022-12-06,6.06,6.0,6.07,5.9,15.14K,0.00%
2022-12-05,6.06,6.1,6.1,5.95,12.83K,0.00%
2022-12-04,6.06,6.06,6.1,5.95,43.05K,0.00%
2022-12-01,6.06,6.06,6.18,6.0,36.11K,0.00%
2022-11-30,6.06,6.08,6.08,5.93,8.71K,0.00%
2022-11-29,6.06,5.98,6.07,5.98,15.19K,0.00%
2022-11-28,6.06,5.97,6.15,5.97,50.52K,1.00%
