Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,99.3,87.0,92.0,86.03,2.87K,14.14%
2023-12-10,87.0,92.98,92.98,87.0,1.35K,-12.39%
2023-12-07,99.3,90.0,93.0,86.0,2.73K,0.00%
2023-12-06,99.3,95.0,95.0,80.01,2.41K,0.00%
2023-12-05,99.3,98.71,98.71,89.0,1.16K,0.00%
2023-12-04,99.3,95.0,98.99,88.0,0.89K,0.00%
2023-12-03,99.3,93.0,99.2,88.0,2.22K,0.00%
2023-11-30,99.3,88.99,102.0,88.99,8.80K,3.76%
2023-11-29,95.7,90.56,99.0,90.0,3.89K,0.55%
2023-11-28,95.18,88.88,99.0,86.0,11.62K,7.56%
2023-11-27,88.49,86.94,88.88,85.1,14.82K,2.94%
2023-11-26,85.96,87.79,87.79,84.9,3.79K,0.39%
2023-11-23,85.63,87.7,88.87,83.87,10.60K,-1.91%
2023-11-22,87.3,75.8,88.92,75.77,9.99K,17.81%
2023-11-21,74.1,69.0,77.98,67.6,37.73K,8.10%
2023-11-20,68.55,65.36,69.0,65.36,12.17K,1.84%
2023-11-19,67.31,69.0,69.0,58.1,15.65K,-7.20%
2023-11-16,72.53,71.8,72.55,71.5,12.98K,1.74%
2023-11-15,71.29,71.01,72.49,70.01,5.17K,-2.33%
2023-11-14,72.99,71.45,72.8,71.44,2.87K,0.00%
2023-11-13,72.99,70.0,73.7,70.0,8.15K,1.71%
2023-11-12,71.76,70.55,72.95,70.55,3.21K,0.00%
2023-11-09,71.76,70.0,72.95,67.01,10.47K,3.03%
2023-11-08,69.65,68.5,70.97,66.0,4.76K,1.49%
2023-11-07,68.63,62.9,69.54,62.0,11.48K,10.34%
2023-11-06,62.2,61.65,62.97,61.05,6.67K,2.47%
2023-11-05,60.7,61.9,61.9,60.0,14.07K,0.07%
2023-11-02,60.66,60.99,61.92,58.65,7.43K,1.35%
2023-11-01,59.85,61.25,62.5,58.0,3.38K,0.00%
2023-10-31,59.85,63.0,63.0,59.0,8.72K,-2.09%
2023-10-30,61.13,62.5,64.0,60.01,10.98K,5.43%
2023-10-29,57.98,57.5,63.87,57.5,3.82K,0.00%
2023-10-26,57.98,58.99,61.98,56.9,6.60K,1.47%
2023-10-25,57.14,59.0,62.54,56.05,7.42K,-0.47%
2023-10-24,57.41,55.0,58.99,55.0,14.07K,5.17%
2023-10-23,54.59,53.0,55.4,52.82,12.41K,4.46%
2023-10-22,52.26,51.7,54.94,47.86,9.09K,6.35%
2023-10-19,49.14,48.93,49.14,47.01,2.36K,0.00%
2023-10-18,49.14,48.85,51.88,48.85,0.96K,0.00%
2023-10-17,49.14,51.99,51.99,48.0,5.40K,0.00%
2023-10-16,49.14,47.0,52.96,46.14,1.64K,0.00%
2023-10-15,49.14,46.32,50.98,46.01,7.96K,6.09%
2023-10-12,46.32,45.01,45.51,45.01,0.52K,0.00%
2023-10-11,46.32,47.0,47.99,43.8,8.32K,7.72%
2023-10-10,43.0,47.79,48.0,47.25,3.58K,0.00%
2023-10-09,43.0,43.02,47.8,43.02,0.88K,0.00%
2023-10-08,43.0,46.39,46.4,42.5,3.13K,0.00%
2023-10-04,43.0,43.89,46.4,43.89,2.94K,0.00%
2023-10-03,43.0,42.31,44.39,42.31,0.18K,0.00%
2023-10-02,43.0,42.35,42.53,42.35,0.06K,0.00%
2023-10-01,43.0,42.03,44.4,42.03,0.21K,0.00%
2023-09-27,43.0,44.0,44.0,41.11,0.75K,0.00%
2023-09-26,43.0,40.27,44.49,40.27,0.22K,0.00%
2023-09-25,43.0,42.02,44.55,40.25,0.29K,0.00%
2023-09-24,43.0,44.56,44.56,43.0,3.53K,0.00%
2023-09-21,43.0,44.49,44.49,43.0,10.01K,-2.60%
2023-09-20,44.15,44.59,44.59,44.01,0.46K,0.00%
2023-09-19,44.15,44.27,45.0,44.0,0.98K,0.00%
2023-09-18,44.15,44.0,44.01,44.0,2.33K,0.00%
2023-09-17,44.15,44.5,45.8,44.0,5.79K,0.00%
2023-09-14,44.15,46.5,46.5,43.12,11.27K,-0.11%
2023-09-13,44.2,45.0,48.0,43.0,4.13K,0.00%
2023-09-12,44.2,44.48,47.5,42.66,2.67K,0.00%
2023-09-11,44.2,43.2,43.2,40.06,0.05K,0.00%
2023-09-06,44.2,44.82,44.82,44.5,1.50K,0.00%
2023-09-05,44.2,43.3,43.3,43.3,0.01K,0.00%
2023-09-04,44.2,43.51,44.2,43.51,0.70K,0.00%
2023-09-03,44.2,44.25,44.25,43.5,0.16K,0.00%
2023-08-31,44.2,43.2,43.2,43.2,0.00K,0.00%
2023-08-30,44.2,44.94,44.94,43.0,0.50K,0.00%
2023-08-29,44.2,43.25,43.75,43.25,0.45K,0.00%
2023-08-28,44.2,42.01,44.99,42.01,0.83K,0.00%
2023-08-27,44.2,45.0,45.0,42.0,2.11K,0.00%
2023-08-23,44.2,47.73,47.74,42.6,7.48K,-5.33%
2023-08-22,46.69,43.01,46.95,43.01,1.39K,0.00%
2023-08-21,46.69,47.75,47.75,43.01,2.45K,0.00%
2023-08-20,46.69,47.98,48.99,45.51,2.94K,0.00%
2023-08-17,46.69,44.0,47.97,44.0,20.12K,16.75%
2023-08-16,39.99,43.89,45.79,42.51,4.08K,0.00%
2023-08-15,39.99,41.87,46.5,40.0,1.16K,0.00%
2023-08-14,39.99,39.17,39.17,39.17,0.01K,0.00%
2023-08-13,39.99,41.25,41.9,40.0,0.67K,0.00%
2023-08-10,39.99,38.85,41.0,38.85,0.52K,0.00%
2023-08-09,39.99,41.0,41.0,37.73,2.34K,0.00%
2023-08-08,39.99,41.5,41.5,37.71,7.23K,0.00%
2023-08-07,39.99,41.0,41.5,41.0,1.31K,0.00%
2023-08-06,39.99,39.05,41.9,38.56,1.76K,0.00%
2023-08-03,39.99,39.99,40.0,39.99,2.97K,0.00%
2023-08-02,39.99,38.76,38.77,38.51,0.10K,0.00%
2023-08-01,39.99,39.6,40.0,38.75,0.64K,0.00%
2023-07-31,39.99,39.6,39.6,39.6,0.07K,0.00%
2023-07-30,39.99,38.5,39.5,38.5,0.26K,0.00%
2023-07-27,39.99,38.75,38.75,38.75,0.01K,0.00%
2023-07-26,39.99,39.54,39.54,39.54,0.00K,0.00%
2023-07-25,39.99,38.5,38.5,38.5,0.15K,0.00%
2023-07-24,39.99,37.7,40.0,37.7,0.62K,0.00%
2023-07-19,39.99,37.55,37.6,37.55,0.05K,0.00%
2023-07-18,39.99,39.0,39.5,39.0,1.07K,0.00%
2023-07-17,39.99,37.15,39.0,37.15,0.26K,0.00%
2023-07-16,39.99,37.0,37.0,37.0,0.15K,0.00%
2023-07-13,39.99,38.42,40.45,37.0,5.08K,0.00%
2023-07-12,39.99,38.41,38.41,38.41,0.03K,0.00%
2023-07-11,39.99,40.39,40.39,38.41,0.23K,0.00%
2023-07-10,39.99,40.0,40.0,39.5,0.32K,0.00%
2023-07-09,39.99,39.01,39.01,39.01,0.04K,0.00%
2023-07-05,39.99,40.0,40.0,40.0,0.50K,0.00%
2023-07-04,39.99,39.89,41.5,38.41,3.58K,0.00%
2023-06-25,39.99,38.11,38.52,38.11,0.02K,0.00%
2023-06-22,39.99,38.51,38.51,38.1,0.22K,0.00%
2023-06-21,39.99,38.51,38.52,38.51,0.01K,0.00%
2023-06-20,39.99,39.5,40.0,39.5,0.51K,0.00%
2023-06-19,39.99,39.5,39.5,39.5,0.01K,0.00%
2023-06-15,39.99,39.13,39.13,38.0,5.27K,0.00%
2023-06-14,39.99,39.99,39.99,39.99,10.42K,2.15%
2023-06-13,39.15,40.0,40.0,39.0,8.61K,0.38%
2023-06-12,39.0,39.6,39.6,39.0,3.00K,-4.97%
2023-06-11,41.04,40.0,40.0,40.0,2.00K,0.00%
2023-06-08,41.04,39.0,40.45,38.56,0.09K,0.00%
2023-06-07,41.04,40.0,40.0,38.56,0.82K,0.00%
2023-06-06,41.04,40.5,40.5,39.11,0.61K,0.00%
2023-06-05,41.04,39.08,39.7,39.08,0.73K,0.00%
2023-06-04,41.04,41.9,41.9,39.07,0.29K,0.00%
2023-06-01,41.04,40.98,41.99,40.0,13.11K,3.06%
2023-05-31,39.82,39.25,41.0,38.0,7.01K,0.00%
2023-05-30,39.82,39.8,41.98,38.89,10.51K,0.18%
2023-05-29,39.75,42.0,42.0,39.5,59.41K,-2.43%
2023-05-28,40.74,40.9,42.0,39.14,4.66K,0.00%
2023-05-25,40.74,38.5,41.99,38.0,11.88K,10.26%
2023-05-24,36.95,37.51,38.5,37.51,0.07K,0.00%
2023-05-23,36.95,37.62,37.62,37.62,0.00K,0.00%
2023-05-22,36.95,38.0,38.2,37.5,1.01K,0.00%
2023-05-21,36.95,37.7,37.7,37.7,0.00K,0.00%
2023-05-18,36.95,37.5,37.6,37.5,0.07K,0.00%
2023-05-17,36.95,37.77,37.77,37.6,0.17K,0.00%
2023-05-16,36.95,37.81,38.01,37.8,5.92K,0.00%
2023-05-14,36.95,38.4,39.3,37.0,3.04K,0.00%
2023-05-11,36.95,39.0,39.0,38.0,2.50K,0.00%
2023-05-10,36.95,39.25,39.3,37.0,0.91K,0.00%
2023-05-09,36.95,36.6,39.25,36.11,12.49K,-6.81%
2023-05-07,39.65,38.49,38.49,36.6,0.25K,0.00%
2023-05-03,39.65,37.61,37.61,36.5,1.11K,0.00%
2023-05-02,39.65,36.11,36.11,36.11,0.03K,0.00%
2023-05-01,39.65,37.61,39.3,37.6,1.79K,0.00%
2023-04-30,39.65,37.62,39.3,37.61,0.46K,0.00%
2023-04-27,39.65,37.5,37.61,37.5,2.06K,0.00%
2023-04-26,39.65,39.5,39.5,34.42,0.08K,0.00%
2023-04-19,39.65,38.0,39.5,38.0,0.20K,0.00%
2023-04-18,39.65,36.01,38.89,36.01,0.03K,0.00%
2023-04-13,39.65,37.01,38.48,36.01,0.12K,0.00%
2023-04-12,39.65,37.01,37.01,37.01,0.33K,0.00%
2023-04-11,39.65,37.0,38.89,37.0,0.12K,0.00%
2023-04-09,39.65,36.01,40.44,36.01,0.03K,0.00%
2023-04-06,39.65,38.0,40.5,38.0,0.82K,0.00%
2023-04-05,39.65,36.98,40.18,36.98,11.99K,10.14%
2023-04-04,36.0,33.55,41.0,33.5,7.33K,0.00%
2023-04-03,36.0,33.95,34.79,33.5,1.57K,0.00%
2023-04-02,36.0,32.23,33.88,32.1,0.13K,0.00%
2023-03-30,36.0,33.5,33.5,32.0,3.15K,0.00%
2023-03-29,36.0,35.4,35.4,35.4,0.01K,0.00%
2023-03-28,36.0,33.61,34.0,33.4,0.88K,0.00%
2023-03-27,36.0,33.34,35.09,33.34,0.56K,0.00%
2023-03-26,36.0,35.0,35.0,33.5,0.36K,0.00%
2023-03-22,36.0,33.51,35.83,32.22,0.36K,0.00%
2023-03-21,36.0,34.75,34.75,34.75,0.05K,0.00%
2023-03-20,36.0,35.0,35.88,33.5,0.13K,0.00%
2023-03-19,36.0,33.5,33.51,33.5,0.56K,0.00%
2023-03-16,36.0,32.01,32.01,32.01,0.00K,0.00%
2023-03-15,36.0,33.5,33.5,33.11,0.47K,0.00%
2023-03-14,36.0,36.0,36.0,33.48,1.68K,0.00%
2023-03-12,36.0,35.0,35.5,35.0,1.52K,0.00%
2023-03-09,36.0,35.95,36.0,35.95,0.49K,0.00%
2023-03-08,36.0,35.86,35.98,35.85,0.17K,0.00%
2023-03-07,36.0,36.0,36.0,35.85,1.86K,0.00%
2023-03-06,36.0,36.0,36.49,35.6,1.39K,0.00%
2023-03-05,36.0,35.6,35.61,35.55,0.70K,0.00%
2023-03-02,36.0,36.0,36.0,36.0,10.20K,-0.94%
2023-03-01,36.34,36.0,36.34,36.0,9.16K,-0.14%
2023-02-28,36.39,35.99,36.0,33.55,1.25K,0.00%
2023-02-27,36.39,33.53,35.99,33.53,0.60K,0.00%
2023-02-23,36.39,34.0,34.0,34.0,0.12K,0.00%
2023-02-22,36.39,34.01,34.01,34.0,0.20K,0.00%
2023-02-21,36.39,35.6,35.6,33.34,2.41K,0.00%
2023-02-20,36.39,34.92,34.92,34.92,0.03K,0.00%
2023-02-19,36.39,35.9,35.9,35.9,0.04K,0.00%
2023-02-16,36.39,34.2,35.94,34.2,0.26K,0.00%
2023-02-15,36.39,35.02,35.11,35.02,4.19K,0.00%
2023-02-14,36.39,36.34,36.34,35.01,0.39K,0.00%
2023-02-13,36.39,32.59,36.35,32.59,0.30K,0.00%
2023-02-09,36.39,36.37,36.4,36.37,0.40K,0.00%
2023-02-08,36.39,34.35,34.35,32.5,1.32K,0.00%
2023-02-06,36.39,33.02,34.0,33.02,0.19K,0.00%
2023-02-05,36.39,32.7,33.0,32.7,0.83K,0.00%
2023-02-02,36.39,32.55,32.99,32.5,1.25K,0.00%
2023-02-01,36.39,36.49,36.49,31.91,0.44K,0.00%
2023-01-31,36.39,34.18,34.18,34.18,0.08K,0.00%
2023-01-30,36.39,37.72,37.72,34.45,0.68K,0.00%
2023-01-29,36.39,34.5,36.7,34.26,14.72K,0.89%
2023-01-25,36.07,35.71,36.3,34.01,23.14K,-5.58%
2023-01-24,38.2,35.65,35.75,35.65,0.54K,0.00%
2023-01-23,38.2,36.0,37.0,35.55,3.45K,0.00%
2023-01-22,38.2,35.0,39.94,35.0,14.83K,9.42%
2023-01-18,34.91,34.91,35.4,34.05,0.21K,0.00%
2023-01-17,34.91,34.99,35.0,34.99,2.44K,0.00%
2023-01-16,34.91,33.0,34.95,33.0,10.16K,-1.41%
2023-01-15,35.41,33.33,34.0,31.01,3.88K,0.00%
2023-01-12,35.41,35.0,35.0,30.17,4.30K,0.00%
2023-01-11,35.41,35.5,35.5,34.5,6.54K,0.00%
2023-01-10,35.41,35.0,35.0,34.51,0.50K,0.00%
2023-01-09,35.41,35.01,35.17,35.0,2.96K,0.00%
2023-01-05,35.41,36.01,36.49,35.35,3.21K,0.00%
2023-01-04,35.41,35.27,37.5,35.0,3.73K,0.00%
2023-01-03,35.41,36.0,36.9,35.15,2.12K,0.00%
2023-01-02,35.41,35.13,35.16,35.13,1.49K,0.00%
2022-12-29,35.41,34.56,36.0,34.0,5.66K,0.00%
2022-12-28,35.41,34.56,35.39,34.56,0.26K,0.00%
2022-12-27,35.41,34.5,35.0,34.5,0.07K,0.00%
2022-12-26,35.41,35.07,35.4,34.5,2.35K,0.00%
2022-12-25,35.41,35.67,35.67,32.62,0.80K,0.00%
2022-12-22,35.41,33.61,35.77,33.61,3.92K,0.00%
2022-12-21,35.41,33.17,35.94,33.17,0.30K,0.00%
2022-12-20,35.41,34.0,36.0,34.0,1.09K,0.00%
