Date,Price,Open,High,Low,Vol.,Change %
2022-03-14,0.4,0.4,0.4,0.4,0.31K,-23.08%
2022-02-28,0.52,0.52,0.52,0.52,1.73K,-30.67%
2022-02-09,0.75,0.75,0.75,0.75,1.38K,-24.24%
2022-01-31,0.99,0.6,1.0,0.6,0.71K,59.68%
2022-01-12,0.62,0.74,0.74,0.74,0.02K,0.00%
2021-12-22,0.62,0.95,0.95,0.53,0.79K,-83.15%
2021-12-20,3.68,0.5,0.5,0.5,0.00K,0.00%
2021-09-13,3.68,0.16,0.16,0.16,0.01K,0.00%
2021-06-28,3.68,0.16,0.16,0.16,0.01K,0.00%
2021-06-21,3.68,3.68,3.68,3.68,1.00K,268.00%
2021-06-16,1.0,1.0,1.0,1.0,1.00K,-73.68%
2021-06-07,3.8,3.8,3.8,3.8,0.40K,72.73%
2021-05-24,2.2,2.2,2.2,2.2,1.30K,-4.35%
2021-05-19,2.3,2.3,2.3,2.3,1.00K,-1.29%
2021-05-17,2.33,1.5,4.0,1.5,1.50K,651.61%
2021-03-15,0.31,0.5,0.5,0.5,0.00K,0.00%
2021-03-10,0.31,0.31,0.31,0.31,1.00K,-69.00%
2021-01-20,1.0,1.0,1.0,1.0,0.98K,0.00%
2020-11-23,1.0,1.0,1.0,1.0,0.00K,0.00%
2020-11-16,1.0,1.0,1.0,1.0,0.04K,0.00%
2020-11-04,1.0,1.0,1.0,1.0,0.22K,0.00%
2020-10-19,1.0,1.0,1.0,1.0,0.10K,0.00%
2020-10-14,1.0,1.0,1.0,1.0,0.70K,0.00%
2020-09-28,1.0,1.0,1.0,1.0,0.00K,0.00%
2020-09-21,1.0,1.0,1.0,1.0,5.06K,12.36%
2020-07-15,0.89,0.89,0.89,0.89,1.00K,-1.11%
2020-07-13,0.9,0.9,0.9,0.9,1.00K,2.27%
2020-07-08,0.88,0.85,0.92,0.85,12.00K,57.14%
2020-07-06,0.56,0.56,0.58,0.56,0.36K,-6.67%
2020-06-10,0.6,0.65,0.68,0.55,17.69K,-9.09%
2020-06-08,0.66,0.66,0.66,0.66,1.80K,3.13%
2020-06-03,0.64,0.64,0.64,0.64,4.10K,6.67%
2020-05-20,0.6,0.6,0.6,0.6,1.00K,17.65%
2020-05-18,0.51,0.65,0.65,0.5,10.00K,-28.17%
2020-04-27,0.71,0.77,0.77,0.62,1.90K,26.79%
2020-04-22,0.56,0.56,0.56,0.56,0.10K,1.82%
2020-04-15,0.55,0.57,0.57,0.57,0.00K,0.00%
2020-04-08,0.55,0.55,0.55,0.55,7.00K,5.77%
2020-03-30,0.52,0.53,0.53,0.52,8.00K,-48.00%
2020-02-26,1.0,1.0,1.0,1.0,0.18K,0.00%
2020-02-24,1.0,1.0,1.0,1.0,2.43K,-6.54%
2020-02-17,1.07,1.0,1.45,1.0,13.89K,28.92%
2020-02-12,0.83,0.6,1.0,0.6,9.83K,-53.13%
2019-01-15,1.771,1.771,1.771,1.771,992.89K,10.00%
2019-01-14,1.61,1.61,1.61,1.61,29.45K,9.97%
2019-01-13,1.464,1.464,1.464,1.464,52.81K,9.99%
2019-01-10,1.331,1.331,1.331,1.33,137.38K,10.00%
2019-01-09,1.21,1.259,1.259,1.181,332.55K,-1.94%
2019-01-08,1.234,1.24,1.246,1.211,229.72K,-1.28%
2019-01-06,1.25,1.251,1.261,1.24,232.46K,-0.64%
2019-01-03,1.258,1.233,1.29,1.233,155.39K,2.61%
2019-01-02,1.226,1.22,1.231,1.22,225.30K,0.33%
2018-12-31,1.222,1.22,1.24,1.211,321.02K,-1.21%
2018-12-30,1.237,1.2,1.274,1.2,140.27K,-2.29%
2018-12-27,1.266,1.309,1.315,1.221,291.90K,-1.02%
2018-12-26,1.279,1.25,1.31,1.25,816.10K,5.44%
2018-12-25,1.213,1.221,1.25,1.205,662.02K,-9.34%
2018-12-24,1.338,1.376,1.376,1.14,1.58M,6.95%
2018-12-23,1.251,1.251,1.251,1.251,159.89K,9.93%
2018-12-20,1.138,1.138,1.138,1.138,206.45K,9.95%
2018-12-19,1.035,1.047,1.05,1.03,235.19K,-4.70%
2018-12-18,1.086,1.085,1.09,1.058,113.31K,2.26%
2018-12-17,1.062,1.089,1.09,1.045,232.09K,-0.93%
2018-12-16,1.072,0.982,1.1,0.982,377.70K,4.48%
2018-12-13,1.026,1.0,1.04,1.0,413.78K,4.27%
2018-12-12,0.984,0.98,1.0,0.96,342.23K,0.20%
2018-12-11,0.982,0.97,0.988,0.96,271.48K,3.70%
2018-12-10,0.947,0.95,0.96,0.925,34.10K,2.27%
2018-12-09,0.926,0.929,0.93,0.9,64.00K,1.42%
2018-12-06,0.913,0.95,0.95,0.885,171.47K,-3.39%
2018-12-05,0.945,0.93,0.931,0.925,24.00K,0.00%
2018-12-04,0.945,0.96,0.961,0.934,33.17K,-1.25%
2018-12-03,0.957,0.953,0.97,0.931,205.48K,-0.31%
