Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,12.19,12.28,12.6,12.1,253.85K,-0.97%
2023-12-10,12.31,12.77,13.01,12.26,599.32K,-1.60%
2023-12-07,12.51,12.59,12.77,12.0,547.83K,-0.64%
2023-12-06,12.59,13.2,13.25,12.53,721.12K,-4.19%
2023-12-05,13.14,12.67,13.43,12.38,1.19M,6.14%
2023-12-04,12.38,12.72,12.88,12.24,876.83K,0.32%
2023-12-03,12.34,11.77,12.64,11.47,1.08M,7.49%
2023-11-30,11.48,11.93,12.38,11.2,1.25M,-2.96%
2023-11-29,11.83,10.0,11.83,10.0,2.55M,19.98%
2023-11-28,9.86,9.6,10.0,9.5,741.13K,4.56%
2023-11-27,9.43,9.77,9.8,9.0,573.81K,-3.48%
2023-11-26,9.77,10.06,10.15,9.75,277.68K,-0.20%
2023-11-23,9.79,10.18,10.18,9.71,463.05K,-2.10%
2023-11-22,10.0,9.69,10.48,9.68,1.02M,5.04%
2023-11-21,9.52,9.17,9.78,9.1,718.52K,4.39%
2023-11-20,9.12,9.27,9.38,9.0,256.07K,-0.44%
2023-11-19,9.16,9.1,9.26,9.1,143.30K,1.66%
2023-11-16,9.01,9.33,9.33,8.96,85.25K,1.46%
2023-11-15,8.88,8.97,9.07,8.86,102.77K,-0.67%
2023-11-14,8.94,9.1,9.17,8.85,159.20K,-0.78%
2023-11-13,9.01,8.92,9.3,8.92,324.96K,0.33%
2023-11-12,8.98,9.14,9.17,8.86,167.97K,-0.33%
2023-11-09,9.01,9.21,9.3,9.0,278.60K,-2.07%
2023-11-08,9.2,9.49,9.69,9.17,346.12K,-2.95%
2023-11-07,9.48,9.27,9.7,9.2,423.46K,3.27%
2023-11-06,9.18,9.16,9.46,9.03,334.75K,1.32%
2023-11-05,9.06,9.09,9.18,8.9,357.48K,1.12%
2023-11-02,8.96,9.0,9.19,8.91,134.28K,0.45%
2023-11-01,8.92,8.95,9.38,8.8,367.28K,0.00%
2023-10-31,8.92,9.24,9.3,8.73,357.22K,-0.67%
2023-10-30,8.98,9.42,9.42,8.95,364.49K,-5.27%
2023-10-29,9.48,9.19,10.0,9.1,617.73K,5.33%
