Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,22.95,23.01,23.05,22.15,252.52K,-0.13%
2023-12-10,22.98,23.26,23.87,22.8,128.73K,-0.95%
2023-12-07,23.2,23.53,24.0,22.95,240.54K,-1.23%
2023-12-06,23.49,25.3,25.3,23.1,269.18K,-4.12%
2023-12-05,24.5,25.34,25.5,24.5,257.85K,-2.74%
2023-12-04,25.19,25.02,25.39,24.5,410.41K,0.68%
2023-12-03,25.02,25.01,25.89,24.25,368.44K,2.08%
2023-11-30,24.51,24.9,25.9,24.15,283.39K,-0.61%
2023-11-29,24.66,25.35,25.35,23.95,426.62K,-1.36%
2023-11-28,25.0,25.96,25.97,24.35,310.94K,-3.14%
2023-11-27,25.81,23.19,26.3,22.94,2.64M,12.17%
2023-11-26,23.01,23.35,23.66,22.81,515.71K,1.77%
2023-11-23,22.61,23.28,23.34,22.57,629.91K,-1.70%
2023-11-22,23.0,24.25,24.49,22.88,1.17M,-4.68%
2023-11-21,24.13,22.9,24.5,22.5,1.84M,6.77%
2023-11-20,22.6,22.65,23.0,20.55,794.78K,1.12%
2023-11-19,22.35,22.41,22.5,21.73,174.76K,2.10%
2023-11-16,21.89,22.0,22.5,21.7,219.18K,-0.23%
2023-11-15,21.94,22.99,23.44,21.71,696.72K,-3.05%
2023-11-14,22.63,21.0,23.48,21.0,306.24K,7.86%
2023-11-13,20.98,21.0,21.74,20.95,216.28K,-0.14%
2023-11-12,21.01,21.5,21.5,20.8,38.46K,0.53%
2023-11-09,20.9,21.4,21.4,20.75,152.46K,-0.71%
2023-11-08,21.05,21.4,22.05,21.0,161.46K,0.29%
2023-11-07,20.99,21.48,21.5,20.9,43.99K,0.05%
2023-11-06,20.98,21.1,21.44,20.91,98.11K,0.19%
2023-11-05,20.94,21.1,21.9,20.8,87.49K,-0.33%
2023-11-02,21.01,21.0,21.48,20.73,49.96K,0.86%
2023-11-01,20.83,21.49,21.97,20.4,233.57K,1.36%
2023-10-31,20.55,21.37,22.0,20.46,227.71K,-3.84%
2023-10-30,21.37,21.6,22.45,20.96,152.72K,2.10%
2023-10-29,20.93,21.29,21.8,20.66,165.31K,1.90%
2023-10-26,20.54,22.55,23.0,20.16,160.17K,-5.95%
2023-10-25,21.84,20.67,23.21,20.55,342.69K,5.97%
2023-10-24,20.61,19.0,20.77,18.5,423.98K,10.16%
2023-10-23,18.71,17.94,19.3,17.9,299.91K,5.65%
2023-10-22,17.71,17.53,18.0,17.5,65.69K,0.91%
2023-10-19,17.55,17.98,17.98,17.51,74.84K,-0.28%
2023-10-18,17.6,18.1,18.1,17.6,118.65K,-0.56%
2023-10-17,17.7,18.2,18.4,17.52,221.84K,-0.23%
2023-10-16,17.74,18.44,18.44,17.55,30.45K,0.06%
2023-10-15,17.73,18.01,18.59,17.62,34.41K,-1.17%
2023-10-12,17.94,17.62,19.88,17.62,66.89K,1.64%
2023-10-11,17.65,18.0,18.09,17.65,5.04K,0.00%
