Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,100.0,97.0,101.99,97.0,0.23K,11.11%
2023-12-10,90.0,92.99,99.0,90.0,0.18K,-10.00%
2023-12-07,100.0,89.11,100.0,89.11,0.06K,0.00%
2023-12-06,100.0,98.51,103.9,80.0,0.75K,0.00%
2023-12-05,100.0,106.8,106.8,106.8,0.00K,0.00%
2023-12-04,100.0,97.55,99.0,97.55,0.10K,0.00%
2023-12-03,100.0,105.0,108.0,97.16,0.29K,0.00%
2023-11-30,100.0,105.0,110.0,97.0,1.25K,0.00%
2023-11-29,100.0,110.0,110.0,96.0,0.60K,0.00%
2023-11-28,100.0,99.0,110.0,99.0,0.61K,0.00%
2023-11-27,100.0,95.58,100.0,95.58,0.02K,0.00%
2023-11-26,100.0,100.0,105.89,95.61,0.24K,0.00%
2023-11-23,100.0,97.5,107.9,97.5,1.59K,0.00%
2023-11-22,100.0,91.25,101.0,90.92,0.25K,0.00%
2023-11-21,100.0,90.1,100.99,90.1,0.21K,0.00%
2023-11-20,100.0,90.9,100.1,88.15,2.80K,0.00%
2023-11-19,100.0,88.1,90.96,88.1,0.53K,0.00%
2023-11-16,100.0,88.0,90.98,88.0,0.09K,0.00%
2023-11-15,100.0,88.11,88.11,88.0,0.50K,0.00%
2023-11-14,100.0,88.03,90.97,88.0,0.18K,0.00%
2023-11-13,100.0,88.01,91.0,87.03,0.12K,0.00%
2023-11-12,100.0,88.0,90.0,88.0,1.00K,0.00%
2023-11-09,100.0,87.21,90.0,87.2,0.23K,0.00%
2023-11-08,100.0,89.0,89.0,87.02,0.50K,0.00%
2023-11-07,100.0,89.98,89.98,87.02,0.07K,0.00%
2023-11-05,100.0,90.0,90.0,90.0,0.02K,0.00%
2023-11-02,100.0,86.01,90.98,86.01,0.06K,0.00%
2023-11-01,100.0,88.8,90.98,88.5,0.42K,0.00%
2023-10-31,100.0,88.0,89.0,88.0,0.08K,0.00%
2023-10-30,100.0,88.0,91.0,88.0,0.16K,0.00%
2023-10-29,100.0,88.0,91.0,88.0,0.32K,0.00%
2023-10-26,100.0,88.0,88.0,88.0,0.27K,0.00%
2023-10-25,100.0,88.9,88.9,85.0,0.22K,0.00%
2023-10-24,100.0,86.8,91.0,86.0,0.29K,0.00%
2023-10-23,100.0,86.0,86.8,86.0,1.06K,0.00%
2023-10-22,100.0,86.8,86.8,85.0,0.36K,0.00%
2023-10-19,100.0,87.0,92.99,86.8,0.41K,0.00%
2023-10-18,100.0,85.0,89.14,81.36,0.14K,0.00%
2023-10-17,100.0,88.86,88.86,81.16,0.06K,0.00%
2023-10-16,100.0,82.01,82.1,82.0,0.12K,0.00%
2023-10-12,100.0,84.5,89.19,81.6,0.25K,0.00%
