Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,3.26,3.07,3.27,3.07,1.23M,5.16%
2023-12-10,3.1,3.3,3.36,3.02,2.89M,-4.91%
2023-12-07,3.26,3.15,3.3,2.95,2.78M,5.16%
2023-12-06,3.1,3.2,3.22,3.07,999.00K,-1.59%
2023-12-05,3.15,3.21,3.22,3.1,1.04M,0.00%
2023-12-04,3.15,3.05,3.19,3.0,1.54M,5.00%
2023-12-03,3.0,3.3,3.37,2.99,1.61M,-9.64%
2023-11-30,3.32,3.35,3.41,3.18,908.79K,-0.30%
2023-11-29,3.33,3.36,3.45,3.26,920.25K,-2.92%
2023-11-28,3.43,3.31,3.46,3.31,1.11M,2.08%
2023-11-27,3.36,3.45,3.47,3.35,919.87K,-3.17%
2023-11-26,3.47,3.58,3.58,3.41,2.05M,-1.70%
2023-11-23,3.53,3.49,3.6,3.4,3.84M,2.32%
2023-11-22,3.45,3.45,3.48,3.36,1.33M,0.88%
2023-11-21,3.42,3.5,3.5,3.3,847.51K,-0.29%
2023-11-20,3.43,3.53,3.55,3.39,1.54M,-2.28%
2023-11-19,3.51,3.33,3.53,3.31,3.41M,6.36%
2023-11-16,3.3,3.26,3.31,3.21,2.80M,2.48%
2023-11-15,3.22,3.23,3.28,3.2,1.53M,1.90%
2023-11-14,3.16,3.31,3.4,3.0,2.74M,-5.11%
2023-11-13,3.33,3.15,3.34,3.15,2.85M,5.71%
2023-11-12,3.15,3.07,3.37,2.99,4.79M,2.94%
2023-11-09,3.06,2.86,3.07,2.81,2.79M,6.99%
2023-11-08,2.86,2.93,2.97,2.81,2.41M,2.51%
2023-11-07,2.79,2.71,3.0,2.7,4.24M,1.82%
2023-11-06,2.74,2.57,2.75,2.52,2.48M,7.45%
2023-11-05,2.55,2.56,2.68,2.51,1.72M,-2.67%
2023-11-02,2.62,2.53,2.62,2.46,1.81M,4.38%
2023-11-01,2.51,2.48,2.53,2.26,703.84K,1.62%
2023-10-31,2.47,2.53,2.67,2.4,2.48M,-1.98%
2023-10-30,2.52,2.75,2.8,2.51,1.75M,-8.36%
2023-10-29,2.75,2.59,2.75,2.51,2.43M,4.96%
2023-10-26,2.62,2.5,2.65,2.31,1.48M,7.38%
2023-10-25,2.44,2.44,2.57,2.32,1.97M,2.09%
2023-10-24,2.39,2.43,2.5,2.2,2.63M,-2.05%
2023-10-23,2.44,2.15,2.48,2.14,5.54M,12.96%
2023-10-22,2.16,2.14,2.37,2.09,4.49M,2.96%
2023-10-19,2.098,1.975,2.098,1.93,3.33M,6.34%
2023-10-18,1.973,2.0,2.02,1.854,1.62M,-0.45%
2023-10-17,1.982,1.931,2.04,1.93,2.40M,3.07%
2023-10-16,1.923,1.94,2.07,1.871,2.30M,-0.62%
2023-10-15,1.935,1.817,1.989,1.805,4.86M,7.50%
2023-10-12,1.8,1.805,1.85,1.762,1.98M,0.33%
2023-10-11,1.794,1.799,1.829,1.75,739.44K,1.99%
2023-10-10,1.759,1.589,1.869,1.561,4.00M,12.90%
2023-10-09,1.558,1.61,1.621,1.55,533.06K,-3.35%
2023-10-08,1.612,1.713,1.714,1.5,451.95K,-5.79%
2023-10-04,1.711,1.75,1.75,1.6,462.36K,-2.23%
2023-10-03,1.75,1.717,1.75,1.712,53.37K,0.00%
2023-10-02,1.75,1.735,1.762,1.7,1.39M,0.69%
2023-10-01,1.738,1.773,1.773,1.716,484.55K,0.99%
2023-09-27,1.721,1.765,1.765,1.716,726.47K,-1.21%
2023-09-26,1.742,1.731,1.765,1.701,903.29K,0.75%
2023-09-25,1.729,1.724,1.799,1.723,834.81K,-1.82%
2023-09-24,1.761,1.75,1.799,1.721,753.51K,-0.90%
2023-09-21,1.777,1.78,1.789,1.733,387.07K,0.23%
2023-09-20,1.773,1.803,1.803,1.714,1.34M,-1.99%
2023-09-19,1.809,1.813,1.849,1.777,398.54K,-1.47%
2023-09-18,1.836,1.835,1.855,1.826,650.62K,0.82%
2023-09-17,1.821,1.84,1.86,1.816,443.36K,-1.03%
2023-09-14,1.84,1.8,1.844,1.786,2.67M,1.60%
2023-09-13,1.811,1.755,1.817,1.753,1.30M,3.43%
2023-09-12,1.751,1.786,1.854,1.732,1.69M,-3.58%
2023-09-11,1.816,1.86,1.876,1.78,1.37M,-2.73%
2023-09-10,1.867,1.834,1.88,1.83,1.26M,-0.53%
2023-09-07,1.877,1.864,1.901,1.85,2.03M,-0.21%
2023-09-06,1.881,1.824,1.9,1.816,3.84M,1.95%
2023-09-05,1.845,1.87,1.887,1.812,2.84M,0.49%
2023-09-04,1.836,1.789,2.0,1.75,5.54M,4.26%
2023-09-03,1.761,1.789,1.8,1.741,1.19M,-0.96%
2023-08-31,1.778,1.75,1.8,1.74,1.43M,-0.39%
2023-08-30,1.785,1.808,1.808,1.735,1.53M,0.00%
2023-08-29,1.785,1.757,1.828,1.75,2.86M,1.59%
2023-08-28,1.757,1.83,1.83,1.7,2.06M,0.40%
2023-08-27,1.75,1.8,1.85,1.744,5.34M,0.23%
2023-08-24,1.746,1.679,1.9,1.665,6.22M,4.86%
2023-08-23,1.665,1.73,1.749,1.632,2.68M,-3.37%
2023-08-22,1.723,1.475,1.76,1.475,5.77M,16.42%
2023-08-21,1.48,1.488,1.535,1.472,1.38M,-1.00%
2023-08-20,1.495,1.549,1.549,1.49,876.60K,-3.30%
2023-08-17,1.546,1.544,1.55,1.482,1.77M,2.38%
2023-08-16,1.51,1.596,1.598,1.506,1.73M,-3.64%
2023-08-15,1.567,1.55,1.596,1.531,5.28M,2.96%
2023-08-14,1.522,1.483,1.56,1.48,1.18M,1.60%
2023-08-13,1.498,1.5,1.515,1.482,792.68K,0.33%
2023-08-10,1.493,1.507,1.52,1.481,369.32K,0.13%
2023-08-09,1.491,1.526,1.546,1.481,1.67M,-2.99%
2023-08-08,1.537,1.526,1.575,1.522,1.39M,-0.90%
2023-08-07,1.551,1.518,1.56,1.5,1.69M,1.37%
2023-08-06,1.53,1.528,1.53,1.48,2.04M,3.10%
2023-08-03,1.484,1.437,1.519,1.433,2.51M,1.85%
2023-08-02,1.457,1.49,1.49,1.435,564.64K,-0.14%
2023-08-01,1.459,1.47,1.51,1.454,1.33M,-1.02%
2023-07-31,1.474,1.425,1.52,1.42,557.96K,-1.86%
2023-07-30,1.502,1.475,1.539,1.455,1.87M,1.83%
2023-07-27,1.475,1.4,1.475,1.312,1.65M,5.36%
2023-07-26,1.4,1.49,1.49,1.255,2.27M,-6.17%
2023-07-17,1.492,1.57,1.57,1.243,3.10M,-3.93%
2023-07-16,1.553,1.49,1.585,1.49,508.08K,3.95%
2023-07-13,1.494,1.43,1.5,1.412,918.82K,5.21%
2023-07-12,1.42,1.44,1.44,1.402,532.36K,0.42%
2023-07-11,1.414,1.421,1.448,1.4,542.79K,-1.26%
2023-07-10,1.432,1.499,1.499,1.353,1.71M,-0.49%
2023-07-09,1.439,1.551,1.65,1.42,725.97K,-10.34%
2023-07-06,1.605,1.673,1.673,1.57,271.93K,-1.47%
2023-07-05,1.629,1.651,1.67,1.62,582.84K,-4.18%
2023-07-04,1.7,1.7,1.74,1.654,193.03K,1.43%
2023-06-26,1.676,1.7,1.718,1.67,114.21K,0.00%
2023-06-25,1.676,1.747,1.79,1.656,827.35K,-1.00%
2023-06-22,1.693,1.671,1.75,1.671,181.72K,0.00%
2023-06-21,1.693,1.736,1.76,1.673,697.36K,-2.48%
2023-06-20,1.736,1.743,1.76,1.735,469.73K,-2.64%
2023-06-19,1.783,1.794,1.807,1.733,1.01M,-0.61%
2023-06-18,1.794,1.721,1.799,1.721,1.06M,3.76%
2023-06-15,1.729,1.743,1.79,1.7,1.43M,-0.75%
2023-06-14,1.742,1.794,1.85,1.74,1.38M,-0.23%
2023-06-13,1.746,1.758,1.8,1.67,955.79K,0.11%
2023-06-12,1.744,1.758,1.775,1.73,172.66K,0.06%
2023-06-11,1.743,1.794,1.794,1.722,684.53K,-2.84%
2023-06-08,1.794,1.82,1.82,1.7,1.28M,0.22%
2023-06-07,1.79,1.826,1.9,1.76,2.69M,-1.92%
2023-06-06,1.825,1.901,1.946,1.82,2.61M,-5.59%
2023-06-05,1.933,1.95,2.03,1.891,3.86M,-1.02%
2023-06-04,1.953,1.89,1.96,1.84,1.55M,3.88%
2023-06-01,1.88,1.888,1.888,1.801,810.06K,0.64%
2023-05-31,1.868,1.912,1.93,1.863,1.03M,-2.91%
2023-05-30,1.924,1.934,1.991,1.915,1.51M,-0.52%
2023-05-29,1.934,1.935,1.96,1.919,1.45M,0.83%
2023-05-28,1.918,1.93,1.944,1.891,951.63K,0.37%
2023-05-25,1.911,1.978,1.99,1.901,2.44M,-3.68%
2023-05-24,1.984,1.835,1.99,1.82,3.26M,8.18%
2023-05-23,1.834,1.812,1.84,1.78,1.46M,1.38%
2023-05-22,1.809,1.843,1.87,1.8,1.52M,-0.71%
2023-05-21,1.822,1.825,1.849,1.816,844.97K,-0.33%
2023-05-18,1.828,1.78,1.835,1.733,1.07M,3.34%
2023-05-17,1.769,1.815,1.818,1.761,794.31K,-1.17%
2023-05-16,1.79,1.776,1.82,1.731,1.35M,0.90%
2023-05-15,1.774,1.891,1.891,1.76,2.19M,-4.93%
2023-05-14,1.866,1.76,1.89,1.76,2.37M,6.26%
2023-05-11,1.756,1.785,1.803,1.74,824.20K,-1.07%
2023-05-10,1.775,1.683,1.8,1.683,3.67M,2.96%
2023-05-09,1.724,1.78,1.78,1.69,3.13M,-2.16%
2023-05-08,1.762,1.64,1.79,1.633,6.22M,7.90%
2023-05-07,1.633,1.588,1.636,1.57,2.53M,3.88%
2023-05-03,1.572,1.53,1.58,1.492,3.09M,2.95%
2023-05-02,1.527,1.519,1.544,1.49,3.09M,2.21%
2023-05-01,1.494,1.433,1.52,1.431,1.85M,3.68%
2023-04-30,1.441,1.43,1.489,1.43,1.46M,0.77%
2023-04-27,1.43,1.462,1.478,1.42,1.70M,-2.19%
2023-04-26,1.462,1.55,1.55,1.455,2.32M,-5.74%
2023-04-19,1.551,1.598,1.609,1.526,2.10M,-1.46%
2023-04-18,1.574,1.499,1.58,1.495,2.24M,5.28%
2023-04-13,1.495,1.5,1.53,1.484,1.23M,-0.53%
2023-04-12,1.503,1.515,1.537,1.492,1.57M,-0.40%
2023-04-11,1.509,1.54,1.56,1.491,1.90M,-0.40%
2023-04-10,1.515,1.511,1.546,1.461,2.55M,-2.38%
2023-04-09,1.552,1.6,1.64,1.535,3.60M,-4.49%
2023-04-06,1.625,1.63,1.7,1.54,4.41M,-1.57%
2023-04-05,1.651,1.666,1.72,1.61,4.65M,-0.84%
2023-04-04,1.665,1.46,1.742,1.46,5.68M,14.67%
2023-04-03,1.452,1.36,1.475,1.36,3.80M,6.53%
2023-04-02,1.363,1.347,1.39,1.26,1.01M,5.66%
2023-03-30,1.29,1.26,1.31,1.258,401.51K,5.05%
2023-03-29,1.228,1.24,1.25,1.221,246.50K,0.00%
2023-03-28,1.228,1.25,1.25,1.15,104.49K,0.00%
2023-03-27,1.228,1.25,1.26,1.223,257.17K,-0.65%
2023-03-26,1.236,1.223,1.26,1.221,402.90K,-3.81%
2023-03-23,1.285,1.27,1.285,1.202,74.18K,0.00%
2023-03-22,1.285,1.22,1.284,1.2,36.59K,0.00%
2023-03-21,1.285,1.297,1.298,1.241,269.86K,3.80%
2023-03-20,1.238,1.209,1.274,1.17,273.03K,4.83%
2023-03-19,1.181,1.14,1.219,1.13,655.42K,-2.32%
2023-03-16,1.209,1.27,1.29,1.1,1.34M,-7.71%
2023-03-15,1.31,1.318,1.32,1.16,231.16K,0.00%
2023-03-14,1.31,1.131,1.32,1.131,831.35K,-0.15%
2023-03-13,1.312,1.283,1.347,1.212,223.78K,0.00%
2023-03-12,1.312,1.33,1.33,1.282,700.71K,-2.16%
2023-03-09,1.341,1.348,1.36,1.3,491.91K,3.87%
2023-03-08,1.291,1.329,1.35,1.25,575.48K,-1.75%
2023-03-07,1.314,1.325,1.37,1.31,251.81K,-2.88%
2023-03-06,1.353,1.389,1.4,1.34,258.49K,-1.60%
2023-03-05,1.375,1.368,1.4,1.364,729.59K,0.51%
2023-03-02,1.368,1.311,1.39,1.311,1.07M,3.87%
2023-03-01,1.317,1.35,1.35,1.31,89.10K,0.00%
2023-02-28,1.317,1.301,1.347,1.301,192.10K,0.00%
2023-02-27,1.317,1.3,1.35,1.3,323.61K,-1.72%
2023-02-26,1.34,1.355,1.355,1.313,207.98K,0.00%
2023-02-23,1.34,1.357,1.357,1.31,14.15K,0.00%
2023-02-22,1.34,1.379,1.379,1.31,112.53K,0.00%
2023-02-21,1.34,1.31,1.36,1.31,130.15K,0.00%
2023-02-20,1.34,1.33,1.37,1.291,138.44K,0.00%
2023-02-19,1.34,1.365,1.378,1.32,283.48K,-2.12%
2023-02-16,1.369,1.39,1.415,1.365,232.17K,-2.07%
2023-02-15,1.398,1.398,1.429,1.39,1.13M,1.38%
2023-02-14,1.379,1.37,1.399,1.35,535.93K,1.70%
2023-02-13,1.356,1.346,1.38,1.346,250.04K,-0.80%
2023-02-12,1.367,1.37,1.389,1.354,478.30K,-0.94%
2023-02-09,1.38,1.38,1.398,1.36,150.86K,0.00%
2023-02-08,1.38,1.4,1.41,1.335,611.47K,-0.50%
2023-02-07,1.387,1.32,1.397,1.301,624.31K,5.16%
2023-02-06,1.319,1.288,1.343,1.25,905.59K,2.41%
2023-02-05,1.288,1.25,1.345,1.17,181.79K,0.00%
2023-02-02,1.288,1.32,1.36,1.251,419.78K,-2.87%
2023-02-01,1.326,1.32,1.359,1.3,323.05K,0.61%
2023-01-31,1.318,1.351,1.38,1.31,334.05K,-3.51%
2023-01-30,1.366,1.428,1.428,1.365,441.56K,-3.19%
2023-01-29,1.411,1.4,1.428,1.381,888.94K,2.02%
2023-01-25,1.383,1.418,1.418,1.38,220.00K,0.00%
2023-01-24,1.383,1.4,1.425,1.382,253.93K,-1.71%
2023-01-23,1.407,1.438,1.461,1.38,971.03K,-2.09%
2023-01-22,1.437,1.34,1.459,1.325,1.95M,9.53%
2023-01-19,1.312,1.3,1.34,1.3,416.36K,1.39%
2023-01-18,1.294,1.3,1.339,1.3,208.15K,0.00%
2023-01-17,1.294,1.315,1.328,1.265,148.24K,0.00%
2023-01-16,1.294,1.25,1.3,1.25,258.24K,3.60%
2023-01-15,1.249,1.289,1.295,1.241,452.67K,-0.72%
2023-01-12,1.258,1.26,1.319,1.222,252.09K,-3.90%
2023-01-11,1.309,1.376,1.376,1.3,1.11M,-4.45%
2023-01-10,1.37,1.39,1.39,1.34,159.19K,0.00%
2023-01-09,1.37,1.38,1.42,1.35,440.79K,-0.94%
2023-01-05,1.383,1.383,1.41,1.381,517.30K,0.14%
2023-01-04,1.381,1.42,1.424,1.35,1.03M,-1.57%
2023-01-03,1.403,1.379,1.423,1.361,1.07M,3.39%
2023-01-02,1.357,1.37,1.38,1.33,314.13K,1.04%
2022-12-29,1.343,1.372,1.373,1.34,283.55K,-0.07%
2022-12-28,1.344,1.325,1.38,1.325,929.51K,1.43%
2022-12-27,1.325,1.36,1.36,1.31,155.53K,0.00%
2022-12-26,1.325,1.3,1.349,1.26,206.02K,0.00%
2022-12-25,1.325,1.22,1.35,1.22,116.47K,0.00%
2022-12-22,1.325,1.4,1.4,1.32,260.15K,-3.85%
2022-12-21,1.378,1.39,1.41,1.37,209.87K,0.00%
2022-12-20,1.378,1.38,1.41,1.37,175.31K,0.00%
2022-12-19,1.378,1.43,1.447,1.346,1.48M,-3.57%
2022-12-18,1.429,1.46,1.493,1.423,762.39K,-1.31%
2022-12-15,1.448,1.43,1.484,1.43,1.43M,0.49%
2022-12-14,1.441,1.43,1.457,1.422,1.03M,0.56%
2022-12-13,1.433,1.422,1.45,1.41,863.89K,2.36%
2022-12-12,1.4,1.425,1.45,1.382,833.54K,-1.75%
