Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.34,0.34,0.352,0.339,19.71M,-1.16%
2023-12-10,0.344,0.358,0.36,0.342,20.63M,-2.27%
2023-12-07,0.352,0.353,0.359,0.343,32.24M,-0.85%
2023-12-06,0.355,0.37,0.372,0.355,30.15M,-3.27%
2023-12-05,0.367,0.37,0.376,0.364,36.00M,0.27%
2023-12-04,0.366,0.362,0.375,0.362,59.04M,2.81%
2023-12-03,0.356,0.353,0.367,0.353,35.59M,0.56%
2023-11-30,0.354,0.36,0.361,0.351,44.11M,0.00%
2023-11-29,0.354,0.367,0.367,0.352,36.15M,-2.21%
2023-11-28,0.362,0.374,0.377,0.355,71.86M,-2.69%
2023-11-27,0.372,0.382,0.386,0.371,93.70M,-1.59%
2023-11-26,0.378,0.369,0.392,0.367,212.92M,3.85%
2023-11-23,0.364,0.374,0.375,0.359,86.77M,-1.62%
2023-11-22,0.37,0.392,0.395,0.368,189.65M,-2.63%
2023-11-21,0.38,0.348,0.385,0.34,195.35M,10.14%
2023-11-20,0.345,0.37,0.37,0.342,49.04M,-6.25%
2023-11-19,0.368,0.37,0.38,0.366,48.89M,0.55%
2023-11-16,0.366,0.358,0.373,0.353,67.10M,3.98%
2023-11-15,0.352,0.34,0.36,0.34,89.86M,3.83%
2023-11-14,0.339,0.335,0.345,0.33,40.80M,2.73%
2023-11-13,0.33,0.331,0.339,0.329,15.93M,0.00%
2023-11-12,0.33,0.338,0.344,0.328,26.76M,-2.08%
2023-11-09,0.337,0.332,0.343,0.332,34.71M,0.00%
2023-11-08,0.337,0.336,0.346,0.335,43.17M,0.60%
2023-11-07,0.335,0.333,0.342,0.33,23.33M,0.90%
2023-11-06,0.332,0.34,0.342,0.329,28.96M,-0.90%
2023-11-05,0.335,0.333,0.34,0.329,30.34M,1.52%
2023-11-02,0.33,0.312,0.333,0.308,34.19M,5.77%
2023-11-01,0.312,0.32,0.32,0.31,9.08M,-2.50%
2023-10-31,0.32,0.333,0.335,0.316,36.31M,-3.03%
2023-10-30,0.33,0.303,0.333,0.301,68.54M,9.27%
2023-10-29,0.302,0.306,0.308,0.298,23.39M,-0.33%
2023-10-26,0.303,0.291,0.303,0.288,57.78M,5.57%
2023-10-25,0.287,0.286,0.292,0.284,21.76M,0.70%
2023-10-24,0.285,0.283,0.294,0.281,43.25M,1.42%
2023-10-23,0.281,0.284,0.286,0.28,24.65M,-0.35%
2023-10-22,0.282,0.277,0.284,0.276,10.89M,1.81%
2023-10-19,0.277,0.28,0.28,0.277,10.96M,-0.72%
2023-10-18,0.279,0.287,0.287,0.278,14.35M,-1.41%
2023-10-17,0.283,0.288,0.291,0.275,35.80M,-1.05%
2023-10-16,0.286,0.281,0.292,0.279,21.96M,1.42%
2023-10-15,0.282,0.278,0.29,0.278,15.03M,1.81%
2023-10-12,0.277,0.284,0.288,0.276,13.27M,-2.12%
2023-10-11,0.283,0.265,0.296,0.264,50.39M,7.20%
2023-10-10,0.264,0.261,0.265,0.261,4.25M,1.15%
2023-10-09,0.261,0.269,0.269,0.256,9.79M,-2.61%
2023-10-08,0.268,0.282,0.282,0.248,21.43M,-4.96%
