Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,0.396,0.405,0.414,0.393,95.92M,-1.98%
2023-12-10,0.404,0.436,0.439,0.401,126.57M,-6.70%
2023-12-07,0.433,0.43,0.435,0.407,141.87M,1.17%
2023-12-06,0.428,0.462,0.466,0.428,165.80M,-7.76%
2023-12-05,0.464,0.46,0.475,0.447,253.07M,1.09%
2023-12-04,0.459,0.43,0.463,0.426,196.97M,7.49%
2023-12-03,0.427,0.447,0.452,0.427,151.15M,-3.61%
2023-11-30,0.443,0.462,0.466,0.441,172.41M,-4.11%
2023-11-29,0.462,0.488,0.494,0.461,164.81M,-5.33%
2023-11-28,0.488,0.49,0.491,0.46,334.07M,0.21%
2023-11-27,0.487,0.505,0.521,0.476,431.69M,-3.37%
2023-11-26,0.504,0.47,0.518,0.444,607.13M,8.39%
2023-11-23,0.465,0.436,0.466,0.432,171.91M,6.90%
2023-11-22,0.435,0.432,0.478,0.424,298.20M,0.69%
2023-11-21,0.432,0.359,0.432,0.355,404.56M,20.00%
2023-11-20,0.36,0.375,0.376,0.35,115.47M,-3.23%
2023-11-19,0.372,0.373,0.387,0.372,133.94M,0.81%
2023-11-16,0.369,0.366,0.37,0.348,191.51M,1.65%
2023-11-15,0.363,0.35,0.381,0.329,356.27M,4.31%
2023-11-14,0.348,0.321,0.355,0.317,287.43M,8.75%
2023-11-13,0.32,0.325,0.332,0.311,130.35M,-0.62%
2023-11-12,0.322,0.297,0.324,0.294,311.59M,9.90%
2023-11-09,0.293,0.27,0.296,0.267,259.53M,8.92%
2023-11-08,0.269,0.279,0.279,0.268,102.21M,-2.54%
2023-11-07,0.276,0.278,0.294,0.27,227.89M,0.00%
2023-11-06,0.276,0.274,0.285,0.271,126.54M,0.73%
2023-11-05,0.274,0.26,0.274,0.258,235.57M,7.87%
2023-11-02,0.254,0.248,0.258,0.246,96.49M,3.67%
2023-11-01,0.245,0.251,0.255,0.241,47.87M,-3.16%
2023-10-31,0.253,0.261,0.266,0.246,101.31M,-3.07%
2023-10-30,0.261,0.237,0.269,0.235,211.65M,11.06%
2023-10-29,0.235,0.236,0.237,0.232,40.32M,0.00%
2023-10-26,0.235,0.231,0.236,0.23,47.67M,2.17%
2023-10-25,0.23,0.226,0.234,0.226,35.07M,1.77%
2023-10-24,0.226,0.226,0.231,0.224,45.56M,0.44%
2023-10-23,0.225,0.228,0.231,0.225,19.02M,-0.88%
2023-10-22,0.227,0.22,0.23,0.218,28.09M,3.18%
2023-10-19,0.22,0.221,0.225,0.219,29.40M,-0.45%
2023-10-18,0.221,0.225,0.226,0.22,14.31M,-0.90%
2023-10-17,0.223,0.222,0.225,0.221,14.68M,0.45%
2023-10-16,0.222,0.22,0.223,0.219,14.24M,1.37%
2023-10-15,0.219,0.22,0.223,0.218,16.84M,0.00%
2023-10-12,0.219,0.223,0.224,0.218,8.56M,-0.90%
2023-10-11,0.221,0.218,0.225,0.217,25.12M,1.84%
2023-10-10,0.217,0.217,0.219,0.216,6.07M,0.46%
2023-10-09,0.216,0.22,0.22,0.213,10.68M,-0.46%
2023-10-08,0.217,0.226,0.227,0.21,23.09M,-4.41%
2023-10-04,0.227,0.224,0.228,0.224,11.35M,1.34%
2023-10-03,0.224,0.23,0.23,0.224,12.23M,-1.75%
2023-10-02,0.228,0.23,0.234,0.224,23.37M,0.88%
2023-10-01,0.226,0.229,0.23,0.225,5.82M,-0.88%
2023-09-27,0.228,0.233,0.233,0.226,22.91M,-2.15%
2023-09-26,0.233,0.235,0.235,0.233,10.21M,-0.43%
2023-09-25,0.234,0.236,0.236,0.233,11.78M,-0.43%
2023-09-24,0.235,0.238,0.24,0.234,21.14M,0.00%
2023-09-21,0.235,0.235,0.238,0.23,23.52M,0.86%
2023-09-20,0.233,0.238,0.238,0.232,12.51M,-1.69%
2023-09-19,0.237,0.237,0.238,0.236,13.86M,0.42%
2023-09-18,0.236,0.236,0.237,0.235,16.53M,0.00%
2023-09-17,0.236,0.237,0.238,0.236,20.61M,-0.42%
2023-09-14,0.237,0.236,0.238,0.235,14.12M,0.85%
2023-09-13,0.235,0.235,0.237,0.233,19.83M,0.00%
2023-09-12,0.235,0.238,0.24,0.235,19.41M,-0.84%
2023-09-11,0.237,0.24,0.241,0.237,23.48M,-0.84%
2023-09-10,0.239,0.241,0.241,0.239,17.95M,0.00%
2023-09-07,0.239,0.242,0.243,0.238,27.80M,-0.83%
2023-09-06,0.241,0.245,0.246,0.241,25.73M,-0.82%
2023-09-05,0.243,0.244,0.245,0.242,30.93M,0.83%
2023-09-04,0.241,0.246,0.246,0.241,29.06M,-1.63%
2023-09-03,0.245,0.248,0.252,0.244,96.60M,0.82%
2023-08-31,0.243,0.241,0.246,0.24,104.24M,1.25%
2023-08-30,0.24,0.24,0.242,0.239,28.04M,0.42%
2023-08-29,0.239,0.241,0.242,0.238,16.52M,-0.42%
2023-08-28,0.24,0.239,0.243,0.238,39.01M,0.84%
