Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,9.85,10.2,10.2,9.8,498.39K,-4.09%
2023-12-10,10.27,10.42,10.6,10.13,391.45K,-1.44%
2023-12-07,10.42,10.4,10.55,9.55,1.27M,-0.67%
2023-12-06,10.49,10.9,10.92,10.47,520.01K,-3.32%
2023-12-05,10.85,10.7,11.14,10.7,1.03M,1.88%
2023-12-04,10.65,10.4,10.68,10.31,1.59M,2.40%
2023-12-03,10.4,10.78,10.84,10.29,1.27M,-3.53%
2023-11-30,10.78,10.7,11.0,10.62,904.59K,0.94%
2023-11-29,10.68,11.1,11.25,10.61,782.84K,-3.70%
2023-11-28,11.09,10.56,11.29,10.51,1.93M,4.72%
2023-11-27,10.59,10.77,10.85,10.46,1.40M,-1.67%
2023-11-26,10.77,10.1,10.84,10.0,3.60M,7.70%
2023-11-23,10.0,10.15,10.29,10.0,2.05M,-0.99%
2023-11-22,10.1,10.05,10.1,9.85,813.33K,2.64%
2023-11-21,9.84,9.67,10.14,9.51,1.76M,1.97%
2023-11-20,9.65,9.71,9.74,9.4,398.52K,0.00%
2023-11-19,9.65,9.5,9.71,9.46,405.48K,1.58%
2023-11-16,9.5,9.56,9.6,9.38,414.67K,1.06%
2023-11-15,9.4,9.58,9.69,9.39,691.65K,-1.78%
2023-11-14,9.57,9.96,10.14,9.5,1.30M,-2.05%
2023-11-13,9.77,9.43,9.99,9.25,858.95K,3.94%
2023-11-12,9.4,9.62,9.62,9.35,568.06K,-2.08%
2023-11-09,9.6,9.78,9.89,9.31,845.97K,-1.74%
2023-11-08,9.77,9.99,10.02,9.5,959.79K,-2.20%
2023-11-07,9.99,10.06,10.22,9.9,504.93K,-0.99%
2023-11-06,10.09,10.22,10.25,10.0,692.63K,-1.46%
2023-11-05,10.24,10.0,10.25,9.8,959.48K,2.91%
2023-11-02,9.95,9.16,10.4,9.14,4.66M,8.62%
2023-11-01,9.16,8.63,9.28,8.56,3.26M,6.39%
2023-10-31,8.61,8.8,8.9,8.57,1.10M,-2.05%
2023-10-30,8.79,8.91,9.1,8.7,2.92M,1.03%
2023-10-29,8.7,8.4,8.94,8.35,1.82M,4.44%
2023-10-26,8.33,8.31,8.39,8.25,478.91K,0.36%
2023-10-25,8.3,8.2,8.32,8.19,372.93K,1.34%
2023-10-24,8.19,8.21,8.32,8.16,519.27K,-0.24%
2023-10-23,8.21,8.18,8.28,8.11,553.26K,0.74%
2023-10-22,8.15,8.11,8.19,8.06,245.60K,0.74%
2023-10-19,8.09,8.11,8.18,8.05,556.43K,-0.25%
2023-10-18,8.11,8.15,8.2,8.07,284.42K,-0.25%
2023-10-17,8.13,8.08,8.18,8.02,336.22K,1.12%
2023-10-16,8.04,7.95,8.13,7.92,327.94K,1.52%
2023-10-15,7.92,7.85,7.95,7.83,209.35K,1.28%
2023-10-12,7.82,7.78,7.87,7.78,236.43K,0.64%
2023-10-11,7.77,7.85,7.9,7.7,530.90K,-0.64%
2023-10-10,7.82,7.92,7.97,7.7,552.04K,-1.26%
2023-10-09,7.92,7.95,7.99,7.8,214.07K,0.51%
2023-10-08,7.88,8.09,8.13,7.5,552.61K,-2.72%
2023-10-04,8.1,8.1,8.17,8.05,260.03K,0.12%
2023-10-03,8.09,8.2,8.26,8.07,209.22K,-1.10%
2023-10-02,8.18,8.27,8.38,8.02,339.63K,-0.49%
2023-10-01,8.22,8.39,8.39,8.21,409.40K,-2.03%
2023-09-27,8.39,8.35,8.42,8.16,469.55K,0.84%
2023-09-26,8.32,8.26,8.5,8.25,837.88K,0.73%
2023-09-25,8.26,8.29,8.4,8.2,378.05K,-0.36%
2023-09-24,8.29,8.31,8.41,8.25,687.73K,0.00%
2023-09-21,8.29,8.26,8.32,8.14,420.43K,0.61%
2023-09-20,8.24,8.31,8.4,8.22,776.49K,-0.84%
2023-09-19,8.31,8.5,8.56,8.3,712.09K,-1.66%
2023-09-18,8.45,8.6,8.67,8.41,1.14M,-1.52%
2023-09-17,8.58,8.29,8.59,8.22,2.55M,4.38%
2023-09-14,8.22,8.2,8.33,8.19,858.40K,0.24%
2023-09-13,8.2,8.22,8.25,8.17,276.94K,-0.24%
2023-09-12,8.22,8.25,8.27,8.17,542.52K,-0.36%
2023-09-11,8.25,8.3,8.35,8.2,1.02M,-0.48%
2023-09-10,8.29,8.23,8.39,8.19,1.58M,1.22%
2023-09-07,8.19,8.13,8.22,8.05,666.61K,0.99%
2023-09-06,8.11,8.2,8.27,8.05,1.24M,-0.98%
2023-09-05,8.19,8.05,8.28,8.03,1.90M,2.25%
2023-09-04,8.01,7.95,8.1,7.86,1.40M,0.75%
2023-09-03,7.95,7.98,8.02,7.92,721.42K,-0.13%
2023-08-31,7.96,8.07,8.11,7.9,2.33M,-0.62%
2023-08-30,8.01,8.05,8.21,7.98,2.66M,0.88%
2023-08-29,7.94,8.31,8.41,7.92,4.57M,-4.22%
2023-08-28,8.29,8.17,8.3,7.94,2.44M,1.84%
2023-08-27,8.14,8.45,8.5,8.09,1.97M,-3.21%
2023-08-24,8.41,8.65,8.78,8.3,1.06M,-2.55%
2023-08-23,8.63,8.75,9.0,8.6,2.04M,-1.03%
2023-08-22,8.72,8.7,8.74,8.65,277.51K,0.58%
2023-08-21,8.67,8.7,8.74,8.65,244.39K,-0.12%
2023-08-20,8.68,8.71,8.78,8.65,508.67K,-0.23%
2023-08-17,8.7,8.82,8.83,8.67,460.34K,-0.46%
2023-08-16,8.74,8.84,8.9,8.71,670.51K,-0.68%
2023-08-15,8.8,8.9,8.92,8.77,672.53K,-0.79%
2023-08-14,8.87,8.95,8.95,8.8,1.62M,-0.34%
2023-08-13,8.9,9.05,9.06,8.88,1.03M,-1.11%
2023-08-10,9.0,9.08,9.14,8.91,575.19K,-0.33%
2023-08-09,9.03,9.03,9.1,8.9,1.23M,0.33%
2023-08-08,9.0,9.2,9.25,8.91,1.01M,-1.85%
2023-08-07,9.17,9.15,9.19,9.12,211.70K,0.77%
2023-08-06,9.1,9.14,9.2,9.01,477.98K,-0.11%
2023-08-03,9.11,8.94,9.18,8.85,250.61K,2.59%
2023-08-02,8.88,9.24,9.27,8.8,796.16K,-2.42%
2023-08-01,9.1,9.39,9.4,8.98,739.94K,-1.09%
2023-07-31,9.2,9.17,9.4,9.17,552.01K,0.33%
2023-07-30,9.17,9.45,9.6,9.1,707.73K,-2.34%
2023-07-27,9.39,9.7,9.8,9.33,372.07K,-2.59%
2023-07-26,9.64,9.76,9.93,9.55,662.76K,-1.13%
2023-07-25,9.75,9.94,10.03,9.7,336.46K,-1.32%
2023-07-24,9.88,9.95,10.06,9.85,141.36K,-0.50%
2023-07-19,9.93,10.1,10.15,9.9,296.52K,-0.80%
2023-07-18,10.01,10.22,10.22,9.8,452.62K,-1.48%
2023-07-17,10.16,10.24,10.33,10.1,332.99K,0.20%
2023-07-16,10.14,10.2,10.35,10.1,51.95K,-0.59%
2023-07-13,10.2,10.25,10.3,10.15,307.02K,-0.49%
2023-07-12,10.25,10.25,10.25,10.15,25.79K,0.00%
2023-07-11,10.25,10.42,10.48,10.18,55.94K,0.89%
2023-07-10,10.16,10.31,10.43,10.0,59.31K,-2.59%
2023-07-09,10.43,10.69,10.69,10.3,37.21K,-2.52%
2023-07-06,10.7,10.55,10.75,10.55,1.02M,0.00%
2023-07-05,10.7,10.65,10.74,10.55,375.79K,-0.09%
