Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,173.01,173.95,174.99,169.38,108.67K,-0.67%
2023-12-10,174.17,178.01,180.0,173.3,74.66K,-1.95%
2023-12-07,177.63,184.0,184.0,176.0,141.10K,-3.46%
2023-12-06,184.0,187.0,188.0,183.3,100.71K,-1.62%
2023-12-05,187.03,188.5,190.6,185.0,116.86K,-0.31%
2023-12-04,187.62,183.0,188.0,182.01,91.45K,2.88%
2023-12-03,182.37,187.99,187.99,181.07,104.19K,-2.48%
2023-11-30,187.01,189.49,189.8,186.0,263.65K,-0.56%
2023-11-29,188.06,199.1,199.2,185.56,725.57K,-5.02%
2023-11-28,198.01,194.7,202.0,193.32,825.63K,3.13%
2023-11-27,192.0,187.85,192.5,185.7,444.31K,3.07%
2023-11-26,186.28,187.0,188.0,184.15,259.23K,0.65%
2023-11-23,185.07,185.5,188.0,184.6,377.61K,1.13%
2023-11-22,183.0,175.15,185.8,175.1,575.00K,4.57%
2023-11-21,175.0,171.2,175.0,169.0,88.33K,2.18%
2023-11-20,171.27,176.01,177.0,171.01,126.07K,-2.18%
2023-11-19,175.09,173.0,178.69,172.89,167.27K,1.97%
2023-11-16,171.7,167.89,173.18,166.0,156.55K,3.71%
2023-11-15,165.55,166.5,167.49,165.5,86.69K,0.28%
2023-11-14,165.08,169.98,170.7,164.51,176.77K,-2.31%
2023-11-13,168.99,169.0,171.0,166.5,82.87K,0.58%
2023-11-12,168.02,172.03,173.99,168.02,235.83K,-2.14%
2023-11-09,171.69,176.0,176.94,171.02,223.92K,-0.62%
2023-11-08,172.76,178.19,180.95,171.03,181.82K,-2.94%
2023-11-07,178.0,179.99,181.75,175.5,260.58K,0.42%
2023-11-06,177.25,169.0,179.98,168.5,366.18K,5.23%
2023-11-05,168.44,168.05,170.5,167.81,60.26K,0.41%
2023-11-02,167.75,168.6,172.0,167.1,75.27K,-0.21%
2023-11-01,168.11,167.95,169.0,165.15,114.24K,0.10%
2023-10-31,167.95,171.01,172.0,166.51,167.12K,-1.52%
2023-10-30,170.55,176.0,177.98,170.2,190.31K,-2.71%
2023-10-29,175.3,178.05,180.5,175.25,139.34K,-1.52%
2023-10-26,178.01,181.1,184.99,177.1,303.58K,-0.56%
2023-10-25,179.01,177.0,182.3,175.07,370.18K,-1.97%
2023-10-24,182.6,188.0,188.94,179.0,420.14K,-0.82%
2023-10-23,184.11,187.9,190.0,183.03,445.13K,-1.07%
2023-10-22,186.11,177.0,189.0,176.25,532.77K,5.74%
2023-10-19,176.0,180.0,182.9,175.12,664.59K,-1.68%
2023-10-18,179.0,185.0,186.0,177.5,681.13K,-2.00%
2023-10-17,182.65,190.1,191.0,180.1,867.85K,-2.90%
2023-10-16,188.1,190.0,197.88,186.57,1.15M,0.27%
2023-10-15,187.6,166.0,195.9,165.8,1.44M,14.04%
2023-10-12,164.51,152.31,166.5,152.25,747.70K,8.24%
2023-10-11,151.99,154.0,155.0,149.0,220.10K,0.64%
2023-10-10,151.02,149.0,152.7,148.05,229.40K,2.03%
2023-10-09,148.01,147.0,150.99,145.1,293.14K,1.64%
2023-10-08,145.62,150.03,153.0,139.0,335.26K,-4.82%
2023-10-04,153.0,150.0,153.7,145.79,501.26K,2.96%
2023-10-03,148.6,155.98,156.01,144.0,453.10K,-4.25%
2023-10-02,155.2,171.99,174.89,149.0,1.35M,-8.28%
2023-10-01,169.21,142.25,169.21,141.66,854.98K,20.00%
2023-09-27,141.01,137.5,141.3,134.03,449.23K,3.68%
2023-09-26,136.0,133.0,138.9,132.0,420.01K,3.05%
2023-09-25,131.98,129.94,132.99,128.99,419.95K,3.09%
2023-09-24,128.02,126.01,130.5,125.7,506.73K,1.60%
2023-09-21,126.0,122.0,126.5,121.41,335.66K,3.13%
2023-09-20,122.17,123.0,123.5,121.3,99.04K,-0.46%
2023-09-19,122.73,123.53,124.0,122.51,273.35K,0.61%
2023-09-18,121.99,121.99,122.0,120.51,69.43K,0.86%
2023-09-17,120.95,120.5,122.78,120.0,405.78K,0.79%
2023-09-14,120.0,118.99,121.0,118.0,260.74K,0.84%
2023-09-13,119.0,117.8,119.0,116.65,78.49K,1.16%
2023-09-12,117.63,118.0,118.0,117.0,82.15K,0.03%
2023-09-11,117.6,118.1,120.0,117.5,106.55K,-1.18%
2023-09-10,119.01,117.0,120.0,116.35,258.72K,1.74%
2023-09-07,116.98,117.01,117.97,116.0,193.05K,1.09%
2023-09-06,115.72,114.6,115.99,114.6,341.47K,0.92%
2023-09-05,114.67,115.8,115.8,114.0,151.24K,-0.11%
2023-09-04,114.8,116.42,116.42,111.0,325.31K,-0.22%
2023-09-03,115.05,116.7,117.8,115.0,68.09K,-0.48%
2023-08-31,115.6,119.26,120.35,115.0,635.96K,-2.86%
2023-08-30,119.0,123.85,124.0,118.0,448.48K,-3.42%
