Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,11.6,12.0,12.17,11.45,6.15M,-3.73%
2023-12-10,12.05,12.95,13.05,11.87,4.66M,-6.88%
2023-12-07,12.94,12.57,13.19,11.85,5.55M,3.44%
2023-12-06,12.51,13.0,13.19,12.5,2.47M,-2.65%
2023-12-05,12.85,13.5,13.74,12.8,3.93M,-3.75%
2023-12-04,13.35,12.9,13.85,12.72,9.81M,3.57%
2023-12-03,12.89,13.18,13.24,12.64,7.54M,-0.85%
2023-11-30,13.0,11.91,13.05,11.91,12.90M,9.89%
2023-11-29,11.83,12.18,12.55,11.53,8.06M,-1.42%
2023-11-28,12.0,12.11,13.25,11.9,12.16M,0.33%
2023-11-27,11.96,10.59,12.19,10.56,19.64M,13.58%
2023-11-26,10.53,10.56,10.75,10.48,3.18M,0.29%
2023-11-23,10.5,10.42,10.65,10.34,6.16M,1.06%
2023-11-22,10.39,10.23,10.44,10.15,2.46M,2.57%
2023-11-21,10.13,10.14,10.2,10.03,1.62M,0.20%
2023-11-20,10.11,10.23,10.33,10.01,4.04M,-1.17%
2023-11-19,10.23,10.3,10.44,10.16,3.17M,-0.20%
2023-11-16,10.25,9.81,10.35,9.77,8.01M,5.56%
2023-11-15,9.71,9.76,9.9,9.65,2.74M,0.31%
2023-11-14,9.68,9.59,9.84,9.51,5.19M,2.22%
2023-11-13,9.47,9.75,9.8,9.44,5.30M,-0.11%
2023-11-12,9.48,9.69,9.77,9.38,2.20M,-1.35%
2023-11-09,9.61,9.77,9.96,9.6,2.74M,-1.54%
2023-11-08,9.76,9.8,10.06,9.76,4.48M,0.00%
2023-11-07,9.76,9.78,9.92,9.55,6.99M,0.72%
2023-11-06,9.69,9.76,9.87,9.5,5.77M,0.62%
2023-11-05,9.63,9.52,9.85,9.51,4.01M,2.12%
2023-11-02,9.43,9.57,9.79,9.43,6.36M,-0.53%
2023-11-01,9.48,10.0,10.08,9.46,8.07M,-4.24%
2023-10-31,9.9,10.36,10.49,9.85,8.45M,-2.75%
2023-10-30,10.18,10.39,10.4,10.0,6.80M,-0.78%
2023-10-29,10.26,10.3,10.6,10.24,6.83M,-0.29%
2023-10-26,10.29,10.6,10.7,10.18,4.53M,-3.29%
2023-10-25,10.64,9.84,10.8,9.73,7.00M,9.92%
2023-10-24,9.68,9.72,10.01,9.51,6.87M,0.62%
2023-10-23,9.62,9.6,9.92,9.51,5.90M,0.52%
2023-10-22,9.57,9.12,9.64,9.09,7.49M,5.40%
2023-10-19,9.08,9.39,9.41,9.08,4.72M,-1.94%
2023-10-18,9.26,9.74,9.75,9.25,5.72M,-5.03%
2023-10-17,9.75,9.13,9.84,9.03,7.65M,8.09%
2023-10-16,9.02,9.2,9.29,9.01,6.00M,-1.53%
2023-10-15,9.16,9.13,9.46,9.12,3.85M,0.55%
2023-10-12,9.11,9.08,9.26,8.97,3.36M,0.55%
2023-10-11,9.06,9.39,9.52,9.02,2.76M,-2.48%
2023-10-10,9.29,9.3,9.53,9.2,2.95M,0.43%
2023-10-09,9.25,9.69,9.69,9.19,1.39M,-2.63%
2023-10-08,9.5,9.94,9.97,8.31,2.29M,-4.90%
2023-10-04,9.99,10.02,10.15,9.62,3.88M,-0.10%
2023-10-03,10.0,10.62,10.69,9.88,2.26M,-5.30%
2023-10-02,10.56,10.95,11.2,10.41,4.56M,-2.13%
2023-10-01,10.79,10.55,10.97,10.52,813.15K,2.66%
2023-09-27,10.51,10.74,10.8,10.4,1.07M,-1.78%
2023-09-26,10.7,10.95,11.2,10.62,2.38M,-1.47%
2023-09-25,10.86,10.63,11.47,10.52,7.18M,3.72%
2023-09-24,10.47,10.7,10.75,10.45,951.97K,-1.23%
2023-09-21,10.6,10.5,10.75,10.28,1.32M,2.12%
2023-09-20,10.38,10.62,10.74,10.25,1.61M,-2.08%
2023-09-19,10.6,10.9,11.25,10.5,6.48M,-2.66%
2023-09-18,10.89,10.8,10.95,10.58,2.47M,2.54%
2023-09-17,10.62,10.66,10.84,10.6,1.87M,0.09%
2023-09-14,10.61,10.33,10.75,10.3,3.30M,1.05%
2023-09-13,10.5,10.29,10.55,10.23,655.20K,1.94%
2023-09-12,10.3,10.38,10.66,10.26,2.08M,0.39%
2023-09-11,10.26,10.55,10.56,10.18,1.40M,-2.29%
2023-09-10,10.5,10.2,10.61,10.07,2.92M,3.96%
2023-09-07,10.1,10.24,10.3,10.0,415.57K,-1.37%
2023-09-06,10.24,9.94,10.4,9.84,1.79M,4.07%
2023-09-05,9.84,10.15,10.15,9.76,1.98M,-2.19%
2023-09-04,10.06,10.25,10.3,10.03,1.62M,-1.37%
2023-09-03,10.2,10.5,10.5,10.17,625.44K,-1.16%
2023-08-31,10.32,10.32,10.44,10.2,1.24M,1.08%
2023-08-30,10.21,10.59,10.6,10.13,1.38M,-1.26%
2023-08-29,10.34,10.55,10.69,10.28,541.52K,-1.52%
2023-08-28,10.5,10.7,10.79,10.46,735.00K,-1.78%
2023-08-27,10.69,10.51,10.8,10.51,167.12K,1.71%
2023-08-24,10.51,10.67,10.7,10.43,226.64K,-0.57%
2023-08-23,10.57,10.76,10.85,10.55,955.44K,-1.58%
2023-08-22,10.74,10.73,10.89,10.68,911.07K,0.47%
2023-08-21,10.69,10.77,10.88,10.68,170.73K,-0.28%
2023-08-20,10.72,10.75,10.9,10.71,223.53K,-0.74%
2023-08-17,10.8,11.04,11.04,10.73,520.64K,-0.55%
2023-08-16,10.86,11.01,11.3,10.82,1.75M,-1.36%
2023-08-15,11.01,10.63,11.11,10.63,1.62M,2.90%
2023-08-14,10.7,10.89,10.9,10.65,1.07M,-0.09%
2023-08-13,10.71,10.96,10.96,10.65,106.05K,-1.11%
2023-08-10,10.83,11.03,11.03,10.67,128.56K,-0.91%
2023-08-09,10.93,10.9,11.18,10.85,438.91K,0.00%
2023-08-08,10.93,10.9,11.29,10.9,1.67M,0.09%
2023-08-07,10.92,10.91,11.15,10.9,501.72K,0.09%
2023-08-06,10.91,10.66,11.2,10.46,1.63M,4.00%
2023-08-03,10.49,10.5,10.77,10.4,105.51K,-0.66%
2023-08-02,10.56,10.85,10.85,10.4,312.83K,-1.22%
2023-08-01,10.69,10.76,11.0,10.41,485.19K,-1.84%
2023-07-31,10.89,11.0,11.1,10.7,821.40K,-0.91%
2023-07-30,10.99,10.31,11.0,10.25,828.18K,5.17%
2023-07-27,10.45,10.3,10.5,10.24,43.77K,1.26%
2023-07-26,10.32,10.6,10.7,10.3,76.69K,-1.90%
2023-07-25,10.52,10.75,10.78,10.38,74.28K,-1.22%
2023-07-24,10.65,10.69,10.9,10.57,48.78K,-0.84%
2023-07-19,10.74,10.56,10.9,10.56,607.74K,-0.56%
2023-07-18,10.8,10.25,10.94,10.2,488.68K,4.65%
2023-07-17,10.32,10.34,10.35,10.2,240.54K,0.58%
2023-07-16,10.26,10.33,10.36,10.2,44.40K,-0.77%
2023-07-13,10.34,10.3,10.46,10.23,137.18K,0.19%
2023-07-12,10.32,10.32,10.47,10.13,165.42K,0.29%
2023-07-11,10.29,10.3,10.44,10.11,852.67K,1.28%
2023-07-10,10.16,9.75,10.25,9.6,1.24M,5.83%
2023-07-09,9.6,10.16,10.2,9.5,409.94K,-4.95%
2023-07-06,10.1,10.6,10.67,10.07,673.23K,-3.72%
2023-07-05,10.49,10.87,10.99,10.45,875.87K,-2.96%
2023-07-04,10.81,11.05,11.15,10.8,610.58K,-0.55%
2023-06-26,10.87,11.0,11.0,10.8,487.79K,-1.18%
2023-06-25,11.0,11.0,11.17,10.81,611.90K,0.00%
2023-06-22,11.0,10.85,11.09,10.85,541.69K,1.01%
2023-06-21,10.89,11.09,11.25,10.8,1.28M,-1.63%
2023-06-20,11.07,10.75,11.19,10.7,975.72K,2.69%
2023-06-19,10.78,10.8,10.98,10.62,559.95K,-0.19%
2023-06-18,10.8,10.74,10.93,10.68,737.13K,1.41%
2023-06-15,10.65,11.04,11.19,10.63,1.49M,-3.18%
2023-06-14,11.0,10.67,11.3,10.67,1.13M,3.09%
2023-06-13,10.67,11.02,11.1,10.61,861.87K,-2.91%
2023-06-12,10.99,10.83,11.1,10.83,306.13K,1.85%
2023-06-11,10.79,10.85,10.94,10.7,340.70K,1.03%
2023-06-08,10.68,10.7,10.89,10.51,240.79K,-0.19%
2023-06-07,10.7,11.3,11.3,10.63,1.44M,-2.90%
2023-06-06,11.02,10.7,11.5,10.7,1.52M,2.23%
2023-06-05,10.78,11.15,11.15,10.75,662.40K,-2.00%
2023-06-04,11.0,11.5,11.5,10.92,1.33M,-2.14%
2023-06-01,11.24,11.4,11.64,11.2,1.46M,-0.18%
2023-05-31,11.26,11.01,12.1,11.01,7.17M,2.36%
2023-05-30,11.0,10.65,11.0,10.57,4.17M,3.97%
2023-05-29,10.58,10.15,10.7,10.15,2.84M,4.24%
2023-05-28,10.15,10.2,10.35,10.07,1.17M,-0.10%
2023-05-25,10.16,10.45,10.45,10.0,1.30M,-1.55%
2023-05-24,10.32,10.15,10.5,10.12,2.80M,2.18%
2023-05-23,10.1,10.44,10.44,9.86,4.23M,-2.04%
2023-05-22,10.31,10.6,10.75,10.27,1.65M,-1.25%
2023-05-21,10.44,10.69,10.74,10.36,2.03M,-0.67%
2023-05-18,10.51,10.04,10.59,10.04,2.33M,3.96%
2023-05-17,10.11,10.7,10.76,10.06,2.04M,-4.62%
2023-05-16,10.6,10.9,11.08,10.36,3.86M,-2.30%
2023-05-15,10.85,11.1,11.6,10.78,5.02M,-2.08%
2023-05-14,11.08,11.1,11.44,10.78,4.65M,0.91%
2023-05-11,10.98,10.53,11.24,10.46,3.00M,4.57%
2023-05-10,10.5,10.25,10.7,10.07,3.16M,2.54%
2023-05-09,10.24,10.48,10.84,10.2,6.87M,-0.78%
2023-05-08,10.32,9.51,10.68,9.51,5.92M,6.72%
2023-05-07,9.67,9.3,9.72,8.92,2.46M,4.20%
2023-05-03,9.28,9.1,9.36,9.0,971.80K,3.00%
2023-05-02,9.01,8.91,9.1,8.62,1.17M,0.11%
2023-05-01,9.0,9.4,9.66,8.9,1.64M,-4.36%
2023-04-30,9.41,9.23,9.97,9.11,3.69M,4.67%
2023-04-27,8.99,8.9,9.2,8.9,2.81M,0.90%
2023-04-26,8.91,8.59,9.04,8.59,2.84M,4.82%
2023-04-19,8.5,8.4,8.63,8.38,1.60M,1.92%
2023-04-18,8.34,8.35,8.42,8.3,707.02K,0.12%
2023-04-13,8.33,8.42,8.5,8.3,393.64K,-2.12%
2023-04-12,8.51,8.65,8.65,8.41,861.25K,0.24%
2023-04-11,8.49,8.27,8.71,8.27,1.69M,2.78%
2023-04-10,8.26,8.2,8.35,8.1,1.77M,0.73%
2023-04-09,8.2,8.23,8.3,8.03,331.03K,0.00%
