Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,17.1,17.71,17.79,17.05,1.12M,-3.66%
2023-12-10,17.75,18.18,18.19,17.7,541.04K,-1.88%
2023-12-07,18.09,18.15,18.27,17.6,1.43M,-0.28%
2023-12-06,18.14,19.0,19.27,18.0,1.76M,-4.02%
2023-12-05,18.9,18.5,18.99,18.4,1.46M,3.28%
2023-12-04,18.3,18.02,18.47,18.02,966.26K,1.61%
2023-12-03,18.01,18.13,18.44,17.95,805.65K,-1.21%
2023-11-30,18.23,18.24,18.38,18.02,554.48K,1.28%
2023-11-29,18.0,18.6,18.6,17.9,914.16K,-2.54%
2023-11-28,18.47,19.11,19.32,18.35,1.34M,-3.15%
2023-11-27,19.07,18.9,19.4,18.68,2.68M,2.14%
2023-11-26,18.67,18.31,18.94,18.31,1.97M,2.58%
2023-11-23,18.2,17.88,18.33,17.88,1.90M,2.02%
2023-11-22,17.84,18.09,18.1,17.81,812.17K,-0.34%
2023-11-21,17.9,17.9,18.25,17.75,970.16K,0.00%
2023-11-20,17.9,18.37,18.7,17.61,1.26M,-2.35%
2023-11-19,18.33,18.64,18.78,18.16,1.16M,0.11%
2023-11-16,18.31,18.1,18.85,18.0,1.30M,1.72%
2023-11-15,18.0,18.0,18.28,17.62,1.22M,0.78%
2023-11-14,17.86,17.8,18.3,17.8,634.61K,0.85%
2023-11-13,17.71,18.25,18.25,17.67,368.86K,-2.80%
2023-11-12,18.22,17.9,18.59,17.9,903.51K,1.90%
2023-11-09,17.88,18.16,18.65,17.8,1.73M,-1.32%
2023-11-08,18.12,17.9,18.48,17.81,674.25K,1.74%
2023-11-07,17.81,18.18,18.27,17.6,687.19K,-1.98%
2023-11-06,18.17,18.9,18.9,18.13,690.29K,-2.99%
2023-11-05,18.73,18.86,19.08,18.56,323.14K,-0.90%
2023-11-02,18.9,19.0,19.27,18.87,747.83K,-0.53%
2023-11-01,19.0,18.5,19.0,18.02,690.27K,2.70%
2023-10-31,18.5,18.75,18.99,17.85,1.09M,-0.80%
2023-10-30,18.65,19.04,19.1,18.5,759.83K,-2.51%
2023-10-29,19.13,19.23,19.8,19.0,640.07K,-0.16%
2023-10-26,19.16,20.04,20.69,19.0,2.38M,-4.10%
2023-10-25,19.98,17.76,19.98,17.6,14.62M,13.85%
2023-10-24,17.55,17.63,18.15,17.31,1.95M,0.23%
2023-10-23,17.51,18.0,18.25,17.27,1.42M,-1.96%
2023-10-22,17.86,17.1,18.48,16.89,1.59M,5.43%
2023-10-19,16.94,17.77,17.96,16.89,1.11M,-3.75%
2023-10-18,17.6,18.59,18.59,17.5,3.68M,-4.97%
2023-10-17,18.52,16.3,19.44,16.15,5.67M,14.32%
2023-10-16,16.2,16.0,16.67,15.75,1.85M,1.89%
2023-10-15,15.9,15.0,16.32,15.0,5.90M,6.07%
2023-10-12,14.99,14.87,15.05,14.76,351.83K,1.77%
2023-10-11,14.73,15.15,15.15,14.7,683.27K,-1.41%
2023-10-10,14.94,14.98,15.19,14.83,416.75K,0.54%
2023-10-09,14.86,14.83,14.99,14.7,179.84K,1.43%
2023-10-08,14.65,15.13,15.13,14.5,440.00K,-3.17%
2023-10-04,15.13,15.31,15.31,15.05,354.60K,-1.56%
2023-10-03,15.37,15.5,15.65,15.25,641.21K,-0.77%
2023-10-02,15.49,15.15,15.7,15.08,926.85K,2.24%
2023-10-01,15.15,15.38,15.44,15.01,172.99K,-1.05%
2023-09-27,15.31,15.6,15.65,15.13,698.67K,-1.73%
2023-09-26,15.58,15.66,15.75,15.53,207.26K,-0.45%
2023-09-25,15.65,15.84,15.84,15.6,197.32K,-0.19%
2023-09-24,15.68,15.75,15.9,15.63,382.35K,-0.06%
2023-09-21,15.69,15.69,15.75,15.48,782.03K,1.16%
2023-09-20,15.51,15.88,15.94,15.5,1.09M,-1.40%
2023-09-19,15.73,16.58,16.59,15.5,2.01M,-4.72%
2023-09-18,16.51,16.45,16.59,16.35,322.43K,0.06%
2023-09-17,16.5,16.5,16.69,16.38,933.30K,0.67%
2023-09-14,16.39,16.45,16.55,16.29,348.93K,-0.36%
2023-09-13,16.45,16.3,16.48,16.19,192.41K,1.17%
2023-09-12,16.26,16.3,16.5,16.18,209.77K,0.06%
2023-09-11,16.25,16.7,16.7,16.19,442.97K,-0.91%
2023-09-10,16.4,16.74,16.8,16.37,311.16K,-1.50%
2023-09-07,16.65,16.6,16.65,16.2,266.91K,0.73%
2023-09-06,16.53,16.78,17.02,16.2,1.10M,-1.61%
2023-09-05,16.8,16.56,17.0,16.56,2.46M,1.76%
2023-09-04,16.51,15.8,16.69,15.6,1.84M,3.90%
2023-09-03,15.89,16.05,16.06,15.6,346.20K,0.00%
2023-08-31,15.89,15.77,16.19,15.77,2.01M,1.40%
2023-08-30,15.67,15.49,15.83,15.38,592.34K,1.49%
2023-08-29,15.44,15.24,15.45,15.1,799.92K,1.58%
2023-08-28,15.2,15.35,15.59,15.1,680.93K,0.00%
2023-08-27,15.2,15.27,15.38,15.1,534.04K,0.80%
2023-08-24,15.08,15.48,15.48,14.99,1.60M,-1.44%
2023-08-23,15.3,15.95,15.95,15.23,782.10K,-2.67%
2023-08-22,15.72,15.9,15.97,15.71,246.67K,-1.13%
2023-08-21,15.9,15.36,15.95,15.12,1.13M,2.91%
