Date,Price,Open,High,Low,Vol.,Change %
2023-11-16,39.8,39.0,40.0,39.0,2.12K,0.00%
2023-11-15,39.8,39.8,39.8,39.0,0.33K,0.00%
2023-11-14,39.8,39.28,39.8,39.0,1.46K,0.00%
2023-11-12,39.8,38.65,39.29,38.65,0.73K,0.00%
2023-11-09,39.8,38.65,39.29,38.65,0.26K,0.00%
2023-11-08,39.8,38.6,39.29,38.6,1.14K,0.00%
2023-11-07,39.8,38.6,39.29,38.6,1.05K,1.30%
2023-11-06,39.29,38.55,39.36,38.55,0.05K,0.00%
2023-11-05,39.29,38.55,39.0,38.55,0.02K,0.00%
2023-11-02,39.29,38.5,39.37,38.5,0.42K,0.00%
2023-11-01,39.29,39.5,39.65,38.3,0.11K,0.00%
2023-10-31,39.29,39.49,39.49,39.21,0.33K,0.00%
2023-10-30,39.29,39.25,39.49,39.25,0.23K,0.00%
2023-10-29,39.29,39.5,39.5,39.15,0.03K,0.00%
2023-10-26,39.29,39.06,39.49,39.05,2.48K,0.00%
2023-10-25,39.29,39.3,39.35,39.02,2.38K,0.00%
2023-10-24,39.29,39.21,39.45,39.21,0.67K,0.00%
2023-10-23,39.29,39.1,39.5,39.1,7.91K,0.28%
2023-10-22,39.18,38.7,39.32,38.7,0.60K,0.00%
2023-10-19,39.18,39.33,39.33,38.7,1.51K,0.00%
2023-10-18,39.18,39.33,39.33,39.3,0.36K,0.00%
2023-10-17,39.18,39.34,39.34,39.1,0.38K,0.00%
2023-10-16,39.18,39.2,39.34,39.0,0.28K,0.00%
2023-10-15,39.18,39.31,39.31,39.3,1.24K,0.00%
2023-10-12,39.18,39.4,39.4,39.3,4.53K,0.00%
2023-10-11,39.18,39.2,39.31,39.2,1.35K,0.00%
2023-10-10,39.18,39.2,39.3,39.2,1.53K,0.00%
2023-10-09,39.18,39.1,39.44,39.1,3.64K,0.00%
2023-10-08,39.18,39.3,39.46,39.3,4.15K,0.00%
2023-10-04,39.18,39.25,39.46,39.25,1.10K,0.00%
2023-10-03,39.18,39.3,39.47,39.3,0.48K,0.00%
2023-10-02,39.18,39.5,39.5,39.19,1.48K,0.00%
2023-10-01,39.18,39.27,39.5,39.27,0.90K,0.00%
2023-09-27,39.18,39.65,39.65,39.25,1.84K,0.00%
2023-09-26,39.18,39.26,39.38,39.26,0.61K,0.00%
2023-09-25,39.18,39.36,39.36,39.05,0.59K,0.00%
2023-09-24,39.18,39.26,39.7,39.25,0.39K,0.00%
2023-09-21,39.18,39.0,39.7,38.8,8.24K,0.46%
2023-09-20,39.0,38.77,39.05,38.75,9.44K,1.01%
2023-09-19,38.61,38.98,39.0,38.75,7.58K,0.00%
2023-09-18,38.61,38.7,38.75,38.0,11.44K,0.08%
2023-09-17,38.58,38.25,39.0,38.25,18.36K,4.27%
2023-09-14,37.0,37.0,37.29,36.3,1.76K,0.00%
2023-09-13,37.0,36.11,37.29,36.11,0.45K,0.00%
2023-09-12,37.0,37.0,37.01,36.02,4.23K,0.00%
2023-09-11,37.0,36.9,37.37,36.9,8.06K,0.00%
2023-09-10,37.0,36.8,37.24,36.8,7.78K,0.00%
2023-09-07,37.0,37.09,37.09,36.55,8.31K,2.18%
2023-09-06,36.21,36.25,37.1,36.25,0.52K,0.00%
2023-09-05,36.21,37.0,37.0,36.25,0.10K,0.00%
2023-09-04,36.21,36.8,37.25,36.5,0.49K,0.00%
2023-09-03,36.21,36.9,36.9,36.22,0.29K,0.00%
2023-08-31,36.21,36.69,37.28,36.6,0.46K,0.00%
2023-08-30,36.21,36.3,36.69,36.3,0.44K,0.00%
2023-08-29,36.21,36.69,36.69,36.3,1.74K,0.00%
2023-08-28,36.21,36.6,36.6,36.3,4.52K,0.00%
2023-08-27,36.21,36.18,36.6,36.17,5.35K,0.00%
2023-08-24,36.21,36.1,36.57,36.1,1.05K,0.00%
2023-08-23,36.21,36.6,36.6,36.02,4.32K,0.00%
2023-08-22,36.21,36.67,36.69,36.3,2.87K,0.00%
2023-08-21,36.21,36.21,36.75,36.02,0.83K,0.00%
2023-08-20,36.21,36.02,36.7,36.02,0.56K,0.00%
2023-08-17,36.21,36.9,37.0,36.0,11.40K,-1.90%
2023-08-16,36.91,37.36,38.0,36.0,9.81K,-1.15%
2023-08-15,37.34,37.95,38.0,36.0,11.22K,-6.46%
2023-08-14,39.92,37.58,38.0,37.57,2.49K,0.00%
2023-08-13,39.92,37.7,38.0,37.5,0.27K,0.00%
2023-08-10,39.92,38.3,38.3,37.5,0.87K,0.00%
2023-08-09,39.92,37.33,38.4,37.33,7.35K,0.00%
2023-08-08,39.92,38.02,38.9,37.3,4.66K,0.00%
2023-08-07,39.92,38.0,38.45,38.0,0.76K,0.00%
2023-08-06,39.92,37.71,38.38,37.7,0.75K,0.00%
2023-08-03,39.92,38.77,38.77,37.7,0.44K,0.00%
2023-08-02,39.92,38.88,38.88,37.7,5.26K,0.00%
2023-08-01,39.92,37.91,39.0,37.9,3.07K,0.00%
2023-07-31,39.92,37.26,39.25,37.26,0.68K,0.00%
2023-07-30,39.92,37.51,40.95,37.0,6.95K,0.00%
2023-07-27,39.92,37.4,38.88,37.4,0.33K,0.00%
2023-07-26,39.92,38.0,39.0,37.11,1.46K,0.00%
