Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,38.33,39.0,39.15,38.23,454.73K,-1.72%
2023-12-10,39.0,40.5,40.75,39.0,440.31K,-2.50%
2023-12-07,40.0,40.21,41.0,39.5,697.04K,-1.43%
2023-12-06,40.58,42.0,42.39,40.51,848.39K,-3.56%
2023-12-05,42.08,43.15,43.21,41.9,500.31K,-2.00%
2023-12-04,42.94,43.0,43.48,41.95,1.64M,-0.14%
2023-12-03,43.0,40.51,43.5,40.06,1.51M,6.23%
2023-11-30,40.48,41.0,41.45,40.36,438.72K,-1.27%
2023-11-29,41.0,41.65,42.0,40.41,392.55K,-1.56%
2023-11-28,41.65,42.15,42.87,41.33,1.26M,-0.83%
2023-11-27,42.0,39.7,42.4,39.4,1.84M,5.87%
2023-11-26,39.67,40.28,40.8,39.66,283.97K,-0.83%
2023-11-23,40.0,40.94,41.0,40.0,614.28K,-1.60%
2023-11-22,40.65,40.0,41.35,39.97,1.05M,1.63%
2023-11-21,40.0,37.34,40.0,37.3,1.94M,7.24%
2023-11-20,37.3,37.89,37.99,37.25,534.75K,-0.96%
2023-11-19,37.66,38.15,38.4,37.6,813.69K,-0.45%
2023-11-16,37.83,37.7,38.2,37.32,692.89K,1.80%
2023-11-15,37.16,37.25,37.86,37.1,506.73K,0.41%
2023-11-14,37.01,38.0,38.05,36.9,678.76K,-2.12%
2023-11-13,37.81,37.3,38.0,36.9,918.34K,1.23%
2023-11-12,37.35,38.52,38.87,36.9,644.45K,-2.84%
2023-11-09,38.44,39.4,39.4,38.03,368.53K,-1.44%
2023-11-08,39.0,39.0,39.6,38.52,425.03K,0.39%
2023-11-07,38.85,39.99,39.99,38.5,745.50K,-2.19%
2023-11-06,39.72,40.2,40.7,39.64,527.56K,-0.65%
2023-11-05,39.98,39.95,40.88,39.5,571.73K,2.02%
2023-11-02,39.19,38.59,40.5,38.56,1.59M,1.53%
2023-11-01,38.6,38.2,38.7,37.65,602.06K,1.26%
2023-10-31,38.12,38.57,39.2,37.88,773.45K,-1.12%
2023-10-30,38.55,38.63,39.79,38.4,1.24M,2.20%
2023-10-29,37.72,38.0,38.5,37.4,563.67K,-0.47%
2023-10-26,37.9,38.0,38.1,37.1,673.11K,1.17%
2023-10-25,37.46,37.46,38.8,37.0,784.51K,1.30%
2023-10-24,36.98,37.9,38.4,36.5,1.29M,-1.12%
2023-10-23,37.4,38.34,39.29,37.12,1.53M,-2.35%
2023-10-22,38.3,37.5,38.99,37.5,881.76K,4.47%
2023-10-19,36.66,35.2,37.5,35.01,1.63M,4.65%
2023-10-18,35.03,36.37,36.5,34.92,691.26K,-2.07%
2023-10-17,35.77,35.0,35.88,34.54,724.25K,2.49%
2023-10-16,34.9,35.75,36.4,34.5,804.13K,-2.49%
2023-10-15,35.79,34.81,36.95,34.81,942.38K,2.84%
2023-10-12,34.8,32.91,35.17,32.81,1.14M,5.84%
2023-10-11,32.88,33.5,33.69,32.8,330.28K,-1.32%
2023-10-10,33.32,32.09,33.9,32.0,686.75K,4.03%
2023-10-09,32.03,31.9,32.7,31.75,107.03K,0.63%
2023-10-08,31.83,32.67,33.4,30.65,619.89K,-3.84%
2023-10-04,33.1,32.0,33.29,31.6,527.35K,3.57%
2023-10-03,31.96,33.3,33.31,31.85,868.88K,-2.65%
2023-10-02,32.83,33.77,33.95,31.79,617.51K,-3.18%
2023-10-01,33.91,34.25,34.25,33.66,262.35K,-0.26%
2023-09-27,34.0,34.6,34.6,33.77,487.84K,-1.02%
2023-09-26,34.35,34.8,34.97,34.3,418.06K,-1.24%
2023-09-25,34.78,35.27,35.27,34.52,233.44K,-0.94%
2023-09-24,35.11,34.74,35.4,34.3,585.95K,1.12%
2023-09-21,34.72,34.99,35.28,34.35,405.06K,-0.26%
2023-09-20,34.81,35.89,35.89,34.57,650.08K,-1.36%
2023-09-19,35.29,34.06,36.0,34.0,1.44M,4.38%
2023-09-18,33.81,34.3,34.54,33.7,466.13K,-1.11%
2023-09-17,34.19,34.93,35.34,34.11,462.48K,-2.12%
2023-09-14,34.93,34.5,35.25,34.32,557.73K,1.07%
2023-09-13,34.56,34.4,34.64,34.0,511.42K,0.82%
2023-09-12,34.28,33.95,35.45,33.8,1.06M,0.85%
2023-09-11,33.99,33.9,34.29,33.5,458.66K,0.21%
2023-09-10,33.92,34.4,34.5,33.81,210.18K,-0.35%
2023-09-07,34.04,33.49,34.6,33.08,1.28M,1.49%
2023-09-06,33.54,33.5,33.67,32.96,363.45K,0.12%
2023-09-05,33.5,33.6,34.55,33.4,711.81K,-0.03%
2023-09-04,33.51,32.5,33.88,32.31,1.40M,3.27%
2023-09-03,32.45,31.97,33.19,31.4,1.05M,2.08%
2023-08-31,31.79,32.37,32.38,31.51,596.09K,-1.85%
2023-08-30,32.39,32.86,32.86,31.6,561.86K,-1.67%
2023-08-29,32.94,33.0,33.87,32.6,1.71M,0.40%
2023-08-28,32.81,31.31,32.97,31.0,2.08M,5.19%
2023-08-27,31.19,31.12,31.88,30.83,549.16K,0.26%
2023-08-24,31.11,31.3,31.5,30.7,890.23K,-0.77%
2023-08-23,31.35,30.18,32.24,29.62,4.05M,3.81%
2023-08-22,30.2,27.26,30.2,27.11,5.16M,10.46%
2023-08-21,27.34,27.21,27.54,27.1,293.82K,-0.04%
2023-08-20,27.35,27.11,27.77,27.11,294.51K,0.92%
2023-08-17,27.1,27.77,27.8,26.99,370.97K,-1.99%
2023-08-16,27.65,26.99,27.99,26.97,1.41M,2.98%
2023-08-15,26.85,27.09,27.15,26.7,212.05K,-0.52%
2023-08-14,26.99,26.42,27.59,26.42,735.19K,2.39%
2023-08-13,26.36,26.2,26.49,26.1,90.87K,0.84%
2023-08-10,26.14,26.4,26.5,26.02,79.05K,-1.47%
2023-08-09,26.53,26.33,26.63,26.05,196.78K,0.64%
2023-08-08,26.36,26.38,26.69,26.2,154.35K,-0.23%
2023-08-07,26.42,26.14,26.48,26.01,191.09K,1.62%
2023-08-06,26.0,25.82,26.14,25.52,200.91K,1.21%
2023-08-03,25.69,25.9,25.9,25.46,221.55K,-0.43%
2023-08-02,25.8,26.23,26.24,25.75,229.60K,-0.73%
2023-08-01,25.99,26.44,26.44,25.97,222.03K,-1.55%
2023-07-31,26.4,26.34,26.4,26.11,151.82K,0.80%
2023-07-30,26.19,26.42,26.42,26.05,155.58K,0.04%
2023-07-27,26.18,26.53,26.61,26.14,167.38K,-1.47%
2023-07-26,26.57,26.57,26.73,26.36,126.40K,0.00%
2023-07-25,26.57,26.75,26.94,26.5,132.42K,-0.60%
2023-07-24,26.73,26.83,27.2,26.7,112.54K,-0.48%
2023-07-19,26.86,26.7,26.91,26.61,77.75K,0.49%
2023-07-18,26.73,26.94,26.94,26.6,101.54K,0.22%
2023-07-17,26.67,26.69,26.98,26.51,158.03K,-0.07%
2023-07-16,26.69,27.0,27.1,26.65,161.56K,-1.15%
2023-07-13,27.0,26.7,27.2,26.7,214.36K,0.93%
2023-07-12,26.75,27.2,27.4,26.7,153.93K,-0.96%
2023-07-11,27.01,27.2,27.2,26.56,276.45K,-0.70%
2023-07-10,27.2,26.03,27.29,25.8,421.71K,4.62%
2023-07-09,26.0,27.78,27.78,26.0,466.66K,-6.47%
2023-07-06,27.8,28.15,28.17,27.66,787.54K,-1.28%
2023-07-05,28.16,28.24,28.46,27.9,659.00K,-0.14%
2023-07-04,28.2,27.1,28.48,27.1,1.86M,4.44%
2023-06-26,27.0,26.05,27.2,25.9,508.81K,3.65%
2023-06-25,26.05,26.0,26.25,25.95,520.86K,0.85%
2023-06-22,25.83,26.0,26.0,25.75,682.68K,-0.54%
2023-06-21,25.97,26.7,26.7,25.9,405.17K,-2.73%
2023-06-20,26.7,26.6,26.71,26.3,656.24K,1.06%
2023-06-19,26.42,26.89,26.9,26.29,471.71K,-1.16%
2023-06-18,26.73,26.78,26.95,26.52,649.51K,0.53%
2023-06-15,26.59,26.82,26.93,26.45,1.05M,-0.71%
2023-06-14,26.78,27.2,27.26,26.5,1.09M,-0.81%
2023-06-13,27.0,27.5,27.6,26.91,3.85M,0.71%
2023-06-12,26.81,27.25,27.6,26.7,1.17M,-1.43%
2023-06-11,27.2,26.0,27.4,25.8,1.92M,5.75%
2023-06-08,25.72,26.0,26.2,25.5,1.17M,-0.85%
2023-06-07,25.94,27.0,27.1,25.8,1.69M,-2.74%
2023-06-06,26.67,26.72,27.55,26.66,1.92M,0.04%
2023-06-05,26.66,26.51,26.97,26.31,1.35M,0.30%
2023-06-04,26.58,26.35,26.77,26.1,874.30K,1.80%
2023-06-01,26.11,26.3,26.6,25.97,640.01K,-0.53%
2023-05-31,26.25,26.65,26.9,26.16,650.63K,-1.39%
2023-05-30,26.62,26.8,27.1,26.0,790.05K,-1.04%
2023-05-29,26.9,25.8,26.92,25.71,621.32K,4.71%
2023-05-28,25.69,24.98,25.77,24.71,526.91K,4.01%
2023-05-25,24.7,24.75,25.19,24.5,652.57K,0.53%
2023-05-24,24.57,25.02,25.37,24.5,650.34K,-1.33%
2023-05-23,24.9,25.69,25.87,24.89,367.42K,-3.08%
2023-05-22,25.69,26.13,26.2,25.65,172.17K,-1.00%
2023-05-21,25.95,25.9,26.48,25.68,133.64K,0.74%
2023-05-18,25.76,26.1,26.21,25.6,142.03K,-1.34%
