Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,2.95,2.92,2.99,2.86,16.64M,1.72%
2023-12-10,2.9,3.09,3.1,2.9,18.15M,-5.54%
2023-12-07,3.07,3.1,3.1,2.93,26.39M,-2.23%
2023-12-06,3.14,3.11,3.22,3.06,32.67M,2.28%
2023-12-05,3.07,3.17,3.2,3.06,19.91M,-1.29%
2023-12-04,3.11,3.0,3.18,2.94,42.61M,4.71%
2023-12-03,2.97,2.9,3.06,2.86,15.87M,3.85%
2023-11-30,2.86,2.91,2.94,2.83,13.27M,-0.69%
2023-11-29,2.88,3.05,3.06,2.86,14.30M,-4.95%
2023-11-28,3.03,3.05,3.11,3.01,25.04M,0.33%
2023-11-27,3.02,2.99,3.02,2.97,22.74M,1.00%
2023-11-26,2.99,3.06,3.07,2.93,28.90M,-1.32%
2023-11-23,3.03,3.01,3.1,2.96,43.17M,1.34%
2023-11-22,2.99,2.88,3.04,2.86,35.65M,4.55%
2023-11-21,2.86,2.85,2.89,2.79,26.73M,0.70%
2023-11-20,2.84,2.9,2.91,2.81,32.94M,-1.05%
2023-11-19,2.87,2.96,2.97,2.87,30.92M,-2.38%
2023-11-16,2.94,2.86,2.97,2.83,65.84M,5.00%
2023-11-15,2.8,2.71,2.8,2.68,64.58M,5.66%
2023-11-14,2.65,2.61,2.66,2.51,28.33M,1.92%
2023-11-13,2.6,2.65,2.65,2.56,19.39M,-1.14%
2023-11-12,2.63,2.61,2.68,2.6,24.70M,1.54%
2023-11-09,2.59,2.66,2.67,2.55,24.22M,-1.52%
2023-11-08,2.63,2.73,2.79,2.6,23.06M,-2.59%
2023-11-07,2.7,2.66,2.75,2.65,35.53M,1.50%
2023-11-06,2.66,2.68,2.77,2.65,33.80M,0.76%
2023-11-05,2.64,2.66,2.69,2.59,19.97M,0.00%
2023-11-02,2.64,2.7,2.79,2.6,50.29M,0.00%
2023-11-01,2.64,2.41,2.66,2.41,47.21M,9.54%
2023-10-31,2.41,2.47,2.5,2.4,23.65M,-2.43%
2023-10-30,2.47,2.57,2.59,2.43,29.04M,-3.52%
2023-10-29,2.56,2.45,2.66,2.45,59.61M,4.92%
2023-10-26,2.44,2.35,2.48,2.32,82.72M,5.63%
2023-10-25,2.31,2.14,2.32,2.11,81.01M,9.48%
2023-10-24,2.11,2.15,2.16,2.08,17.97M,-1.40%
2023-10-23,2.14,2.18,2.19,2.13,19.89M,-0.93%
2023-10-22,2.16,2.11,2.19,2.1,23.00M,1.89%
2023-10-19,2.12,2.12,2.15,2.07,19.09M,0.95%
2023-10-18,2.1,2.16,2.17,2.06,30.50M,-0.94%
2023-10-17,2.12,2.02,2.15,2.01,40.83M,6.00%
2023-10-16,2.0,2.0,2.05,1.99,13.06M,-0.99%
2023-10-15,2.02,2.02,2.05,2.0,11.94M,1.00%
2023-10-12,2.0,2.03,2.05,2.0,11.75M,0.00%
2023-10-11,2.0,2.0,2.07,1.99,21.24M,0.50%
2023-10-10,1.99,1.99,2.02,1.98,6.86M,0.51%
2023-10-09,1.98,2.02,2.02,1.97,9.81M,-1.00%
2023-10-08,2.0,2.1,2.11,1.92,18.77M,-5.21%
2023-10-04,2.11,2.09,2.13,2.07,11.70M,1.93%
2023-10-03,2.07,2.14,2.15,2.05,15.28M,-2.36%
2023-10-02,2.12,2.18,2.23,2.09,41.11M,-1.85%
2023-10-01,2.16,2.16,2.2,2.12,21.97M,0.47%
2023-09-27,2.15,2.09,2.19,2.06,35.95M,2.87%
2023-09-26,2.09,2.2,2.21,2.06,52.34M,-3.24%
2023-09-25,2.16,2.03,2.18,2.0,82.43M,6.93%
2023-09-24,2.02,2.03,2.04,2.01,8.23M,-0.49%
2023-09-21,2.03,2.01,2.03,1.98,9.58M,1.00%
2023-09-20,2.01,2.06,2.08,1.97,30.24M,-2.43%
2023-09-19,2.06,2.11,2.12,2.06,18.68M,-2.37%
2023-09-18,2.11,2.12,2.12,2.07,20.44M,0.00%
2023-09-17,2.11,2.06,2.13,2.05,76.84M,3.43%
2023-09-14,2.04,2.009,2.042,2.005,28.43M,1.85%
2023-09-13,2.003,2.001,2.02,1.991,5.03M,-0.10%
2023-09-12,2.005,2.01,2.03,1.985,13.35M,-0.45%
2023-09-11,2.014,2.04,2.05,2.01,31.41M,-0.69%
