Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,90.37,94.98,95.0,86.0,0.07K,-5.67%
2023-12-10,95.8,90.0,95.8,85.5,0.63K,6.01%
2023-12-07,90.37,85.0,85.0,85.0,0.01K,0.00%
2023-12-06,90.37,93.0,93.0,93.0,0.60K,0.00%
2023-12-05,90.37,90.03,96.0,90.0,0.27K,0.00%
2023-12-04,90.37,97.84,97.84,90.0,1.35K,0.00%
2023-12-03,90.37,91.5,91.5,91.5,0.10K,0.00%
2023-11-30,90.37,98.8,99.48,90.0,0.13K,0.00%
2023-11-29,90.37,91.5,91.51,90.0,3.86K,-3.86%
2023-11-28,94.0,91.03,98.8,91.03,1.69K,0.00%
2023-11-27,94.0,91.06,98.5,91.0,1.01K,0.00%
2023-11-26,94.0,91.03,99.0,91.03,6.79K,-0.01%
2023-11-23,94.01,95.0,98.97,91.0,0.34K,0.00%
2023-11-22,94.01,91.5,96.99,91.5,5.03K,-0.01%
2023-11-21,94.02,90.02,97.97,90.02,0.35K,0.00%
2023-11-20,94.02,94.0,99.39,92.01,1.09K,0.00%
2023-11-19,94.02,91.0,99.78,91.0,6.11K,13.07%
2023-11-16,83.15,84.66,91.0,84.66,2.18K,0.00%
2023-11-14,83.15,82.5,83.0,82.5,2.50K,0.00%
2023-11-13,83.15,82.5,82.5,80.0,0.38K,0.00%
2023-11-12,83.15,82.0,82.0,80.34,0.16K,0.00%
2023-11-07,83.15,80.0,80.0,80.0,0.02K,0.00%
2023-11-05,83.15,80.51,80.51,80.5,0.60K,0.00%
2023-11-02,83.15,80.0,81.99,80.0,0.04K,0.00%
2023-11-01,83.15,80.25,80.25,80.0,0.02K,0.00%
2023-10-31,83.15,80.5,80.5,80.5,0.01K,0.00%
2023-10-30,83.15,82.0,82.0,81.5,0.60K,0.00%
2023-10-29,83.15,84.5,84.5,78.93,0.20K,0.00%
2023-10-26,83.15,83.0,85.0,80.0,2.05K,0.00%
2023-10-25,83.15,77.4,85.0,77.4,0.59K,0.00%
2023-10-24,83.15,80.01,84.0,80.0,2.26K,0.00%
2023-10-23,83.15,82.0,85.0,79.0,1.48K,0.00%
2023-10-22,83.15,81.0,81.0,81.0,0.01K,0.00%
2023-10-19,83.15,86.0,86.0,86.0,0.03K,0.00%
2023-10-18,83.15,83.5,83.5,83.0,1.01K,0.00%
2023-10-17,83.15,83.0,83.0,83.0,0.22K,0.00%
2023-10-16,83.15,83.0,83.0,80.0,1.76K,0.00%
2023-10-15,83.15,83.01,83.17,80.0,1.53K,0.00%
2023-10-11,83.15,83.13,83.13,83.13,0.01K,0.00%
2023-10-10,83.15,83.15,83.15,83.15,60.00K,-0.61%
2023-10-09,83.66,83.13,83.13,83.13,0.00K,0.00%
2023-10-08,83.66,83.75,83.75,83.13,0.30K,0.00%
2023-10-04,83.66,90.0,90.0,90.0,0.04K,0.00%
2023-10-03,83.66,90.0,90.0,89.89,0.60K,0.00%
2023-10-02,83.66,80.9,89.0,80.9,2.67K,0.00%
2023-10-01,83.66,80.9,85.0,80.9,0.28K,0.00%
2023-09-27,83.66,82.8,82.8,80.81,0.02K,0.00%
2023-09-26,83.66,80.8,80.8,80.8,0.04K,0.00%
2023-09-25,83.66,80.5,80.51,80.5,0.12K,0.00%
2023-09-24,83.66,82.8,82.8,80.21,0.09K,0.00%
2023-09-21,83.66,80.01,82.8,80.01,0.10K,0.00%
2023-09-20,83.66,80.04,83.0,80.01,0.59K,0.00%
2023-09-18,83.66,80.01,83.0,80.01,0.03K,0.00%
2023-09-14,83.66,82.99,83.61,82.98,0.38K,0.00%
2023-09-13,83.66,80.0,82.99,80.0,0.56K,0.00%
2023-09-12,83.66,80.0,82.99,80.0,0.34K,0.00%
2023-09-11,83.66,80.0,81.0,80.0,0.12K,0.00%
2023-09-10,83.66,82.82,82.82,78.0,0.02K,0.00%
2023-09-07,83.66,80.0,83.0,80.0,0.00K,0.00%
2023-09-06,83.66,80.0,80.0,80.0,0.10K,0.00%
2023-09-05,83.66,80.0,80.0,80.0,0.00K,0.00%
2023-09-04,83.66,79.5,79.5,79.5,0.00K,0.00%
2023-09-03,83.66,81.0,83.6,77.72,0.51K,0.00%
2023-08-31,83.66,82.0,82.0,77.73,0.16K,0.00%
2023-08-29,83.66,82.0,86.0,82.0,6.44K,1.41%
2023-08-28,82.5,85.0,85.0,82.0,0.05K,0.00%
2023-08-27,82.5,82.0,82.0,81.15,0.20K,0.00%
2023-08-24,82.5,81.65,87.1,81.15,8.49K,1.66%
2023-08-23,81.15,88.0,88.0,81.53,0.12K,0.00%
2023-08-22,81.15,88.98,88.98,80.1,0.08K,0.00%
2023-08-21,81.15,87.0,87.0,80.01,3.90K,5.16%
2023-08-20,77.17,83.0,89.99,81.0,0.10K,0.00%
2023-08-17,77.17,89.87,89.87,81.01,0.05K,0.00%
2023-08-16,77.17,89.95,89.95,85.05,0.12K,0.00%
2023-08-15,77.17,89.99,89.99,86.0,0.20K,0.00%
2023-08-14,77.17,84.01,89.69,84.01,2.95K,0.00%
2023-08-13,77.17,89.9,90.0,83.02,0.04K,0.00%
2023-08-10,77.17,90.0,90.0,83.31,0.05K,0.00%
2023-08-09,77.17,91.75,91.75,82.0,0.92K,0.00%
2023-08-08,77.17,92.0,92.0,84.0,0.12K,0.00%
2023-08-07,77.17,80.0,92.0,80.0,0.15K,0.00%
2023-08-06,77.17,88.0,92.6,77.73,0.45K,0.00%
2023-08-03,77.17,88.0,91.75,88.0,0.00K,0.00%
2023-08-02,77.17,91.75,91.75,91.75,0.02K,0.00%
2023-08-01,77.17,92.5,92.5,85.0,0.14K,0.00%
2023-07-31,77.17,91.9,92.5,88.0,2.97K,0.00%
2023-07-30,77.17,91.0,92.0,88.0,0.14K,0.00%
2023-07-27,77.17,88.0,91.0,84.0,2.59K,0.00%
2023-07-26,77.17,88.99,89.0,84.0,4.43K,0.00%
2023-07-25,77.17,85.0,85.0,85.0,0.25K,0.00%
2023-07-24,77.17,85.0,86.0,78.0,0.41K,0.00%
2023-07-19,77.17,78.0,78.0,78.0,0.70K,0.00%
2023-07-18,77.17,77.0,84.0,77.0,2.11K,0.00%
2023-07-17,77.17,77.17,77.17,77.17,0.14K,0.00%
2023-07-13,77.17,76.8,77.4,76.8,16.26K,0.22%
2023-07-12,77.0,76.98,77.0,76.0,13.70K,0.00%
2023-07-11,77.0,75.0,77.0,75.0,11.33K,0.39%
2023-07-10,76.7,72.0,77.0,65.0,11.91K,-0.39%
2023-07-09,77.0,70.0,72.0,70.0,0.11K,0.00%
2023-07-06,77.0,62.0,77.4,62.0,26.04K,0.71%
2023-07-05,76.46,77.88,77.88,76.0,13.90K,1.24%
2023-07-04,75.52,55.73,77.0,55.73,5.89K,12.46%
2023-06-26,67.15,62.0,67.0,62.0,3.74K,0.00%
2023-06-25,67.15,69.89,69.89,55.55,0.10K,0.00%
2023-06-22,67.15,53.13,70.0,53.0,12.69K,13.81%
2023-06-21,59.0,56.88,60.0,54.0,10.12K,3.49%
2023-06-20,57.01,56.8,57.0,56.8,0.03K,0.00%
2023-06-18,57.01,57.1,57.1,52.5,0.04K,0.00%
2023-06-15,57.01,53.2,53.2,53.0,0.07K,0.00%
2023-06-14,57.01,55.0,55.0,52.2,0.12K,0.00%
2023-06-13,57.01,55.0,56.6,55.0,0.06K,3.65%
2023-06-12,55.0,55.0,55.0,55.0,,-3.53%
2023-06-11,57.01,56.6,56.6,55.01,0.08K,0.00%
2023-06-08,57.01,56.6,56.6,55.0,0.02K,0.00%
2023-06-07,57.01,56.51,59.8,56.51,0.08K,0.00%
2023-06-06,57.01,59.5,59.5,56.51,0.15K,0.00%
2023-06-05,57.01,59.45,60.0,56.51,0.10K,0.00%
2023-06-04,57.01,60.0,60.0,56.51,0.03K,0.00%
2023-06-01,57.01,57.0,59.5,57.0,8.16K,-6.13%
2023-05-31,60.73,60.0,60.0,56.5,0.20K,0.00%
2023-05-30,60.73,56.0,60.0,56.0,0.12K,0.00%
2023-05-29,60.73,59.5,60.99,59.5,0.06K,0.00%
2023-05-25,60.73,54.01,60.5,53.95,0.02K,0.00%
2023-05-24,60.73,53.9,60.68,53.9,0.01K,0.00%
2023-05-23,60.73,53.33,61.0,53.33,0.05K,0.00%
2023-05-22,60.73,55.68,55.68,53.53,0.04K,0.00%
2023-05-21,60.73,59.8,61.8,59.8,10.96K,1.98%
2023-05-18,59.55,53.0,60.5,53.0,8.47K,-1.64%
2023-05-17,60.54,54.13,60.5,52.2,0.63K,0.00%
2023-05-16,60.54,59.5,60.0,59.0,0.33K,0.00%
2023-05-15,60.54,59.0,61.0,54.0,13.64K,16.20%
2023-05-14,52.1,56.0,59.5,54.0,0.76K,0.00%
2023-05-11,52.1,56.0,56.0,52.2,1.48K,0.00%
2023-05-10,52.1,55.0,61.9,55.0,0.85K,0.00%
2023-05-09,52.1,58.0,61.9,53.0,2.35K,0.00%
2023-05-08,52.1,61.5,62.52,52.1,8.36K,0.00%
2023-05-07,52.1,58.0,61.0,50.0,7.55K,0.00%
2023-05-03,52.1,59.0,59.0,55.0,0.13K,0.00%
2023-05-02,52.1,60.0,60.0,46.0,0.43K,0.00%
2023-05-01,52.1,51.0,60.0,50.0,0.26K,0.00%
2023-04-30,52.1,54.99,54.99,54.9,0.06K,0.00%
2023-04-27,52.1,51.0,55.0,45.0,8.40K,7.51%
2023-04-26,48.46,44.0,44.0,43.0,0.50K,0.00%
2023-04-19,48.46,49.99,49.99,49.99,0.00K,0.00%
2023-04-18,48.46,49.98,49.98,49.98,0.05K,0.00%
2023-04-12,48.46,49.94,49.94,49.94,0.02K,0.00%
2023-04-09,48.46,49.97,49.97,49.97,0.02K,0.00%
2023-04-04,48.46,44.0,49.97,44.0,2.23K,0.00%
2023-04-03,48.46,42.99,49.99,42.99,11.75K,12.70%
2023-04-02,43.0,43.0,43.0,42.0,2.10K,0.00%
2023-03-29,43.0,43.0,43.0,43.0,6.15K,0.00%
2023-03-28,43.0,41.9,43.0,41.9,69.31K,2.38%
2023-03-27,42.0,41.99,42.0,41.99,2.70K,0.00%
2023-03-23,42.0,42.0,42.0,42.0,0.10K,0.00%
2023-03-22,42.0,40.1,41.0,40.1,1.10K,0.00%
2023-03-21,42.0,40.25,40.25,40.0,3.00K,0.00%
2023-03-20,42.0,39.0,40.0,39.0,2.00K,0.00%
2023-03-15,42.0,40.0,40.0,40.0,0.08K,0.00%
2023-03-14,42.0,40.0,40.0,40.0,0.57K,0.00%
2023-03-12,42.0,41.0,41.0,41.0,0.00K,0.00%
2023-03-08,42.0,41.0,41.0,41.0,2.00K,0.00%
2023-03-07,42.0,41.0,41.0,41.0,1.55K,0.00%
2023-03-06,42.0,42.95,42.97,42.0,3.00K,0.00%
2023-03-05,42.0,42.0,42.0,42.0,1.05K,0.00%
2023-03-02,42.0,41.0,41.51,41.0,0.73K,0.00%
2023-03-01,42.0,41.0,41.0,41.0,1.20K,0.00%
2023-02-28,42.0,41.01,41.01,41.0,0.20K,0.00%
2023-02-27,42.0,42.0,42.0,42.0,0.00K,0.00%
2023-02-26,42.0,42.0,42.98,42.0,1.32K,0.00%
2023-02-23,42.0,42.99,43.0,42.0,72.03K,5.00%
2023-02-21,40.0,43.0,43.0,42.8,3.00K,0.00%
2023-02-20,40.0,43.0,43.0,42.0,2.51K,0.00%
2023-02-19,40.0,42.0,42.0,42.0,1.08K,0.00%
2023-02-16,40.0,40.0,42.0,40.0,4.00K,0.00%
2023-02-15,40.0,38.0,40.5,38.0,3.50K,0.00%
2023-02-14,40.0,38.0,44.0,38.0,0.20K,0.00%
2023-02-13,40.0,40.0,40.0,35.0,2.32K,0.00%
2023-02-12,40.0,38.0,38.0,38.0,0.46K,0.00%
2023-02-09,40.0,37.96,38.0,37.0,3.18K,0.00%
2023-02-08,40.0,32.81,32.81,32.81,0.06K,0.00%
2023-02-06,40.0,32.4,36.0,32.03,1.11K,0.00%
2023-02-05,40.0,32.5,38.97,32.01,4.64K,0.00%
2023-02-02,40.0,34.0,34.5,33.0,2.75K,0.00%
2023-01-31,40.0,32.24,35.0,32.24,1.12K,0.00%
2023-01-30,40.0,37.0,37.0,36.29,5.40K,0.00%
2023-01-29,40.0,39.0,40.0,37.0,0.02K,0.00%
2023-01-25,40.0,42.0,42.0,34.11,0.12K,0.00%
2023-01-24,40.0,36.03,36.03,36.0,2.23K,0.00%
2023-01-23,40.0,39.97,40.0,37.1,5.91K,0.00%
2023-01-22,40.0,35.5,35.5,35.5,0.30K,0.00%
2023-01-19,40.0,40.0,40.0,40.0,0.01K,0.00%
2023-01-18,40.0,42.47,42.47,35.02,1.22K,0.00%
2023-01-17,40.0,40.0,40.0,39.99,11.80K,-3.22%
2023-01-11,41.33,40.0,42.5,40.0,11.80K,0.71%
2023-01-10,41.04,38.0,40.0,38.0,0.00K,0.00%
2023-01-09,41.04,40.0,40.01,40.0,2.68K,0.00%
2023-01-05,41.04,43.98,43.98,41.0,7.74K,-1.84%
2023-01-04,41.81,40.01,44.0,40.01,9.60K,4.53%
2023-01-03,40.0,40.0,40.0,40.0,0.02K,0.00%
2022-12-29,40.0,41.99,41.99,40.0,2.30K,0.00%
2022-12-27,40.0,41.99,41.99,41.99,0.00K,0.00%
2022-12-26,40.0,36.13,36.13,36.13,0.00K,0.00%
2022-12-22,40.0,42.0,46.7,40.0,12.91K,-4.76%
2022-12-21,42.0,42.0,42.2,42.0,13.31K,-17.06%
2022-12-19,50.64,43.13,43.51,43.0,0.80K,0.00%
2022-12-18,50.64,45.21,47.5,45.0,0.25K,0.00%
2022-12-15,50.64,45.13,48.0,45.13,0.24K,0.00%
2022-12-14,50.64,49.7,50.85,46.0,33.80K,-0.55%
2022-12-13,50.92,51.0,51.0,50.0,49.72K,-0.16%
2022-12-12,51.0,51.0,51.0,51.0,4.00K,0.00%
2022-12-11,51.0,50.0,50.0,50.0,2.68K,0.00%
2022-12-08,51.0,44.5,44.73,44.44,0.21K,0.00%
2022-12-06,51.0,49.0,49.01,49.0,0.07K,0.00%
2022-12-05,51.0,47.0,54.8,47.0,3.39K,0.00%
2022-12-04,51.0,44.01,45.5,44.01,0.20K,0.00%
2022-11-30,51.0,47.49,59.0,47.2,40.21K,-1.62%
2022-11-29,51.84,45.5,49.3,45.01,0.56K,0.00%
2022-11-28,51.84,43.52,45.5,43.52,0.14K,0.00%
2022-11-27,51.84,43.0,45.5,43.0,0.95K,0.00%
2022-11-24,51.84,42.52,42.52,42.52,0.05K,0.00%
2022-11-23,51.84,44.99,48.73,42.15,0.21K,0.00%
2022-11-22,51.84,42.13,45.5,41.49,1.75K,0.00%
2022-11-21,51.84,44.0,44.02,42.13,0.33K,0.00%
2022-11-20,51.84,48.05,51.7,43.4,6.08K,0.00%
2022-11-17,51.84,50.0,52.0,43.1,31.08K,0.80%
2022-11-16,51.43,37.36,56.01,37.36,70.78K,10.15%
2022-11-15,46.69,37.36,42.0,37.36,4.08K,0.00%
2022-11-14,46.69,37.65,37.65,37.36,0.41K,0.00%
2022-11-13,46.69,38.0,40.0,37.5,2.58K,0.00%
2022-11-10,46.69,38.5,45.99,38.03,2.07K,0.00%
2022-11-09,46.69,46.69,46.69,38.51,4.47K,0.00%
2022-11-08,46.69,46.35,47.1,38.0,42.17K,18.96%
2022-11-07,39.25,39.26,39.26,29.01,48.73K,19.96%
