Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,8.26,8.65,8.65,8.22,840.78K,-3.84%
2023-12-10,8.59,8.76,8.91,8.56,577.80K,-1.04%
2023-12-07,8.68,8.85,8.86,8.51,926.04K,-1.70%
2023-12-06,8.83,8.73,8.98,8.73,1.63M,1.49%
2023-12-05,8.7,9.0,9.03,8.7,2.04M,-2.47%
2023-12-04,8.92,9.0,9.2,8.9,2.58M,1.59%
2023-12-03,8.78,8.42,9.0,8.37,2.72M,4.90%
2023-11-30,8.37,8.43,8.49,8.3,1.13M,1.09%
2023-11-29,8.28,8.6,8.6,8.22,1.02M,-3.61%
2023-11-28,8.59,8.78,8.85,8.48,2.71M,-2.16%
2023-11-27,8.78,9.0,9.0,8.55,2.46M,-1.13%
2023-11-26,8.88,9.0,9.1,8.8,1.55M,-1.00%
2023-11-23,8.97,9.12,9.14,8.88,1.39M,-0.77%
2023-11-22,9.04,9.3,9.3,9.0,1.11M,-0.33%
2023-11-21,9.07,8.84,9.32,8.67,3.25M,2.37%
2023-11-20,8.86,9.19,9.3,8.83,2.09M,-3.59%
2023-11-19,9.19,9.32,9.47,9.07,3.29M,-1.39%
2023-11-16,9.32,9.39,9.6,8.91,4.27M,0.22%
2023-11-15,9.3,8.24,9.39,8.14,6.87M,14.53%
2023-11-14,8.12,7.77,8.27,7.7,4.34M,6.14%
2023-11-13,7.65,7.01,8.0,6.96,5.14M,9.29%
2023-11-12,7.0,6.9,7.34,6.83,3.23M,2.64%
2023-11-09,6.82,6.94,7.15,6.76,3.08M,-0.44%
2023-11-08,6.85,6.6,7.0,6.52,5.95M,4.58%
2023-11-07,6.55,6.3,6.65,6.25,3.75M,4.80%
2023-11-06,6.25,6.2,6.5,6.12,4.04M,1.79%
2023-11-05,6.14,6.18,6.26,6.1,2.25M,0.49%
2023-11-02,6.11,6.04,6.16,6.04,2.33M,3.38%
2023-11-01,5.91,6.03,6.15,5.89,1.70M,-2.15%
2023-10-31,6.04,6.2,6.25,6.02,1.73M,-1.79%
2023-10-30,6.15,6.22,6.4,6.12,1.63M,-0.65%
2023-10-29,6.19,6.0,6.45,6.0,3.70M,4.03%
2023-10-26,5.95,6.21,6.25,5.95,3.39M,-2.46%
2023-10-25,6.1,6.2,6.46,6.05,6.26M,-0.49%
2023-10-24,6.13,5.69,6.3,5.69,13.71M,8.88%
2023-10-23,5.63,5.61,5.75,5.35,7.40M,2.36%
2023-10-22,5.5,5.34,5.53,5.25,3.25M,4.36%
2023-10-19,5.27,5.42,5.55,5.2,6.12M,-2.23%
2023-10-18,5.39,5.14,5.41,5.11,4.86M,5.69%
2023-10-17,5.1,5.12,5.14,5.05,2.90M,0.59%
2023-10-16,5.07,5.13,5.16,5.05,2.56M,-0.59%
2023-10-15,5.1,5.19,5.2,5.07,3.66M,-0.78%
2023-10-12,5.14,5.16,5.26,5.13,2.58M,0.39%
2023-10-11,5.12,5.25,5.32,5.11,2.96M,-1.54%
2023-10-10,5.2,5.26,5.29,5.18,3.71M,0.39%
2023-10-09,5.18,5.18,5.28,5.06,1.75M,2.37%
2023-10-08,5.06,5.41,5.46,4.9,3.31M,-6.30%
2023-10-04,5.4,5.41,5.49,5.34,4.09M,0.56%
2023-10-03,5.37,5.4,5.69,5.37,18.00M,1.32%
2023-10-02,5.3,5.24,5.35,5.1,3.68M,1.92%
2023-10-01,5.2,4.95,5.26,4.9,1.71M,5.48%
2023-09-27,4.93,5.05,5.05,4.85,1.18M,-1.79%
2023-09-26,5.02,5.09,5.13,5.01,1.11M,-1.57%
2023-09-25,5.1,5.12,5.16,5.09,610.78K,-0.20%
2023-09-24,5.11,5.2,5.2,5.09,762.22K,-0.97%
2023-09-21,5.16,5.19,5.2,5.08,636.80K,0.00%
2023-09-20,5.16,5.22,5.25,5.09,1.35M,-0.77%
2023-09-19,5.2,5.32,5.37,5.2,1.16M,-2.26%
2023-09-18,5.32,5.21,5.34,5.21,2.21M,1.72%
2023-09-17,5.23,5.25,5.26,5.19,893.40K,0.38%
2023-09-14,5.21,5.28,5.29,5.2,1.16M,-0.76%
2023-09-13,5.25,5.21,5.26,5.2,779.77K,0.96%
2023-09-12,5.2,5.3,5.31,5.19,1.39M,-0.57%
2023-09-11,5.23,5.3,5.36,5.2,2.52M,0.00%
2023-09-10,5.23,5.4,5.52,5.23,6.03M,-0.57%
2023-09-07,5.26,5.32,5.38,5.2,1.49M,-0.75%
2023-09-06,5.3,5.25,5.35,5.24,1.95M,0.95%
2023-09-05,5.25,5.11,5.32,5.11,1.85M,2.94%
2023-09-04,5.1,5.16,5.16,5.09,763.71K,-0.20%
2023-09-03,5.11,5.2,5.23,5.1,988.40K,-1.35%
2023-08-31,5.18,5.23,5.26,5.16,671.96K,-0.77%
2023-08-30,5.22,5.36,5.37,5.2,2.05M,-1.69%
2023-08-29,5.31,5.29,5.42,5.27,2.56M,0.76%
2023-08-28,5.27,5.4,5.49,5.25,3.15M,-0.57%
2023-08-27,5.3,5.28,5.47,5.2,4.57M,1.34%
2023-08-24,5.23,5.11,5.26,5.07,2.15M,2.15%
2023-08-23,5.12,5.32,5.33,5.1,4.26M,-3.21%
2023-08-22,5.29,5.51,5.55,5.21,7.03M,-2.94%
2023-08-21,5.45,5.59,5.69,5.44,5.94M,-1.09%
2023-08-20,5.51,5.56,5.67,5.42,2.20M,0.36%
2023-08-17,5.49,5.49,5.54,5.35,1.77M,1.10%
2023-08-16,5.43,5.38,5.61,5.3,7.05M,2.45%
2023-08-15,5.3,5.27,5.52,5.27,3.38M,1.34%
2023-08-14,5.23,5.3,5.43,5.22,1.46M,-1.32%
2023-08-13,5.3,5.21,5.32,5.19,973.75K,1.92%
2023-08-10,5.2,5.21,5.27,5.2,690.72K,-0.38%
2023-08-09,5.22,5.32,5.37,5.21,3.82M,-1.51%
2023-08-08,5.3,5.46,5.53,5.26,3.48M,-1.67%
2023-08-07,5.39,5.0,5.4,4.98,3.90M,8.45%
2023-08-06,4.97,4.97,5.07,4.91,1.79M,0.40%
2023-08-03,4.95,4.99,4.99,4.88,583.76K,0.61%
2023-08-02,4.92,5.06,5.09,4.89,1.81M,-2.38%
2023-08-01,5.04,5.13,5.18,5.0,1.69M,-1.56%
2023-07-31,5.12,5.18,5.18,5.1,383.11K,0.20%
2023-07-30,5.11,5.11,5.19,5.08,421.26K,0.20%
2023-07-27,5.1,5.2,5.2,5.07,261.02K,-0.58%
2023-07-26,5.13,5.12,5.23,5.04,783.97K,0.59%
2023-07-25,5.1,5.22,5.27,5.07,444.51K,-2.30%
2023-07-24,5.22,5.29,5.34,5.19,657.11K,-0.95%
2023-07-19,5.27,5.2,5.35,5.19,2.57M,2.33%
2023-07-18,5.15,5.01,5.2,4.98,1.80M,3.41%
2023-07-17,4.98,5.0,5.11,4.95,726.77K,-0.40%
2023-07-16,5.0,5.13,5.18,4.99,745.68K,-1.19%
2023-07-13,5.06,5.01,5.13,5.0,1.00M,1.00%
2023-07-12,5.01,5.21,5.29,5.0,1.78M,-3.28%
2023-07-11,5.18,5.21,5.38,5.16,1.62M,-0.58%
2023-07-10,5.21,5.0,5.23,4.86,514.83K,4.20%
2023-07-09,5.0,5.2,5.21,4.97,1.22M,-3.85%
2023-07-06,5.2,5.28,5.32,5.19,897.96K,-0.76%
2023-07-05,5.24,5.33,5.4,5.22,660.74K,-1.69%
2023-07-04,5.33,5.55,5.55,5.31,460.82K,-1.30%
2023-06-26,5.4,5.45,5.48,5.39,414.32K,-0.18%
2023-06-25,5.41,5.5,5.59,5.37,564.90K,-1.46%
2023-06-22,5.49,5.55,5.68,5.46,966.34K,-1.79%
2023-06-21,5.59,5.73,5.73,5.57,1.02M,-1.93%
2023-06-20,5.7,5.65,5.91,5.49,4.12M,1.97%
2023-06-19,5.59,5.66,5.7,5.41,1.92M,-1.06%
2023-06-18,5.65,5.3,5.75,5.22,3.57M,7.21%
2023-06-15,5.27,5.27,5.33,5.26,282.90K,-0.19%
2023-06-14,5.28,5.3,5.37,5.26,693.90K,0.19%
2023-06-13,5.27,5.39,5.4,5.25,1.14M,-1.68%
2023-06-12,5.36,5.38,5.46,5.35,375.58K,0.75%
2023-06-11,5.32,5.33,5.5,5.29,908.64K,-0.37%
2023-06-08,5.34,5.3,5.48,5.27,1.49M,0.38%
