Date,Price,Open,High,Low,Vol.,Change %
2023-12-11,11.05,11.7,11.72,11.02,323.89K,-5.47%
2023-12-10,11.69,12.0,12.17,11.65,374.61K,-2.50%
2023-12-07,11.99,12.02,12.02,11.55,837.58K,-0.17%
2023-12-06,12.01,12.27,12.39,12.0,705.03K,-1.56%
2023-12-05,12.2,12.63,12.63,12.16,709.19K,-1.85%
2023-12-04,12.43,12.8,12.91,12.41,588.42K,-1.58%
2023-12-03,12.63,12.33,13.2,12.33,1.25M,3.19%
2023-11-30,12.24,12.16,12.79,11.88,1.47M,0.91%
2023-11-29,12.13,12.84,12.84,12.0,937.90K,-4.11%
2023-11-28,12.65,13.13,13.31,12.57,945.52K,-4.24%
2023-11-27,13.21,13.5,13.63,13.14,690.28K,-1.34%
2023-11-26,13.39,13.16,13.85,13.16,1.46M,2.21%
2023-11-23,13.1,13.37,13.5,13.1,1.02M,-1.28%
2023-11-22,13.27,13.5,13.55,13.25,1.17M,-0.60%
2023-11-21,13.35,13.45,13.55,13.12,1.03M,0.45%
2023-11-20,13.29,13.86,13.95,13.21,1.68M,-4.04%
2023-11-19,13.85,15.0,15.0,13.62,339.04K,-3.15%
2023-11-16,14.3,14.49,14.75,14.1,2.48M,-0.21%
2023-11-15,14.33,15.0,15.18,14.1,3.09M,-3.37%
2023-11-14,14.83,13.5,15.25,13.4,6.33M,10.59%
2023-11-13,13.41,13.7,13.75,13.26,805.67K,-0.67%
2023-11-12,13.5,13.75,14.0,13.4,1.84M,1.28%
2023-11-09,13.33,13.3,14.25,13.15,2.44M,1.83%
2023-11-08,13.09,13.41,13.77,13.0,602.47K,-1.58%
2023-11-07,13.3,13.79,13.9,13.3,1.09M,-2.56%
2023-11-06,13.65,14.4,14.72,13.65,2.45M,-3.67%
2023-11-05,14.17,13.31,14.18,13.3,1.97M,8.42%
2023-11-02,13.07,13.0,13.48,12.65,733.70K,0.08%
2023-11-01,13.06,13.6,13.6,12.49,32.81K,0.00%
2023-10-31,13.06,13.61,13.99,12.85,1.39M,-3.55%
2023-10-30,13.54,14.25,14.5,13.5,2.37M,-4.98%
2023-10-29,14.25,12.6,14.73,12.6,3.23M,13.10%
2023-10-26,12.6,13.26,13.48,12.51,1.07M,-4.83%
2023-10-25,13.24,13.78,13.94,13.1,2.01M,-2.00%
2023-10-24,13.51,13.31,13.9,12.51,2.77M,2.04%
2023-10-23,13.24,13.93,15.46,13.2,5.08M,0.30%
2023-10-22,13.2,11.36,13.2,11.36,2.61M,20.00%
2023-10-19,11.0,9.5,11.24,9.5,3.94M,16.53%
2023-10-18,9.44,9.23,9.74,9.06,3.19M,5.95%
2023-10-17,8.91,8.33,9.19,8.02,4.89M,8.53%
2023-10-16,8.21,7.4,8.7,7.32,5.09M,9.61%
2023-10-15,7.49,7.24,7.6,7.2,1.52M,4.32%
2023-10-12,7.18,7.45,7.49,7.16,1.80M,-3.62%
2023-10-11,7.45,6.7,7.63,6.63,3.84M,12.71%
2023-10-10,6.61,6.46,6.73,6.45,812.82K,2.80%
2023-10-09,6.43,6.45,6.6,6.38,454.04K,1.42%
2023-10-08,6.34,6.93,6.93,5.75,578.62K,-8.12%
2023-10-04,6.9,6.71,7.0,6.65,1.01M,3.60%
2023-10-03,6.66,6.32,6.86,6.25,1.02M,5.71%
2023-10-02,6.3,6.55,6.55,6.17,544.76K,-2.02%
2023-10-01,6.43,6.81,6.85,6.13,503.57K,-4.88%
2023-09-27,6.76,6.94,7.0,6.72,835.97K,-2.31%
2023-09-26,6.92,7.02,7.11,6.91,883.69K,-1.42%
2023-09-25,7.02,7.13,7.15,6.96,685.02K,0.00%
2023-09-24,7.02,7.06,7.22,6.92,1.41M,1.30%
2023-09-21,6.93,6.99,7.11,6.89,1.10M,0.73%
2023-09-20,6.88,7.32,7.4,6.86,1.50M,-5.62%
2023-09-19,7.29,7.37,7.74,7.23,4.43M,0.83%
2023-09-18,7.23,7.01,7.39,6.86,2.48M,4.63%
2023-09-17,6.91,7.1,7.14,6.9,672.92K,-2.26%
2023-09-14,7.07,7.22,7.38,7.05,1.86M,-1.39%
2023-09-13,7.17,7.24,7.27,7.01,1.76M,0.99%
2023-09-12,7.1,6.8,7.26,6.8,2.94M,5.19%
2023-09-11,6.75,7.0,7.09,6.66,1.37M,-3.02%
2023-09-10,6.96,7.25,7.3,6.91,1.11M,0.58%
2023-09-06,6.92,7.42,7.44,6.88,2.11M,-5.98%
2023-09-05,7.36,7.63,8.09,7.3,3.74M,-2.77%
2023-09-04,7.57,7.71,7.8,7.47,2.98M,-2.82%
2023-09-03,7.79,9.9,9.9,7.64,4.78M,-5.92%
2023-08-31,8.28,7.81,8.28,7.5,6.01M,7.53%
2023-08-30,7.7,8.16,8.16,7.7,2.60M,-4.94%
2023-08-29,8.1,7.03,8.14,7.03,7.24M,17.22%
2023-08-28,6.91,7.1,7.17,6.75,2.71M,-1.99%
2023-08-27,7.05,6.99,7.3,6.75,5.72M,2.62%
2023-08-24,6.87,5.77,6.88,5.65,5.56M,19.69%
2023-08-23,5.74,6.1,6.15,5.62,2.13M,-5.44%
2023-08-22,6.07,6.15,6.33,6.04,4.47M,1.68%
2023-08-21,5.97,5.0,5.97,4.98,7.08M,19.88%
2023-08-20,4.98,4.91,5.17,4.86,1.38M,3.53%
2023-08-17,4.81,4.85,4.92,4.68,278.66K,0.00%
2023-08-16,4.81,4.91,4.99,4.78,245.83K,0.00%
2023-08-15,4.81,4.92,5.05,4.79,711.84K,-1.84%
2023-08-14,4.9,4.67,5.05,4.65,1.54M,4.70%
2023-08-13,4.68,4.67,4.79,4.63,203.76K,-1.47%
2023-08-10,4.75,4.75,4.82,4.71,144.27K,-0.84%
2023-08-09,4.79,4.9,4.95,4.71,289.82K,-2.04%
2023-08-08,4.89,4.92,5.04,4.85,638.52K,-0.20%
2023-08-07,4.9,4.73,5.0,4.68,1.26M,2.51%
2023-08-06,4.78,4.8,4.83,4.68,281.11K,0.00%
2023-08-03,4.78,4.75,4.85,4.7,745.21K,1.06%
2023-08-02,4.73,4.7,4.8,4.62,1.37M,1.28%
2023-08-01,4.67,4.4,4.71,4.38,1.28M,6.86%
2023-07-31,4.37,4.32,4.4,4.31,183.55K,0.46%
2023-07-30,4.35,4.33,4.4,4.31,42.32K,0.00%
2023-07-27,4.35,4.32,4.41,4.31,62.33K,0.00%
2023-07-26,4.35,4.4,4.4,4.31,94.97K,-1.14%
2023-07-25,4.4,4.48,4.48,4.36,195.16K,-0.68%
2023-07-24,4.43,4.45,4.53,4.4,278.45K,0.68%
2023-07-19,4.4,4.36,4.46,4.33,303.43K,1.15%
2023-07-18,4.35,4.35,4.43,4.32,342.86K,0.46%
2023-07-17,4.33,4.38,4.4,4.28,266.86K,0.00%
2023-07-16,4.33,4.23,4.37,4.23,309.72K,4.34%
2023-07-13,4.15,4.12,4.2,4.12,112.88K,0.97%
2023-07-12,4.11,4.13,4.24,4.1,82.11K,-0.48%
2023-07-11,4.13,4.14,4.24,4.0,238.92K,0.73%
2023-07-10,4.1,4.0,4.17,3.9,183.65K,1.74%
2023-07-09,4.03,4.32,4.34,3.99,213.21K,-6.71%
2023-07-06,4.32,4.52,4.52,4.3,206.11K,-3.57%
2023-07-05,4.48,4.5,4.53,4.45,87.23K,0.22%
2023-07-04,4.47,4.54,4.55,4.43,97.20K,1.36%
2023-06-26,4.41,4.4,4.49,4.37,119.03K,0.23%
2023-06-25,4.4,4.45,4.6,4.38,213.97K,-0.90%
2023-06-22,4.44,4.43,4.59,4.4,193.21K,-0.89%
2023-06-21,4.48,4.57,4.66,4.45,264.49K,-2.40%
2023-06-20,4.59,4.61,4.65,4.58,183.78K,-0.86%
2023-06-19,4.63,4.67,4.7,4.59,239.05K,0.22%
2023-06-18,4.62,4.64,4.71,4.55,303.23K,0.87%
2023-06-15,4.58,4.72,4.73,4.56,327.84K,-1.51%
2023-06-14,4.65,4.79,4.79,4.61,362.33K,1.31%
2023-06-13,4.59,4.73,4.76,4.56,418.89K,-2.34%
2023-06-12,4.7,4.67,4.8,4.66,186.79K,0.43%
2023-06-11,4.68,4.84,4.89,4.66,760.33K,-2.30%
2023-06-08,4.79,4.89,4.99,4.75,1.19M,-2.64%
2023-06-07,4.92,4.9,5.18,4.86,3.15M,2.71%
2023-06-06,4.79,4.73,4.85,4.73,660.77K,1.05%
2023-06-05,4.74,4.85,4.98,4.72,1.43M,-1.46%
2023-06-04,4.81,4.82,4.9,4.77,717.46K,1.69%
2023-06-01,4.73,4.7,4.84,4.63,1.36M,2.16%
2023-05-31,4.63,4.68,4.8,4.56,1.32M,0.87%
2023-05-30,4.59,4.7,4.72,4.5,837.29K,-1.92%
2023-05-29,4.68,4.49,4.69,4.49,1.46M,5.64%
2023-05-28,4.43,4.34,4.44,4.3,713.38K,3.50%
2023-05-25,4.28,4.36,4.43,4.26,297.65K,-2.51%
2023-05-24,4.39,4.4,4.51,4.35,901.73K,-0.23%
2023-05-23,4.4,4.32,4.52,4.27,1.30M,3.53%
2023-05-22,4.25,4.2,4.35,4.15,1.26M,1.92%
2023-05-21,4.17,4.11,4.23,4.07,278.83K,3.22%
2023-05-18,4.04,4.09,4.14,3.97,390.43K,-1.22%
2023-05-17,4.09,4.29,4.3,4.07,392.49K,-2.39%
2023-05-16,4.19,4.28,4.3,4.15,425.68K,-1.87%
2023-05-15,4.27,4.47,4.5,4.2,511.88K,-4.47%
2023-05-14,4.47,4.5,4.55,4.42,465.93K,-0.67%
2023-05-11,4.5,4.61,4.7,4.48,525.27K,-1.32%
2023-05-10,4.56,4.6,4.63,4.41,723.81K,-1.30%
2023-05-09,4.62,4.75,4.79,4.6,582.91K,-2.33%
2023-05-08,4.73,4.6,4.76,4.6,506.58K,2.83%
2023-05-07,4.6,4.56,4.65,4.5,784.74K,0.22%
2023-05-03,4.59,4.64,4.67,4.51,317.90K,-0.43%
2023-05-02,4.61,4.69,4.74,4.6,324.38K,-1.71%
2023-05-01,4.69,4.8,4.86,4.62,643.41K,-2.09%
2023-04-30,4.79,4.95,5.05,4.76,1.03M,-2.84%
2023-04-27,4.93,4.89,5.0,4.83,1.66M,2.49%
2023-04-26,4.81,4.74,4.92,4.66,950.47K,1.91%
2023-04-19,4.72,4.74,4.77,4.66,475.00K,0.43%
2023-04-18,4.7,4.72,4.79,4.66,436.82K,-1.47%
2023-04-13,4.77,4.61,4.82,4.6,672.87K,1.71%
2023-04-12,4.69,4.85,4.86,4.6,613.30K,-2.90%
2023-04-11,4.83,4.68,4.86,4.65,1.02M,3.43%
2023-04-10,4.67,4.57,4.77,4.56,1.00M,2.19%
2023-04-09,4.57,4.74,4.8,4.54,942.66K,-3.59%
2023-04-06,4.74,4.88,4.96,4.69,1.35M,-2.67%
2023-04-05,4.87,4.81,5.1,4.75,2.20M,1.46%
2023-04-04,4.8,4.86,4.91,4.7,1.14M,-1.23%
2023-04-03,4.86,5.0,5.0,4.79,1.96M,-1.42%
2023-04-02,4.93,4.61,5.0,4.53,1.44M,6.71%
2023-03-30,4.62,4.84,4.89,4.58,1.25M,-2.94%
2023-03-29,4.76,4.49,4.9,4.49,2.11M,6.97%
2023-03-28,4.45,4.46,4.56,4.3,1.02M,-0.45%
2023-03-27,4.47,4.42,4.7,4.38,2.37M,2.05%
2023-03-26,4.38,4.11,4.42,4.1,1.72M,7.09%
2023-03-23,4.09,4.02,4.2,4.0,462.52K,1.24%
2023-03-22,4.04,4.24,4.27,4.02,1.09M,-4.04%
2023-03-21,4.21,4.0,4.26,3.95,2.46M,7.12%
2023-03-20,3.93,3.73,4.04,3.7,1.53M,5.36%
2023-03-19,3.73,3.83,3.83,3.51,534.76K,0.27%
2023-03-16,3.72,3.63,3.9,3.5,1.26M,-1.33%
2023-03-15,3.77,4.2,4.36,3.62,2.23M,-8.05%
2023-03-14,4.1,3.9,4.16,3.7,2.65M,5.40%
2023-03-13,3.89,4.56,4.6,3.86,2.41M,-14.69%
2023-03-12,4.56,4.59,4.69,4.45,2.44M,0.00%
2023-03-09,4.56,4.22,4.59,4.19,3.94M,7.55%
2023-03-08,4.24,4.29,4.4,4.2,1.81M,-0.93%
2023-03-07,4.28,3.85,4.37,3.85,6.15M,14.44%
2023-03-06,3.74,3.66,3.78,3.65,365.20K,3.03%
